Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
7,17,*,*,*,*,*,*,*,*,*,*,*,*,152.017893,146.201927,143.720862,143.368747,144.528514,135.341032,*,134.981944,*,*
7,19,*,*,*,*,*,*,*,*,*,*,*,*,151.490473,145.140184,142.403810,143.017382,144.281508,134.560279,*,133.496306,*,*
7,21,*,*,*,*,*,*,*,*,*,*,*,*,149.496577,142.133074,138.799108,140.757532,142.339674,132.539990,*,130.926580,*,*
7,23,*,*,*,*,*,*,*,*,*,*,*,*,146.820382,138.094207,133.711833,137.341634,139.254660,129.835429,*,*,*,*
7,25,*,*,*,*,*,*,*,*,*,*,*,*,143.889173,133.532399,128.021670,133.335889,135.560312,126.497020,*,*,*,*
7,27,*,*,*,*,*,*,*,*,*,*,*,*,140.982440,128.670667,122.141234,128.956482,131.518445,122.453776,*,*,*,*
7,29,*,*,*,*,*,*,*,*,*,*,*,*,138.170287,123.529004,116.120212,124.320281,127.237844,117.954840,*,*,*,*
7,31,*,*,*,*,*,*,*,*,*,*,*,*,135.367930,118.127518,110.023180,119.611828,122.878534,113.429281,*,*,*,*
7,33,*,*,*,*,*,*,*,*,*,*,*,*,131.989583,112.337494,103.677149,114.669369,118.275145,108.814357,*,*,*,*
7,35,*,*,*,*,*,*,*,*,*,*,*,*,127.398657,106.030612,96.777485,109.187983,113.131635,103.867493,*,*,*,*
9,3,*,*,*,*,*,*,*,*,*,*,*,*,36.859622,34.289463,32.039099,34.636028,34.032077,25.427793,*,24.056264,*,*
9,5,*,*,73.993051,0.041119,*,*,*,*,*,*,*,*,79.308612,77.835768,76.511492,76.149431,77.114959,68.403583,*,67.597825,*,*
9,7,111.419835,0.008321,111.419836,0.008321,*,*,*,*,*,*,*,*,113.703969,112.937777,112.290931,110.818464,111.925413,104.881604,*,104.292648,*,*
9,9,137.369024,0.000534,137.369612,0.000463,*,*,*,*,*,*,*,*,138.155690,137.811205,137.459416,135.617801,136.452580,130.699251,*,130.147441,136.73,135.872725
9,11,154.402765,7.5e-05,154.402824,3e-05,*,*,*,*,*,*,*,*,156.581390,155.505291,155.025698,153.090517,154.158231,148.356390,*,147.911759,154.18,155.295361
