Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
13,12,31.82838,0.01865,31.80668,0.00035,*,*,*,*,28.93616,28.387229,28.954512,28.66312,29.04741,29.604344,29.46783,30.81,32.13
13,14,24.42312,0.00049,24.42352,8e-05,*,*,*,*,25.031497,24.617593,24.119221,24.220946,25.462542,24.517229,24.962148,23.85,25.41
13,16,17.1613,0.0012,17.15353,0.00035,*,*,*,*,19.920102,20.136779,19.682807,19.594896,19.582225,19.102711,19.037349,17.32,16.5
13,18,12.88094,0.02038,12.88558,0.00226,*,*,*,*,13.027261,15.301615,14.315084,14.288537,13.319166,13.678117,13.138543,14.19,13.19
13,20,9.71838,0.07554,9.68931,0.00734,*,*,*,*,10.809904,9.791971,11.244031,11.144144,10.649731,10.615697,11.042234,10.35,10.47
13,22,7.74345,0.18962,7.86898,0.01015,*,*,*,*,9.208991,7.433297,6.414182,7.014861,7.011562,6.291737,6.062703,8.02,8.1
13,24,6.06612,0.37443,6.10934,0.18039,*,*,*,*,8.250568,6.683163,6.591065,6.626377,6.324244,6.093116,6.252936,6.26,6.76
13,26,4.69254,1.50852,*,*,*,*,*,*,6.668234,4.976975,4.461044,4.837974,4.764415,4.187504,4.236473,4.63,4.69
13,28,*,*,*,*,*,*,*,*,5.196485,3.461539,2.770244,3.373191,3.421402,3.005243,3.034461,4.85,2.53
13,30,*,*,*,*,*,*,*,*,3.741077,2.297881,1.228408,2.315567,2.589416,1.850335,2.068688,*,2.1
13,32,*,*,*,*,*,*,*,*,3.049339,1.650105,0.300803,1.715347,2.243537,1.424969,1.905425,*,0.19
13,34,*,*,*,*,*,*,*,*,0.767432,*,*,0.438024,0.919984,0.819567,*,*,*
15,4,*,*,*,*,*,*,*,*,53.803147,54.697281,56.094423,51.216032,52.285918,50.038026,*,*,*
15,6,*,*,*,*,*,*,*,*,55.907752,56.810632,57.811441,54.547037,55.796528,55.273241,*,*,*
15,8,*,*,*,*,*,*,*,*,47.565878,49.493235,50.609122,48.698267,47.950284,50.48254,51.492095,*,*
15,10,*,*,*,*,*,*,*,*,35.646525,36.91309,37.300769,36.913666,37.750288,37.874482,37.564076,41.46,42.04
15,12,*,*,*,*,*,*,*,*,33.4382,33.323882,33.950128,33.70007,34.395465,34.810729,34.731892,34.88,37.1
15,14,32.37823,0.02635,32.37302,0.02634,*,*,*,*,30.60743,30.047861,30.160705,30.189103,30.95215,31.06061,31.448787,30.86,32.84
15,16,23.63089,0.00063,23.63033,0.00036,*,*,*,*,24.335737,24.786365,24.303463,24.544305,24.552525,24.657282,24.353261,24.71,24.1
15,18,18.03924,0.00111,18.03944,0.00109,*,*,*,*,17.430172,20.047106,19.063818,18.970813,17.958986,18.804299,18.331043,17.75,17.18
15,20,14.66289,0.00217,14.66309,0.00216,*,*,*,*,15.014035,14.331306,15.914866,15.615719,15.023767,15.433048,15.984094,15.0,14.99
15,22,10.27904,0.03799,10.28083,0.03799,*,*,*,*,12.316521,11.428017,10.63314,10.997176,11.14533,10.065741,9.759103,11.67,11.39
15,24,10.02223,0.11015,9.92127,0.11886,*,*,*,*,11.307319,9.720528,9.70003,9.673641,9.420543,9.431999,9.883487,9.94,9.99
15,26,8.54541,0.23969,8.34777,0.16471,*,*,*,*,10.352614,8.556782,8.31092,8.395053,8.276487,7.666679,7.843561,8.41,8.62
15,28,5.10018,0.99259,6.48304,0.56757,*,*,*,*,8.8064,7.222746,6.525809,7.011981,7.012764,6.511157,6.677801,6.52,6.17
15,30,*,*,*,*,*,*,*,*,6.878509,5.662932,4.643886,5.358427,5.709663,4.792064,5.012439,3.91,5.07
15,32,*,*,*,*,*,*,*,*,5.469897,4.439415,2.751971,4.35869,4.822739,3.909012,4.281201,2.07,2.57
15,34,*,*,*,*,*,*,*,*,2.510817,1.807254,1.035179,2.214774,2.575115,2.356178,1.218494,0.75,0.93
17,4,*,*,*,*,*,*,*,*,55.021913,55.557921,57.274566,52.290591,53.05744,50.855187,*,*,*
17,6,*,*,*,*,*,*,*,*,58.631109,59.719274,61.02788,57.42029,58.238973,57.524734,*,*,*
17,8,*,*,*,*,*,*,*,*,51.467789,53.816833,55.039355,52.610976,51.722524,54.036411,*,*,*
17,10,*,*,*,*,*,*,*,*,39.570794,41.399118,41.944701,41.152859,41.708152,41.760364,41.512533,46.17,44.46
17,12,*,*,*,*,*,*,*,*,37.482518,38.017693,38.510795,38.043783,38.833871,39.284781,39.326627,40.32,41.12
17,14,*,*,36.33936,0.18871,*,*,*,*,34.964707,34.677992,34.990495,34.941343,35.603353,36.233717,36.58879,35.83,37.37
17,16,30.0789,0.05,30.11142,0.00347,*,*,*,*,28.511729,29.238619,28.620055,29.11072,29.100375,29.76526,29.379627,30.0,30.75
17,18,24.15274,0.00046,24.15283,0.00039,*,*,*,*,22.044874,23.757969,23.842584,23.693093,22.599557,24.002778,23.542248,24.21,24.23
17,20,18.89063,6e-05,18.89064,6e-05,*,*,*,*,19.359823,19.916083,20.579679,20.151771,19.468374,20.420068,20.978138,19.28,18.35
17,22,14.1813,0.00173,14.1813,0.00173,*,*,*,*,16.114029,15.481676,14.851693,15.174826,15.31844,14.455458,14.162967,15.74,15.57
17,24,13.64962,0.06875,13.64962,0.06875,*,*,*,*,14.641389,13.319639,13.247758,13.223541,13.219049,12.959821,13.654454,13.74,14.58
17,26,13.00361,0.17173,12.99495,0.09246,*,*,*,*,13.961211,12.131215,12.149822,12.010061,11.933685,11.449201,11.840967,11.8,12.33
17,28,10.33711,0.20021,10.24567,0.14956,*,*,*,*,12.147192,10.599161,10.131456,10.369064,10.393274,9.806378,10.239748,10.04,9.99
17,30,*,*,*,*,*,*,*,*,9.823192,9.035077,7.725674,8.600106,9.019846,8.069312,8.387015,7.01,7.59
17,32,*,*,*,*,*,*,*,*,7.864977,7.169664,5.617619,6.886532,7.171517,6.494973,6.566572,5.02,5.31
17,34,*,*,*,*,*,*,*,*,4.4787,4.230677,3.435059,4.212694,4.377504,4.025798,2.821819,3.68,3.64
17,36,*,*,*,*,*,*,*,*,1.744597,1.742881,1.332609,2.054498,1.990719,1.156993,0.241747,1.38,1.89
17,38,*,*,*,*,*,*,*,*,1.014532,0.504842,0.695967,1.206918,1.389587,0.440723,*,1.53,*
17,40,*,*,*,*,*,*,*,*,0.875492,*,*,0.174874,0.46549,*,*,0.1,*
17,42,*,*,*,*,*,*,*,*,0.845263,*,*,*,*,*,*,*,0.57
17,44,*,*,*,*,*,*,*,*,0.619523,*,*,*,*,*,*,*,*
17,46,*,*,*,*,*,*,*,*,0.102618,*,*,*,*,*,*,*,*
19,4,*,*,*,*,*,*,*,*,54.848435,55.538364,57.520145,52.605321,53.180645,51.194294,*,*,*
19,6,*,*,*,*,*,*,*,*,59.605696,60.855348,62.374319,58.596891,59.240971,58.327356,*,*,*
19,8,*,*,*,*,*,*,*,*,54.192571,56.787595,58.240634,55.292283,54.183477,56.129272,*,*,*
19,10,*,*,*,*,*,*,*,*,42.935453,45.099104,45.936494,44.645152,44.758074,44.928023,*,*,*
19,12,*,*,*,*,*,*,*,*,41.343739,42.25815,42.958131,42.086355,42.666253,43.266478,43.561036,45.5,44.66
19,14,*,*,*,*,*,*,*,*,39.000169,39.063764,39.478436,39.231517,39.799101,40.754111,41.281256,40.59,42.3
19,16,*,*,*,*,*,*,*,*,32.550307,33.621215,33.080573,33.472083,33.268318,34.437973,34.089266,34.26,35.68
19,18,29.77393,0.02,29.76994,0.00052,*,*,*,*,26.788888,28.461329,28.652575,28.39268,27.25399,29.173794,28.717355,30.19,31.82
19,20,25.14945,0.00021,25.14963,9e-05,*,*,*,*,23.887881,24.512131,25.239102,24.752296,23.998553,25.491887,26.025438,25.02,24.71
19,22,17.8947,0.0001,17.89499,1e-05,*,*,*,*,19.942511,19.49963,19.063709,19.342329,19.487219,18.920721,18.68409,19.69,18.24
19,24,17.1768,0.00895,17.15848,0.00041,*,*,*,*,18.344165,17.192424,16.951691,17.073684,17.274135,16.785853,17.214926,17.15,17.52
19,26,16.15758,0.01361,16.18288,0.00066,*,*,*,*,17.493841,15.72714,15.916568,15.678744,15.676817,15.379517,16.04035,15.45,15.87
19,28,15.23072,0.01279,15.23897,0.00149,*,*,*,*,15.707048,14.008945,13.910615,13.872344,13.904744,13.453456,14.258365,13.42,14.0
19,30,10.76563,0.07033,10.04215,0.00161,*,*,*,*,12.48734,12.224167,10.613232,11.701798,11.993405,11.237126,11.566551,9.53,10.78
19,32,*,*,9.04734,0.01307,*,*,*,*,10.206923,9.858806,8.475828,9.217791,9.495315,8.922435,8.94385,7.2,8.48
19,34,*,*,5.92216,0.11254,*,*,*,*,6.67411,6.819361,5.973915,6.484455,6.472239,6.010202,4.748304,6.38,6.29
19,36,*,*,*,*,*,*,*,*,4.532303,4.632467,4.270835,4.78932,4.663594,3.978857,3.033805,4.39,4.8
19,38,*,*,*,*,*,*,*,*,3.847575,3.434853,3.693706,4.00194,4.00479,3.204577,2.768976,4.33,3.18
19,40,*,*,*,*,*,*,*,*,3.393074,2.335481,2.634113,2.823634,2.901576,2.108711,2.21522,2.09,2.51
19,42,*,*,*,*,*,*,*,*,2.833364,1.11763,0.404533,0.98325,0.946554,0.297218,0.227401,1.72,1.11
19,44,*,*,*,*,*,*,*,*,2.627153,0.213099,*,0.073625,0.195766,*,*,0.77,1.01
19,46,*,*,*,*,*,*,*,*,2.210919,*,*,0.029102,0.088876,*,0.000567,0.06,*
19,48,*,*,*,*,*,*,*,*,1.754576,*,*,*,*,*,*,*,1.68
19,50,*,*,*,*,*,*,*,*,1.210995,*,*,*,*,*,*,*,*
19,52,*,*,*,*,*,*,*,*,0.480575,*,*,*,*,*,*,*,*
21,4,*,*,*,*,*,*,*,*,54.301937,55.264217,57.463449,52.788629,53.178071,51.574102,*,*,*
21,6,*,*,*,*,*,*,*,*,59.966298,61.203019,62.855212,59.0193,59.580799,58.624447,*,*,*
21,8,*,*,*,*,*,*,*,*,55.755652,58.457975,60.103875,56.76635,55.55577,57.218979,*,*,*
21,10,*,*,*,*,*,*,*,*,46.366915,47.828134,48.585551,46.7903,46.963168,46.911884,*,*,*
21,12,*,*,*,*,*,*,*,*,45.159306,46.068255,47.08335,45.838209,46.158133,46.76609,*,*,*
21,14,*,*,*,*,*,*,*,*,41.669258,42.648781,43.326004,42.708607,43.280403,43.9351,44.575423,43.9,38.99
21,16,*,*,*,*,*,*,*,*,36.279366,37.717098,37.349716,37.526488,37.245599,38.564684,38.278968,38.13,45.13
21,18,*,*,*,*,*,*,*,*,31.088042,32.838978,33.124214,32.799413,31.684083,33.914517,33.537911,34.29,34.81
21,20,30.617,0.024,30.61234,0.024,*,*,*,*,28.106328,28.813616,29.642798,29.115079,28.376785,30.250109,30.736227,30.55,31.15
21,22,23.68817,0.00186,23.68832,0.00186,*,*,*,*,23.515915,23.260286,23.029139,23.320461,23.487,23.181554,22.824932,24.99,24.99
21,24,21.0225,0.00203,21.02643,0.00198,*,*,*,*,21.84575,20.863973,20.774409,20.957358,21.165183,20.938072,21.433503,21.13,20.22
21,26,19.40696,0.00199,19.40733,0.00204,*,*,*,*,20.94428,19.275946,19.656388,19.411253,19.482436,19.232716,19.725805,18.76,19.04
21,28,18.36288,0.00411,18.3673,0.00332,*,*,*,*,19.025955,17.340822,17.452285,17.268108,17.357977,17.06585,17.872639,16.52,17.6
21,30,12.80845,0.02021,12.81005,0.02018,*,*,*,*,14.901957,15.167993,13.417667,14.464495,14.732595,13.989962,14.257014,12.49,13.52
21,32,*,*,11.82076,0.09619,*,*,*,*,12.520206,12.501534,11.129556,11.612622,11.867481,11.277294,11.402397,9.88,11.25
21,34,*,*,7.39518,0.46398,*,*,*,*,8.966259,9.446611,8.63742,8.939725,8.764509,8.276234,7.007234,8.59,9.06
21,36,*,*,6.97916,1.38097,*,*,*,*,7.199811,7.479959,7.140407,7.495583,7.311252,6.76652,5.845057,7.43,7.4
21,38,*,*,*,*,*,*,*,*,6.565529,6.324949,6.581748,6.734505,6.593431,6.007003,5.720735,6.55,6.31
21,40,*,*,*,*,*,*,*,*,6.028128,5.057673,5.402554,5.473356,5.398173,4.760504,5.025395,5.51,5.15
21,42,*,*,*,*,*,*,*,*,5.346243,3.664388,3.045515,3.544033,3.467448,2.712397,2.654314,4.08,3.92
21,44,*,*,*,*,*,*,*,*,4.83219,2.631718,1.857036,2.430648,2.315778,2.023971,2.334002,3.1,2.93
21,46,*,*,*,*,*,*,*,*,4.629654,2.100493,1.59002,2.181906,2.212006,1.717365,2.015911,2.49,2.32
21,48,*,*,*,*,*,*,*,*,3.872154,1.387123,1.314013,1.461329,1.571492,1.218219,1.367218,2.03,1.53
21,50,*,*,*,*,*,*,*,*,2.99699,0.701903,0.338892,0.837211,0.946676,0.704903,0.858016,1.17,0.57
21,52,*,*,*,*,*,*,*,*,1.651533,0.191798,*,0.42981,0.647707,0.463891,0.757633,*,0.16
21,54,*,*,*,*,*,*,*,*,0.992063,*,*,0.148378,0.445945,0.497355,0.55796,*,*
21,56,*,*,*,*,*,*,*,*,0.92977,*,*,0.032144,0.340112,0.393388,0.660534,*,*
21,58,*,*,*,*,*,*,*,*,0.170458,*,*,*,0.017431,0.15482,*,*,*
23,4,*,*,*,*,*,*,*,*,54.058387,55.277712,57.577765,53.304832,53.504849,52.454984,*,*,*
23,6,*,*,*,*,*,*,*,*,60.106078,61.348572,63.084066,59.216985,59.742855,58.865209,*,*,*
23,8,*,*,*,*,*,*,*,*,56.382101,59.129614,60.791795,57.323446,56.136517,57.757901,*,*,*
