Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
14,15,8.47357,2e-05,8.4736,0.0,*,*,*,*,9.280591,9.381144,8.96315,9.243757,9.578778,9.474023,9.101342,7.4,9.28
14,17,6.5874,3e-05,6.58739,4e-05,*,*,*,*,5.935049,6.516928,6.402279,6.598267,6.439509,6.776051,6.270984,6.46,5.77
14,19,4.48307,0.01579,4.50796,0.00076,*,*,*,*,4.879936,4.785657,4.888132,5.008579,5.079051,5.126724,5.125804,4.8,3.97
14,21,2.47485,0.04092,2.50592,0.03854,*,*,*,*,3.630291,2.949327,2.459429,2.823523,3.216737,2.627776,2.248238,3.35,1.92
14,23,2.16881,0.20901,2.2067,0.13456,*,*,*,*,3.290107,2.284126,2.22424,2.41129,2.550667,2.543682,2.388973,1.77,1.47
14,25,2.07584,0.3649,1.58067,0.17132,*,*,*,*,2.634726,1.641522,1.45242,1.724073,1.947735,1.681707,1.484559,1.65,0.58
14,27,*,*,1.38133,0.6533,*,*,*,*,2.179804,1.137787,0.873818,1.274819,1.524767,1.418108,1.201824,2.37,0.39
14,29,*,*,*,*,*,*,*,*,1.204673,0.335377,*,0.460627,0.801857,0.495579,0.344709,*,0.7
14,31,*,*,*,*,*,*,*,*,0.787353,*,*,0.111759,0.71344,0.230859,0.284503,*,*
16,3,*,*,*,*,*,*,*,*,24.417532,24.893332,24.760723,22.855794,24.007814,22.468547,*,*,*
16,5,*,*,*,*,*,*,*,*,26.811979,27.418283,27.362897,26.069137,26.998917,26.710308,*,*,*
16,7,*,*,*,*,*,*,*,*,22.512771,23.666819,23.698769,23.070658,23.144633,24.294398,24.481574,*,*
16,9,*,*,*,*,*,*,*,*,16.841072,17.580836,17.416174,17.425102,18.337903,18.078782,17.608569,19.65,19.0
16,11,*,*,*,*,*,*,*,*,16.097399,16.156071,16.064809,16.129488,17.044985,17.111921,16.849969,16.59,15.25
16,13,15.3041,0.16763,15.30094,0.16763,*,*,*,*,14.696925,14.411919,14.205889,14.480188,15.298212,15.410179,15.284464,14.94,14.93
16,15,13.05343,0.00335,13.05459,0.00031,*,*,*,*,11.427878,11.653826,11.11379,11.633422,12.032038,12.237267,11.771178,12.23,14.44
16,17,8.64161,3e-05,8.64164,0.0,*,*,*,*,8.160044,8.928863,8.792201,8.940306,8.752025,9.336276,8.879687,8.23,6.86
16,19,6.98588,4e-05,6.98584,4e-05,*,*,*,*,6.958123,7.046786,7.193679,7.197905,7.273512,7.537307,7.518041,7.12,6.66
16,21,4.3036,6e-05,4.3036,6e-05,*,*,*,*,5.502056,5.005615,4.561574,4.901723,5.304527,4.768516,4.350808,5.19,4.16
16,23,4.37236,0.05051,4.37278,0.05051,*,*,*,*,4.849982,4.010378,4.141656,4.151979,4.31597,4.450771,4.623352,4.08,3.65
16,25,4.22385,0.18426,4.24205,0.00571,*,*,*,*,4.622113,3.503673,3.518051,3.606155,3.821615,3.560797,3.44701,3.58,3.32
16,27,2.35905,0.2371,2.62903,0.0057,*,*,*,*,3.650607,2.794125,2.382209,2.77113,3.085942,2.770926,2.633491,2.66,2.81
16,29,2.20782,1.78649,2.85667,1.03537,*,*,*,*,2.813038,2.071774,1.547787,2.005242,2.566989,2.049993,1.93699,1.43,2.31
16,31,*,*,*,*,*,*,*,*,2.047089,1.365343,0.551472,1.505906,1.932971,1.5716,1.444956,0.37,0.56
16,33,*,*,*,*,*,*,*,*,0.367067,*,*,0.21362,0.633178,0.471891,*,0.04,*
18,3,*,*,*,*,*,*,*,*,24.398866,24.907725,24.922631,23.044799,24.06994,22.676207,*,*,*
18,5,*,*,*,*,*,*,*,*,27.457322,28.221942,28.263032,26.846763,27.706691,27.167198,*,*,*
18,7,*,*,*,*,*,*,*,*,24.334883,25.658896,25.832023,24.838055,24.782053,25.713855,*,*,*
18,9,*,*,*,*,*,*,*,*,18.695614,19.695972,19.626509,19.437129,20.135459,20.063166,19.702761,*,*
18,11,*,*,*,*,*,*,*,*,18.140945,18.445307,18.396782,18.293257,19.122282,19.314439,19.118694,19.77,18.47
18,13,*,*,*,*,*,*,*,*,16.830285,17.835121,16.552793,16.736138,17.501029,17.833391,17.754748,17.5,18.04
18,15,15.25525,0.00181,15.25526,0.00181,*,*,*,*,13.606846,15.10784,13.438252,13.923777,14.226094,14.705813,14.269183,14.63,15.45
18,17,12.74151,0.00084,12.74031,0.00068,*,*,*,*,10.679913,11.395639,11.316845,11.376347,11.196029,12.04549,11.560949,12.27,12.07
18,19,8.78744,0.00021,8.78744,0.00021,*,*,*,*,9.273697,9.413003,9.579187,9.552475,9.600196,10.127605,10.144313,9.55,9.02
18,21,6.59878,0.00501,6.59869,0.005,*,*,*,*,7.50447,7.12267,6.704737,7.028197,7.470599,7.02245,6.683751,7.31,5.51
18,23,6.09889,0.00033,6.09893,0.00035,*,*,*,*,6.806913,6.03094,5.881481,6.031306,6.453546,6.168713,6.279502,5.71,5.66
18,25,5.65845,0.00785,5.65845,0.00785,*,*,*,*,6.367978,5.317207,5.324523,5.354724,5.640905,5.477401,5.52486,4.6,3.83
18,27,5.16885,0.00166,5.16886,0.00166,*,*,*,*,5.51075,4.519973,4.372075,4.548144,4.880428,4.601961,4.684504,4.56,4.75
18,29,4.25903,0.10796,3.66473,0.00158,*,*,*,*,4.270316,3.789505,3.059564,3.7102,4.178561,3.772109,3.770662,2.82,3.83
18,31,*,*,*,*,*,*,*,*,3.248826,2.757966,2.14041,2.654832,3.128514,2.834537,2.571871,1.99,2.31
18,33,*,*,*,*,*,*,*,*,1.440921,1.278863,0.900748,1.29709,1.658733,1.427046,0.547941,1.45,1.3
18,35,*,*,*,*,*,*,*,*,0.247694,0.162627,*,0.398252,0.67863,0.26971,*,*,0.6
18,37,*,*,*,*,*,*,*,*,*,*,*,0.000643,0.398564,*,*,0.0,*
20,3,*,*,*,*,*,*,*,*,24.027548,24.655523,24.847734,23.050682,23.980698,22.777681,*,*,*
20,5,*,*,*,*,*,*,*,*,27.770985,28.437133,28.589835,27.109353,27.955773,27.372909,*,*,*
20,7,*,*,*,*,*,*,*,*,25.440888,26.838277,27.117851,25.862685,25.751241,26.392491,*,*,*
20,9,*,*,*,*,*,*,*,*,20.397442,21.510521,21.656058,21.135024,21.603015,21.446788,*,*,*
20,11,*,*,*,*,*,*,*,*,20.116766,20.600509,20.663951,20.321782,21.028838,21.293762,21.291151,22.06,*
20,13,*,*,*,*,*,*,*,*,18.83709,18.896467,18.803788,18.860558,19.565247,20.051562,20.097285,19.58,20.56
20,15,*,*,*,*,*,*,*,*,15.608564,16.199005,15.708189,16.059037,16.318849,16.979485,16.57279,16.71,18.15
20,17,14.79372,0.04583,14.75623,0.04001,*,*,*,*,13.044088,13.791261,13.687607,13.717312,13.538284,14.609094,14.170413,14.5,13.8
20,19,13.2865,0.00491,13.29552,0.00063,*,*,*,*,11.561687,11.762877,11.886245,11.840726,11.884377,12.641162,12.628538,12.83,12.45
20,21,8.3628,0.00013,8.36282,0.00014,*,*,*,*,9.468298,9.15346,8.81229,9.11542,9.562501,9.279256,8.894074,9.0,8.51
20,23,7.93288,0.00017,7.93289,0.00017,*,*,*,*,8.739318,8.042192,7.904441,8.073985,8.504694,8.32054,8.220976,7.74,6.66
20,25,7.41479,0.00017,7.41482,0.00017,*,*,*,*,8.292023,7.228449,7.33608,7.305763,7.656288,7.516695,7.716431,6.93,6.81
20,27,7.27636,0.00027,7.27637,0.00027,*,*,*,*,7.313779,6.319436,6.229011,6.296191,6.665096,6.443806,6.698194,5.88,6.5
20,29,5.14645,0.00018,5.14645,0.00018,*,*,*,*,5.555792,5.391554,4.486305,5.129128,5.638266,5.248443,5.176574,4.29,4.36
20,31,4.36374,0.09407,4.8144,0.00167,*,*,*,*,4.456207,4.176957,3.489059,3.859848,4.338633,4.052662,3.851215,2.9,3.16
20,33,*,*,3.19276,0.04379,*,*,*,*,2.635215,2.675438,2.2202,2.528152,2.802033,2.531873,1.61641,1.89,1.45
20,35,*,*,*,*,*,*,1.560733,0.167171,1.702147,1.67592,1.461725,1.787417,2.029536,1.714982,0.993933,1.66,2.54
20,37,*,*,*,*,*,*,1.931318,1.021078,1.33302,1.08622,1.151843,1.402272,1.684528,1.325391,0.880085,1.03,1.37
20,39,*,*,*,*,*,*,*,*,1.024775,0.472306,0.517203,0.762379,1.055786,0.68575,0.542253,0.73,0.7
20,41,*,*,*,*,*,*,*,*,0.702261,*,*,*,0.06475,*,*,0.05,*
20,43,*,*,*,*,*,*,*,*,0.479652,*,*,*,*,*,*,*,*
20,45,*,*,*,*,*,*,*,*,0.299652,*,*,*,*,*,*,*,*
20,47,*,*,*,*,*,*,*,*,0.139372,*,*,*,*,*,*,*,*
22,3,*,*,*,*,*,*,*,*,23.768739,24.502794,24.821988,23.103121,23.962032,22.943001,*,*,*
22,5,*,*,*,*,*,*,*,*,27.869777,28.575653,28.7348,27.243623,28.061008,27.455822,*,*,*
22,7,*,*,*,*,*,*,*,*,25.876508,27.328027,27.55573,26.182916,26.165697,26.709364,*,*,*
22,9,*,*,*,*,*,*,*,*,22.244582,22.644523,22.437084,21.697001,22.505258,22.123561,*,*,*
22,11,*,*,*,*,*,*,*,*,21.963321,22.401207,22.724683,22.259412,22.730219,22.948935,*,*,*
22,13,*,*,*,*,*,*,*,*,19.498932,20.380628,20.439546,20.274332,21.073723,21.065979,21.079967,21.23,22.48
22,15,*,*,*,*,*,*,*,*,17.430035,18.198792,17.763988,18.014219,18.332801,18.891489,18.523004,18.57,19.51
22,17,*,*,*,*,*,*,*,*,15.074826,15.893554,15.847465,15.836579,15.725321,16.841014,16.461957,16.17,16.99
22,19,*,*,14.91847,0.16242,*,*,*,*,13.531757,13.792724,14.022707,13.949489,14.012936,14.901375,14.875933,14.58,14.99
22,21,12.27087,0.00879,12.28773,0.00725,*,*,*,*,11.16302,10.983009,10.729897,11.043026,11.523878,11.320763,10.834273,12.3,14.4
22,23,9.5286,0.0012,9.53259,0.0011,*,*,*,*,10.445173,9.851463,9.80453,10.012445,10.446272,10.400202,10.599216,9.74,9.11
22,25,8.88029,0.00029,8.88088,0.00013,*,*,*,*,9.95519,9.013527,9.170441,9.142912,9.567558,9.401882,9.271118,9.27,6.91
22,27,8.14239,3e-05,8.1424,3e-05,*,*,*,*,8.884646,7.983276,7.957093,7.97889,8.402298,8.243126,8.316706,7.59,7.22
22,29,6.37249,0.00049,6.37249,0.00049,*,*,*,*,6.746491,6.853786,5.890345,6.519249,7.018719,6.584454,6.509682,5.73,6.32
22,31,5.43532,0.1003,5.43256,0.1003,*,*,*,*,5.662029,5.517665,4.843231,5.109584,5.585587,5.247902,5.095863,4.39,5.01
22,33,4.14725,0.1967,4.11742,0.18142,*,*,4.159318,0.033121,3.802845,4.003713,3.568999,3.781354,3.962805,3.710393,2.827857,3.14,3.63
22,35,2.67844,0.49579,2.6669,0.28364,*,*,*,*,2.959843,3.065027,2.823992,3.09995,3.285933,3.05062,2.397734,3.01,2.35
22,37,*,*,*,*,*,*,*,*,2.599966,2.460891,2.52069,2.708908,2.909438,2.673499,2.354251,2.41,2.32
22,39,*,*,*,*,*,*,*,*,2.279066,1.726139,1.900389,2.056128,2.27327,1.990653,1.959468,1.92,1.4
22,41,*,*,*,*,*,*,*,*,1.895776,1.012696,0.737588,1.121102,1.32905,0.944949,0.718196,1.15,0.57
22,43,*,*,*,*,*,*,*,*,1.637596,0.467947,0.213653,0.596847,0.724308,0.751807,0.855079,0.81,0.65
22,45,*,*,*,*,*,*,*,*,1.664464,0.269393,0.082388,0.552488,0.860405,0.559687,0.452666,0.45,*
22,47,*,*,*,*,*,*,*,*,1.148309,*,*,0.049155,0.299393,0.071208,*,0.29,0.02
22,49,*,*,*,*,*,*,*,*,0.754115,*,*,*,*,*,*,0.01,*
22,51,*,*,*,*,*,*,*,*,0.028527,*,*,*,*,*,*,*,*
24,3,*,*,*,*,*,*,*,*,23.738397,24.626279,24.960805,23.453277,24.259928,23.52834,*,*,*
24,5,*,*,*,*,*,*,*,*,27.903186,28.620717,28.826683,27.275528,28.133651,27.581619,*,*,*
24,7,*,*,*,*,*,*,*,*,26.021447,27.437757,27.649764,26.317184,26.305012,26.878286,*,*,*
24,9,*,*,*,*,*,*,*,*,23.635044,23.830949,23.958709,22.817749,23.441266,22.679412,*,*,*
24,11,*,*,*,*,*,*,*,*,23.502946,23.987627,24.345499,23.540067,24.138834,24.173484,*,*,*
24,13,*,*,*,*,*,*,*,*,21.068676,21.743938,21.788312,21.527052,22.20079,22.248391,22.326829,*,*
24,15,*,*,*,*,*,*,*,*,19.004987,19.719421,19.526953,19.570986,19.8824,20.667536,20.514953,20.18,21.21
24,17,*,*,*,*,*,*,*,*,16.663773,17.651085,17.298686,17.384443,17.73118,18.267043,17.93295,18.34,18.93
24,19,*,*,*,*,*,*,*,*,15.461951,15.840122,16.045333,15.921317,16.06331,16.982644,16.757369,16.51,16.43
24,21,*,*,*,*,*,*,*,*,12.819435,12.717262,12.581553,12.932523,13.419827,13.361216,13.134479,14.19,14.12
24,23,13.15596,0.02443,13.16233,0.01294,*,*,*,*,13.055539,12.331052,12.655565,12.577189,12.74474,13.244086,12.934941,12.84,12.06
24,25,10.58262,0.00763,10.58236,0.00763,*,*,*,*,11.238852,10.682146,10.640513,10.75681,11.27041,11.062804,10.94289,10.34,9.25
24,27,9.26062,0.0002,9.26064,0.0002,*,*,*,*,9.792981,9.285881,9.053273,9.236315,9.835545,9.445955,9.489764,9.35,8.43
24,29,7.93912,0.00014,7.93907,0.00014,*,*,*,*,7.934584,8.090907,7.388874,7.801803,8.404766,7.835827,7.667108,7.3,7.82
24,31,6.24626,0.00019,6.24626,0.00019,*,*,*,*,6.882816,6.879603,6.07565,6.403858,6.857981,6.503808,6.366169,5.78,6.1
24,33,5.31421,0.00263,5.31102,0.00123,*,*,*,*,5.006308,5.377982,4.942201,5.103175,5.222205,5.240321,4.744667,4.97,5.36
24,35,4.12808,0.31761,4.16528,0.21637,*,*,*,*,4.3644,4.430428,4.094566,4.438453,4.556416,4.296772,3.809716,4.13,4.04
24,37,3.74809,0.33221,3.87697,0.21851,*,*,*,*,4.435957,3.79462,3.922355,4.023703,4.188722,3.942052,3.570785,3.56,3.57
24,39,*,*,3.18383,0.38749,*,*,*,*,3.879561,3.066347,3.280676,3.376017,3.532433,3.296845,3.122056,3.33,3.11
