Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
6,18,*,*,*,*,*,*,*,*,*,*,*,*,-2.291792,-2.580687,-2.897517,-1.797429,-1.717957,-2.499606,-3.448801,*,*
6,20,*,*,*,*,*,*,*,*,*,*,*,*,-3.571883,-4.422568,-4.983231,-3.394676,-2.866624,-3.107407,-3.769255,*,*
6,22,*,*,*,*,*,*,*,*,*,*,*,*,-3.865317,-5.000871,-5.961559,-4.007498,-3.665245,-3.135653,-3.661896,*,*
6,24,*,*,*,*,*,*,*,*,*,*,*,*,-4.154608,-5.520478,-6.525206,-4.473287,-4.120331,-3.372275,*,*,*
6,26,*,*,*,*,*,*,*,*,*,*,*,*,-4.312173,-5.942773,-6.869654,-5.058253,-4.80451,-4.24817,*,*,*
6,28,*,*,*,*,*,*,*,*,*,*,*,*,-4.352062,-6.380855,-7.402097,-5.94629,-5.677324,-5.876899,*,*,*
6,30,*,*,*,*,*,*,*,*,*,*,*,*,-4.226873,-6.849457,-7.714562,-6.314664,-5.894151,-5.972181,*,*,*
6,32,*,*,*,*,*,*,*,*,*,*,*,*,-4.24469,-6.955946,-7.798308,-6.228358,-5.773251,-5.71516,*,*,*
6,34,*,*,*,*,*,*,*,*,*,*,*,*,-4.922314,-7.076397,-7.824541,-6.238095,-5.853838,-5.684523,*,*,*
6,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.792931,-7.16324,-7.969502,-6.374038,-5.943845,-5.600012,*,*,*
8,4,*,*,*,*,*,*,*,*,*,*,*,*,41.371293,43.702197,44.691761,41.0194,42.951865,42.02807,42.589568,**,**
8,6,40.18323,0.01847,40.04947,0.024,*,*,*,*,*,*,*,*,36.504946,36.668763,37.242439,36.382403,37.147539,38.877804,39.218684,**,**
8,8,28.88699,0.00011,28.88742,3e-05,*,*,*,*,*,*,*,*,24.950001,25.933971,26.509316,26.284223,24.813997,27.725897,27.757788,**,**
8,10,12.18715,0.00062,12.18845,0.0,*,*,*,*,*,*,*,*,15.889822,15.579854,14.894964,14.595311,15.331848,14.417721,14.308825,13.81,12.48
8,12,11.56365,0.00088,11.56365,0.00088,*,*,*,*,*,*,*,*,13.714356,12.364289,11.754238,11.782787,12.08073,11.497062,11.868878,11.14,13.85
8,14,10.65594,0.05693,10.65577,0.05693,*,*,*,*,*,*,*,*,12.025834,10.429765,9.994679,10.10954,10.071636,9.59912,10.28141,8.41,10.02
8,16,6.35639,0.243,6.92527,0.17442,*,*,*,*,*,*,*,*,8.422132,7.141333,6.820408,7.074606,7.003687,6.779263,6.757769,4.59,6.41
8,18,*,*,*,*,*,*,*,*,*,*,*,*,2.07616,2.307809,1.994708,2.546163,2.236906,1.450361,0.441707,1.43,0.45
8,20,*,*,*,*,*,*,*,*,*,*,*,*,0.379705,-0.627048,-0.666744,0.045747,0.287884,-0.340261,-0.882961,-0.59,0.31
8,22,*,*,*,*,*,*,*,*,*,*,*,*,-1.2229,-2.708894,-3.991631,-2.627905,-2.260035,-2.043336,-2.461279,-1.7,-3.35
8,24,*,*,*,*,*,*,*,*,*,*,*,*,-1.781628,-3.506511,-4.80033,-3.25102,-2.900734,-2.708208,-3.238186,-2.71,-1.74
