Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
7,28,*,*,*,*,*,*,*,*,*,*,*,*,29.834026,30.870269,30.730143,28.763788,28.170471,28.730336,**,**,**
7,30,*,*,*,*,*,*,*,*,*,*,*,*,31.258263,32.392422,32.345648,30.359788,29.688692,30.136833,**,**,**
7,32,*,*,*,*,*,*,*,*,*,*,*,*,32.667088,33.797776,34.002773,31.882604,31.107337,31.39716,**,**,**
7,34,*,*,*,*,*,*,*,*,*,*,*,*,33.619813,34.753465,35.178482,32.906434,32.096572,32.310375,**,**,**
7,36,*,*,*,*,*,*,*,*,*,*,*,*,33.786296,35.214368,35.707663,33.344069,32.468596,32.667156,**,**,**
9,2,*,*,*,*,*,*,*,*,*,*,*,*,-6.960576,-7.324634,-7.964077,-6.372807,-6.76748,-5.709541,-6.288284,*,*
9,4,*,*,*,*,*,*,*,*,*,*,*,*,-5.25915,-5.835963,-6.600792,-5.384699,-5.560349,-5.05701,-5.531193,*,*
9,6,*,*,*,*,*,*,*,*,*,*,*,*,-1.80944,-2.291243,-3.087943,-2.60107,-2.226782,-2.665204,-3.118772,*,*
9,8,0.60027,0.00025,0.60027,0.00025,*,*,*,*,*,*,*,*,2.041848,1.762245,1.099176,1.357333,2.025156,1.541761,1.139965,1.19,0.33
9,10,7.99483,0.00062,7.9936,0.0,*,*,*,*,*,*,*,*,5.266591,5.27249,4.807673,5.354537,5.85387,6.101129,5.715763,6.67,7.33
9,12,11.13398,0.0021,11.13275,0.00201,*,*,*,*,*,*,*,*,8.712253,8.613551,8.72723,9.139397,9.490926,10.092339,9.5478,9.97,13.37
9,14,13.24338,0.09781,13.28674,0.06596,*,*,*,*,*,*,*,*,11.232807,11.709156,11.467275,11.784624,12.738376,12.681672,12.038561,13.31,15.2
9,16,15.08667,0.25585,14.45521,0.19101,*,*,*,*,*,*,*,*,13.610562,14.414898,14.199893,14.359815,15.237342,15.092233,14.499354,15.87,17.1
9,18,*,*,16.49973,0.42329,*,*,*,*,*,*,*,*,15.757826,16.778987,16.669533,16.645951,17.33158,17.384283,16.915436,18.24,19.73
9,20,*,*,*,*,*,*,*,*,*,*,*,*,17.782053,19.045586,19.082707,18.845636,19.289794,19.394209,19.180232,20.99,20.6
9,22,*,*,*,*,*,*,*,*,*,*,*,*,20.171634,20.945662,21.057355,20.624891,20.900498,20.80806,20.774347,23.56,23.9
9,24,*,*,*,*,*,*,*,*,*,*,*,*,22.562184,23.428998,23.910024,22.934719,22.973713,22.59063,22.809653,24.59,23.45
9,26,*,*,*,*,*,*,*,*,*,*,*,*,24.148142,25.015604,25.736081,24.408301,24.378505,23.748319,24.176649,27.5,23.49
9,28,*,*,*,*,*,*,*,*,*,*,*,*,25.077584,26.107964,26.797067,25.3738,25.256536,24.669271,**,28.98,**
9,30,*,*,*,*,*,*,*,*,*,*,*,*,25.724037,27.012286,27.533411,26.097502,26.041768,25.573692,**,30.44,**
9,32,*,*,*,*,*,*,*,*,*,*,*,*,26.497228,28.180839,28.500592,27.124937,27.121232,26.504785,**,31.48,**
9,34,*,*,*,*,*,*,*,*,*,*,*,*,27.267702,29.115704,29.407697,28.200092,28.204372,27.606212,**,32.83,**
9,36,*,*,*,*,*,*,*,*,*,*,*,*,27.476824,29.508572,29.686341,28.502732,28.556997,27.795247,**,**,**
9,38,*,*,*,*,*,*,*,*,*,*,*,*,27.754438,29.689797,30.015785,28.77174,28.927593,27.969857,**,**,**
9,40,*,*,*,*,*,*,*,*,*,*,*,*,28.425227,29.938812,30.340013,29.083918,29.254039,28.169385,**,**,**
11,2,*,*,*,*,*,*,*,*,*,*,*,*,-7.168782,-7.730889,-8.358631,-7.249102,-7.28104,-6.807163,-7.252133,*,*
11,4,*,*,*,*,*,*,*,*,*,*,*,*,-5.62761,-6.371902,-6.844089,-5.681908,-6.104696,-5.518615,-6.042956,*,*
11,6,*,*,*,*,*,*,*,*,*,*,*,*,-3.022094,-3.712199,-4.300606,-3.452331,-3.695724,-3.471438,-3.911644,*,*
11,8,*,*,*,*,*,*,*,*,*,*,*,*,0.540736,-0.093193,-0.689378,-0.214392,-0.258795,-0.238992,-0.468511,-1.09,2.23
11,10,2.4312,0.0007,2.43167,0.0001,*,*,*,*,*,*,*,*,4.090411,3.140496,3.262132,3.50531,3.268131,3.525861,3.200608,2.14,0.74
11,12,8.79411,2e-05,8.7941,2e-05,*,*,*,*,*,*,*,*,7.166708,6.805772,6.675067,6.807337,6.871133,7.229812,6.809161,7.88,7.98
11,14,10.69527,0.00126,10.69514,0.0013,*,*,*,*,*,*,*,*,9.703548,9.464445,9.471448,9.677291,9.97224,10.436061,10.009317,9.33,9.64
11,16,13.23602,0.027,13.28787,0.0188,*,*,*,*,*,*,*,*,12.033517,12.126295,12.050755,12.169715,12.57963,12.86579,12.456221,12.04,12.41
11,18,15.86857,0.14726,15.90871,0.12628,*,*,*,*,*,*,*,*,14.288259,14.619451,14.588376,14.613838,14.971732,15.45458,15.183484,15.23,15.31
11,20,17.73623,0.6086,18.32306,0.25364,*,*,*,*,*,*,*,*,16.470989,16.977885,17.023598,16.874692,17.175634,17.747087,17.63508,17.42,16.58
11,22,*,*,*,*,*,*,*,*,*,*,*,*,18.677251,19.244229,19.231733,18.987604,19.242953,19.72517,19.508326,18.98,19.94
11,24,*,*,*,*,*,*,*,*,*,*,*,*,20.546092,21.1877,21.375336,20.941211,21.09335,21.606855,21.486809,21.28,22.74
11,26,*,*,*,*,*,*,*,*,*,*,*,*,22.320534,23.038247,23.292495,22.703155,22.78096,23.26725,23.219283,23.52,24.84
