Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
7,33,*,*,*,*,*,*,*,*,*,*,*,*,33.072422,34.153391,34.506653,32.292471,31.512105,31.772339,**,**,**
7,35,*,*,*,*,*,*,*,*,*,*,*,*,33.708581,34.921534,35.455756,33.084719,32.238935,32.458277,**,**,**
9,3,*,*,*,*,*,*,*,*,*,*,*,*,-6.039698,-6.504264,-7.220822,-5.811758,-6.103928,-5.33151,-5.837376,*,*
9,5,*,*,*,*,*,*,*,*,*,*,*,*,-3.457102,-3.968433,-4.777182,-3.949331,-3.81754,-3.813975,-4.260426,*,*
9,7,*,*,*,*,*,*,*,*,*,*,*,*,0.173643,-0.179661,-0.941621,-0.599159,-0.040426,-0.540579,-0.966166,*,*
9,9,5.60646,0.00052,5.60709,0.00046,*,*,*,*,*,*,*,*,3.702545,3.59501,2.993647,3.369114,3.985905,3.824479,3.422762,4.28,6.19
9,11,10.64125,0.00283,10.63929,0.00264,*,*,*,*,*,*,*,*,7.061156,7.025619,6.807618,7.258266,7.71594,8.104232,7.630631,9.23,13.35
9,13,12.5585,0.01727,12.55763,0.01726,*,*,*,*,*,*,*,*,10.028851,10.216483,10.133036,10.472918,11.126321,11.38641,10.790661,12.44,14.56
9,15,14.3424,0.14169,14.36582,0.15606,*,*,*,*,*,*,*,*,12.464144,13.093044,12.875971,13.093672,13.989917,13.904945,13.295366,15.44,16.68
9,17,*,*,15.96912,0.19904,*,*,*,*,*,*,*,*,14.705543,15.627129,15.477671,15.521541,16.286322,16.240565,15.718046,17.89,19.38
9,19,*,*,*,*,*,*,*,*,*,*,*,*,16.774211,17.925539,17.884085,17.705192,18.279938,18.293988,17.951148,20.4,22.0
9,21,*,*,*,*,*,*,*,*,*,*,*,*,18.980603,19.960366,20.023147,19.626393,20.028315,19.958436,19.822427,23.21,22.73
9,23,*,*,*,*,*,*,*,*,*,*,*,*,21.370976,22.1267,22.409352,21.66154,21.860356,21.57498,21.656274,24.07,23.21
9,25,*,*,*,*,*,*,*,*,*,*,*,*,23.375453,24.174573,24.779875,23.598906,23.619928,23.089225,23.415712,27.51,21.2
9,27,*,*,*,*,*,*,*,*,*,*,*,*,24.649101,25.534833,26.286614,24.865043,24.792764,24.180114,**,26.84,**
9,29,*,*,*,*,*,*,*,*,*,*,*,*,25.436463,26.534767,27.210706,25.731539,25.634055,25.108122,**,30.77,**
9,31,*,*,*,*,*,*,*,*,*,*,*,*,26.133779,27.561508,28.038924,26.591233,26.546919,26.002259,**,33.03,**
9,33,*,*,*,*,*,*,*,*,*,*,*,*,26.877738,28.596601,28.93755,27.594427,27.598981,26.97405,**,31.27,**
9,35,*,*,*,*,*,*,*,*,*,*,*,*,27.351724,29.274029,29.532557,28.312635,28.350575,27.672393,**,**,**
9,37,*,*,*,*,*,*,*,*,*,*,*,*,27.575658,29.581527,29.818023,28.635351,28.747776,27.909864,**,**,**
9,39,*,*,*,*,*,*,*,*,*,*,*,*,28.014123,29.784458,30.103395,28.897525,29.077916,28.06623,**,**,**
11,3,*,*,*,*,*,*,*,*,*,*,*,*,-6.340053,-6.969555,-7.525853,-6.466829,-6.634465,-6.153471,-6.636234,*,*
11,5,*,*,*,*,*,*,*,*,*,*,*,*,-4.250114,-4.949896,-5.502561,-4.545325,-4.833017,-4.465183,-4.938103,*,*
11,7,*,*,*,*,*,*,*,*,*,*,*,*,-1.177249,-1.831481,-2.427195,-1.790086,-1.928453,-1.820406,-2.149763,*,*
11,9,2.19269,0.00667,2.19042,0.00113,*,*,*,*,*,*,*,*,2.361613,1.590195,1.336949,1.682583,1.541461,1.672277,1.397948,1.53,5.31
11,11,6.73963,0.00042,6.73871,0.00018,*,*,*,*,*,*,*,*,5.681149,5.039661,5.014096,5.184223,5.099421,5.397255,5.034372,5.97,5.83
11,13,10.55304,0.00013,10.55282,0.00011,*,*,*,*,*,*,*,*,8.467368,8.172573,8.11984,8.261394,8.436203,8.819371,8.413058,9.73,10.01
11,15,12.04321,0.0263,12.11425,0.02926,*,*,*,*,*,*,*,*,10.907867,10.839205,10.808725,10.941671,11.300323,11.653592,11.259579,11.47,11.38
11,17,15.34817,0.11115,15.32819,0.09135,*,*,*,*,*,*,*,*,13.206035,13.4236,13.346953,13.389882,13.792764,14.164347,13.830443,14.57,14.26
11,19,16.98576,0.26985,17.2141,0.14958,*,*,*,*,*,*,*,*,15.411172,15.828574,15.820786,15.731689,16.07944,16.576966,16.371213,17.14,16.56
11,21,*,*,19.83041,0.26879,*,*,*,*,*,*,*,*,17.605245,18.129262,18.14178,17.923422,18.20208,18.710479,18.545982,18.91,19.46
11,23,*,*,*,*,*,*,*,*,*,*,*,*,19.635292,20.223483,20.306501,19.939989,20.140422,20.630293,20.47348,21.01,22.04
11,25,*,*,*,*,*,*,*,*,*,*,*,*,21.440394,22.109826,22.32384,21.787487,21.912029,22.392081,22.310481,22.9,24.57
11,27,*,*,*,*,*,*,*,*,*,*,*,*,23.052114,23.794596,24.087817,23.36263,23.431093,23.8175,23.803584,24.85,25.63
11,29,*,*,*,*,*,*,*,*,*,*,*,*,24.376261,25.261058,25.56273,24.710763,24.789475,24.904868,25.047175,27.18,27.32
11,31,*,*,*,*,*,*,*,*,*,*,*,*,25.448582,26.524272,26.724383,25.828643,25.940592,25.856519,26.178019,27.3,27.5
11,33,*,*,*,*,*,*,*,*,*,*,*,*,26.283326,27.557574,27.622585,26.732403,26.88204,26.750823,27.050363,27.71,**
11,35,*,*,*,*,*,*,*,*,*,*,*,*,26.885337,28.326544,28.323033,27.454067,27.682679,27.348686,27.502269,28.74,**
11,37,*,*,*,*,*,*,*,*,*,*,*,*,27.644286,28.895359,28.984754,28.043861,28.305565,27.744476,27.706756,31.42,**
11,39,*,*,*,*,*,*,*,*,*,*,*,*,28.574497,29.528932,29.739985,28.623794,28.848104,28.309945,**,31.32,**
11,41,*,*,*,*,*,*,*,*,*,*,*,*,28.617462,30.298066,30.506782,29.14143,29.27126,28.845482,**,31.68,**
11,43,*,*,*,*,*,*,*,*,*,*,*,*,29.316799,30.952924,31.248496,29.606267,29.568355,29.186247,**,**,**
11,45,*,*,*,*,*,*,*,*,*,*,*,*,30.661636,31.333623,31.789992,29.884974,29.775202,29.403681,**,**,**
11,47,*,*,*,*,*,*,*,*,*,*,*,*,31.107157,31.534385,32.009871,30.023969,29.938147,29.511916,**,**,**
11,49,*,*,*,*,*,*,*,*,*,*,*,*,31.41882,31.643148,32.103872,30.156347,30.077258,29.637896,**,**,**
11,51,*,*,*,*,*,*,*,*,*,*,*,*,31.708672,31.741929,32.339802,30.336258,30.265223,29.84662,**,**,**
13,3,*,*,*,*,*,*,*,*,*,*,*,*,-6.620231,-7.299645,-7.931337,-6.700411,-6.915466,-6.38091,*,*,*
13,5,*,*,*,*,*,*,*,*,*,*,*,*,-4.759973,-5.677204,-6.17068,-5.14204,-5.56074,-5.072834,-5.49901,*,*
13,7,*,*,*,*,*,*,*,*,*,*,*,*,-2.169172,-3.051424,-3.459519,-2.764312,-3.150543,-2.842262,-3.109528,*,*
13,9,*,*,*,*,*,*,*,*,*,*,*,*,0.419939,-0.092495,-0.757106,-0.337304,-0.273542,-0.487945,-0.646798,-0.3,-1.47
13,11,1.87215,0.00307,1.86432,0.00028,*,*,*,*,*,*,*,*,2.824521,2.698772,1.859138,2.209464,2.748554,2.104041,1.957535,1.96,1.43
13,13,6.30645,5e-05,6.30634,6e-05,*,*,*,*,*,*,*,*,5.776605,5.561942,5.006767,5.350585,5.785812,5.456954,5.328843,6.06,6.73
13,15,9.55276,0.00014,9.553,9e-05,*,*,*,*,*,*,*,*,8.706706,8.382822,8.1363,8.442977,8.631916,8.841996,8.674517,9.93,9.07
13,17,12.54236,0.01981,12.55099,0.01176,*,*,*,*,*,*,*,*,11.047981,11.363772,10.693369,10.964254,11.159238,11.579381,11.394557,11.25,11.68
13,19,15.13356,0.0868,15.26619,0.0078,*,*,*,*,*,*,*,*,13.2551,13.75337,13.119926,13.288595,13.503025,14.0675,13.964619,13.99,15.22
13,21,15.11553,0.11472,15.25156,0.00422,*,*,*,*,*,*,*,*,14.93995,15.429809,15.426262,15.405929,15.685503,16.137225,16.078784,15.99,16.35
13,23,*,*,16.97837,0.30834,*,*,*,*,*,*,*,*,16.314218,17.14851,17.16147,17.059407,17.416305,17.743444,17.68404,17.66,18.96
13,25,*,*,19.29059,0.79294,*,*,*,*,*,*,*,*,18.010375,18.741163,18.712288,18.59324,18.938087,19.320009,19.293655,19.67,21.09
13,27,*,*,*,*,*,*,*,*,*,*,*,*,19.984065,20.692032,20.659778,20.463567,20.782904,21.14454,21.193912,22.01,22.71
13,29,*,*,*,*,*,*,*,*,*,*,*,*,21.94381,22.613687,22.675933,22.298714,22.530044,22.929685,23.001438,23.38,25.56
13,31,*,*,*,*,*,*,*,*,*,*,*,*,23.456507,24.19446,24.23244,23.757597,23.995934,24.279347,24.385917,25.0,26.25
13,33,*,*,*,*,*,*,*,*,*,*,*,*,24.482015,25.446688,25.305812,24.843824,25.155222,25.251245,25.323212,26.62,27.18
13,35,*,*,*,*,*,*,*,*,*,*,*,*,25.337738,26.496793,26.352818,25.767391,26.02917,25.979819,25.88367,27.78,**
13,37,*,*,*,*,*,*,*,*,*,*,*,*,25.982504,27.474118,27.487617,26.714988,26.897544,26.585056,26.447077,27.9,**
13,39,*,*,*,*,*,*,*,*,*,*,*,*,26.367886,28.231477,28.522372,27.526527,27.641296,26.984807,**,29.09,**
13,41,*,*,*,*,*,*,*,*,*,*,*,*,27.697417,28.742491,29.212984,28.087872,28.158453,27.343149,**,31.06,**
13,43,*,*,*,*,*,*,*,*,*,*,*,*,28.397701,29.300912,29.620075,28.455145,28.484464,27.792441,**,30.54,**
13,45,*,*,*,*,*,*,*,*,*,*,*,*,28.223681,29.945448,30.13402,28.896062,28.721215,28.210229,**,32.22,**
13,47,*,*,*,*,*,*,*,*,*,*,*,*,29.032538,30.575156,30.81127,29.364971,28.954859,28.611008,**,33.47,**
13,49,*,*,*,*,*,*,*,*,*,*,*,*,30.041942,31.261562,31.527021,29.859171,29.292675,28.993384,**,**,**
13,51,*,*,*,*,*,*,*,*,*,*,*,*,30.871441,32.043511,32.263354,30.507058,29.827707,29.478565,**,**,**
15,3,*,*,*,*,*,*,*,*,*,*,*,*,-7.268831,-7.772297,-8.421917,-7.147562,-7.212424,-6.745476,*,*,*
15,5,*,*,*,*,*,*,*,*,*,*,*,*,-6.079919,-6.93431,-7.365225,-6.202906,-6.578185,-6.081362,*,*,*
15,7,*,*,*,*,*,*,*,*,*,*,*,*,-4.011668,-4.840297,-5.186178,-4.326441,-4.811526,-4.456581,-4.893274,*,*
