Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
10,5,*,*,*,*,*,*,*,*,*,*,-2.307846,-3.162051,-4.245735,-3.769854,-2.812852,-3.656636,-3.871299,*,*
10,7,0.97264,0.02696,0.9331,0.00061,*,*,*,*,*,*,4.95744,4.463769,3.594654,3.336902,4.881718,3.361211,3.253501,*,*
10,9,12.01769,0.00031,12.01713,0.00016,*,*,*,*,*,*,11.848611,11.819345,11.352028,11.331476,12.743469,12.225733,12.154177,12.22,10.72
10,11,23.64459,0.00283,23.64257,0.00264,*,*,*,*,*,*,18.39522,18.439902,18.834716,19.070074,19.943058,20.770003,20.555405,22.01,24.98
10,13,27.79489,0.01202,27.79402,0.012,*,*,*,*,*,*,24.14944,24.580358,25.290685,25.359685,26.527872,27.171384,26.704329,27.54,27.43
10,15,31.29898,0.12454,31.23481,0.12513,*,*,*,*,*,*,28.837185,30.173609,30.557425,30.419036,32.09375,32.020057,31.494741,33.46,31.44
10,17,*,*,34.85606,0.18839,*,*,*,*,*,*,33.232574,35.151523,35.641064,35.181509,36.550286,36.592667,36.191072,38.47,36.7
10,19,*,*,*,*,*,*,*,*,*,*,37.328681,39.680832,40.37427,39.501181,40.414796,40.657784,40.579947,43.21,41.66
10,21,*,*,*,*,*,*,*,*,*,*,41.71886,43.673882,44.579083,43.294015,43.816577,43.942888,44.292732,48.41,43.78
10,23,*,*,*,*,*,*,*,*,*,*,46.483545,47.939917,49.338443,47.331723,47.437149,47.122684,47.918046,51.46,46.48
10,25,*,*,*,*,*,*,*,*,*,*,50.437151,51.989889,54.064282,51.175935,50.925934,50.102586,51.367696,56.99,45.23
10,27,*,*,*,*,*,*,*,*,*,*,52.913863,54.650698,57.007854,53.658018,53.205495,52.235548,*,58.95,*
10,29,*,*,*,*,*,*,*,*,*,*,54.430348,56.58327,58.768059,55.329406,54.808603,54.047526,*,62.21,*
10,31,*,*,*,*,*,*,*,*,*,*,55.780022,58.570784,60.338532,56.98112,56.5529,55.780001,*,65.82,*
10,33,*,*,*,*,*,*,*,*,*,*,57.233347,60.587559,62.075792,58.918921,58.592611,57.658214,*,66.7,*
10,35,*,*,*,*,*,*,*,*,*,*,58.15616,61.898748,63.217839,60.300948,60.041296,59.005645,*,*,*
10,37,*,*,*,*,*,*,*,*,*,*,58.576759,62.478266,63.743458,60.903006,60.787595,59.445255,*,*,*
10,39,*,*,*,*,*,*,*,*,*,*,59.42652,62.85624,64.282355,61.393636,61.417626,59.728186,*,*,*
12,3,*,*,*,*,*,*,*,*,*,*,-9.375522,-10.823556,-11.677617,-10.616849,-10.095136,-10.098259,-10.548157,*,*
12,5,*,*,*,*,*,*,*,*,*,*,-4.576142,-5.951306,-6.806689,-5.955694,-5.630813,-5.945174,-6.250637,*,*
12,7,*,*,*,*,*,*,*,*,*,*,1.671153,0.508281,-0.330442,0.064959,0.507723,-0.115056,-0.093496,*,*
12,9,5.41888,0.01642,5.42614,0.00077,*,*,*,*,*,*,8.573249,7.198866,7.173306,7.166433,7.364075,7.113195,7.233331,5.52,8.85
12,11,14.31993,0.00129,14.31968,0.00016,*,*,*,*,*,*,15.016741,13.833789,14.416206,14.1637,14.241382,14.583703,14.504245,14.26,11.97
12,13,22.61672,0.00011,22.61668,0.00011,*,*,*,*,*,*,20.326457,19.825737,20.419317,20.178879,20.702607,21.242536,21.041855,21.94,21.49
12,15,27.05652,0.02564,27.12905,0.02905,*,*,*,*,*,*,24.945155,24.969335,25.525399,25.351357,26.274232,26.691586,26.471736,25.92,25.64
12,17,32.26692,0.11126,32.23168,0.09148,*,*,*,*,*,*,29.404543,30.008622,30.461542,30.160858,31.095322,31.621964,31.480091,31.46,30.53
12,19,35.8532,0.26894,36.09989,0.14954,*,*,*,*,*,*,33.713238,34.711376,35.306359,34.791273,35.515003,36.391566,36.495009,36.26,34.87
12,21,*,*,40.79723,0.26621,*,*,*,*,*,*,38.063116,39.20184,39.83683,39.115905,39.649753,40.593115,40.807551,39.91,40.49
12,23,*,*,*,*,*,*,*,*,*,*,42.12549,43.305704,44.169276,43.12659,43.475589,44.385253,44.627805,43.97,43.92
12,25,*,*,*,*,*,*,*,*,*,*,45.667761,47.026026,48.2278,46.801689,46.980428,47.866077,48.236531,47.93,48.32
12,27,*,*,*,*,*,*,*,*,*,*,48.774336,50.313951,51.686034,49.891058,49.924307,50.649946,51.124424,51.73,51.29
12,29,*,*,*,*,*,*,*,*,*,*,51.267808,53.142266,54.489836,52.487753,52.505308,52.720358,53.500552,55.66,53.78
12,31,*,*,*,*,*,*,*,*,*,*,53.299197,55.575246,56.697975,54.637951,54.689132,54.538153,55.68906,57.53,55.75
12,33,*,*,*,*,*,*,*,*,*,*,54.927118,57.577719,58.461977,56.383794,56.491029,56.278001,57.380475,59.13,*
12,35,*,*,*,*,*,*,*,*,*,*,56.106966,59.057082,59.821873,57.766029,58.01733,57.42155,58.219695,60.13,*
12,37,*,*,*,*,*,*,*,*,*,*,57.609241,60.14704,61.094628,58.896909,59.199095,58.16686,58.581307,64.38,*
12,39,*,*,*,*,*,*,*,*,*,*,59.470358,61.370247,62.560046,60.013532,60.238634,59.250937,*,66.65,*
12,41,*,*,*,*,*,*,*,*,*,*,59.501652,62.880318,64.052941,61.014612,61.061273,60.281001,*,67.86,*
12,43,*,*,*,*,*,*,*,*,*,*,60.900386,64.180059,65.516041,61.924802,61.639312,60.934038,*,*,*
12,45,*,*,*,*,*,*,*,*,*,*,63.644622,64.930337,66.580333,62.467445,62.030863,61.349666,*,*,*
12,47,*,*,*,*,*,*,*,*,*,*,64.518894,65.317039,66.999296,62.736888,62.331686,61.561669,*,*,*
12,49,*,*,*,*,*,*,*,*,*,*,65.119467,65.52714,67.169265,63.007589,62.597121,61.815926,*,*,*
12,51,*,*,*,*,*,*,*,*,*,*,65.674407,65.702055,67.619699,63.369531,62.966705,62.240322,*,*,*
14,3,*,*,*,*,*,*,*,*,*,*,-10.190475,-11.868324,-12.756691,-11.313732,-11.095381,-10.835733,*,*,*
14,5,*,*,*,*,*,*,*,*,*,*,-5.758545,-7.60426,-8.268684,-7.250378,-7.37298,-7.284389,-7.504634,*,*
14,7,*,*,*,*,*,*,*,*,*,*,-0.455911,-2.064737,-2.516022,-1.999594,-2.207786,-2.261096,-2.118635,*,*
14,9,*,*,*,*,*,*,*,*,*,*,4.665321,3.765596,2.930292,3.046415,3.522339,2.669909,3.0333,1.57,-0.23
14,11,5.27986,0.01008,5.2771,0.01,*,*,*,*,*,*,9.342313,9.139545,8.081015,8.167801,9.435347,7.877312,8.261306,6.66,4.21
14,13,13.76942,0.00015,13.76966,0.00012,*,*,*,*,*,*,15.046802,14.671504,14.218229,14.348219,15.393285,14.487804,14.866173,13.88,13.16
14,15,21.88634,5e-05,21.88641,5e-05,*,*,*,*,*,*,20.730266,20.18095,20.323694,20.397816,20.968138,21.133443,21.382929,20.58,20.63
14,17,26.90791,0.01397,26.92415,0.0114,*,*,*,*,*,*,25.316246,25.010695,25.343392,25.391039,25.88399,26.550884,26.736048,25.71,24.64
14,19,31.85322,0.0199,31.97012,0.00315,*,*,*,*,*,*,29.654191,29.692883,30.119104,30.011726,30.463212,31.497711,31.833442,30.1,30.45
14,21,33.83232,0.04311,33.9317,0.03597,*,*,*,*,*,*,32.997344,33.971167,34.642561,34.199822,34.755798,35.574058,36.012689,34.21,33.35
14,23,*,*,36.78924,0.2927,*,*,*,*,*,*,35.703001,37.303728,38.027601,37.437135,38.142772,38.679809,39.124793,37.05,37.35
14,25,*,*,40.46906,0.71197,*,*,*,*,*,*,38.992655,40.392006,41.03353,40.422638,41.096095,41.720721,42.217936,41.23,40.58
14,27,*,*,*,*,*,*,*,*,*,*,42.914485,44.24781,44.926701,44.15616,44.72628,45.378164,45.980115,45.17,44.92
14,29,*,*,*,*,*,*,*,*,*,*,46.737724,48.026381,48.916346,47.790372,48.123461,48.915842,49.539403,48.65,50.3
14,31,*,*,*,*,*,*,*,*,*,*,49.617887,51.080756,51.925705,50.618788,50.932291,51.511684,52.223378,51.53,51.85
14,33,*,*,*,*,*,*,*,*,*,*,51.620092,53.511573,54.035694,52.726806,53.172044,53.401218,54.039648,54.56,53.34
14,35,*,*,*,*,*,*,*,*,*,*,53.29072,55.546406,56.076159,54.507822,54.844285,54.798485,55.091032,56.78,*
14,37,*,*,*,*,*,*,*,*,*,*,54.545458,57.446069,58.283585,56.346754,56.51502,55.951261,56.160367,59.34,*
14,39,*,*,*,*,*,*,*,*,*,*,55.206422,58.908766,60.296972,57.918606,57.956319,56.693756,*,60.7,*
14,41,*,*,*,*,*,*,*,*,*,*,57.655113,59.846926,61.632488,59.003715,58.959133,57.324202,*,63.58,*
14,43,*,*,*,*,*,*,*,*,*,*,58.976061,60.875388,62.326328,59.67192,59.580137,58.141065,*,64.55,*
14,45,*,*,*,*,*,*,*,*,*,*,58.907682,62.117574,63.228196,60.482678,60.021741,58.998676,*,67.71,*
14,47,*,*,*,*,*,*,*,*,*,*,60.753544,63.44072,64.546451,61.453125,60.465554,59.847392,*,69.97,*
14,49,*,*,*,*,*,*,*,*,*,*,62.724547,64.884186,66.056253,62.494607,61.145028,60.606815,*,*,*
14,51,*,*,*,*,*,*,*,*,*,*,64.31669,66.413436,67.610603,63.785515,62.22196,61.57321,*,*,*
16,3,*,*,*,*,*,*,*,*,*,*,-11.700637,-13.087445,-13.937934,-12.28141,-11.934597,-11.637262,*,*,*
16,5,*,*,*,*,*,*,*,*,*,*,-8.501225,-10.368395,-10.872248,-9.482622,-9.703185,-9.453823,*,*,*
16,7,*,*,*,*,*,*,*,*,*,*,-4.114433,-5.772151,-6.045835,-5.167884,-5.757337,-5.56172,-5.770058,*,*
16,9,*,*,*,*,*,*,*,*,*,*,0.263292,-0.780082,-1.017662,-0.645605,-1.21121,-1.318734,-1.488059,-4.85,-6.05
16,11,*,*,*,*,*,*,*,*,*,*,4.482881,4.187927,3.760117,3.809981,3.517206,3.00838,2.864095,0.33,-2.19
16,13,5.35322,0.05,5.34985,0.05,*,*,*,*,*,*,8.83195,9.060736,8.545648,8.561411,8.434095,8.10991,7.924138,5.64,3.5
16,15,11.72754,0.00151,11.72539,0.00023,*,*,*,*,*,*,13.178891,13.643948,13.130015,13.462869,13.317124,13.6059,13.245801,12.89,11.02
16,17,18.21493,0.00014,18.21476,4e-05,*,*,*,*,*,*,17.376532,18.14368,17.478363,18.083524,17.989062,18.822947,18.382448,18.51,17.64
16,19,22.93163,0.01579,22.90982,0.0007,*,*,*,*,*,*,21.513965,22.653233,22.005241,22.550242,22.401895,23.732034,23.300562,22.89,22.2
16,21,27.11399,0.03841,27.0829,0.03586,*,*,*,*,*,*,25.369597,26.900931,26.365112,26.800425,26.600676,28.258065,27.774807,26.92,26.17
16,23,31.16019,0.17591,31.1691,0.12431,*,*,*,*,*,*,28.742048,30.592331,30.322037,30.570014,30.377076,32.277921,32.036868,30.94,29.99
16,25,35.52525,0.35811,35.90687,0.13559,*,*,*,*,*,*,32.174706,34.061596,34.224099,34.155136,33.965004,36.027301,36.146468,34.6,34.69
16,27,40.10573,1.85538,38.89307,0.55473,*,*,*,*,*,*,35.510748,37.504639,37.808395,37.555059,37.403369,39.256547,39.528913,37.21,37.7
16,29,*,*,*,*,*,*,*,*,*,*,38.516205,40.85522,41.009937,40.619098,40.746712,42.17413,42.562186,40.85,39.95
16,31,*,*,*,*,*,*,*,*,*,*,41.273214,43.979173,43.957186,43.550255,43.710982,45.083163,45.283116,44.38,42.82
16,33,*,*,*,*,*,*,*,*,*,*,43.42259,46.563852,46.457472,45.899557,45.756062,47.244442,47.17154,47.65,45.21
16,35,*,*,*,*,*,*,*,*,*,*,45.533841,48.994703,48.98282,48.036396,47.651386,49.144492,49.020019,49.96,45.42
16,37,*,*,*,*,*,*,*,*,*,*,47.85582,51.530781,51.716302,50.457073,49.795565,51.314402,51.285686,52.21,*
16,39,*,*,*,*,*,*,*,*,*,*,50.135262,53.879857,54.324601,52.677458,51.764764,53.163231,*,55.51,*
16,41,*,*,*,*,*,*,*,*,*,*,52.399946,55.68463,56.302841,54.269991,53.155522,54.304279,*,57.13,*
16,43,*,*,*,*,*,*,*,*,*,*,54.539536,57.396454,58.146372,55.748193,54.340804,55.397359,*,59.33,*
16,45,*,*,*,*,*,*,*,*,*,*,56.322025,59.25565,60.217571,57.420408,55.76392,56.691695,*,60.4,*
16,47,*,*,*,*,*,*,*,*,*,*,57.609618,60.770577,62.099279,58.846087,57.137192,57.697061,*,62.92,*
16,49,*,*,*,*,*,*,*,*,*,*,58.6211,61.979734,63.433599,59.920872,58.221844,58.718611,*,64.6,*
16,51,*,*,*,*,*,*,*,*,*,*,59.751668,63.259025,64.442412,60.998359,59.262256,59.8114,*,68.1,*
16,53,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,70.09,*
18,3,*,*,*,*,*,*,*,*,*,*,-13.139091,-13.879375,-14.886679,-13.129577,-12.644302,-12.299781,*,*,*
18,5,*,*,*,*,*,*,*,*,*,*,-12.638529,-13.084485,-13.871525,-12.296511,-11.897452,-11.742687,*,*,*
18,7,*,*,*,*,*,*,*,*,*,*,-10.317273,-10.379722,-10.954293,-9.849833,-9.636024,-9.972913,*,*,*
18,9,*,*,*,*,*,*,*,*,*,*,-6.714707,-6.358132,-6.703146,-6.109132,-6.290852,-6.633012,-7.485421,-9.22,-8.07
18,11,*,*,*,*,*,*,*,*,*,*,-2.872093,-2.014896,-2.243587,-1.978092,-2.488466,-2.478255,-3.143107,-3.83,-4.95
18,13,*,*,*,*,*,*,*,*,*,*,1.19961,3.59038,2.334065,2.370525,1.679033,2.088027,1.55051,1.34,-1.16
18,15,4.91743,0.00157,4.91971,0.00046,*,*,*,*,*,*,5.421197,8.1126,6.929381,6.870712,6.005598,6.923268,6.46872,5.74,2.79
18,17,11.03936,0.00076,11.03937,0.00068,*,*,*,*,*,*,9.984081,11.665181,11.658381,11.542197,10.538803,12.014031,11.590407,11.46,9.83
18,19,16.67924,0.00023,16.6794,0.00021,*,*,*,*,*,*,14.732112,16.38463,16.466182,16.264689,15.203479,17.225502,16.803456,17.65,17.35
18,21,20.92359,0.00501,20.92371,0.005,*,*,*,*,*,*,19.043459,20.779703,20.991484,20.739456,19.642917,22.065901,21.718681,21.71,20.06
18,23,24.48316,0.05,24.48278,0.05,*,*,*,*,*,*,22.895641,24.793772,24.880891,24.739734,23.849422,26.025223,25.707374,25.51,23.77
18,25,27.56864,0.11839,27.57917,0.00671,*,*,*,*,*,*,26.431246,28.469014,28.404625,28.324148,27.685622,29.606002,29.383268,28.63,26.51
18,27,32.38329,0.20195,32.15328,0.005,*,*,*,*,*,*,29.910365,31.902991,32.168726,31.83832,31.226013,33.365176,33.464456,32.34,31.03
18,29,37.23311,1.74525,35.95469,1.03536,*,*,*,*,*,*,33.157389,35.278629,35.658196,35.350812,34.590121,36.965879,37.371335,35.6,34.93
18,31,*,*,*,*,*,*,*,*,*,*,35.731744,38.285407,38.67675,38.208818,37.318396,39.949878,40.291852,38.25,37.68
18,33,*,*,*,*,*,*,*,*,*,*,37.956659,40.877088,41.432896,40.437566,39.460784,42.149264,42.30887,40.94,40.34
18,35,*,*,*,*,*,*,*,*,*,*,40.387412,43.535631,44.118672,42.849882,41.721708,44.41532,44.574759,43.65,44.45
18,37,*,*,*,*,*,*,*,*,*,*,43.123146,46.380766,47.039158,45.556688,44.276042,47.074832,47.335365,46.72,45.29
18,39,*,*,*,*,*,*,*,*,*,*,45.585827,49.188703,49.960818,48.235651,46.73427,49.519878,50.041463,49.28,*
18,41,*,*,*,*,*,*,*,*,*,*,47.236371,51.691872,52.680882,50.576316,48.781956,51.281604,51.708981,52.33,*
18,43,*,*,*,*,*,*,*,*,*,*,48.712929,53.372284,54.471692,52.154953,50.362898,52.366718,52.672384,55.43,*
18,45,*,*,*,*,*,*,*,*,*,*,50.610546,54.789084,55.843671,53.441372,51.799063,53.469153,54.096468,56.49,*
18,47,*,*,*,*,*,*,*,*,*,*,52.7239,56.562141,57.547279,54.982359,53.269387,54.909741,55.941081,58.56,*
18,49,*,*,*,*,*,*,*,*,*,*,55.028858,58.436387,59.304096,56.538897,54.787032,56.332188,57.72342,60.65,*
18,51,*,*,*,*,*,*,*,*,*,*,57.291695,60.227531,61.164801,58.044999,56.271806,57.63457,*,62.46,*
18,53,*,*,*,*,*,*,*,*,*,*,59.084774,61.800605,62.877046,59.472446,57.62518,58.883979,*,64.18,*
18,55,*,*,*,*,*,*,*,*,*,*,60.32905,63.317637,64.226737,60.79723,58.874879,60.062648,*,65.72,*
18,57,*,*,*,*,*,*,*,*,*,*,61.670982,65.07205,65.827958,62.335163,60.265462,61.231822,*,67.21,*
18,59,*,*,*,*,*,*,*,*,*,*,62.785713,66.581454,67.407168,63.916912,61.712718,62.843888,*,69.26,*
18,61,*,*,*,*,*,*,*,*,*,*,63.266482,67.395926,68.193023,64.907506,62.841552,64.358989,*,*,*
18,63,*,*,*,*,*,*,*,*,*,*,63.536778,67.849608,68.520244,65.33038,63.472019,65.014371,*,*,*
20,3,*,*,*,*,*,*,*,*,*,*,-13.527893,-14.292578,-15.384399,-13.609723,-13.100303,-12.76831,*,*,*
20,5,*,*,*,*,*,*,*,*,*,*,-13.57496,-14.278207,-15.146767,-13.292452,-12.982388,-12.50603,*,*,*
20,7,*,*,*,*,*,*,*,*,*,*,-12.229931,-12.921147,-13.607296,-12.04284,-11.86487,-11.663821,*,*,*
20,9,*,*,*,*,*,*,*,*,*,*,-9.466423,-9.995747,-10.345543,-9.378356,-9.496591,-9.617835,*,*,*
20,11,*,*,*,*,*,*,*,*,*,*,-5.829725,-6.123759,-6.09993,-5.678782,-6.179009,-6.281263,-6.382339,-7.68,-8.56
20,13,*,*,*,*,*,*,*,*,*,*,-1.939959,-3.033709,-1.656756,-1.568348,-2.29357,-2.131142,-1.898967,-3.3,-5.25
20,15,*,*,*,*,*,*,*,*,*,*,2.020034,1.280152,2.815194,2.644043,1.801438,2.317835,2.708967,1.32,-1.43
20,17,4.69229,0.02237,4.66672,0.00093,*,*,*,*,*,*,6.293208,6.892587,7.415871,7.06416,6.135349,7.093037,7.535359,5.61,3.03
20,19,10.90468,0.00187,10.91298,0.00063,*,*,*,*,*,*,10.829871,11.488247,12.080355,11.650334,10.655861,12.113603,12.543966,10.94,8.93
20,21,16.47369,0.005,16.47364,0.005,*,*,*,*,*,*,15.036302,15.790075,16.48768,16.003069,14.984268,16.878324,17.233928,16.54,15.66
20,23,19.91911,0.00044,19.91926,0.00042,*,*,*,*,*,*,18.840636,19.744457,20.564125,20.071261,19.06313,21.258518,21.353978,20.6,18.48
20,25,23.38008,0.00533,23.38031,0.00532,*,*,*,*,*,*,22.54624,23.535249,24.494211,23.96613,23.024379,25.374129,25.399442,24.38,22.98
20,27,27.14747,0.00232,27.15156,0.00228,*,*,*,*,*,*,26.116135,27.107755,28.253526,27.584286,26.706965,29.182495,29.528556,27.41,25.88
20,29,29.95937,0.1,30.51137,0.00114,*,*,*,*,*,*,29.141644,30.37619,31.508731,30.727189,29.868292,32.487082,32.948119,30.7,28.75
20,31,*,*,*,*,*,*,*,*,*,*,31.598128,33.279225,34.265247,33.331992,32.435332,35.131167,35.600885,33.03,31.77
