Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
6,35,*,*,*,*,*,*,*,*,*,*,-4.093723,-4.75165,-5.213587,-4.1918,-3.769808,-3.55302,*,*,*
8,3,*,*,*,*,*,*,*,*,*,*,16.869121,18.193664,17.864005,16.765575,18.340909,17.685612,17.508991,*,*
8,5,17.00684,0.02078,16.8705,0.02582,*,*,*,*,*,*,15.364222,15.501942,15.200999,15.397151,16.185539,17.115797,16.884035,*,*
8,7,13.22307,0.0005,13.22349,0.00049,*,*,*,*,*,*,9.623889,10.146416,9.902438,10.33361,10.071339,11.442618,11.065913,*,*
8,9,4.14313,0.00011,4.14308,0.0,*,*,*,*,*,*,5.596709,5.311201,4.62634,4.88045,5.75818,5.169312,4.773991,4.42,4.05
8,11,3.95492,0.00276,3.95564,0.00264,*,*,*,*,*,*,4.773976,3.994825,3.483687,3.868705,4.401949,4.128976,4.021616,3.11,3.85
8,13,3.80587,0.01203,3.80545,0.01203,*,*,*,*,*,*,3.946665,3.077787,2.628125,3.068775,3.471699,3.227742,3.259095,2.17,2.23
8,15,2.74251,0.13451,2.73298,0.13436,*,*,*,*,*,*,2.122447,1.447712,1.064084,1.580842,1.934983,1.808532,1.470371,0.77,2.59
8,17,*,*,*,*,*,*,*,*,*,*,-0.870786,-0.887028,-1.187842,-0.529345,-0.331194,-0.677162,-1.46712,-1.07,-2.39
8,19,*,*,*,*,*,*,*,*,*,*,-1.527451,-2.204934,-2.345704,-1.59902,-1.162876,-1.315728,-1.822528,-1.91,-4.05
8,21,*,*,*,*,*,*,*,*,*,*,-2.323797,-3.11419,-3.78204,-2.734806,-2.319109,-2.033201,-2.468595,-2.9,-4.09
8,23,*,*,*,*,*,*,*,*,*,*,-2.545968,-3.405364,-3.983137,-2.886996,-2.500881,-2.253792,-2.755383,-2.67,-2.22
8,25,*,*,*,*,*,*,*,*,*,*,-2.478103,-3.413011,-3.970545,-2.924869,-2.539105,-2.409989,-2.916129,-5.96,0.16
8,27,*,*,*,*,*,*,*,*,*,*,-2.340746,-3.472182,-3.879695,-2.93186,-2.488349,-2.50208,*,-1.87,*
8,29,*,*,*,*,*,*,*,*,*,*,-2.239772,-3.501173,-3.823054,-2.864279,-2.505578,-2.536924,*,-6.72,*
8,31,*,*,*,*,*,*,*,*,*,*,-2.228533,-3.631824,-3.787498,-2.910846,-2.529925,-2.549683,*,-4.8,*
8,33,*,*,*,*,*,*,*,*,*,*,-3.002957,-4.068282,-4.223407,-3.372105,-2.97717,-2.888655,*,-5.02,*
8,35,*,*,*,*,*,*,*,*,*,*,-3.935937,-4.436164,-4.692536,-3.863113,-3.512279,-3.28213,*,*,*
8,37,*,*,*,*,*,*,*,*,*,*,-3.962286,-4.564984,-4.931408,-4.026749,-3.571955,-3.341081,*,*,*
8,39,*,*,*,*,*,*,*,*,*,*,-3.809603,-4.498204,-4.886373,-3.894941,-3.384156,-3.201316,*,*,*
10,3,*,*,*,*,*,*,*,*,*,*,19.028716,20.288792,19.838848,18.322019,20.108657,18.899554,18.896544,*,*
