Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
13,22,5.26901,0.20842,5.29476,0.00798,*,*,6.220439,5.484256,5.100925,5.19992,4.856684,4.538612,6.360349,5.21,5.58
13,24,3.90697,0.3945,4.21214,0.23418,*,*,5.700989,5.06006,4.95928,4.853263,4.419293,4.252042,6.529856,4.16,5.09
13,26,2.72549,1.64309,*,*,*,*,4.913299,4.208192,3.917237,3.950884,3.625629,3.301965,5.66371,3.29,3.86
13,28,*,*,*,*,*,*,4.125904,3.404585,3.010352,3.165432,2.902768,2.654864,5.19506,2.92,2.56
13,30,*,*,*,*,*,*,3.317396,2.768939,*,2.580134,2.432785,2.022217,4.772021,0.96,1.99
13,32,*,*,*,*,*,*,2.872334,2.405186,*,2.216287,2.209311,1.732872,4.790671,*,1.13
13,34,*,*,*,*,*,*,*,*,*,*,1.548658,1.487908,*,*,0.03
15,8,*,*,*,*,*,*,26.239447,27.071947,28.239088,26.840453,26.018166,27.346029,28.602685,*,*
15,10,*,*,*,*,*,*,20.053424,20.729988,21.368104,20.837948,20.695628,21.054428,21.587866,22.51,20.17
15,12,*,*,*,*,*,*,18.32293,18.371562,18.976553,18.646903,18.567481,18.818001,20.213589,19.11,21.36
15,14,17.86519,0.00337,17.87643,0.00121,*,*,16.998748,16.814994,17.160296,16.938317,16.884644,17.012487,18.650903,16.0,17.83
15,16,12.31163,0.00036,12.311,7e-05,*,*,13.943325,14.206262,14.244594,14.103368,13.697868,13.81025,15.184571,12.88,11.46
15,18,10.10359,0.00111,10.10379,0.00109,*,*,10.388198,11.794146,11.457733,11.208304,10.359478,10.747485,12.276176,10.47,10.24
15,20,8.37139,0.00533,8.38042,0.00203,*,*,9.02698,8.869681,9.81251,9.474471,8.792762,9.039622,11.2023,8.55,9.04
15,22,6.81448,0.04015,6.81628,0.04015,*,*,7.73541,7.437456,7.178112,7.166246,6.885657,6.413785,8.195437,6.85,7.86
15,24,6.18723,0.14623,6.22439,0.134,*,*,7.180436,6.517859,6.46872,6.358339,5.941645,5.896587,8.331762,6.21,7.35
15,26,5.24099,0.25711,4.93671,0.195,*,*,6.703423,5.956076,5.817909,5.731251,5.380323,5.040417,7.416419,5.18,6.53
15,28,3.24423,1.06684,4.40123,0.6376,*,*,5.898731,5.26308,4.903905,5.004583,4.712812,4.425589,6.927211,4.49,4.26
15,30,*,*,*,*,*,*,4.861129,4.435258,3.926635,4.125105,4.004246,3.530147,6.162056,2.57,3.59
15,32,*,*,*,*,*,*,4.027465,3.763916,2.860781,3.538341,3.483653,2.984252,5.877587,1.82,2.44
15,34,*,*,*,*,*,*,2.577966,2.424841,*,2.442354,2.324084,2.218564,4.460996,1.22,1.39
15,36,*,*,*,*,*,*,*,*,*,*,*,*,*,0.39,1.44
17,10,*,*,*,*,*,*,21.997419,22.944228,23.653926,22.933943,22.64747,22.982599,23.684788,25.2,24.19
17,12,*,*,*,*,*,*,20.289228,20.653933,21.203655,20.783039,20.724479,21.022514,22.572629,21.31,22.73
17,14,*,*,*,*,*,*,19.120175,18.504767,19.528121,19.292529,19.166375,19.570308,21.261931,18.99,19.97
17,16,15.74498,0.00661,15.73998,0.00068,*,*,15.968774,15.249223,16.351892,16.359013,15.928879,16.32241,17.757799,15.91,15.57
17,18,12.64508,0.00018,12.64476,5e-05,*,*,12.624607,13.574031,13.76442,13.524759,12.620288,13.296439,14.903391,13.23,12.62
17,20,10.31099,8e-05,10.31085,6e-05,*,*,11.184012,11.617914,12.133447,11.735391,10.98467,11.523008,13.71134,10.71,9.75
17,22,8.07342,0.00173,8.07342,0.00173,*,*,9.596334,9.416024,9.286823,9.253322,8.930796,8.607389,10.401926,8.93,8.9
17,24,7.8207,0.07584,7.82069,0.07584,*,*,8.775123,8.241404,8.22506,8.109081,7.784404,7.635041,10.240787,8.6,8.92
17,26,7.3265,0.21315,7.39906,0.08591,*,*,8.4361,7.683741,7.715298,7.528957,7.173924,6.923936,9.398584,6.96,8.05
17,28,6.20291,0.16427,5.94934,0.19268,*,*,7.529168,6.92229,6.712198,6.700229,6.391714,6.097932,8.63753,6.2,6.14
17,30,*,*,*,*,*,*,6.298638,6.079925,5.445429,5.750908,5.634265,5.170138,7.806886,4.24,4.47
17,32,*,*,*,*,*,*,5.177065,5.077064,4.243755,4.796546,4.618918,4.27413,6.975261,3.35,3.28
17,34,*,*,*,*,*,*,3.551964,3.579537,3.146577,3.43193,3.186427,3.01974,5.210503,2.61,2.84
17,36,*,*,*,*,*,*,2.193381,2.304068,*,2.341726,1.990115,*,*,1.18,2.05
17,38,*,*,*,*,*,*,*,*,*,*,1.604276,*,*,1.6,0.74
17,40,*,*,*,*,*,*,*,*,*,*,*,*,*,0.93,2.3
17,42,*,*,*,*,*,*,1.820531,*,*,*,*,*,*,0.7,1.14
