Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
8,24,*,*,*,*,*,*,*,*,-1.781628,-3.506511,-4.80033,-3.25102,-2.900734,-2.708208,*,-2.71,-1.74
8,26,*,*,*,*,*,*,*,*,-1.701829,-3.56752,-4.760963,-3.266034,-2.967634,-2.990991,*,-6.97,-2.24
8,28,*,*,*,*,*,*,*,*,-1.51945,-3.722313,-4.584471,-3.270512,-2.859791,-3.14235,*,-2.62,*
8,30,*,*,*,*,*,*,*,*,-1.443039,-3.869731,-4.540871,-3.163819,-2.920552,-3.212562,*,-9.21,*
8,32,*,*,*,*,*,*,*,*,-1.476704,-4.21149,-4.54809,-3.268093,-3.015743,-3.241791,*,-5.4,*
8,34,*,*,*,*,*,*,*,*,-3.066212,-5.217998,-5.556737,-4.261594,-3.942165,-3.926639,*,-9.81,*
8,36,*,*,*,*,*,*,*,*,-5.499464,-6.282739,-6.978138,-5.554535,-5.25419,-4.936279,*,*,*
8,38,*,*,*,*,*,*,*,*,-6.138767,-6.929019,-7.985611,-6.239367,-5.665838,-5.341477,*,*,*
8,40,*,*,*,*,*,*,*,*,-5.884869,-7.023506,-8.061105,-6.116519,-5.383339,-5.158808,*,*,*
10,8,34.82193,0.02048,34.8118,0.02048,*,*,*,*,*,*,*,*,*,*,*,*,*
10,10,28.50173,0.00028,28.50218,0.00036,*,*,*,*,*,*,*,*,*,*,*,*,*
10,12,17.12542,2e-05,17.12542,2e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
10,14,14.06944,0.00039,14.06956,0.00051,*,*,*,*,*,*,*,*,*,*,*,*,*
10,16,9.7615,0.02678,9.70988,0.01844,*,*,*,*,*,*,*,*,*,*,*,*,*
10,18,5.32764,0.1491,5.32401,0.12741,*,*,*,*,*,*,*,*,*,*,*,*,*
10,20,4.28521,0.58928,4.16225,0.28289,*,*,*,*,*,*,*,*,*,*,*,*,*
10,22,*,*,*,*,*,*,*,*,*,*,-0.098617,*,*,*,*,*,*
10,26,*,*,*,*,*,*,*,*,*,-0.452635,-1.16945,-0.354632,-0.223961,-0.723565,*,-1.84,-1.19
10,28,*,*,*,*,*,*,*,*,*,-1.598686,-2.541709,-1.404133,-1.170041,-1.350126,*,-0.21,-1.06
10,30,*,*,*,*,*,*,*,*,-0.197704,-2.134588,-3.164932,-1.775002,-1.442729,-1.442114,*,-5.82,-2.14
10,32,*,*,*,*,*,*,*,*,*,-1.932818,-2.688904,-1.289986,-0.927033,-1.452809,*,-4.39,-1.42
10,34,*,*,*,*,*,*,*,*,-1.552099,-3.396656,-3.787334,-2.171693,-1.834495,-1.781322,*,-6.99,*
10,36,*,*,*,*,*,*,*,*,-5.104702,-5.535951,-6.471975,-4.997627,-4.599336,-4.599186,*,-3.63,*
10,38,*,*,*,*,*,*,*,*,-5.614592,-6.598578,-7.366221,-5.739727,-4.970457,-5.021941,*,-9.13,*
10,40,*,*,*,*,*,*,*,*,-4.566578,-6.54924,-7.436849,-5.521222,-4.745132,-4.78967,*,-8.02,*
10,42,*,*,*,*,*,*,*,*,-4.687298,-6.444932,-7.340992,-5.342452,-4.591571,-4.406847,*,*,*
10,44,*,*,*,*,*,*,*,*,-4.935317,-6.32731,-7.153999,-5.15137,-4.42776,-4.449386,*,*,*
10,46,*,*,*,*,*,*,*,*,-5.149121,-6.293396,-7.146224,-5.131426,-4.330234,-4.43426,*,*,*
10,48,*,*,*,*,*,*,*,*,-5.269941,-6.28525,-7.120782,-5.124807,-4.474075,-4.30155,*,*,*
10,50,*,*,*,*,*,*,*,*,-5.290168,-6.326529,-7.226403,-5.190095,-4.665918,-4.371132,*,*,*
10,52,*,*,*,*,*,*,*,*,-5.318438,-6.866136,-7.800544,-5.925132,-5.378582,-5.071684,*,*,*
12,10,34.10995,0.02703,34.02026,0.00189,*,*,*,*,*,*,*,*,*,*,*,*,*
12,12,29.67924,0.00134,29.67627,0.00031,*,*,*,*,*,*,*,*,*,*,*,*,*
12,14,18.42365,3e-05,18.42361,3e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
12,16,14.94669,0.002,14.94694,0.002,*,*,*,*,*,*,*,*,*,*,*,*,*
12,18,10.03467,0.00862,10.00761,0.00399,*,*,*,*,*,*,*,*,*,*,*,*,*
12,20,8.18674,0.01958,8.08771,0.00474,*,*,*,*,*,*,*,*,*,*,*,*,*
12,22,6.37925,0.23207,6.99039,0.02906,*,*,*,*,*,*,*,*,*,*,*,*,*
12,24,*,*,4.08582,0.69084,*,*,*,*,*,*,*,*,*,*,*,*,*
12,30,*,*,*,*,*,*,*,*,*,*,-0.690652,*,*,*,*,-2.23,*
12,32,*,*,*,*,*,*,*,*,*,*,-0.822193,*,*,*,*,-2.72,-0.72
12,34,*,*,*,*,*,*,*,*,-0.070281,-1.473118,-2.102861,-0.440822,*,*,*,-3.28,-0.7
12,36,*,*,*,*,*,*,*,*,-3.966138,-4.417025,-5.226313,-3.875461,-3.369297,-4.025903,*,-4.43,*
12,38,*,*,*,*,*,*,*,*,-3.562855,-5.453701,-5.95747,-4.50544,-3.83238,-4.122468,*,-5.18,*
12,40,*,*,*,*,*,*,*,*,-2.891145,-5.124526,-5.922704,-4.475299,-3.797853,-3.492957,*,-5.3,*
12,42,*,*,*,*,*,*,*,*,-6.333862,-4.797159,-5.887965,-4.420785,-3.913146,-3.667484,*,-7.86,*
12,44,*,*,*,*,*,*,*,*,-0.552374,-5.381779,-5.715317,-4.296293,-3.98726,-3.918889,*,-5.33,*
12,46,*,*,*,*,*,*,*,*,-4.122501,-5.771817,-6.528438,-4.930915,-3.984473,-4.174451,*,-7.54,*
12,48,*,*,*,*,*,*,*,*,-4.621204,-6.052688,-6.944603,-4.809587,-4.168293,-4.133592,*,*,*
12,50,*,*,*,*,*,*,*,*,-4.807841,-6.169996,-7.078232,-4.98977,-4.41285,-4.016226,*,*,*
12,52,*,*,*,*,*,*,*,*,-4.713279,-6.697325,-7.096115,-5.445383,-4.969349,-4.650697,*,*,*
14,12,34.04194,0.0197,34.02884,0.01947,*,*,*,*,*,*,*,*,*,*,*,*,*
14,14,30.4908,0.003,30.49441,0.00011,*,*,*,*,*,*,*,*,*,*,*,*,*
14,16,19.08277,3e-05,19.0828,2e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
14,18,15.79061,4e-05,15.78736,0.0003,*,*,*,*,*,*,*,*,*,*,*,*,*
14,20,12.0185,0.01412,12.0218,0.01412,*,*,*,*,*,*,*,*,*,*,*,*,*
14,22,8.66837,0.12426,8.62191,0.07317,*,*,*,*,*,*,*,*,*,*,*,*,*
14,24,7.7274,0.18477,7.87681,0.12703,*,*,*,*,*,*,*,*,*,*,*,*,*
14,26,6.60831,0.57278,6.54266,0.36068,*,*,*,*,*,*,*,*,*,*,*,*,*
14,34,*,*,*,*,*,*,*,*,*,*,-0.162183,*,*,*,*,-0.46,-0.45
14,36,*,*,*,*,*,*,*,*,-2.074271,-2.29086,-2.893341,-1.798599,-1.58186,-2.646002,*,-2.19,-0.44
14,38,*,*,*,*,*,*,*,*,-2.728772,-3.589427,-3.650448,-2.721504,-2.143963,-3.092607,*,-3.43,*
14,40,*,*,*,*,*,*,*,*,-2.433565,-4.037034,-4.182293,-3.151657,-2.560416,-3.066004,*,-3.21,*
14,42,*,*,*,*,*,*,*,*,-2.026277,-4.036639,-5.085852,-3.638731,-3.174605,-2.843709,*,-4.65,*
14,44,*,*,*,*,*,*,*,*,-2.242798,-4.084668,-5.184336,-3.738378,-3.48207,-3.105447,*,-4.58,*
14,46,*,*,*,*,*,*,*,*,-2.482605,-4.553988,-5.183253,-3.819242,-3.536818,-3.284101,*,-5.2,*
14,48,*,*,*,*,*,*,*,*,-2.486222,-4.551732,-5.642202,-3.9118,-3.663069,-3.334828,*,-5.16,*
14,50,*,*,*,*,*,*,*,*,-2.997857,-4.756212,-5.342323,-3.799859,-3.557147,-3.265307,*,-3.62,*
14,52,*,*,*,*,*,*,*,*,-3.399018,-5.150042,-5.792074,-4.184504,-3.77691,-3.527159,*,-11.87,*
14,54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-8.56,*
16,14,34.27837,0.16003,34.27509,0.16,*,*,*,*,*,*,*,*,*,*,*,*,*
16,16,28.0958,0.003,28.09891,0.00021,*,*,*,*,*,*,*,*,*,*,*,*,*
16,18,20.05873,9e-05,20.05879,4e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
16,20,16.87492,0.00022,16.87508,0.00019,*,*,*,*,*,*,*,*,*,*,*,*,*
16,22,12.33976,0.00717,12.33971,0.00717,*,*,*,*,*,*,*,*,*,*,*,*,*
16,24,12.148,0.14148,12.11928,0.0082,*,*,*,*,*,*,*,*,*,*,*,*,*
16,26,10.95357,0.18813,10.94253,0.00486,*,*,*,*,*,*,*,*,*,*,*,*,*
16,28,7.5813,0.41363,7.70912,0.00592,*,*,*,*,*,*,*,*,*,*,*,*,*
16,36,*,*,*,*,*,*,*,*,*,*,-0.150349,*,*,-0.260335,*,*,*
16,38,*,*,*,*,*,*,*,*,-0.408649,-0.973303,-0.816395,-0.203933,*,-0.923239,*,-0.38,-0.82
16,40,*,*,*,*,*,*,*,*,-0.174447,-1.860517,-1.696109,-1.148847,-0.72625,-1.510318,*,-1.34,*
16,42,*,*,*,*,*,*,*,*,*,-2.560091,-3.564329,-2.427318,-2.148875,-2.168275,*,-2.44,*
16,44,*,*,*,*,*,*,*,*,-0.289332,-2.118111,-3.05161,-2.040392,-2.111388,-1.612035,*,-3.07,*
16,46,*,*,*,*,*,*,*,*,-0.930985,-2.779807,-3.181253,-2.200817,-2.048856,-2.121944,*,-3.09,*
16,48,*,*,*,*,*,*,*,*,-1.494028,-3.338167,-3.908787,-2.730406,-2.483013,-2.435997,*,-3.9,*
16,50,*,*,*,*,*,*,*,*,-1.927341,-3.567337,-4.555541,-2.838181,-2.621305,-2.168298,*,-4.5,*
16,52,*,*,*,*,*,*,*,*,-2.144284,-3.763533,-4.588055,-2.953543,-2.648867,-2.522282,*,-5.19,*
16,54,*,*,*,*,*,*,*,*,-2.175629,-4.258693,-4.973388,-3.398876,-2.996434,-2.885986,*,-6.37,*
16,56,*,*,*,*,*,*,*,*,-2.629428,-4.652566,-5.405132,-3.80529,-3.339903,-3.243447,*,-6.45,*
16,58,*,*,*,*,*,*,*,*,-2.672106,-4.816695,-5.685836,-4.006662,-3.540963,-3.444529,*,-8.87,*
16,60,*,*,*,*,*,*,*,*,-2.558114,-4.538241,-5.309723,-3.493669,-2.93518,-3.384332,*,-7.6,*
16,62,*,*,*,*,*,*,*,*,-3.82376,-5.263387,-5.981359,-4.168338,-3.754864,-3.520509,*,*,*
16,64,*,*,*,*,*,*,*,*,-5.456585,-5.928005,-7.126807,-5.478554,-5.115745,-4.836336,*,*,*
18,14,*,*,39.27413,0.20616,*,*,*,*,*,*,*,*,*,*,*,*,*
18,16,32.31965,0.0018,32.32057,0.00177,*,*,*,*,*,*,*,*,*,*,*,*,*
18,18,27.99696,0.00039,27.99588,8e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
18,20,20.62565,0.00034,20.62592,0.0002,*,*,*,*,*,*,*,*,*,*,*,*,*
18,22,16.46798,0.00034,16.46771,0.00019,*,*,*,*,*,*,*,*,*,*,*,*,*
18,24,15.52541,0.00578,15.52541,0.00578,*,*,*,*,*,*,*,*,*,*,*,*,*
18,26,14.39301,0.00599,14.39321,0.00599,*,*,*,*,*,*,*,*,*,*,*,*,*
18,28,13.18971,0.04092,13.24231,0.00194,*,*,*,*,*,*,*,*,*,*,*,*,*
18,30,*,*,8.65104,0.3074,*,*,*,*,*,*,*,*,*,*,*,*,*
18,42,*,*,*,*,*,*,*,*,*,-0.192805,-0.962336,-0.297428,-0.335398,-0.862902,*,*,*
18,44,*,*,*,*,*,*,*,*,*,-1.01147,-2.072854,-0.993874,-0.75205,-0.777697,*,-1.36,-0.18
18,46,*,*,*,*,*,*,*,*,*,-1.026675,-1.453733,-0.685448,-0.58372,-0.759853,*,-1.02,-0.7
18,48,*,*,*,*,*,*,*,*,*,-1.551802,-2.23635,-1.153218,-1.017459,-0.930028,*,-1.49,-1.61
18,50,*,*,*,*,*,*,*,*,*,-1.647296,-2.655048,-1.297105,-1.04535,-0.844628,*,-2.26,*
18,52,*,*,*,*,*,*,*,*,-0.093167,-2.139091,-2.791056,-1.476083,-1.256235,-1.24217,*,-4.13,*
18,54,*,*,*,*,*,*,*,*,-0.728715,-2.731866,-3.420837,-2.01599,-1.68796,-1.68597,*,-5.09,*
18,56,*,*,*,*,*,*,*,*,-1.563022,-3.10933,-4.245187,-2.54619,-2.147185,-2.103092,*,-5.05,*
18,58,*,*,*,*,*,*,*,*,-1.116589,-2.919283,-3.640195,-2.195672,-1.957968,-2.2011,*,-5.74,*
18,60,*,*,*,*,*,*,*,*,-1.972296,-3.491796,-4.281128,-2.237944,-1.687559,-1.442791,*,-6.88,*
18,62,*,*,*,*,*,*,*,*,-3.353469,-4.673774,-5.493897,-3.501878,-2.72646,-2.476263,*,-8.67,*
18,64,*,*,*,*,*,*,*,*,-5.242892,-5.690594,-6.951,-5.32457,-4.912654,-4.683622,*,-8.01,*
18,66,*,*,*,*,*,*,*,*,-5.681534,-6.359088,-7.153203,-5.880092,-5.442002,-5.082268,*,*,*
18,68,*,*,*,*,*,*,*,*,-5.723174,-6.66083,-7.519762,-6.057915,-5.415616,-5.385155,*,*,*
