Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
2    2    -22.848           *            *            *            *            *            
2    3    -22.5225          *            *            -0.3255      *            *            
2    4    -28.227           *            *            5.7045       5.379        *            
2    5    -22.913           *            *            -5.314       0.3905       *            
2    6    -29.489           *            *            6.576        1.262        *            
3    2    -20.8845          -1.9635      *            *            *            *            
3    3    -28.4995          5.977        *            7.615        *            *            
3    4    -39.3245          11.0975      *            10.825       18.44        *            
3    5    -38.1235          15.2105      *            -1.201       9.624        *            
3    6    -43.4225          13.9335      *            5.299        4.098        *            
4    2    -24.931           4.0465       2.083        *            *            *            
4    3    -37.7515          9.252        15.229       12.8205      *            *            
4    4    -50.962           11.6375      22.735       13.2105      26.031       0.186        
4    5    -56.309           18.1855      33.396       5.347        18.5575      -5.4865      
4    6    -62.766           19.3435      33.277       6.457        11.804       -6.239       
4    7    -66.448           *            *            3.682        10.139       -15.235      
4    8    -70.85            *            *            4.402        8.084        -13.061      
5    4    -53.1745          2.2125       13.85        *            *            -3.99        
5    5    -60.76225         4.45325      22.63875     7.58775      *            -3.96275     
5    6    -71.635           8.869        28.2125      10.87275     18.4605      -4.0105      
5    7    -77.01125         10.56325     *            5.37625      16.249       -10.58775    
5    8    -82.7475          11.8975      *            5.73625      11.1125      -11.025      
6    4    -57.287           4.1125       6.325        *            *            -4.056       
6    5    -68.8705          8.10825      12.5615      11.5835      *            -2.819       
6    6    -85.914           14.279       23.148       17.0435      28.627       -6.652       
6    7    -95.6095          18.59825     29.1615      9.6955       26.739       -11.0005     
6    8    -105.305          22.5575      34.455       9.6955       19.391       -14.239      
6    9    -104.89           *            *            -0.415       9.2805       -10.142      
6    10   -110.165          *            *            5.275        4.86         -11.015      
6    11   -105.819          *            *            -4.346       0.929        *            
6    12   -114.073          *            *            8.254        3.908        *            
6    13   -112.424          *            *            -1.649       6.605        *            
6    14   -118.145          *            *            5.721        4.072        *            
7    4    -57.3825          0.0955       4.208        *            *            *            
7    5    -70.6735          1.803        9.91125      13.291       *            *            
7    6    -92.0695          6.1555       20.4345      21.396       34.687       -10.595      
7    7    -102.5175         6.908        25.50625     10.448       31.844       -13.45525    
7    8    -115.0755         9.7705       32.328       12.558       23.006       -15.1405     
7    9    -116.4845         11.5945      *            1.409        13.967       -11.17325    
7    10   -124.1835         14.0185      *            7.699        9.108        -13.136      
7    11   -121.73325        15.91425     *            -2.45025     5.24875      *            
7    12   -133.433          19.36        *            11.69975     9.2495       *            
7    13   -130.82375        18.39975     *            -2.60925     9.0905       *            
7    14   -140.0145         21.8695      *            9.19075      6.5815       *            
8    4    -58.838           1.4555       1.551        *            *            *            
8    5    -73.1565          2.483        4.286        14.3185      *            *            
8    6    -98.225           6.1555       12.311       25.0685      39.387       -12.638      
8    7    -111.5155         8.998        15.906       13.2905      38.359       -14.345      
8    8    -129.026          13.9505      23.721       17.5105      30.801       -14.812      
8    9    -132.064          15.5795      27.174       3.038        20.5485      -8.1545      
8    10   -141.992          17.8085      31.827       9.928        12.966       -8.387       
8    11   -139.5425         17.80925     33.7235      -2.4495      7.4785       -6.3525      
8    12   -152.793          19.36        38.72        13.2505      10.801       -14.328      
8    13   -149.2235         18.39975     36.7995      -3.5695      9.681        -15.1045     
8    14   -161.884          21.8695      43.739       12.6605      9.091        -19.511      
8    15   -158.7345         *            *            -3.1495      9.511        -18.0105     
8    16   -168.465          *            *            9.7305       6.581        -22.02       
8    17   -164.49           *            *            -3.975       5.7555       *            
8    18   -172.105          *            *            7.615        3.64         *            
8    19   -170.184          *            *            -1.921       5.694        *            
8    20   -174.393          *            *            4.209        2.288        *            
9    8    -127.962          -1.064       12.8865      *            *            -7.5925      
9    9    -136.96825        4.90425      20.48375     9.00625      *            -6.15075     
9    10   -149.6595         7.6675       25.476       12.69125     21.6975      -6.284       
9    11   -152.0675         12.525       30.33425     2.408        15.09925     -7.283       
9    12   -163.4655         10.6725      30.0325      11.398       13.806       -10.982      
9    13   -162.4875         13.264       31.66375     -0.978       10.42        -12.45425    
9    14   -173.4695         11.5855      33.455       10.982       10.004       -11.7365     
9    15   -171.56825        12.83375     *            -1.90125     9.08075      -12.4445     
9    16   -181.682          13.217       *            10.11375     8.2125       -13.3675     
9    17   -178.5305         14.0405      *            -3.1515      6.96225      *            
9    18   -186.889          14.784       *            8.3585       5.207        *            
9    19   -186.22225        16.03825     *            -0.66675     7.69175      *            
9    20   -191.7055         17.3125      *            5.48325      4.8165       *            
10   8    -133.928          5.966        4.902        *            *            -7.403       
10   9    -145.7025         8.73425      13.6385      11.7745      *            -5.887       
10   10   -157.957          8.2975       15.965       12.2545      24.029       -0.631       
10   11   -165.9125         13.845       26.37        7.9555       20.21        -5.5485      
10   12   -176.148          12.6825      23.355       10.2355      18.191       -5.856       
10   13   -178.7915         16.304       29.568       2.6435       12.879       -10.949      
10   14   -189.125          15.6555      27.241       10.3335      12.977       -8.032       
10   15   -189.112          17.54375     30.3775      -0.013       10.3205      -11.5885     
10   16   -200.249          18.567       31.784       11.137       11.124       -10.065      
10   17   -198.806          20.2755      34.316       -1.443       9.694        -11.7715     
10   18   -208.793          21.904       36.688       9.987        8.544        -12.028      
10   19   -209.4505         23.22825     39.2665      0.6575       10.6445      -16.6605     
10   20   -216.278          24.5725      41.885       6.8275       7.485        -15.873      
11   8    -126.4155         -7.5125      -1.5465      *            *            *            
11   9    -142.16175        -3.54075     5.1935       15.74625     *            *            
11   10   -159.753          1.796        10.0935      17.59125     33.3375      -3.491       
11   11   -169.2065         3.294        17.139       9.4535       27.04475     -3.93825     
11   12   -182.3            6.152        18.8345      13.0935      22.547       -4.3405      
11   13   -186.65825        7.86675      24.17075     4.35825      17.45175     -6.29075     
11   14   -198.1865         9.0615       24.717       11.52825     15.8865      -6.421       
11   15   -199.84125        10.72925     28.273       1.65475      13.183       -9.05375     
11   16   -210.426          10.177       28.744       10.58475     12.2395      -8.6565      
11   17   -209.699          10.893       31.1685      -0.727       9.85775      -9.83075     
11   18   -217.507          8.714        30.618       7.808        7.081        -7.525       
11   19   -219.5355         10.085       33.31325     2.0285       9.8365       -12.705      
11   20   -226.544          10.266       34.8385      7.0085       9.037        -11.355      
12   8    -135.343          8.9275       1.415        *            *            *            
12   9    -149.101          6.93925      3.3985       13.758       *            *            
12   10   -166.069          6.316        8.112        16.968       30.726       -3.841       
12   11   -176.8255         7.619        10.913       10.7565      27.7245      -2.823       
12   12   -192.582          10.282       16.434       15.7565      26.513       -6.325       
12   13   -199.12           12.46175     20.3285      6.538        22.2945      -4.9075      
12   14   -212.308          14.1215      23.183       13.188       19.726       -7.86        
12   15   -217.1105         17.26925     27.9985      4.8025       17.9905      -10.019      
12   16   -228.623          18.197       28.374       11.5125      16.315       -11.198      
12   17   -231.957          22.258       33.151       3.334        14.8465      -14.545      
12   18   -240.931          23.424       32.138       8.974        12.308       -12.382      
12   19   -244.8855         25.35        35.435       3.9545       12.9285      -17.7795     
12   20   -252.63           26.086       36.352       7.7445       11.699       -15.537      
12   21   -252.3625         *            *            -0.2675      7.477        -14.612      
12   22   -256.595          *            *            4.2325       3.965        -12.017      
12   23   -255.069          *            *            -1.526       2.7065       *            
12   24   -261.463          *            *            6.394        4.868        *            
12   25   -257.4845         *            *            -3.9785      2.4155       *            
12   26   -263.586          *            *            6.1015       2.123        *            
12   27   -257.3925         *            *            -6.1935      -0.092       *            
12   28   -264.529          *            *            7.1365       0.943        *            
13   10   -162.335          -3.734       2.582        *            *            -7.6195      
13   11   -175.5185         -1.307       6.312        13.1835      *            -5.05675     
13   12   -193.532          0.95         11.232       18.0135      31.197       -5.479       
13   13   -205.38275        6.26275      18.7245      11.85075     29.86425     -7.87625     
13   14   -220.9835         8.6755       22.797       15.60075     27.4515      -10.3835     
13   15   -226.70075        9.59025      26.8595      5.71725      21.318       -11.7425     
13   16   -238.188          9.565        27.762       11.48725     17.2045      -11.7015     
13   17   -240.73875        8.78175      31.03975     2.55075      14.038       -12.5975     
13   18   -248.9195         7.9885       31.4125      8.18075      10.7315      -10.1935     
13   19   -254.049          9.1635       34.5135      5.1295       13.31025     -16.05       
13   20   -261.4685         8.8385       34.9245      7.4195       12.549       -15.6615     
13   21   -262.25725        9.89475      *            0.78875      8.20825      -14.42175    
13   22   -268.086          11.491       *            5.82875      6.6175       -13.242      
13   23   -267.503          12.434       *            -0.583       5.24575      *            
13   24   -275.495          14.032       *            7.992        7.409        *            
13   25   -272.78225        15.29775     *            -2.71275     5.27925      *            
13   26   -279.7795         16.1935      *            6.99725      4.2845       *            
13   27   -278.21125        20.81875     *            -1.56825     5.429        *            
13   28   -286.153          21.624       *            7.94175      6.3735       *            
14   10   -168.921          6.586        2.852        *            *            -5.278       
14   11   -182.9265         7.408        6.101        14.0055      *            -5.5255      
14   12   -201.592          8.06         9.01         18.6655      32.671       -7.223       
14   13   -215.6955         10.31275     16.5755      14.1035      32.769       -10.57       
14   14   -230.649          9.6655       18.341       14.9535      29.057       -9.767       
14   15   -238.126          11.42525     21.0155      7.477        22.4305      -10.706      
14   16   -250.433          12.245       21.81        12.307       19.784       -9.825       
14   17   -256.6155         15.87675     24.6585      6.1825       18.4895      -11.205      
14   18   -268.418          19.4985      27.487       11.8025      17.985       -11.495      
14   19   -275.9625         21.9135      31.077       7.5445       19.347       -15.7055     
14   20   -284.297          22.8285      31.667       8.3345       15.879       -15.066      
14   21   -285.292          23.03475     32.9295      0.995        9.3295       -12.1065     
14   22   -291.867          23.781       35.272       6.575        7.57         -10.937      
14   23   -291.222          23.719       36.153       -0.645       5.93         -10.5595     
14   24   -299.807          24.312       38.344       8.585        7.94         -14.912      
14   25   -298.025          25.24275     40.5405      -1.782       6.803        -14.656      
14   26   -305.583          25.8035      41.997       7.558        5.776        -15.82       
14   27   -305.575          27.36375     48.1825      -0.008       7.55         -19.7905     
14   28   -311.257          25.104       46.728       5.682        5.674        -19.371      
14   29   -308.452          *            *            -2.805       2.877        -22.7595     
14   30   -312.887          *            *            4.435        1.63         -20.058      
14   31   -305.283          *            *            -7.604       -3.169       *            
14   32   -313.799          *            *            8.516        0.912        *            
14   33   -304.9905         *            *            -8.8085      -0.2925      *            
14   34   -314.052          *            *            9.0615       0.253        *            
15   12   -199.543          -2.049       6.011        *            *            -8.908       
15   13   -214.88825        -0.80725     9.5055       15.34525     *            -11.06975    
15   14   -231.8985         1.2495       10.915       17.01025     32.3555      -10.0665     
15   15   -243.64075        5.51475      16.94        11.74225     28.7525      -9.958       
15   16   -257.803          7.37         19.615       14.16225     25.9045      -8.5195      
15   17   -264.382          7.7665       23.64325     6.579        20.74125     -9.38125     
15   18   -273.781          5.363        24.8615      9.399        15.978       -7.293       
15   19   -281.5555         5.593        27.5065      7.7745       17.1735      -12.51675    
15   20   -289.73           5.433        28.2615      8.1745       15.949       -12.5105     
15   21   -291.89925        6.60725      29.642       2.16925      10.34375     -9.55025     
15   22   -299.8285         7.9615       31.7425      7.92925      10.0985      -10.06       
15   23   -300.7485         9.5265       33.2455      0.92         8.84925      -10.19125    
15   24   -311.5085         11.7015      36.0135      10.76        11.68        -15.1225     
15   25   -311.365          13.34        38.58275     -0.1435      10.6165      -15.562      
15   26   -320.2565         14.6735      40.477       8.8915       8.748        -16.4615     
15   27   -321.583          16.008       43.37175     1.3265       10.218       -20.50075    
15   28   -330.1095         18.8525      43.9565      8.5265       9.853        -22.03       
15   29   -325.5415         17.0895      *            -4.568       3.9585       -19.03025    
15   30   -330.7535         17.8665      *            5.212        0.644        -16.3005     
15   31   -323.1145         17.8315      *            -7.639       -2.427       *            
15   32   -331.5805         17.7815      *            8.466        0.827        *            
15   33   -323.70225        18.71175     *            -7.87825     0.58775      *            
15   34   -332.164          18.112       *            8.46175      0.5835       *            
16   12   -205.694          6.151        4.102        *            *            -8.473       
16   13   -220.681          5.79275      4.9855       14.987       *            -9.4545      
16   14   -238.148          6.2495       7.499        17.467       32.454       -8.256       
16   15   -251.8555         8.21475      13.7295      13.7075      31.1745      -7.86        
16   16   -265.573          7.77         15.14        13.7175      27.425       -6.624       
16   17   -277.1835         12.8015      20.568       11.6105      25.328       -10.7575     
16   18   -288.814          15.033       20.396       11.6305      23.241       -10.081      
16   19   -298.8935         17.338       22.931       10.0795      21.71        -13.978      
16   20   -308.983          19.253       24.686       10.0895      20.169       -12.265      
16   21   -312.0515         20.15225     26.7595      3.0685       13.158       -7.789       
16   22   -321.06           21.2315      29.193       9.0085       12.077       -8.463       
16   23   -321.83           21.0815      30.608       0.77         9.7785       -8.238       
16   24   -333.05           21.5415      33.243       11.22        11.99        -12.883      
16   25   -333.61           22.245       35.585       0.56         11.78        -14.088      
16   26   -342.9            22.6435      37.317       9.29         9.85         -14.793      
16   27   -342.141          20.558       36.566       -0.759       8.531        -15.816      
16   28   -350.092          19.9825      38.835       7.951        7.192        -16.209      
16   29   -346.516          20.9745      38.064       -3.576       4.375        -12.641      
16   30   -355.26           24.5065      42.373       8.744        5.168        -15.703      
16   31   -349.411          26.2965      44.128       -5.849       2.895        -12.659      
16   32   -359.652          28.0715      45.853       10.241       4.392        -18.465      
16   33   -353.879          30.17675     48.8885      -5.773       4.468        -20.296      
16   34   -362.916          30.752       48.864       9.037        3.264        -20.817      
16   35   -356.316          *            *            -6.6         2.437        -23.0255     
16   36   -364.586          *            *            8.27         1.67         -22.234      
16   37   -356.264          *            *            -8.322       -0.052       *            
16   38   -365.592          *            *            9.328        1.006        *            
16   39   -361.315          *            *            -4.277       5.051        *            
16   40   -366.618          *            *            5.303        1.026        *            
17   14   -237.2245         -0.9235      5.326        *            *            -9.3815      
