Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
2    2    -21.017           *            *            *            *            *            
2    3    -21.297           *            *            0.28         *            *            
2    4    -27.777           *            *            6.48         6.76         *            
2    5    -23.143           *            *            -4.634       1.846        *            
2    6    -30.309           *            *            7.166        2.532        *            
3    2    -19.678           -1.339       *            *            *            *            
3    3    -23.802           2.505        *            4.124        *            *            
3    4    -34.071           6.294        *            10.269       14.393       *            
3    5    -33.489           10.346       *            -0.582       9.687        *            
3    6    -43.537           13.228       *            10.048       9.466        *            
4    2    -24.499           4.821        3.482        *            *            *            
4    3    -32.417           8.615        11.12        7.918        *            *            
4    4    -46.425           12.354       18.648       14.008       21.926       2.892        
4    5    -49.81            16.321       26.667       3.385        17.393       -0.213       
4    6    -62.655           19.118       32.346       12.845       16.23        -6.578       
4    7    -65.246           *            *            2.591        15.436       -13.803      
4    8    -71.207           *            *            5.961        8.552        -12.598      
5    4    -47.0715          0.6465       13.0005      *            *            0.9065       
5    5    -54.9445          5.1345       21.4555      7.873        *            -2.8425      
5    6    -71.1825          8.5275       27.6455      16.238       24.111       -8.8115      
5    7    -76.3835          11.1375      *            5.201        21.439       -14.5945     
5    8    -83.9295          12.7225      *            7.546        12.747       -12.0925     
6    4    -57.378           10.3065      10.953       *            *            -4.579       
6    5    -68.544           13.5995      18.734       11.166       *            -7.827       
6    6    -86.98            15.7975      24.325       18.436       29.602       -12.255      
6    7    -95.456           19.0725      30.21        8.476        26.912       -17.346      
6    8    -105.252          21.3225      34.045       9.796        18.272       -14.297      
6    9    -104.937          *            *            -0.315       9.481        -11.391      
6    10   -111.002          *            *            6.065        5.75         -11.495      
6    11   -106.633          *            *            -4.369       1.696        *            
6    12   -116.114          *            *            9.481        5.112        *            
6    13   -112.9755         *            *            -3.1385      6.3425       *            
6    14   -119.877          *            *            6.9015       3.763        *            
6    15   -116.2265         *            *            -3.6505      3.251        *            
6    16   -120.946          *            *            4.7195       1.069        *            
7    4    -56.6315          -0.7465      9.56         *            *            *            
7    5    -70.292           1.748        15.3475      13.6605      *            *            
7    6    -91.9775          4.9975       20.795       21.6855      35.346       -16.606      
7    7    -102.5355         7.0795       26.152       10.558       32.2435      -19.291      
7    8    -115.0835         9.8315       31.154       12.548       23.106       -15.601      
7    9    -116.673          11.736       *            1.5895       14.1375      -11.9895     
7    10   -125.0175         14.0155      *            8.3445       9.934        -12.788      
7    11   -122.3335         15.7005      *            -2.684       5.6605       *            
7    12   -134.6545         18.5405      *            12.321       9.637        *            
7    13   -131.50975        18.53425     *            -3.14475     9.17625      *            
7    14   -141.59           21.713       *            10.08025     6.9355       *            
7    15   -137.8135         21.587       *            -3.7765      6.30375      *            
7    16   -144.087          23.141       *            6.2735       2.497        *            
8    4    -59.485           2.8535       2.107        *            *            *            
8    5    -74.53            4.238        5.986        15.045       *            *            
8    6    -98.355           6.3775       11.375       23.825       38.87        -12.677      
8    7    -111.575          9.0395       16.119       13.22        37.045       -14.731      
8    8    -127.455          12.3715      22.203       15.88        29.1         -12.175      
8    9    -130.874          14.201       25.937       3.419        19.299       -7.118       
8    10   -141.423          16.4055      30.421       10.549       13.968       -7.871       
8    11   -139.239          16.9055      32.606       -2.184       8.365        -6.002       
8    12   -153.215          18.5605      37.101       13.976       11.792       -13.913      
8    13   -150.054          18.54425     37.0785      -3.161       10.815       -15.121      
8    14   -163.303          21.713       43.426       13.249       10.088       -18.889      
8    15   -161.1705         23.357       44.944       -2.1325      11.1165      -19.895      
8    16   -170.768          26.681       49.822       9.5975       7.465        -22.591      
8    17   -167.3615         *            *            -3.4065      6.191        -22.835      
8    18   -174.465          *            *            7.1035       3.697        -25.219      
8    19   -172.5115         *            *            -1.9535      5.15         *            
8    20   -176.718          *            *            4.2065       2.253        *            
9    8    -126.8715         -0.5835      11.788       *            *            -6.594       
9    9    -134.45           3.576        17.777       7.5785       *            -3.6145      
9    10   -147.2335         5.8105       22.216       12.7835      20.362       -3.85        
9    11   -149.77975        10.54075     27.44625     2.54625      15.32975     -4.80675     
9    12   -163.071          9.856        28.4165      13.29125     15.8375      -9.7535      
9    13   -162.79125        12.73725     31.2815      -0.27975     13.0115      -12.15775    
9    14   -174.4665         11.1635      32.8765      11.67525     11.3955      -11.512      
9    15   -173.35775        12.18725     35.54425     -1.10875     10.5665      -13.548      
9    16   -183.134          12.366       39.047       9.77625      8.6675       -13.244      
9    17   -180.91275        13.55125     *            -2.22125     7.555        -14.79925    
9    18   -189.2415         14.7765      *            8.32875      6.1075       -16.8545     
9    19   -188.48725        15.97575     *            -0.75425     7.5745       *            
9    20   -193.818          17.1         *            5.33075      4.5765       *            
10   8    -133.508          6.6365       6.053        *            *            -6.853       
10   9    -143.306          8.856        12.432       9.798        *            -3.431       
10   10   -156.384          9.1505       14.961       13.078       22.876       -0.629       
10   11   -163.5505         13.77075     24.3115      7.1665       20.2445      -4.3765      
10   12   -176.047          12.976       22.832       12.4965      19.663       -6.324       
10   13   -179.3935         16.60225     29.3395      3.3465       15.843       -11.8545     
