Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
10   12   17.12542          17.12542          *                 2e-05             2e-05             *                 20.465133         18.784961         19.471261         19.286935         19.080734         19.386299         19.618            18.191            19.663            18.982            
10   14   14.06944          14.06956          *                 0.00039           0.00051           *                 16.845146         16.399881         15.207127         15.186183         16.368745         14.545018         13.33             12.977            14.193            14.318            
10   16   9.7615            9.70988           *                 0.02678           0.01844           *                 13.033759         12.45417          12.115023         12.074479         11.876787         11.45636          11.118            11.124            11.87             11.963            
10   18   5.32764           5.32401           *                 0.1491            0.12741           *                 6.339753          6.954125          6.86509           7.082417          6.277665          5.981225          7.772             8.544             8.628             9.099             
10   20   4.28521           4.16225           *                 0.58928           0.28289           *                 4.376636          3.852991          4.069261          4.385873          4.106585          3.649373          6.142             7.485             6.98              6.824             
10   22   *                 *                 *                 *                 *                 *                 3.562575          0.99121           *                 0.890714          0.869153          0.727002          *                 *                 0.237             1.816             
10   24   *                 *                 *                 *                 *                 *                 2.961041          1.426942          0.935194          1.343356          1.250896          0.807711          *                 *                 1.257             2.013             
10   26   *                 *                 *                 *                 *                 *                 1.397825          *                 *                 *                 *                 *                 *                 *                 *                 0.976             
10   28   *                 *                 *                 *                 *                 *                 0.27053           *                 *                 *                 *                 *                 *                 *                 *                 0.277             
10   32   *                 *                 *                 *                 *                 *                 0.027328          *                 *                 *                 *                 *                 *                 *                 *                 *                 
12   8    *                 *                 *                 *                 *                 *                 39.493961         41.0409           42.132228         41.088069         40.112881         43.188399         *                 *                 *                 *                 
12   10   34.10995          34.02026          *                 0.02703           0.00189           *                 29.03841          28.612711         29.913353         30.046289         29.573204         31.23707          31.405            30.726            30.623            28.727            
12   12   29.67924          29.67627          *                 0.00134           0.00031           *                 26.426134         25.822634         26.207551         25.847956         26.032585         26.727103         27.382            26.513            27.229            27.402            
12   14   18.42365          18.42361          *                 3e-05             3e-05             *                 21.584977         21.462352         20.472718         20.690796         22.400436         20.653817         18.912            19.726            19.495            18.878            
12   16   14.94669          14.94694          *                 0.002             0.002             *                 17.502946         17.653414         17.057432         16.918475         16.94886          16.180733         16.054            16.315            16.065            15.937            
12   18   10.03467          10.00761          *                 0.00862           0.00399           *                 10.766089         11.805886         11.875912         11.937675         10.876988         11.111629         11.851            12.308            12.974            13.176            
12   20   8.18674           8.08771           *                 0.01958           0.00474           *                 8.622089          8.490023          8.798426          8.834171          8.391926          8.170291          10.728            11.699            11.738            11.131            
12   22   6.37925           6.99039           *                 0.23207           0.02906           *                 8.018569          5.381908          4.235897          5.072278          4.905196          4.616307          4.26              3.965             4.433             5.285             
12   24   *                 4.08582           *                 *                 0.69084           *                 6.659814          5.286719          5.310164          5.24993           4.94859           4.542964          4.899             4.868             5.629             5.66              
12   26   *                 *                 *                 *                 *                 *                 4.84975           3.170902          2.624799          3.130104          3.077609          2.539839          2.418             2.123             2.994             3.803             
12   28   *                 *                 *                 *                 *                 *                 3.043169          1.34211           0.625676          1.283205          1.388231          0.942224          0.989             0.943             1.59              2.448             
12   30   *                 *                 *                 *                 *                 *                 2.002856          0.571595          *                 0.739781          1.13156           0.352798          *                 *                 *                 1.422             
12   32   *                 *                 *                 *                 *                 *                 1.826022          0.229021          *                 0.444313          0.826267          0.291645          *                 *                 *                 0.797             
12   34   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.051559          0.020718          *                 *                 *                 0.325             
14   8    *                 *                 *                 *                 *                 *                 45.304483         46.987429         48.101383         46.549738         45.732323         48.408466         *                 *                 *                 *                 
14   10   *                 *                 *                 *                 *                 *                 33.456328         34.399129         34.820319         34.666352         35.458817         35.886195         *                 *                 *                 32.799            
14   12   34.04194          34.02884          *                 0.0197            0.01947           *                 31.278243         30.725295         31.553238         31.448802         31.918458         32.427091         32.675            32.671            32.032            31.572            
14   14   30.4908           30.49441          *                 0.003             0.00011           *                 28.246602         27.610599         27.597872         27.576934         28.43527          28.244473         30.135            29.057            29.44             29.538            
14   16   19.08277          19.0828           *                 3e-05             2e-05             *                 22.215197         22.517754         22.168832         22.175106         22.070257         21.911969         19.18             19.784            20.251            19.426            
14   18   15.79061          15.78736          *                 4e-05             0.0003            *                 15.217355         16.635425         16.704728         16.63695          15.629095         16.242668         17.759            17.985            17.769            17.571            
14   20   12.0185           12.0218           *                 0.01412           0.01412           *                 12.916214         13.061825         13.584365         13.400578         12.823082         13.004216         15.42             15.879            15.826            15.458            
14   22   8.66837           8.62191           *                 0.12426           0.07317           *                 10.42783          9.367593          8.519307          8.917845          9.057645          7.897853          7.457             7.57              8.268             8.456             
14   24   7.7274            7.87681           *                 0.18477           0.12703           *                 9.727149          7.987018          7.774376          7.90314           7.610923          7.499209          7.23              7.94              8.134             7.919             
14   26   6.60831           6.54266           *                 0.57278           0.36068           *                 8.395569          6.681584          6.203467          6.481203          6.359716          5.754793          6.03              5.776             6.486             7.151             
14   28   *                 *                 *                 *                 *                 *                 7.389852          5.590565          5.005018          5.513556          5.427182          5.165404          6.046             5.674             6.397             6.173             
14   30   *                 *                 *                 *                 *                 *                 5.246747          3.885094          2.971937          3.768811          3.88047           3.185511          1.937             1.63              2.42              3.816             
14   32   *                 *                 *                 *                 *                 *                 4.214749          2.995924          1.392019          2.930223          3.581712          2.513695          1.295             0.912             1.439             2.652             
14   34   *                 *                 *                 *                 *                 *                 1.565429          0.600291          *                 1.244158          1.709857          1.554487          1.043             0.253             0.465             2.091             
14   36   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 1.453             
14   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.516             
16   10   *                 *                 *                 *                 *                 *                 37.697443         39.285681         39.757766         39.192016         39.986854         39.893541         *                 *                 *                 *                 
16   12   *                 *                 *                 *                 *                 *                 35.405013         35.728575         36.139421         35.868796         36.818119         37.069806         *                 *                 36.4              35.382            
16   14   34.27837          34.27509          *                 0.16003           0.16              *                 32.807511         32.38729          32.585391         32.651256         33.396479         33.792173         33.079            32.454            32.859            32.725            
16   16   28.0958           28.09891          *                 0.003             0.00021           *                 26.335131         26.878233         26.277899         26.843388         26.88294          27.332035         26.917            27.425            26.433            26.191            
16   18   20.05873          20.05879          *                 9e-05             4e-05             *                 19.501597         21.295785         21.31598          21.25638          20.159982         21.301398         22.186            23.241            23.06             22.431            
16   20   16.87492          16.87508          *                 0.00022           0.00019           *                 16.978267         17.514365         18.147639         17.761888         17.128535         17.80009          19.853            20.169            20.497            19.88             
16   22   12.33976          12.33971          *                 0.00717           0.00717           *                 14.112171         13.389029         12.660961         13.024945         13.156533         12.151359         12.107            12.077            12.527            12.518            
16   24   12.148            12.11928          *                 0.14148           0.0082            *                 12.732296         11.320384         11.528222         11.346869         11.090273         11.276589         12.219            11.99             12.284            12.019            
16   26   10.95357          10.94253          *                 0.18813           0.00486           *                 12.248195         10.33044          10.345004         10.266897         10.110787         9.510311          9.802             9.85              10.419            10.263            
16   28   7.5813            7.70912           *                 0.41363           0.00592           *                 10.257747         8.861087          8.061786          8.529292          8.566568          7.881391          7.169             7.192             7.722             7.954             
16   30   *                 *                 *                 *                 *                 *                 8.352384          7.304872          6.226222          6.850437          7.39034           6.308218          5.374             5.168             6.011             6.712             
16   32   *                 *                 *                 *                 *                 *                 6.661722          5.785702          4.016908          5.703898          5.963248          5.187821          4.412             4.392             4.648             5.54              
16   34   *                 *                 *                 *                 *                 *                 3.419298          2.938155          2.204919          3.112216          3.352147          3.083445          3.116             3.264             3.302             4.407             
16   36   *                 *                 *                 *                 *                 *                 0.334053          0.285793          *                 0.671422          0.630942          *                 1.743             1.67              1.992             3.555             
16   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.071713          *                 0.71              1.006             1.444             2.551             
16   40   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 1.026             0.794             1.317             
16   42   *                 *                 *                 *                 *                 *                 0.276297          *                 *                 *                 *                 *                 *                 *                 *                 *                 
18   12   *                 *                 *                 *                 *                 *                 *                 40.199885         *                 40.125232         *                 *                 *                 *                 *                 *                 
18   14   *                 39.27413          *                 *                 0.20616           *                 36.98349          36.878697         37.203149         37.117038         37.731805         38.582081         *                 *                 37.65             36.715            
18   16   32.31965          32.32057          *                 0.0018            0.00177           *                 30.557113         31.418052         30.806717         31.369187         31.166196         32.182131         31.323            32.43             31.416            31.016            
18   18   27.99696          27.99588          *                 0.00039           8e-05             *                 24.453922         26.115792         26.262917         26.060343         24.941979         26.631784         28.207            28.769            27.971            27.448            
18   20   20.62565          20.62592          *                 0.00034           0.0002            *                 21.602775         22.1586           22.915286         22.46475          21.728585         22.976853         24.464            24.947            25.549            24.534            
18   22   16.46798          16.46771          *                 0.00034           0.00019           *                 18.009837         17.499592         16.953707         17.27237          17.391533         16.646674         16.237            16.179            16.32             16.611            
18   24   15.52541          15.52541          *                 0.00578           0.00578           *                 16.478967         15.202654         14.985309         15.062041         15.244759         14.658705         14.808            14.63             15.065            14.954            
18   26   14.39301          14.39321          *                 0.00599           0.00599           *                 15.613035         13.852103         13.92571          13.752624         13.675982         13.355053         13.57             13.399            13.818            13.605            
18   28   13.18971          13.24231          *                 0.04092           0.00194           *                 13.907637         12.244843         12.029346         12.113839         12.113589         11.591012         11.951            12.04             12.225            11.826            
18   30   *                 8.65104           *                 *                 0.3074            *                 11.18228          10.636758         9.167615          10.264475         10.534645         9.751396          8.639             8.121             9.047             9.49              
18   32   *                 *                 *                 *                 *                 *                 9.01452           8.457581          7.123347          7.998103          8.275623          7.69499           7.091             7.351             7.432             7.95              
18   34   *                 *                 *                 *                 *                 *                 5.509329          5.445135          4.658445          5.240671          5.306305          4.891575          5.509             5.963             6.102             6.808             
18   36   *                 *                 *                 *                 *                 *                 3.090039          3.13246           2.759789          3.378791          3.263512          2.517006          4.219             4.32              4.41              5.848             
18   38   *                 *                 *                 *                 *                 *                 2.377259          1.921617          2.150965          2.568132          2.663249          1.75723           3.588             3.729             4.181             4.832             
18   40   *                 *                 *                 *                 *                 *                 1.993787          0.864126          1.205179          1.450476          1.617751          0.763346          2.528             3.755             3.442             3.41              
18   42   *                 *                 *                 *                 *                 *                 1.493156          *                 *                 *                 *                 *                 *                 *                 *                 1.18              
18   44   *                 *                 *                 *                 *                 *                 1.512978          *                 *                 *                 *                 *                 *                 *                 *                 0.471             
18   46   *                 *                 *                 *                 *                 *                 1.084859          *                 *                 *                 *                 *                 *                 *                 *                 0.173             
18   48   *                 *                 *                 *                 *                 *                 0.719531          *                 *                 *                 *                 *                 *                 *                 *                 0.0               
18   50   *                 *                 *                 *                 *                 *                 0.434381          *                 *                 *                 *                 *                 *                 *                 *                 *                 
20   14   *                 *                 *                 *                 *                 *                 40.94857          41.16274          41.656158         41.318589         *                 42.975557         *                 *                 *                 *                 
20   16   *                 *                 *                 *                 *                 *                 34.46783          35.726031         35.306568         35.583598         35.250607         36.6674           36.13             36.611            36.041            35.319            
20   18   31.76249          31.74998          *                 0.04026           0.04              *                 29.066771         30.7572           30.991106         30.699231         29.520565         31.702398         32.35             33.033            32.579            32.035            
20   20   28.92969          28.93052          *                 0.00455           0.0002            *                 26.133367         26.779512         27.522115         27.018514         26.24927          27.998324         29.795            30.338            29.233            29.075            
20   22   19.84343          19.84349          *                 0.00014           0.00015           *                 21.845594         21.473512         21.114745         21.385105         21.511149         21.131846         20.565            20.602            21.251            20.738            
20   24   19.06404          19.06406          *                 0.00029           0.00029           *                 20.19293          19.093457         18.926799         19.04855          19.241774         18.88685          18.81             18.307            18.729            18.856            
20   26   17.80923          17.81332          *                 0.00228           0.00226           *                 19.303946         17.536387         17.839646         17.573772         17.589283         17.360868         17.259            16.978            17.547            17.234            
20   28   17.22169          17.2279           *                 0.00411           0.00223           *                 17.450699         15.710691         15.714745         15.585862         15.599879         15.261111         15.889            15.569            15.932            15.26             
20   30   11.49934          11.50723          *                 0.00832           0.00159           *                 13.716859         13.722851         12.002223         13.08319          13.35127          12.653689         10.82             10.325            11.32             11.909            
20   32   9.08094           10.81968          *                 0.69868           0.00172           *                 11.346485         11.183203         9.77639           10.366244         10.605666         10.081873         9.549             9.346             9.725             10.378            
20   34   *                 7.03695           *                 *                 0.04844           *                 7.824033          8.137645          7.271772          7.669938          7.557515          7.072052          8.222             8.521             8.527             9.175             
20   36   *                 *                 *                 *                 *                 *                 5.952711          6.093123          5.743496          6.157471          6.000351          5.400318          7.201             7.812             7.706             8.152             
20   38   *                 *                 *                 *                 *                 *                 5.303879          4.920439          5.196841          5.400028          5.330014          4.617528          6.447             7.246             7.101             7.137             
20   40   *                 *                 *                 *                 *                 *                 4.777677          3.787621          4.02226           4.167203          4.159717          3.421732          5.193             6.147             5.817             5.644             
20   42   *                 *                 *                 *                 *                 *                 4.158162          2.407852          1.743241          2.25479           2.189468          1.430886          0.973             0.769             2.024             2.886             
20   44   *                 *                 *                 *                 *                 *                 3.698669          1.413725          0.572371          1.123265          1.124686          0.51035           0.455             *                 0.958             1.938             
20   46   *                 *                 *                 *                 *                 *                 3.291798          0.734038          0.333491          0.724253          0.675191          0.301215          *                 *                 0.663             1.504             
20   48   *                 *                 *                 *                 *                 *                 2.911189          0.234129          0.028631          0.35954           0.534152          0.275517          *                 *                 0.023             1.202             
20   50   *                 *                 *                 *                 *                 *                 1.992916          *                 *                 0.020038          0.215939          0.117577          *                 *                 *                 0.95              
20   52   *                 *                 *                 *                 *                 *                 1.041996          *                 *                 *                 0.158577          0.092868          *                 *                 *                 0.707             
20   54   *                 *                 *                 *                 *                 *                 0.524746          *                 *                 *                 *                 0.110268          *                 *                 *                 0.454             
20   56   *                 *                 *                 *                 *                 *                 0.431808          *                 *                 *                 *                 0.021712          *                 *                 *                 0.173             
22   18   *                 *                 *                 *                 *                 *                 33.004492         34.86169          35.200651         34.870938         33.797796         36.08737          *                 *                 *                 *                 
22   20   32.41391          32.39692          *                 0.16009           0.16              *                 30.015934         30.769855         31.717737         31.197914         30.458092         32.489479         34.075            34.704            33.754            33.141            
22   22   28.56954          28.58653          *                 0.00549           0.00075           *                 25.142198         25.007447         24.884805         25.199087         25.359734         25.1896           24.653            24.065            24.748            24.611            
22   24   22.7176           22.72186          *                 0.00109           0.00072           *                 23.462983         22.535706         22.632984         22.861776         23.009831         22.973667         23.39             22.884            23.019            22.797            
22   26   20.50694          20.50754          *                 0.00029           0.00014           *                 22.510492         20.94829          21.408708         21.190543         21.295835         21.043783         20.662            20.248            20.928            20.927            
22   28   19.08158          19.08159          *                 5e-05             5e-05             *                 20.547077         18.912493         19.118636         18.908684         19.003737         18.818965         19.533            19.1              19.486            19.134            
22   30   14.1808           14.18079          *                 0.00707           0.00707           *                 16.026573         16.530641         14.77465          15.7975           16.01746          15.26898          13.211            13.388            13.794            14.007            
22   32   12.27219          12.29479          *                 0.12492           0.08276           *                 13.646252         13.748953         12.44259          12.796378         13.027558         12.411163         12.024            12.388            12.409            12.662            
22   34   9.48502           9.8407            *                 0.23227           0.14663           *                 10.092405         10.70157          9.984586          10.155882         9.889049          9.428756          10.894            11.154            11.214            11.552            
22   36   *                 *                 *                 *                 *                 *                 8.422007          8.826927          8.49804           8.791914          8.552158          8.093216          9.977             10.344            10.355            10.556            
22   38   *                 *                 *                 *                 *                 *                 7.810503          7.701099          7.927414          8.032246          7.836743          7.361339          9.141             9.824             9.633             9.527             
22   40   *                 *                 *                 *                 *                 *                 7.262928          6.30823           6.74304           6.749401          6.603616          6.067001          8.091             8.865             8.505             8.007             
22   42   *                 *                 *                 *                 *                 *                 6.519299          4.900401          4.310665          4.811758          4.699379          3.967438          3.328             3.296             4.492             5.014             
22   44   *                 *                 *                 *                 *                 *                 5.949745          3.823747          3.106498          3.714787          3.464954          3.514905          2.611             2.592             3.518             3.816             
22   46   *                 *                 *                 *                 *                 *                 5.924045          3.421454          2.807679          3.626231          3.716222          3.091666          2.507             2.397             2.998             3.194             
22   48   *                 *                 *                 *                 *                 *                 4.82653           2.521781          2.563301          2.549567          2.533173          2.044008          1.568             1.354             2.176             2.78              
22   50   *                 *                 *                 *                 *                 *                 3.98206           1.58572           1.407153          1.615452          1.667629          1.286116          0.906             0.788             1.47              2.223             
22   52   *                 *                 *                 *                 *                 *                 2.246062          0.873153          *                 0.964423          1.09658           0.852146          0.473             0.166             0.527             1.82              
22   54   *                 *                 *                 *                 *                 *                 1.445676          0.441041          *                 0.565401          0.949045          0.934288          0.222             *                 *                 1.553             
22   56   *                 *                 *                 *                 *                 *                 1.41735           0.134152          *                 0.530324          0.783668          0.738319          *                 *                 *                 1.236             
22   58   *                 *                 *                 *                 *                 *                 0.588929          *                 *                 *                 0.468576          0.599218          *                 *                 *                 0.856             
22   60   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.425             
