Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
16     26     42     -350.857565             0.132477       -1.5e-05       8037      YES            
16     28     44     -361.144814             -0.093628      1.9e-05        8153      YES            
16     30     46     -369.489314             9e-05          1e-06          8199      YES            
16     32     48     -376.186394             0.00088        -4e-06         8317      YES            
16     34     50     -379.601402             0.0            0.0            8378      YES            
16     36     52     -379.853814             1e-06          0.0            8438      YES            
16     38     54     -379.423419             0.0            0.0            8483      YES            
16     40     56     -379.301208             0.164648       0.000342       8591      YES            
16     42     58     -379.604144             0.225494       -0.000417      8636      YES            
16     44     60     -379.342232             0.249371       5.7e-05        8772      YES            
16     46     62     -378.434451             0.255391       0.000205       8802      YES            
16     48     64     -376.950849             0.240579       -5.1e-05       8921      YES            
18     6      24     -82.429532              1.051221       6.205725       9000      YES            
18     8      26     -134.514624             0.001027       0.0            9039      YES            
18     10     28     -175.811652             0.002884       -6e-06         9134      YES            
18     12     30     -215.244962             -0.002404      8e-06          9197      YES            
18     14     32     -252.268315             0.000423       7e-06          9240      YES            
18     16     34     -282.803348             -9.7e-05       0.0            9319      YES            
18     18     36     -307.216038             9.9e-05        2e-06          9389      YES            
18     20     38     -328.850852             6.5e-05        -2e-06         9465      YES            
18     22     40     -346.78371              3.7e-05        0.0            9549      YES            
18     24     42     -363.232725             2.1e-05        -0.0           9623      YES            
18     26     44     -378.877884             7e-06          0.0            9698      YES            
18     28     46     -392.862968             7e-05          0.0            9787      YES            
18     30     48     -404.01155              -2.1e-05       1e-06          9892      YES            
18     32     50     -413.074491             7e-06          -0.0           9923      YES            
18     34     52     -418.567706             -1e-06         -2e-06         10013     YES            
18     36     54     -421.596446             0.0            0.0            10058     YES            
18     38     56     -423.95176              -0.000329      2e-06          10191     YES            
18     40     58     -425.956673             -0.000792      1e-06          10220     YES            
18     42     60     -427.486562             -0.001623      -3e-06         10310     YES            
18     44     62     -428.984412             0.111737       0.000656       10378     YES            
18     46     64     -430.100354             0.134519       0.000166       10436     YES            
18     48     66     -430.809713             -0.123325      -6.2e-05       10520     YES            
18     50     68     -431.273357             -0.142158      2e-06          10638     YES            
18     52     70     -431.231689             -0.148133      6.5e-05        10653     YES            
18     54     72     -430.541503             -0.139915      1.8e-05        10788     YES            
18     56     74     -429.080923             -0.09971       2.3e-05        10803     YES            
20     8      28     -123.76426              1.084748       6.74929        10950     YES            
20     10     30     -168.007169             -0.007274      1.1e-05        10984     YES            
20     12     32     -211.255898             -0.00141       2e-06          11044     YES            
20     14     34     -252.242773             0.000331       4e-06          11140     YES            
20     16     36     -286.707379             0.00014        -2e-06         11188     YES            
20     18     38     -315.758791             5.1e-05        -0.0           11261     YES            
20     20     40     -341.922567             0.000818       2.4e-05        11352     YES            
20     22     42     -363.692212             1.5e-05        0.0            11467     YES            
20     24     44     -383.867587             -0.0           -0.0           11483     YES            
