Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
11   18   -216.901          9.7          31.4545      7.85325      7.3015       -8.3105      
11   19   -218.2435         10.8115      34.8595      1.3425       9.19575      -11.77       
11   20   -224.976          11.633       35.9745      6.7325       8.075        -11.2295     
12   8    -134.087          9.1725       1.855        *            *            *            
12   9    -148.9895         7.166        5.192        14.9025      *            *            
12   10   -165.492          5.9595       10.129       16.5025      31.405       -4.96        
12   11   -178.383          7.8055       13.806       12.891       29.3935      -6.2855      
12   12   -192.874          9.8565       17.893       14.491       27.382       -9.211       
12   13   -202.33           14.1795      22.324       9.456        23.947       -9.453       
12   14   -211.786          16.8625      23.475       9.456        18.912       -8.505       
12   15   -218.548          18.3165      27.473       6.762        16.218       -10.242      
12   16   -227.84           18.2405      28.411       9.292        16.054       -11.229      
12   17   -229.9505         20.90275     31.2255      2.1105       11.4025      -10.5755     
12   18   -239.691          22.79        32.49        9.7405       11.851       -11.962      
12   19   -242.505          24.2615      35.073       2.814        12.5545      -15.48       
12   20   -250.419          25.443       37.076       7.914        10.728       -14.918      
12   21   -249.719          *            *            -0.7         7.214        -13.987      
12   22   -254.679          *            *            4.96         4.26         -13.036      
12   23   -251.6485         *            *            -3.0305      1.9295       *            
12   24   -259.578          *            *            7.9295       4.899        *            
12   25   -254.242          *            *            -5.336       2.5935       *            
12   26   -261.996          *            *            7.754        2.418        *            
12   27   -253.9355         *            *            -8.0605      -0.3065      *            
12   28   -262.985          *            *            9.0495       0.989        *            
13   10   -163.0315         -2.4605      3.499        *            *            -9.817       
13   11   -177.28825        -1.09475     6.71075      14.25675     *            -7.16475     
13   12   -196.865          3.991        13.8475      19.57675     33.8335      -9.0325      
13   13   -206.47175        4.14175      18.32125     9.60675      29.1835      -7.59425     
13   14   -218.7385         6.9525       23.815       12.26675     21.8735      -7.421       
13   15   -226.672          8.124        26.4405      7.9335       20.20025     -10.2215     
13   16   -238.1305         10.2905      28.531       11.4585      19.392       -14.907      
13   17   -240.498          10.5475      31.45025     2.3675       13.826       -11.9665     
13   18   -250.3755         10.6845      33.4745      9.8775       12.245       -12.476      
13   19   -254.69           12.185       36.4465      4.3145       14.192       -17.34225    
13   20   -262.9895         12.5705      38.0135      8.2995       12.614       -17.7885     
13   21   -263.33625        13.61725     *            0.34675      8.64625      -16.79275    
13   22   -270.388          15.709       *            7.05175      7.3985       -17.112      
13   23   -267.21525        15.56675     *            -3.17275     3.879        *            
13   24   -275.8825         16.3045      *            8.66725      5.4945       *            
13   25   -272.777          18.535       *            -3.1055      5.56175      *            
13   26   -282.6665         20.6705      *            9.8895       6.784        *            
13   27   -278.15275        24.21725     *            -4.51375     5.37575      *            
13   28   -286.194          23.209       *            8.04125      3.5275       *            
14   10   -168.181          5.1495       2.689        *            *            -5.794       
14   11   -179.9985         2.71025      1.6155       11.8175      *            -2.709       
14   12   -200.856          3.991        7.982        20.8575      32.675       -7.064       
14   13   -213.2635         6.79175      10.9335      12.4075      33.265       -6.5805      
14   14   -230.991          12.2525      19.205       17.7275      30.135       -9.817       
14   15   -238.321          11.649       19.773       7.33         25.0575      -7.691       
14   16   -250.171          12.0405      22.331       11.85        19.18        -10.085      
14   17   -255.3555         14.8575      25.405       5.1845       17.0345      -8.5075      
14   18   -267.93           17.5545      28.239       12.5745      17.759       -11.79       
14   19   -274.205          19.515       31.7         6.275        18.8495      -15.9545     
14   20   -283.35           20.3605      32.931       9.145        15.42        -15.359      
14   21   -283.2035         19.86725     33.4845      -0.1465      8.9985       -12.3985     
14   22   -290.807          20.419       36.128       7.6035       7.457        -12.088      
