Z,N,BE(MeV),BE_sd(MeV),BE_BEA(MeV),diff(MeV)
0,1,6.819999999999999e-05,5.3e-07,0.0,6.819999999999999e-05
1,0,8.17e-05,1.1e-07,0.0,8.17e-05
1,1,2.22471592,3.5e-07,2.224566,0.0001499200000001366
1,2,8.4820168,2.31e-06,8.481798000000001,0.00021879999999896427
2,1,7.71827495,2.4199999999999997e-06,7.718043,0.00023194999999986976
1,3,5.6016901,0.103286,5.6014040000000005,0.0002860999999994007
2,2,28.29595935,6.000000000000001e-08,28.29566,0.0002993499999988103
3,1,4.6153569,0.21213200000000001,4.615044,0.00031289999999994933
1,4,6.6821534,0.1,6.681799999999999,0.00035340000000072536
2,3,27.4060273,0.05,27.405659999999997,0.0003673000000041782
3,2,26.3310412,0.05,26.330659999999995,0.0003812000000067428
1,5,5.7822217,0.26490600000000003,5.781798000000001,0.0004236999999989166
2,4,29.2685396,0.000755,29.268102,0.00043760000000148125
3,3,31.9945195,1.4999999999999999e-05,31.99407,0.00044949999999843726
4,2,26.9240324,0.005448000000000001,26.923572,0.00046040000000147074
2,5,28.833992900000002,0.016658000000000003,28.833489999999998,0.0005029000000043027
3,4,39.2445568,7.9e-05,39.244037000000006,0.0005197999999921876
4,3,37.6003307,0.000106,37.599799999999995,0.0005307000000058792
5,2,24.719685600000002,0.070712,24.719142,0.0005436000000003105
2,6,31.408372200000002,0.006868,31.407799999999998,0.0005722000000041305
3,5,41.277239099999996,9.5e-05,41.276656,0.0005830999999929531
4,4,56.500078,3.5000000000000004e-05,56.499480000000005,0.0005979999999965457
5,3,37.7379269,0.001,37.737311999999996,0.0006149000000021942
6,2,24.7830238,0.023068,24.782400000000003,0.0006237999999960664
2,7,30.138372500000003,0.029418,30.137733,0.0006395000000019024
3,6,45.3412044,0.001935,45.340551,0.0006534000000044671
4,5,58.1654873,0.000398,58.164822,0.0006653000000014231
5,4,56.3151212,0.000983,56.314440000000005,0.0006811999999953855
6,3,39.037978100000004,0.0021379999999999997,39.037284,0.0006941000000040276
2,8,30.339983800000002,0.07000100000000001,30.33927,0.0007138000000033173
3,7,45.3162727,0.015124,45.31555,0.0007226999999971895
4,6,64.9778506,0.00040100000000000004,64.97711,0.0007406000000003132
5,5,64.7514565,0.000386,64.75071,0.0007465000000053124
6,4,60.3211724,0.00040300000000000004,60.32041,0.0007623999999992748
7,3,36.4373733,0.4,36.4366,0.0007732999999987555
3,8,45.640929,0.019295000000000003,45.640144,0.0007850000000004798
4,7,65.4818419,0.006356,65.481042,0.0007999000000040724
5,6,76.2056418,0.00041799999999999997,76.204821,0.0008207999999996218
6,5,73.44089770000001,0.00095,73.44006999999999,0.0008277000000163071
7,4,59.0053376,0.046155999999999996,59.004495000000006,0.0008425999999914779
4,8,68.6507852,0.015005000000000001,68.649912,0.0008732000000009066
5,7,79.5760591,0.0014,79.575168,0.0008910999999898195
6,6,92.162625,0.0,92.161728,0.0008970000000090295
7,5,74.0422099,0.001,74.041296,0.0009139000000004671
8,4,58.5500048,0.018466,58.549080000000004,0.0009247999999999479
4,9,68.5508535,0.07159,68.54991,0.0009435000000053151
5,8,84.4541774,0.0010840000000000001,84.453226,0.0009514000000052647
6,7,97.10899901,9.1e-07,97.108037,0.0009620100000091725
7,6,94.1061962,0.00027,94.10521899999999,0.000977200000008338
8,5,75.5569161,0.009526,75.555922,0.0009940999999997757
4,10,69.9155638,0.132245,69.914558,0.0010058000000015
5,9,85.42404570000001,0.021213000000000003,85.42303,0.001015700000010611
6,8,105.28550255,3.8e-06,105.284466,0.0010365500000091288
7,7,104.65964546,5.8e-07,104.65859599999999,0.0010494600000043874
8,6,98.73337339999999,0.00010899999999999999,98.73231200000001,0.0010613999999833368
5,10,88.186836,0.022369,88.18575,0.0010860000000008085
6,9,106.5036369,0.0008,106.50253500000001,0.001101899999994771
7,8,115.49300975,7e-07,115.491885,0.0011247500000024502
