N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
34	25	59	Mn	-55479.562	30.006	8680.146	0.509
33	26	59	Fe	-60663.114	0.712	8754.743	0.012
32	27	59	Co	-62228.412	0.624	8768.013	0.011
31	28	59	Ni	-61155.65	0.608	8736.57	0.01
30	29	59	Cu	-56357.224	0.788	8641.981	0.013
29	30	59	Zn	-47260.499	37.147	8474.539	0.63
28	31	59	Ga	-34121#	168#	8239#	3#
27	32	59	Ge	-17000#	279#	7935#	5#
39	21	60	Sc	-3996#	904#	7864#	15#
38	22	60	Ti	-21648#	801#	8145#	13#
37	23	60	V	-32577.268	474.712	8314.372	7.912
36	24	60	Cr	-46503.876	213.397	8533.443	3.557
35	25	60	Mn	-53177.832	86.07	8631.637	1.434
34	26	60	Fe	-61411.832	3.464	8755.831	0.058
33	27	60	Co	-61649.012	0.628	8746.745	0.01
32	28	60	Ni	-64472.079	0.607	8780.757	0.01
31	29	60	Cu	-58344.099	1.686	8665.585	0.028
30	30	60	Zn	-54187.768	10.556	8583.273	0.176
29	31	60	Ga	-39998#	112#	8334#	2#
28	32	60	Ge	-27768#	233#	8117#	4#
27	33	60	As	-6399#	596#	7748#	10#
39	22	61	Ti	-15649#	904#	8046#	15#
38	23	61	V	-29361#	401#	8258#	7#
37	24	61	Cr	-42180.653	254.607	8454.995	4.174
36	25	61	Mn	-51555.736	227.914	8595.859	3.736
35	26	61	Fe	-58921.391	20.009	8703.782	0.328
34	27	61	Co	-62898.422	0.928	8756.154	0.015
33	28	61	Ni	-64220.892	0.607	8765.009	0.01
32	29	61	Cu	-61983.64	0.978	8715.507	0.016
31	30	61	Zn	-56345.48	16.278	8610.253	0.267
30	31	61	Ga	-47090.48	52.583	8445.706	0.862
29	32	61	Ge	-33729#	298#	8214#	5#
28	33	61	As	-18052#	596#	7944#	10#
40	22	62	Ti	-11653#	904#	7982#	15#
39	23	62	V	-24424#	503#	8175#	8#
38	24	62	Cr	-40414.553	336.992	8420.321	5.435
37	25	62	Mn	-48038.804	223.088	8530.674	3.598
36	26	62	Fe	-58900.749	14.489	8693.248	0.234
35	27	62	Co	-61431.505	20.009	8721.448	0.323
34	28	62	Ni	-66746.096	0.597	8794.549	0.01
33	29	62	Cu	-62797.837	4.101	8718.249	0.066
32	30	62	Zn	-61171.431	10.023	8679.398	0.162
31	31	62	Ga	-52000.431	27.865	8518.86	0.449
30	32	62	Ge	-42243#	140#	8349#	2#
29	33	62	As	-24964#	298#	8058#	5#
41	22	63	Ti	-5198#	997#	7881#	16#
40	23	63	V	-20912#	596#	8118#	9#
39	24	63	Cr	-35527#	298#	8337#	5#
38	25	63	Mn	-46351.151	258.342	8496.595	4.101
37	26	63	Fe	-55545.834	168.133	8630.124	2.669
36	27	63	Co	-61840.387	20.009	8717.619	0.318
35	28	63	Ni	-65512.556	0.597	8763.489	0.009
34	29	63	Cu	-65579.531	0.597	8752.134	0.009
33	30	63	Zn	-62213.025	1.583	8686.279	0.025
32	31	63	Ga	-56547.093	1.304	8583.926	0.021
31	32	63	Ge	-46910#	196#	8419#	3#
30	33	63	As	-33823#	503#	8198#	8#
41	23	64	V	-15398#	699#	8031#	11#
40	24	64	Cr	-33152#	401#	8296#	6#
39	25	64	Mn	-42616.698	266.746	8431.599	4.168
38	26	64	Fe	-54770.668	276.563	8609.28	4.321
37	27	64	Co	-59792.686	20.009	8675.525	0.313
36	28	64	Ni	-67099.277	0.61	8777.467	0.01
35	29	64	Cu	-65424.243	0.6	8739.07	0.009
34	30	64	Zn	-66003.595	0.683	8735.898	0.011
33	31	64	Ga	-58834.328	2.02	8611.654	0.032
32	32	64	Ge	-54349.881	31.671	8529.361	0.495
31	33	64	As	-39521#	358#	8285#	6#
42	23	65	V	-11252#	801#	7968#	12#
41	24	65	Cr	-27796#	503#	8210#	8#
40	25	65	Mn	-40672.693	536.695	8396.148	8.257
39	26	65	Fe	-50877.951	243.259	8541.116	3.742
38	27	65	Co	-59169.934	13.146	8656.649	0.202
37	28	65	Ni	-65126.052	0.623	8736.246	0.01
36	29	65	Cu	-67263.661	0.678	8757.096	0.01
35	30	65	Zn	-65911.599	0.684	8724.259	0.011
34	31	65	Ga	-62657.173	0.833	8662.154	0.013
33	32	65	Ge	-56414.625	100.002	8554.079	1.538
32	33	65	As	-46981#	302#	8397#	5#
31	34	65	Se	-32919#	596#	8169#	9#
42	24	66	Cr	-24796#	596#	8163#	9#
41	25	66	Mn	-36254#	401#	8324#	6#
40	26	66	Fe	-49573.517	302.64	8514.234	4.585
39	27	66	Co	-56111.332	252.102	8601.438	3.82
38	28	66	Ni	-66006.285	1.397	8739.508	0.021
37	29	66	Cu	-66258.274	0.683	8731.472	0.01
36	30	66	Zn	-68899.427	0.92	8759.636	0.014
35	31	66	Ga	-63724.427	3.138	8669.373	0.048
34	32	66	Ge	-61624.427	30.164	8625.701	0.457
33	33	66	As	-51502.304	679.991	8460.482	10.303
32	34	66	Se	-41722#	298#	8300#	5#
43	24	67	Cr	-19049#	699#	8075#	10#
42	25	67	Mn	-33403#	503#	8278#	8#
41	26	67	Fe	-45692.348	415.57	8449.695	6.203
40	27	67	Co	-55061.049	318.259	8577.85	4.75
39	28	67	Ni	-63742.68	2.888	8695.75	0.043
38	29	67	Cu	-67318.779	1.211	8737.447	0.018
37	30	67	Zn	-67880.441	0.936	8734.154	0.014
36	31	67	Ga	-66879.683	1.271	8707.54	0.019
35	32	67	Ge	-62657.81	4.666	8632.85	0.07
34	33	67	As	-56647.81	100.109	8531.472	1.494
33	34	67	Se	-46491#	196#	8368#	3#
32	35	67	Br	-32798#	503#	8152#	8#
43	25	68	Mn	-28597#	596#	8204#	9#
42	26	68	Fe	-43128.173	698.621	8406.422	10.274
41	27	68	Co	-51350.415	318.259	8515.833	4.68
40	28	68	Ni	-63463.815	2.981	8682.466	0.044
39	29	68	Cu	-65567.035	1.584	8701.89	0.023
38	30	68	Zn	-70007.22	0.955	8755.682	0.014
37	31	68	Ga	-67086.12	1.534	8701.22	0.023
36	32	68	Ge	-66979.785	6.227	8688.151	0.092
35	33	68	As	-58899.233	43.366	8557.814	0.638
34	34	68	Se	-54214.814	32.602	8477.42	0.479
33	35	68	Br	-38642#	358#	8237#	5#
44	25	69	Mn	-25299#	801#	8155#	12#
43	26	69	Fe	-38396#	503#	8333#	7#
42	27	69	Co	-50002.598	335.338	8489.857	4.86
41	28	69	Ni	-59978.648	3.726	8623.099	0.054
40	29	69	Cu	-65736.213	1.397	8695.203	0.02
39	30	69	Zn	-68417.973	0.969	8722.731	0.014
38	31	69	Ga	-69327.758	1.204	8724.578	0.017
37	32	69	Ge	-67100.605	1.324	8680.962	0.019
36	33	69	As	-63086.666	31.216	8611.451	0.452
35	34	69	Se	-56301.531	34.443	8501.777	0.499
34	35	69	Br	-46476#	105#	8348#	2#
33	36	69	Kr	-32435#	401#	8133#	6#
44	26	70	Fe	-35900#	596#	8294#	9#
43	27	70	Co	-45643.206	838.345	8421.601	11.976
42	28	70	Ni	-59149.87	345.8	8603.377	4.94
41	29	70	Cu	-62976.127	1.584	8646.861	0.023
40	30	70	Zn	-69564.648	1.952	8729.806	0.028
39	31	70	Ga	-68910.089	1.208	8709.279	0.017
38	32	70	Ge	-70563.111	1.027	8721.717	0.015
37	33	70	As	-64343.111	50.011	8621.684	0.714
36	34	70	Se	-62046.216	61.582	8577.695	0.88
35	35	70	Br	-51426#	306#	8415#	4#
34	36	70	Kr	-41676#	385#	8264#	5#
45	26	71	Fe	-31000#	801#	8221#	11#
44	27	71	Co	-43873.368	838.345	8391.74	11.808
43	28	71	Ni	-55203.797	368.036	8540.304	5.184
42	29	71	Cu	-62711.127	1.49	8635.022	0.021
41	30	71	Zn	-67326.897	10.189	8689.014	0.144
40	31	71	Ga	-70140.242	1.018	8717.62	0.014
39	32	71	Ge	-69907.736	1.025	8703.326	0.014
38	33	71	As	-67894.336	4.209	8663.949	0.059
37	34	71	Se	-63116.336	31.587	8585.635	0.445
36	35	71	Br	-57063.323	568.211	8489.362	8.003
35	36	71	Kr	-46923.323	652.123	8335.526	9.185
34	37	71	Rb	-32304#	503#	8119#	7#
46	26	72	Fe	-28299#	801#	8182#	11#
45	27	72	Co	-39300#	596#	8324#	8#
44	28	72	Ni	-53940.319	436.425	8516.242	6.061
43	29	72	Cu	-59782.999	1.397	8586.525	0.019
42	30	72	Zn	-68131.38	6.086	8691.609	0.085
41	31	72	Ga	-68589.38	1.017	8687.104	0.014
40	32	72	Ge	-72585.911	1.635	8731.745	0.023
39	33	72	As	-68229.809	4.398	8660.378	0.061
38	34	72	Se	-67894.407	12.057	8644.854	0.167
37	35	72	Br	-59015.201	59.61	8510.665	0.828
36	36	72	Kr	-53940.919	7.993	8429.323	0.111
35	37	72	Rb	-38117#	503#	8199#	7#
46	27	73	Co	-37036#	699#	8289#	10#
45	28	73	Ni	-49863#	298#	8454#	4#
44	29	73	Cu	-58986.595	3.912	8568.557	0.054
43	30	73	Zn	-65410.343	40.034	8645.837	0.548
42	31	73	Ga	-69699.335	1.677	8693.873	0.023
41	32	73	Ge	-71297.534	1.635	8705.049	0.022
40	33	73	As	-70956.701	3.928	8689.663	0.054
39	34	73	Se	-68217.642	10.689	8641.425	0.146
38	35	73	Br	-63628.936	50.79	8567.849	0.696
37	36	73	Kr	-56551.751	6.578	8460.184	0.09
36	37	73	Rb	-46052#	150#	8306#	2#
35	38	73	Sr	-31699#	596#	8098#	8#
47	27	74	Co	-32248#	801#	8222#	11#
46	28	74	Ni	-48372#	401#	8429#	5#
45	29	74	Cu	-56006.205	6.148	8521.562	0.083
44	30	74	Zn	-65708.883	47.138	8642.107	0.637
43	31	74	Ga	-68049.585	3.726	8663.166	0.05
42	32	74	Ge	-73422.437	1.635	8725.2	0.022
41	33	74	As	-70859.967	2.349	8680	0.032
40	34	74	Se	-72212.735	1.676	8687.708	0.023
39	35	74	Br	-65306.081	15.093	8583.803	0.204
38	36	74	Kr	-62331.509	2.04	8533.034	0.028
37	37	74	Rb	-51917.05	3.675	8381.726	0.05
36	38	74	Sr	-40697#	503#	8220#	7#
48	27	75	Co	-29500#	801#	8183#	11#
47	28	75	Ni	-43901#	401#	8365#	5#
46	29	75	Cu	-54119.802	978.069	8490.407	13.041
45	30	75	Zn	-62469.023	70.63	8591.299	0.942
44	31	75	Ga	-68464.58	2.422	8660.808	0.032
43	32	75	Ge	-71856.427	1.636	8695.602	0.022
42	33	75	As	-73032.41	1.818	8700.85	0.024
41	34	75	Se	-72169.018	1.674	8678.907	0.022
40	35	75	Br	-69139.018	14.241	8628.076	0.19
39	36	75	Kr	-64323.624	8.104	8553.439	0.108
38	37	75	Rb	-57221.677	7.452	8448.315	0.099
37	38	75	Sr	-46621.677	220.126	8296.551	2.935
48	28	76	Ni	-41610#	904#	8331#	12#
47	29	76	Cu	-50975.985	6.707	8443.527	0.088
46	30	76	Zn	-62136.64	80.024	8580.083	1.053
45	31	76	Ga	-66296.64	1.956	8624.526	0.026
44	32	76	Ge	-73213.046	1.651	8705.238	0.022
43	33	76	As	-72289.504	1.819	8682.792	0.024
42	34	76	Se	-75252.05	1.651	8711.478	0.022
41	35	76	Br	-70289.169	9.467	8635.883	0.125
40	36	76	Kr	-69014.318	4.032	8608.815	0.053
39	37	76	Rb	-60479.832	1.863	8486.225	0.025
38	38	76	Sr	-54243.893	37.26	8393.879	0.49
37	39	76	Y	-38704#	503#	8179#	7#
49	28	77	Ni	-36747#	503#	8264#	7#
48	29	77	Cu	-48577#	401#	8408#	5#
47	30	77	Zn	-58722.344	120.024	8529.135	1.559
46	31	77	Ga	-65992.344	2.422	8613.39	0.031
45	32	77	Ge	-71214.029	1.699	8671.044	0.022
44	33	77	As	-73916.577	2.304	8695.981	0.03
43	34	77	Se	-74599.594	1.652	8694.691	0.021
42	35	77	Br	-73234.914	3.26	8666.808	0.042
41	36	77	Kr	-70169.443	1.956	8616.836	0.025
40	37	77	Rb	-64824.531	7.452	8537.261	0.097
39	38	77	Sr	-57804.063	9.315	8435.926	0.121
38	39	77	Y	-46905#	62#	8284#	1#
50	28	78	Ni	-34298#	1099#	8230#	14#
49	29	78	Cu	-44749#	401#	8354#	5#
48	30	78	Zn	-57342.57	90.033	8505.576	1.154
47	31	78	Ga	-63706.57	2.422	8577.135	0.031
46	32	78	Ge	-71862.211	3.902	8671.665	0.05
45	33	78	As	-72817.419	9.934	8673.881	0.127
44	34	78	Se	-77026.086	1.655	8717.808	0.021
43	35	78	Br	-73452.302	3.94	8661.96	0.051
42	36	78	Kr	-74179.727	1.075	8661.256	0.014
41	37	78	Rb	-66936.228	7.452	8558.361	0.096
40	38	78	Sr	-63173.924	7.452	8500.096	0.096
39	39	78	Y	-52527#	401#	8354#	5#
38	40	78	Zr	-41703#	503#	8205#	6#
50	29	79	Cu	-42327#	503#	8320#	6#
49	30	79	Zn	-53420#	259#	8450#	3#
48	31	79	Ga	-62509.526	98.14	8555.58	1.242
47	32	79	Ge	-69488.526	89.619	8634.019	1.134
46	33	79	As	-73636.526	5.611	8676.622	0.071
45	34	79	Se	-75917.602	1.661	8695.593	0.021
44	35	79	Br	-76068.514	2.017	8687.6	0.026
43	36	79	Kr	-74442.736	3.896	8657.118	0.049
42	37	79	Rb	-70803.362	5.988	8601.147	0.076
41	38	79	Sr	-65476.577	8.383	8523.816	0.106
40	39	79	Y	-58356.577	450.078	8423.786	5.697
39	40	79	Zr	-47357#	401#	8275#	5#
51	29	80	Cu	-36449#	596#	8243#	7#
50	30	80	Zn	-51844.769	172.051	8425.997	2.151
49	31	80	Ga	-59135.169	123.295	8507.347	1.541
48	32	80	Ge	-69515.169	28.312	8627.318	0.354
47	33	80	As	-72159.286	23.332	8650.59	0.292
46	34	80	Se	-77759.936	1.989	8710.819	0.025
45	35	80	Br	-75889.472	2.013	8677.659	0.025
44	36	80	Kr	-77892.492	1.47	8692.917	0.018
43	37	80	Rb	-72172.854	6.975	8611.642	0.087
42	38	80	Sr	-70308.223	6.575	8578.555	0.082
41	39	80	Y	-61217.786	176.984	8455.145	2.212
40	40	80	Zr	-55517.043	1490.39	8374.107	18.63
51	30	81	Zn	-46128#	298#	8351#	4#
50	31	81	Ga	-57983.308	192.173	8487.744	2.373
49	32	81	Ge	-66303.308	120.127	8580.801	1.483
48	33	81	As	-72533.308	5.527	8648.056	0.068
47	34	81	Se	-76389.519	2.02	8686.005	0.025
46	35	81	Br	-77974.839	1.952	8695.918	0.024
45	36	81	Kr	-77694.038	1.987	8682.793	0.025
44	37	81	Rb	-75454.821	5.998	8645.49	0.074
43	38	81	Sr	-71527.705	6.2	8587.348	0.077
42	39	81	Y	-66017.338	62.155	8509.661	0.767
41	40	81	Zr	-58488.484	166.54	8407.053	2.056
40	41	81	Nb	-47478#	1498#	8261#	18#
52	30	82	Zn	-42457#	503#	8303#	6#
51	31	82	Ga	-53104#	298#	8423#	4#
50	32	82	Ge	-65624.008	244.139	8566.304	2.977
49	33	82	As	-70324.008	200.01	8614.08	2.439
48	34	82	Se	-77594.008	2.02	8693.198	0.025
47	35	82	Br	-77496.465	1.95	8682.468	0.024
46	36	82	Kr	-80589.508	1.78	8710.647	0.022
45	37	82	Rb	-76188.201	2.758	8647.431	0.034
44	38	82	Sr	-76008.384	5.57	8635.698	0.068
43	39	82	Y	-68192.393	102.579	8530.84	1.251
42	40	82	Zr	-64192#	225#	8473#	3#
41	41	82	Nb	-52974#	298#	8326#	4#
53	30	83	Zn	-36300#	503#	8226#	6#
52	31	83	Ga	-49388#	298#	8374#	4#
51	32	83	Ge	-60901#	196#	8503#	2#
50	33	83	As	-69880.657	220.03	8602.199	2.651
49	34	83	Se	-75340.657	3.616	8658.557	0.044
48	35	83	Br	-79008.93	4.221	8693.327	0.051
47	36	83	Kr	-79981.709	2.812	8695.621	0.034
46	37	83	Rb	-79074.805	6.009	8675.269	0.072
45	38	83	Sr	-76795.439	10.315	8638.381	0.124
44	39	83	Y	-72326.557	44.314	8575.113	0.534
43	40	83	Zr	-66458.557	95.858	8494.988	1.155
42	41	83	Nb	-58958.557	314.942	8395.201	3.794
41	42	83	Mo	-47748#	503#	8251#	6#
53	31	84	Ga	-44106#	401#	8308#	5#
52	32	84	Ge	-58246#	298#	8467#	4#
51	33	84	As	-66082#	300#	8551#	4#
50	34	84	Se	-75951.829	14.541	8658.841	0.173
49	35	84	Br	-77799.335	14.651	8671.522	0.174
48	36	84	Kr	-82430.991	2.805	8717.347	0.033
47	37	84	Rb	-79750.025	2.805	8676.117	0.033
46	38	84	Sr	-80643.837	3.202	8677.444	0.038
45	39	84	Y	-74157.855	91.379	8590.916	1.088
44	40	84	Zr	-71492#	196#	8550#	2#
43	41	84	Nb	-61879#	298#	8426#	4#
42	42	84	Mo	-55806#	401#	8344#	5#
54	31	85	Ga	-40054#	503#	8257#	6#
53	32	85	Ge	-53067#	401#	8401#	5#
52	33	85	As	-63323#	196#	8513#	2#
51	34	85	Se	-72428.267	29.896	8610.476	0.352
50	35	85	Br	-78610.267	19.1	8674.001	0.225
49	36	85	Kr	-81480.267	1.947	8698.562	0.023
48	37	85	Rb	-82167.331	0.011	8697.441	0
47	38	85	Sr	-81102.572	2.837	8675.71	0.033
46	39	85	Y	-77842.123	18.965	8628.148	0.223
45	40	85	Zr	-73149.123	100.8	8563.732	1.186
44	41	85	Nb	-67149.123	223.966	8483.94	2.635
43	42	85	Mo	-59103#	280#	8380#	3#
42	43	85	Tc	-47665#	401#	8236#	5#
55	31	86	Ga	-34353#	801#	8189#	9#
54	32	86	Ge	-49844#	503#	8360#	6#
53	33	86	As	-59150#	298#	8459#	3#
52	34	86	Se	-70540.57	15.557	8582.256	0.181
51	35	86	Br	-75639.57	11	8632.45	0.128
50	36	86	Kr	-83265.57	0.102	8712.027	0.001
49	37	86	Rb	-82747.017	0.199	8696.901	0.002
48	38	86	Sr	-84523.576	1.074	8708.461	0.012
47	39	86	Y	-79283.576	14.183	8638.434	0.165
46	40	86	Zr	-77804.35	30.093	8612.137	0.35
45	41	86	Nb	-69826.35	85.473	8510.272	0.994
44	42	86	Mo	-64556.35	438.413	8439.896	5.098
43	43	86	Tc	-53207#	298#	8299#	3#
55	32	87	Ge	-44237#	503#	8292#	6#
54	33	87	As	-55983#	298#	8418#	3#
53	34	87	Se	-66581.926	39.212	8530.882	0.451
52	35	87	Br	-73856.926	17.68	8605.51	0.203
51	36	87	Kr	-80709.426	0.267	8675.282	0.003
50	37	87	Rb	-84597.795	0.012	8710.983	0
49	38	87	Sr	-84880.413	1.073	8705.239	0.012
48	39	87	Y	-83018.723	1.557	8674.848	0.018
47	40	87	Zr	-79348.15	8.343	8623.665	0.096
46	41	87	Nb	-74183.15	60.577	8555.305	0.696
45	42	87	Mo	-67694.927	223.279	8471.735	2.566
44	43	87	Tc	-59122#	298#	8364#	3#
43	44	87	Ru	-47339#	596#	8220#	7#
56	32	88	Ge	-40138#	699#	8243#	8#
55	33	88	As	-51288#	503#	8361#	6#
54	34	88	Se	-63878.135	49.366	8494.935	0.561
53	35	88	Br	-70732.135	38.419	8563.931	0.437
52	36	88	Kr	-79692.135	13.417	8656.859	0.152
51	37	88	Rb	-82608.998	0.16	8681.115	0.002
50	38	88	Sr	-87921.74	1.083	8732.596	0.012
49	39	88	Y	-84299.14	1.85	8682.54	0.021
48	40	88	Zr	-83623.101	10.277	8665.968	0.117
47	41	88	Nb	-76073.101	100.527	8571.282	1.142
46	42	88	Mo	-72700.088	20.359	8524.062	0.231
45	43	88	Tc	-62710#	201#	8402#	2#
44	44	88	Ru	-55647#	401#	8313#	5#
57	32	89	Ge	-33692#	904#	8169#	10#
56	33	89	As	-47143#	503#	8311#	6#
55	34	89	Se	-59196#	298#	8438#	3#
54	35	89	Br	-68571.62	59.807	8534.12	0.672
53	36	89	Kr	-76726.62	51.739	8616.959	0.581
52	37	89	Rb	-81712.502	5.462	8664.19	0.061
51	38	89	Sr	-86209.141	1.087	8705.924	0.012
50	39	89	Y	-87701.749	2.552	8713.904	0.029
49	40	89	Zr	-84868.884	3.698	8673.284	0.042
48	41	89	Nb	-80650.386	26.801	8617.094	0.301
47	42	89	Mo	-75003.889	15.475	8544.86	0.174
46	43	89	Tc	-67844#	201#	8456#	2#
45	44	89	Ru	-59513#	503#	8353#	6#
44	45	89	Rh	-47658#	448#	8211#	5#
57	33	90	As	-41451#	801#	8245#	9#
56	34	90	Se	-55927#	401#	8397#	4#
55	35	90	Br	-64619.846	77.249	8485.069	0.858
54	36	90	Kr	-74969.846	18.505	8591.377	0.206
53	37	90	Rb	-79361.712	6.534	8631.483	0.073
52	38	90	Sr	-85941.604	2.887	8695.9	0.032
51	39	90	Y	-86487.462	2.552	8693.272	0.028
50	40	90	Zr	-88767.265	2.368	8709.91	0.026
49	41	90	Nb	-82656.265	4.648	8633.318	0.052
48	42	90	Mo	-80167.265	6.133	8596.969	0.068
47	43	90	Tc	-71206.603	242.187	8488.714	2.691
46	44	90	Ru	-65307#	298#	8414#	3#
45	45	90	Rh	-53216#	503#	8271#	6#
58	33	91	As	-36859#	904#	8193#	10#
57	34	91	Se	-50338#	503#	8332#	6#
56	35	91	Br	-61508.323	72.56	8446.33	0.797
55	36	91	Kr	-71310.323	57.139	8545.447	0.628
54	37	91	Rb	-77745.323	8.055	8607.564	0.089
53	38	91	Sr	-83645.279	4.523	8663.802	0.05
52	39	91	Y	-86345.031	2.887	8684.872	0.032
51	40	91	Zr	-87890.402	2.346	8693.257	0.026
50	41	91	Nb	-86632.442	3.776	8670.836	0.041
49	42	91	Mo	-82204.165	11.181	8613.577	0.123
48	43	91	Tc	-75984.165	200.312	8536.628	2.201
47	44	91	Ru	-68658#	583#	8448#	6#
46	45	91	Rh	-59103#	401#	8334#	4#
45	46	91	Pd	-47403#	566#	8197#	6#
59	33	92	As	-30926#	904#	8127#	10#
58	34	92	Se	-46649#	596#	8289#	6#
57	35	92	Br	-56580.144	49.595	8388.687	0.539
56	36	92	Kr	-68785.048	11.715	8512.845	0.127
55	37	92	Rb	-74772.048	6.102	8569.417	0.066
54	38	92	Sr	-82867.702	3.403	8648.91	0.037
53	39	92	Y	-84813.327	9.264	8661.554	0.101
52	40	92	Zr	-88453.882	2.345	8692.622	0.025
51	41	92	Nb	-86448.337	2.828	8662.318	0.031
50	42	92	Mo	-86805.003	3.804	8657.692	0.041
49	43	92	Tc	-78934.648	26.004	8563.64	0.283
48	44	92	Ru	-74408#	298#	8506#	3#
47	45	92	Rh	-63360#	401#	8377#	4#
46	46	92	Pd	-55498#	503#	8283#	5#
59	34	93	Se	-40716#	801#	8223#	9#
58	35	93	Br	-53049#	298#	8347#	3#
57	36	93	Kr	-64017.525	100.287	8456.834	1.078
56	37	93	Rb	-72617.525	7.579	8540.895	0.081
55	38	93	Sr	-80084.606	7.531	8612.773	0.081
54	39	93	Y	-84223.16	10.632	8648.862	0.114
53	40	93	Zr	-87117.04	2.341	8671.566	0.025
52	41	93	Nb	-87208.278	2.429	8664.135	0.026
51	42	93	Mo	-86803.495	3.804	8651.37	0.041
50	43	93	Tc	-83602.533	3.933	8608.539	0.042
49	44	93	Ru	-77265.533	85.091	8531.987	0.915
48	45	93	Rh	-69173#	401#	8437#	4#
47	46	93	Pd	-59699#	401#	8326#	4#
46	47	93	Ag	-46780#	596#	8179#	6#
60	34	94	Se	-36803#	801#	8180#	9#
59	35	94	Br	-47804#	401#	8289#	4#
58	36	94	Kr	-61143#	300#	8422#	3#
57	37	94	Rb	-68553.352	8.357	8492.663	0.089
56	38	94	Sr	-78840.43	7.184	8593.777	0.076
55	39	94	Y	-82348.499	7.166	8622.774	0.076
54	40	94	Zr	-87266.837	2.42	8666.774	0.026
53	41	94	Nb	-86364.502	2.429	8648.852	0.026
52	42	94	Mo	-88409.708	1.918	8662.287	0.02
51	43	94	Tc	-84153.961	4.498	8608.69	0.048
50	44	94	Ru	-82567.898	12.733	8583.494	0.135
49	45	94	Rh	-72938#	447#	8473#	5#
48	46	94	Pd	-66350#	401#	8394#	4#
47	47	94	Ag	-53300#	503#	8247#	5#
60	35	95	Br	-43901#	503#	8245#	5#
59	36	95	Kr	-56039#	401#	8365#	4#
58	37	95	Rb	-65853.935	21.112	8459.813	0.222
57	38	95	Sr	-75116.826	7.481	8549.082	0.079
56	39	95	Y	-81207.068	7.222	8604.954	0.076
55	40	95	Zr	-85657.766	2.399	8643.569	0.025
54	41	95	Nb	-86781.901	1.968	8647.166	0.021
53	42	95	Mo	-87707.492	1.916	8648.674	0.02
52	43	95	Tc	-86016.873	5.417	8622.643	0.057
51	44	95	Ru	-83449.819	11.874	8587.386	0.125
50	45	95	Rh	-78339.819	150.469	8525.362	1.584
49	46	95	Pd	-70151#	401#	8431#	4#
48	47	95	Ag	-60100#	401#	8317#	4#
47	48	95	Cd	-46696#	596#	8168#	6#
61	35	96	Br	-38629#	699#	8188#	7#
60	36	96	Kr	-53030#	503#	8330#	5#
59	37	96	Rb	-61224.644	29.434	8407.544	0.307
58	38	96	Sr	-72938.959	27.38	8521.419	0.285
57	39	96	Y	-78346.709	23.442	8569.6	0.244
56	40	96	Zr	-85442.791	2.788	8635.368	0.029
55	41	96	Nb	-85603.696	3.73	8628.895	0.039
54	42	96	Mo	-88790.496	1.916	8653.941	0.02
53	43	96	Tc	-85817.254	5.49	8614.821	0.057
52	44	96	Ru	-86072.062	7.882	8609.326	0.082
51	45	96	Rh	-79679.409	12.733	8534.586	0.133
50	46	96	Pd	-76229.409	150.539	8490.499	1.568
49	47	96	Ag	-64571#	401#	8361#	4#
48	48	96	Cd	-56104#	503#	8265#	5#
62	35	97	Br	-34652#	801#	8146#	8#
61	36	97	Kr	-47916#	503#	8275#	5#
60	37	97	Rb	-58356.314	30.512	8374.508	0.315
59	38	97	Sr	-68788.109	19.19	8473.987	0.198
58	39	97	Y	-76257.693	11.667	8542.927	0.12
57	40	97	Zr	-82946.645	2.785	8603.82	0.029
56	41	97	Nb	-85605.644	2.552	8623.167	0.026
55	42	97	Mo	-87540.442	1.913	8635.048	0.02
54	43	97	Tc	-87220.108	4.538	8623.68	0.047
53	44	97	Ru	-86112.242	8.35	8604.193	0.086
52	45	97	Rh	-82589.242	36.328	8559.808	0.375
51	46	97	Pd	-77799.242	302.192	8502.361	3.115
50	47	97	Ag	-70819.242	321.589	8422.337	3.315
49	48	97	Cd	-60603#	401#	8309#	4#
48	49	97	In	-47003#	596#	8161#	6#
62	36	98	Kr	-44796#	596#	8241#	6#
61	37	98	Rb	-54221.644	50.247	8329.223	0.513
60	38	98	Sr	-66645.662	26.349	8448.016	0.269
59	39	98	Y	-72467.42	24.549	8499.439	0.25
58	40	98	Zr	-81286.925	19.946	8581.45	0.204
57	41	98	Nb	-83528.547	5.725	8596.341	0.058
56	42	98	Mo	-88111.723	1.913	8635.125	0.02
55	43	98	Tc	-86427.771	3.817	8609.959	0.039
54	44	98	Ru	-88224.469	6.271	8620.309	0.064
53	45	98	Rh	-83174.815	11.804	8560.799	0.12
52	46	98	Pd	-81299.957	21.497	8533.685	0.219
51	47	98	Ag	-73060.614	66.976	8441.627	0.683
50	48	98	Cd	-67630.614	78.012	8378.235	0.796
49	49	98	In	-53896#	196#	8230#	2#
63	36	99	Kr	-39495#	596#	8186#	6#
62	37	99	Rb	-50878.87	125.67	8292.853	1.269
61	38	99	Sr	-62185.677	79.999	8399.161	0.808
60	39	99	Y	-70200.924	24.391	8472.22	0.246
59	40	99	Zr	-77768.473	20.033	8540.758	0.202
58	41	99	Nb	-82326.954	13.339	8578.9	0.135
57	42	99	Mo	-85965.84	1.915	8607.754	0.019
56	43	99	Tc	-87323.141	1.979	8613.562	0.02
55	44	99	Ru	-87616.977	2.011	8608.627	0.02
