N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
6	10	16	Ne	23996.462	20.48	6082.572	1.28
12	5	17	B	43770.816	170.873	5266.461	10.051
11	6	17	C	21038.832	17.376	6557.616	1.022
10	7	17	N	7871.368	15.013	7286.153	0.883
9	8	17	O	-808.813	0.11	7750.731	0.006
8	9	17	F	1951.701	0.248	7542.328	0.015
7	10	17	Ne	16460.901	26.953	6642.825	1.585
13	5	18	B	52322#	801#	4947#	45#
12	6	18	C	24926.178	30.006	6425.747	1.667
11	7	18	N	13114.466	18.58	7038.49	1.032
10	8	18	O	-781.522	0.621	7767.025	0.034
9	9	18	F	873.701	0.534	7631.605	0.03
8	10	18	Ne	5317.166	0.28	7341.282	0.016
7	11	18	Na	24189.968	50.301	6249.329	2.794
14	5	19	B	59364#	401#	4741#	21#
13	6	19	C	32420.666	98.391	6117.909	5.178
12	7	19	N	15862.129	16.415	6948.235	0.864
11	8	19	O	3334.87	2.825	7566.389	0.149
10	9	19	F	-1487.386	0.069	7779.015	0.004
9	10	19	Ne	1751.44	0.286	7567.375	0.015
8	11	19	Na	12926.808	12	6938.021	0.632
7	12	19	Mg	33040.092	251.503	5838.251	13.237
14	6	20	C	37557.61	239.161	5958.733	11.958
13	7	20	N	21765.11	55.59	6709.24	2.779
12	8	20	O	3797.462	1.081	7568.505	0.054
11	9	20	F	-17.404	0.075	7720.131	0.004
10	10	20	Ne	-7041.93131	0.00179	8032.24	0
9	11	20	Na	6847.719	6.662	7298.641	0.333
8	12	20	Mg	17570.348	27	6723.392	1.35
15	6	21	C	45960#	503#	5659#	24#
14	7	21	N	25251.164	95.045	6608.099	4.526
13	8	21	O	8062.906	12.016	7389.332	0.572
12	9	21	F	-47.551	1.801	7738.29	0.086
11	10	21	Ne	-5731.776	0.039	7971.713	0.002
10	11	21	Na	-2184.161	0.7	7765.524	0.033
9	12	21	Mg	10910.506	16.415	7104.714	0.782
8	13	21	Al	26119#	298#	6343#	14#
16	6	22	C	53281#	904#	5436#	41#
15	7	22	N	32038.675	192.213	6366.085	8.737
14	8	22	O	9284.152	56.924	7364.821	2.587
13	9	22	F	2793.378	12.399	7624.294	0.564
12	10	22	Ne	-8024.715	0.018	8080.465	0.001
11	11	22	Na	-5182.436	0.415	7915.709	0.019
10	12	22	Mg	-396.963	1.342	7662.626	0.061
9	13	22	Al	18183#	93#	6783#	4#
8	14	22	Si	32164#	200#	6111#	9#
16	7	23	N	38396#	298#	6164#	13#
15	8	23	O	14612.96	121.867	7163.85	5.299
14	9	23	F	3329.747	79.541	7620.41	3.458
13	10	23	Ne	-5154.045	0.104	7955.255	0.005
12	11	23	Na	-9529.85358	0.00273	8111.493	0
11	12	23	Mg	-5473.766	1.286	7901.126	0.056
10	13	23	Al	6769.57	18.648	7334.792	0.811
9	14	23	Si	23772#	196#	6562#	9#
17	7	24	N	47543#	401#	5862#	17#
16	8	24	O	19070.4	236.242	7015.935	9.843
15	9	24	F	7559.527	72.282	7462.957	3.012
14	10	24	Ne	-5951.521	0.392	7993.319	0.016
13	11	24	Na	-8418.114	0.076	8063.496	0.003
12	12	24	Mg	-13933.567	0.013	8260.709	0.001
11	13	24	Al	-56.946	2.782	7649.919	0.116
10	14	24	Si	10754.673	19.472	7166.837	0.811
9	15	24	P	31997#	503#	6249#	21#
18	7	25	N	56504#	503#	5592#	20#
17	8	25	O	27442#	257#	6723#	10#
16	9	25	F	11272.706	98.238	7338.764	3.93
15	10	25	Ne	-2108.075	25.643	7842.701	1.026
14	11	25	Na	-9357.818	1.2	8101.397	0.048
13	12	25	Mg	-13192.826	0.032	8223.504	0.001
12	13	25	Al	-8916.172	0.475	8021.144	0.019
11	14	25	Si	3824.318	10	7480.23	0.4
10	15	25	P	18872#	196#	6847#	8#
18	8	26	O	35713#	257#	6457#	10#
17	9	26	F	18271.772	166.585	7097.744	6.407
16	10	26	Ne	429.611	26.774	7753.891	1.03
15	11	26	Na	-6862.316	5.832	8004.26	0.224
14	12	26	Mg	-16214.582	0.027	8333.872	0.001
13	13	26	Al	-12210.309	0.06	8149.771	0.002
12	14	26	Si	-7144.632	3	7924.847	0.115
11	15	26	P	10973#	196#	7198#	8#
10	16	26	S	25970#	298#	6591#	11#
19	8	27	O	44954#	503#	6175#	19#
18	9	27	F	24926.86	376.688	6887.318	13.951
17	10	27	Ne	7069.949	110.384	7519.709	4.088
16	11	27	Na	-5517.436	3.503	7956.933	0.13
15	12	27	Mg	-14586.651	0.049	8263.854	0.002
14	13	27	Al	-17196.658	0.116	8331.545	0.004
13	14	27	Si	-12384.301	0.151	8124.334	0.006
12	15	27	P	-717.03	26.341	7663.237	0.976
11	16	27	S	17543#	202#	6958#	7#
20	8	28	O	53850#	596#	5925#	21#
19	9	28	F	33226#	512#	6633#	18#
18	10	28	Ne	11244.601	146.679	7390.315	5.239
17	11	28	Na	-989.247	13.041	7799.297	0.466
16	12	28	Mg	-15018.641	2.004	8272.406	0.072
15	13	28	Al	-16850.441	0.131	8309.886	0.005
14	14	28	Si	-21492.79678	0.00181	8447.744	0
13	15	28	P	-7158.753	3.32	7907.873	0.119
12	16	28	S	4073.203	160	7478.79	5.714
11	17	28	Cl	26557#	503#	6648#	18#
20	9	29	F	40296#	578#	6439#	20#
19	10	29	Ne	18057.881	268.671	7178.857	9.265
18	11	29	Na	2665.004	13.041	7682.668	0.45
17	12	29	Mg	-10619.032	13.972	8113.761	0.482
16	13	29	Al	-18215.322	1.206	8348.725	0.042
15	14	29	Si	-21895.046	0.021	8448.634	0.001
14	15	29	P	-16952.626	0.6	8251.228	0.021
13	16	29	S	-3159.582	50	7748.629	1.724
12	17	29	Cl	13143#	196#	7159#	7#
21	9	30	F	48903#	596#	6206#	20#
20	10	30	Ne	23102.025	570.734	7040.467	19.024
19	11	30	Na	8361.09	25.15	7505.754	0.838
18	12	30	Mg	-8910.672	8.383	8055.401	0.279
17	13	30	Al	-15872.419	14.045	8261.381	0.468
16	14	30	Si	-24432.928	0.03	8520.653	0.001
15	15	30	P	-20200.575	0.313	8353.496	0.01
14	16	30	S	-14062.532	3.003	8122.817	0.1
13	17	30	Cl	4443#	196#	7480#	7#
12	18	30	Ar	20083#	298#	6932#	10#
22	9	31	F	56289#	597#	6028#	19#
21	10	31	Ne	30842#	904#	6824#	29#
20	11	31	Na	12654.768	211.321	7385.492	6.817
19	12	31	Mg	-3217.38	12.109	7872.26	0.391
18	13	31	Al	-14953.628	20.343	8225.611	0.656
17	14	31	Si	-22949.006	0.039	8458.29	0.001
16	15	31	P	-24440.885	0.183	8481.178	0.006
15	16	31	S	-19044.648	1.506	8281.869	0.049
14	17	31	Cl	-7067.165	50	7870.261	1.613
13	18	31	Ar	11293#	206#	7253#	7#
22	10	32	Ne	37278#	801#	6662#	25#
21	11	32	Na	19064.478	356.178	7206.621	11.131
20	12	32	Mg	-954.781	17.698	7807.774	0.553
19	13	32	Al	-11061.966	85.949	8099.175	2.686
18	14	32	Si	-24080.907	0.05	8481.569	0.002
17	15	32	P	-24305.218	0.187	8464.13	0.006
16	16	32	S	-26015.697	0.138	8493.134	0.004
15	17	32	Cl	-13329.771	6.593	8072.251	0.206
14	18	32	Ar	-2200.204	1.78	7700.003	0.056
13	19	32	K	20418#	503#	6969#	16#
23	10	33	Ne	45997#	801#	6440#	24#
22	11	33	Na	24889.293	874.999	7056.314	26.515
21	12	33	Mg	4894.07	19.561	7638.522	0.593
20	13	33	Al	-8529.377	72.745	8021.586	2.204
19	14	33	Si	-20492.662	15.791	8360.402	0.479
18	15	33	P	-26337.486	1.098	8513.811	0.033
