N	Z	A	EL	MASS EXCESS       BINDING ENERGY/A
				(keV)		(keV)	
34	24	58	Cr	-51991.801	1.49	8643.998	0.026
33	25	58	Mn	-55827.56	2.701	8696.643	0.047
32	26	58	Fe	-62155.113	0.343	8792.25	0.006
31	27	58	Co	-59847.158	1.16	8738.969	0.02
30	28	58	Ni	-60228.744	0.373	8732.059	0.006
29	29	58	Cu	-51667.725	0.578	8570.967	0.01
28	30	58	Zn	-42298.744	50.001	8395.944	0.862
27	31	58	Ga	-23540#	300#	8059#	5#
26	32	58	Ge	-7080#	500#	7762#	9#
38	21	59	Sc	-10302#	400#	7967#	7#
37	22	59	Ti	-25510#	200#	8212#	3#
36	23	59	V	-37832.015	161.874	8407.555	2.744
35	24	59	Cr	-48085.76	216.367	8568.087	3.667
34	25	59	Mn	-55525.32	2.329	8680.921	0.039
33	26	59	Fe	-60664.805	0.355	8754.771	0.006
32	27	59	Co	-62229.709	0.418	8768.035	0.007
31	28	59	Ni	-61156.707	0.374	8736.588	0.006
30	29	59	Cu	-56358.327	0.544	8642	0.009
29	30	59	Zn	-47215.551	0.771	8473.777	0.013
28	31	59	Ga	-33760#	170#	8232#	3#
27	32	59	Ge	-15870#	400#	7916#	7#
39	21	60	Sc	-4052#	500#	7865#	8#
38	22	60	Ti	-22330#	300#	8157#	5#
37	23	60	V	-33241.956	220.159	8325.45	3.669
36	24	60	Cr	-46669.576	193.593	8536.205	3.227
35	25	60	Mn	-52967.938	2.329	8628.138	0.039
34	26	60	Fe	-61413.017	3.409	8755.851	0.057
33	27	60	Co	-61650.309	0.424	8746.766	0.007
32	28	60	Ni	-64473.118	0.376	8780.774	0.006
31	29	60	Cu	-58345.137	1.618	8665.602	0.027
30	30	60	Zn	-54174.34	0.564	8583.05	0.009
29	31	60	Ga	-39590#	200#	8327#	3#
28	32	60	Ge	-27090#	300#	8106#	5#
27	33	60	As	-5470#	400#	7732#	7#
40	21	61	Sc	931#	600#	7787#	10#
39	22	61	Ti	-16350#	400#	8057#	7#
38	23	61	V	-30506.429	894.234	8276.439	14.66
37	24	61	Cr	-42475.229	101.341	8459.824	1.661
36	25	61	Mn	-51742.122	2.329	8598.915	0.038
35	26	61	Fe	-58920.494	2.608	8703.768	0.043
34	27	61	Co	-62898.066	0.846	8756.148	0.014
33	28	61	Ni	-64221.905	0.378	8765.025	0.006
32	29	61	Cu	-61984.059	0.953	8715.514	0.016
31	30	61	Zn	-56348.903	15.899	8610.309	0.261
30	31	61	Ga	-47134.659	37.994	8446.431	0.623
29	32	61	Ge	-33360#	300#	8208#	5#
28	33	61	As	-16900#	300#	7925#	5#
40	22	62	Ti	-12500#	400#	7995#	6#
39	23	62	V	-25476#	298#	8192#	5#
38	24	62	Cr	-40894.961	148.099	8428.069	2.389
37	25	62	Mn	-48523.957	6.542	8538.499	0.106
36	26	62	Fe	-58878.048	2.794	8692.882	0.045
35	27	62	Co	-61424.282	18.575	8721.332	0.3
34	28	62	Ni	-66746.323	0.439	8794.553	0.007
33	29	62	Cu	-62787.426	0.647	8718.081	0.01
32	30	62	Zn	-61167.972	0.625	8679.343	0.01
31	31	62	Ga	-51986.906	0.647	8518.642	0.01
30	32	62	Ge	-41740#	140#	8341#	2#
29	33	62	As	-24320#	300#	8047#	5#
41	22	63	Ti	-5750#	500#	7889#	8#
40	23	63	V	-21890#	400#	8133#	6#
39	24	63	Cr	-36007.474	358.073	8344.828	5.684
38	25	63	Mn	-46887.053	3.726	8505.101	0.059
37	26	63	Fe	-55635.621	4.302	8631.549	0.068
36	27	63	Co	-61851.44	18.575	8717.795	0.295
35	28	63	Ni	-65512.775	0.44	8763.493	0.007
34	29	63	Cu	-65579.752	0.44	8752.138	0.007
33	30	63	Zn	-62213.397	1.561	8686.285	0.025
32	31	63	Ga	-56547.093	1.304	8583.926	0.021
31	32	63	Ge	-46921.216	37.26	8418.716	0.591
30	33	63	As	-33500#	200#	8193#	3#
42	22	64	Ti	-1025#	600#	7818#	9#
41	23	64	V	-16320#	400#	8045#	6#
40	24	64	Cr	-33479.757	439.665	8301.058	6.87
39	25	64	Mn	-42989.035	3.54	8437.417	0.055
38	26	64	Fe	-54969.544	5.017	8612.388	0.078
37	27	64	Co	-59792.329	20.006	8675.52	0.313
36	28	64	Ni	-67098.921	0.475	8777.461	0.007
35	29	64	Cu	-65424.545	0.448	8739.075	0.007
34	30	64	Zn	-66004.014	0.647	8735.905	0.01
33	31	64	Ga	-58832.821	1.429	8611.631	0.022
32	32	64	Ge	-54315.496	3.726	8528.823	0.058
31	33	64	As	-39532#	203#	8286#	3#
30	34	64	Se	-26700#	503#	8073#	8#
42	23	65	V	-11780#	500#	7976#	8#
41	24	65	Cr	-28220#	300#	8217#	5#
40	25	65	Mn	-40967.339	3.726	8400.681	0.057
39	26	65	Fe	-51217.895	5.112	8546.346	0.079
38	27	65	Co	-59185.198	2.083	8656.884	0.032
37	28	65	Ni	-65125.685	0.495	8736.24	0.008
36	29	65	Cu	-67263.66	0.65	8757.096	0.01
35	30	65	Zn	-65912.019	0.65	8724.265	0.01
34	31	65	Ga	-62657.507	0.815	8662.16	0.013
33	32	65	Ge	-56478.216	2.165	8555.058	0.033
32	33	65	As	-46937.051	84.766	8396.234	1.304
31	34	65	Se	-33020#	300#	8170#	5#
43	23	66	V	-5610#	500#	7884#	8#
42	24	66	Cr	-24720#	400#	8161#	6#
41	25	66	Mn	-36750.387	11.178	8331.798	0.169
40	26	66	Fe	-50067.839	4.099	8521.724	0.062
39	27	66	Co	-56408.533	13.972	8605.941	0.212
38	28	66	Ni	-66006.285	1.397	8739.508	0.021
37	29	66	Cu	-66258.272	0.655	8731.472	0.01
36	30	66	Zn	-68899.16	0.749	8759.632	0.011
35	31	66	Ga	-63723.66	1.096	8669.361	0.017
34	32	66	Ge	-61607.032	2.401	8625.437	0.036
33	33	66	As	-52025.077	5.682	8468.403	0.086
32	34	66	Se	-41660#	200#	8300#	3#
44	23	67	V	-650#	600#	7812#	9#
43	24	67	Cr	-18680#	400#	8070#	6#
42	25	67	Mn	-33460#	300#	8279#	4#
41	26	67	Fe	-45610.155	270.285	8448.469	4.034
40	27	67	Co	-55321.775	6.443	8581.741	0.096
39	28	67	Ni	-63742.68	2.888	8695.75	0.043
38	29	67	Cu	-67319.513	0.894	8737.458	0.013
37	30	67	Zn	-67880.313	0.76	8734.152	0.011
36	31	67	Ga	-66879.048	1.181	8707.531	0.018
35	32	67	Ge	-62658.23	4.661	8632.857	0.07
34	33	67	As	-56587.225	0.443	8530.568	0.007
33	34	67	Se	-46580.289	67.068	8369.534	1.001
32	35	67	Br	-32790#	400#	8152#	6#
44	24	68	Cr	-14800#	500#	8013#	7#
43	25	68	Mn	-28380#	400#	8201#	6#
42	26	68	Fe	-43486.914	365.259	8411.698	5.371
41	27	68	Co	-51930.665	189.497	8524.366	2.787
40	28	68	Ni	-63463.814	2.981	8682.466	0.044
39	29	68	Cu	-65567.035	1.584	8701.89	0.023
38	30	68	Zn	-70007.092	0.784	8755.68	0.012
37	31	68	Ga	-67085.992	1.433	8701.218	0.021
36	32	68	Ge	-66978.789	1.876	8688.136	0.028
35	33	68	As	-58894.519	1.846	8557.745	0.027
34	34	68	Se	-54189.441	0.496	8477.047	0.007
33	35	68	Br	-38791#	259#	8239#	4#
45	24	69	Cr	-8580#	500#	7924#	7#
44	25	69	Mn	-24770#	400#	8147#	6#
43	26	69	Fe	-39030#	400#	8342#	6#
42	27	69	Co	-50279.157	140.506	8493.865	2.036
41	28	69	Ni	-59978.648	3.726	8623.099	0.054
40	29	69	Cu	-65736.213	1.397	8695.204	0.02
39	30	69	Zn	-68417.845	0.8	8722.729	0.012
38	31	69	Ga	-69327.809	1.197	8724.579	0.017
37	32	69	Ge	-67100.663	1.318	8680.963	0.019
36	33	69	As	-63112.171	31.999	8611.821	0.464
35	34	69	Se	-56434.706	1.49	8503.707	0.022
34	35	69	Br	-46259.47	42.003	8344.902	0.609
33	36	69	Kr	-32435#	401#	8133#	6#
46	24	70	Cr	-4480#	600#	7867#	9#
45	25	70	Mn	-19500#	500#	8070#	7#
44	26	70	Fe	-36510#	400#	8302#	6#
43	27	70	Co	-46630#	300#	8436#	4#
42	28	70	Ni	-59213.86	2.144	8604.291	0.031
41	29	70	Cu	-62976.373	1.082	8646.865	0.015
40	30	70	Zn	-69564.735	1.918	8729.808	0.027
39	31	70	Ga	-68910.14	1.201	8709.28	0.017
38	32	70	Ge	-70561.876	0.838	8721.7	0.012
37	33	70	As	-64341.876	50.007	8621.666	0.714
36	34	70	Se	-61929.891	1.584	8576.033	0.023
35	35	70	Br	-51425.619	14.904	8414.796	0.213
34	36	70	Kr	-41100#	200#	8256#	3#
46	25	71	Mn	-15570#	500#	8015#	7#
45	26	71	Fe	-31430#	400#	8227#	6#
44	27	71	Co	-44369.926	465.03	8398.734	6.55
43	28	71	Ni	-55406.228	2.237	8543.156	0.032
42	29	71	Cu	-62711.127	1.49	8635.022	0.021
41	30	71	Zn	-67328.777	2.654	8689.041	0.037
40	31	71	Ga	-70139.135	0.812	8717.604	0.011
39	32	71	Ge	-69906.497	0.834	8703.309	0.012
38	33	71	As	-67893.097	4.167	8663.932	0.059
37	34	71	Se	-63146.507	2.794	8586.06	0.039
36	35	71	Br	-56502.418	5.402	8481.462	0.076
35	36	71	Kr	-46327.205	128.769	8327.13	1.814
34	37	71	Rb	-32060#	400#	8115#	6#
47	25	72	Mn	-9900#	600#	7937#	8#
46	26	72	Fe	-28430#	500#	8184#	7#
45	27	72	Co	-40200#	400#	8336#	6#
44	28	72	Ni	-54226.06	2.237	8520.211	0.031
43	29	72	Cu	-59782.999	1.397	8586.525	0.019
42	30	72	Zn	-68145.486	2.142	8691.805	0.03
41	31	72	Ga	-68588.293	0.819	8687.089	0.011
40	32	72	Ge	-72585.9	0.076	8731.745	0.001
39	33	72	As	-68229.798	4.083	8660.378	0.057
38	34	72	Se	-67868.18	1.956	8644.489	0.027
37	35	72	Br	-59061.743	1.025	8511.312	0.014
36	36	72	Kr	-53940.575	8.011	8429.319	0.111
35	37	72	Rb	-38330#	500#	8202#	7#
47	26	73	Fe	-22900#	500#	8106#	7#
46	27	73	Co	-37418#	400#	8295#	5#
45	28	73	Ni	-50108.152	2.423	8457.652	0.033
44	29	73	Cu	-58987.437	1.942	8568.569	0.027
43	30	73	Zn	-65593.402	1.863	8648.345	0.026
42	31	73	Ga	-69699.335	1.677	8693.873	0.023
41	32	73	Ge	-71297.523	0.057	8705.049	0.001
40	33	73	As	-70952.747	3.853	8689.609	0.053
39	34	73	Se	-68227.387	7.424	8641.558	0.102
38	35	73	Br	-63647.475	7.266	8568.103	0.1
37	36	73	Kr	-56551.751	6.578	8460.184	0.09
36	37	73	Rb	-46082#	200#	8306#	3#
35	38	73	Sr	-31950#	401#	8102#	5#
48	26	74	Fe	-19590#	600#	8061#	8#
47	27	74	Co	-32820#	500#	8229#	7#
46	28	74	Ni	-48456#	196#	8430#	3#
45	29	74	Cu	-56006.205	6.148	8521.562	0.083
44	30	74	Zn	-65756.712	2.515	8642.754	0.034
43	31	74	Ga	-68049.617	2.994	8663.167	0.04
42	32	74	Ge	-73422.442	0.013	8725.2	0
41	33	74	As	-70860.054	1.693	8680.001	0.023
40	34	74	Se	-72213.201	0.015	8687.715	0
39	35	74	Br	-65288.153	5.835	8583.561	0.079
38	36	74	Kr	-62331.836	2.013	8533.038	0.027
37	37	74	Rb	-51916.009	3.027	8381.712	0.041
36	38	74	Sr	-40827#	100#	8221#	1#
49	26	75	Fe	-13640#	600#	7982#	8#
48	27	75	Co	-29649#	500#	8185#	7#
47	28	75	Ni	-44030#	300#	8366#	4#
46	29	75	Cu	-54471.341	2.33	8495.094	0.031
45	30	75	Zn	-62558.908	1.956	8592.497	0.026
44	31	75	Ga	-68464.58	2.422	8660.808	0.032
43	32	75	Ge	-71856.965	0.052	8695.609	0.001
42	33	75	As	-73034.195	0.884	8700.874	0.012
41	34	75	Se	-72169.481	0.073	8678.913	0.001
40	35	75	Br	-69107.009	4.285	8627.649	0.057
39	36	75	Kr	-64323.624	8.104	8553.439	0.108
38	37	75	Rb	-57218.694	1.18	8448.275	0.016
37	38	75	Sr	-46618.694	220.003	8296.511	2.933
36	39	75	Y	-31820#	300#	8089#	4#
49	27	76	Co	-24510#	600#	8116#	8#
48	28	76	Ni	-41630#	400#	8331#	5#
47	29	76	Cu	-50975.985	6.707	8443.527	0.088
46	30	76	Zn	-62303.016	1.456	8582.273	0.019
45	31	76	Ga	-66296.64	1.956	8624.526	0.026
44	32	76	Ge	-73212.889	0.018	8705.236	0
43	33	76	As	-72291.377	0.886	8682.816	0.012
42	34	76	Se	-75251.95	0.016	8711.477	0
41	35	76	Br	-70289.068	9.322	8635.882	0.123
40	36	76	Kr	-69013.714	4.013	8608.807	0.053
39	37	76	Rb	-60479.081	0.938	8486.215	0.012
38	38	76	Sr	-54247.639	34.465	8393.929	0.453
37	39	76	Y	-38480#	300#	8176#	4#
50	27	77	Co	-21015#	600#	8070#	8#
49	28	77	Ni	-36800#	500#	8265#	6#
48	29	77	Cu	-48624#	149#	8408#	2#
47	30	77	Zn	-58789.195	1.973	8530.003	0.026
46	31	77	Ga	-65992.344	2.422	8613.39	0.031
45	32	77	Ge	-71212.862	0.053	8671.028	0.001
44	33	77	As	-73916.318	1.693	8695.978	0.022
43	34	77	Se	-74599.488	0.062	8694.69	0.001
42	35	77	Br	-73234.809	2.811	8666.806	0.037
41	36	77	Kr	-70169.443	1.956	8616.836	0.025
40	37	77	Rb	-64830.492	1.304	8537.339	0.017
39	38	77	Sr	-57803.436	7.918	8435.918	0.103
38	39	77	Y	-46439#	203#	8278#	3#
37	40	77	Zr	-32040#	400#	8081#	5#
50	28	78	Ni	-33890#	600#	8225#	8#
49	29	78	Cu	-44497.469	503.007	8350.925	6.449
48	30	78	Zn	-57483.235	1.944	8507.379	0.025
47	31	78	Ga	-63705.95	1.903	8577.127	0.024
46	32	78	Ge	-71862.05	3.536	8671.663	0.045
45	33	78	As	-72816.94	9.781	8673.875	0.125
44	34	78	Se	-77025.944	0.179	8717.806	0.002
43	35	78	Br	-73452.16	3.58	8661.959	0.046
42	36	78	Kr	-74178.275	0.307	8661.238	0.004
41	37	78	Rb	-66935.419	3.237	8558.35	0.042
40	38	78	Sr	-63173.941	7.452	8500.096	0.096
39	39	78	Y	-52173#	298#	8349#	4#
38	40	78	Zr	-40850#	400#	8194#	5#
51	28	79	Ni	-27570#	600#	8143#	8#
50	29	79	Cu	-41740#	300#	8312#	4#
49	30	79	Zn	-53432.295	2.225	8450.582	0.028
48	31	79	Ga	-62547.679	1.868	8556.063	0.024
47	32	79	Ge	-69526.592	37.181	8634.501	0.471
46	33	79	As	-73636.049	5.328	8676.616	0.067
45	34	79	Se	-75917.459	0.223	8695.592	0.003
44	35	79	Br	-76068.035	1.021	8687.594	0.013
43	36	79	Kr	-74442.257	3.486	8657.112	0.044
42	37	79	Rb	-70802.985	2.142	8601.142	0.027
41	38	79	Sr	-65476.889	8.383	8523.82	0.106
40	39	79	Y	-57817.833	79.177	8416.967	1.002
39	40	79	Zr	-46770#	300#	8267#	4#
38	41	79	Nb	-31650#	500#	8066#	6#
52	28	80	Ni	-22630#	700#	8080#	9#
51	29	80	Cu	-36200#	400#	8240#	5#
50	30	80	Zn	-51648.612	2.585	8423.545	0.032
49	31	80	Ga	-59223.667	2.891	8508.454	0.036
48	32	80	Ge	-69535.306	2.054	8627.57	0.026
47	33	80	As	-72214.493	3.333	8651.28	0.042
46	34	80	Se	-77759.457	0.963	8710.813	0.012
45	35	80	Br	-75888.993	1.012	8677.653	0.013
44	36	80	Kr	-77893.346	0.691	8692.928	0.009
43	37	80	Rb	-72175.467	1.863	8611.675	0.023
42	38	80	Sr	-70311.459	3.464	8578.596	0.043
41	39	80	Y	-61148.152	6.242	8454.275	0.078
40	40	80	Zr	-54360#	300#	8360#	4#
39	41	80	Nb	-38420#	400#	8151#	5#
52	29	81	Cu	-31420#	500#	8179#	6#
51	30	81	Zn	-46199.663	5.03	8351.925	0.062
50	31	81	Ga	-57627.954	3.264	8483.357	0.04
49	32	81	Ge	-66291.687	2.055	8580.658	0.025
48	33	81	As	-72533.304	2.644	8648.056	0.033
47	34	81	Se	-76388.988	0.992	8685.999	0.012
46	35	81	Br	-77977.034	0.978	8695.946	0.012
45	36	81	Kr	-77696.181	1.074	8682.82	0.013
44	37	81	Rb	-75456.67	4.904	8645.513	0.061
43	38	81	Sr	-71528.125	3.128	8587.354	0.039
42	39	81	Y	-65712.912	5.405	8505.902	0.067
41	40	81	Zr	-57460.139	94.081	8394.358	1.161
40	41	81	Nb	-46360#	400#	8248#	5#
39	42	81	Mo	-31750#	500#	8058#	6#
53	29	82	Cu	-25320#	600#	8103#	7#
52	30	82	Zn	-42313.954	3.074	8301.117	0.037
51	31	82	Ga	-52930.719	2.426	8421.049	0.03
50	32	82	Ge	-65415.067	2.241	8563.756	0.027
49	33	82	As	-70105.419	3.729	8611.414	0.045
48	34	82	Se	-77593.882	0.467	8693.196	0.006
47	35	82	Br	-77498.661	0.971	8682.494	0.012
46	36	82	Kr	-80591.78515	0.00549	8710.675	0
45	37	82	Rb	-76187.803	3.009	8647.427	0.037
44	38	82	Sr	-76010.053	5.992	8635.718	0.073
43	39	82	Y	-68064.091	5.499	8529.275	0.067
42	40	82	Zr	-63631.287	11.178	8465.676	0.136
41	41	82	Nb	-52090#	300#	8315#	4#
40	42	82	Mo	-40370#	400#	8163#	5#
53	30	83	Zn	-36290#	300#	8226#	4#
52	31	83	Ga	-49257.122	2.613	8372.575	0.031
51	32	83	Ge	-60976.435	2.427	8504.345	0.029
50	33	83	As	-69669.323	2.799	8599.653	0.034
49	34	83	Se	-75340.53	3.036	8658.555	0.037
48	35	83	Br	-79013.709	3.795	8693.384	0.046
47	36	83	Kr	-79990.633	0.009	8695.729	0
46	37	83	Rb	-79070.63	2.329	8675.218	0.028
45	38	83	Sr	-76797.606	6.834	8638.407	0.082
44	39	83	Y	-72205.665	18.631	8573.656	0.224
43	40	83	Zr	-65911.654	6.43	8488.399	0.077
42	41	83	Nb	-57556.083	150.902	8378.304	1.818
41	42	83	Mo	-46340#	401#	8234#	5#
40	43	83	Tc	-31320#	500#	8043#	6#
54	30	84	Zn	-31930#	400#	8172#	5#
53	31	84	Ga	-44088#	200#	8307#	2#
52	32	84	Ge	-58148.428	3.171	8465.524	0.038
51	33	84	As	-65853.56	3.171	8547.938	0.038
50	34	84	Se	-75947.721	1.961	8658.793	0.023
49	35	84	Br	-77783.084	25.73	8671.329	0.306
48	36	84	Kr	-82439.3351	0.00379	8717.446	0
47	37	84	Rb	-79758.964	2.194	8676.224	0.026
46	38	84	Sr	-80649.57	1.243	8677.512	0.015
45	39	84	Y	-73894.431	4.299	8587.78	0.051
44	40	84	Zr	-71421.686	5.499	8549.029	0.065
43	41	84	Nb	-61218.717	13.041	8418.252	0.155
42	42	84	Mo	-54170#	298#	8325#	4#
41	43	84	Tc	-37700#	400#	8120#	5#
55	30	85	Zn	-25230#	500#	8092#	6#
54	31	85	Ga	-39849#	298#	8255#	4#
53	32	85	Ge	-53123.42	3.729	8401.768	0.044
52	33	85	As	-63189.144	3.078	8510.984	0.036
51	34	85	Se	-72413.636	2.613	8610.304	0.031
50	35	85	Br	-78575.469	3.078	8673.592	0.036
49	36	85	Kr	-81480.331	2	8698.562	0.024
48	37	85	Rb	-82167.3305	0.00498	8697.441	0
47	38	85	Sr	-81103.28	2.813	8675.718	0.033
46	39	85	Y	-77842.123	18.965	8628.148	0.223
45	40	85	Zr	-73175.189	6.43	8564.039	0.076
44	41	85	Nb	-66279.676	4.099	8473.711	0.048
43	42	85	Mo	-57509.753	15.835	8361.331	0.186
42	43	85	Tc	-45850#	400#	8215#	5#
41	44	85	Ru	-30950#	500#	8030#	6#
55	31	86	Ga	-34080#	400#	8186#	5#
54	32	86	Ge	-49399.922	437.802	8354.629	5.091
53	33	86	As	-58962.142	3.45	8456.721	0.04
52	34	86	Se	-70503.167	2.52	8581.822	0.029
51	35	86	Br	-75632.252	3.078	8632.365	0.036
50	36	86	Kr	-83265.66564	0.00369	8712.029	0
49	37	86	Rb	-82746.993	0.2	8696.901	0.002
48	38	86	Sr	-84523.08935	0.00522	8708.456	0
47	39	86	Y	-79283.089	14.142	8638.428	0.164
46	40	86	Zr	-77969.014	3.566	8614.051	0.041
45	41	86	Nb	-69134.054	5.499	8502.222	0.064
44	42	86	Mo	-64110.245	3.726	8434.709	0.043
43	43	86	Tc	-51570#	300#	8280#	3#
42	44	86	Ru	-39770#	400#	8133#	5#
56	31	87	Ga	-29250#	500#	8129#	6#
55	32	87	Ge	-44078#	300#	8290#	3#
54	33	87	As	-55617.907	2.985	8413.851	0.034
53	34	87	Se	-66426.125	2.241	8529.091	0.026
52	35	87	Br	-73891.676	3.171	8605.91	0.036
51	36	87	Kr	-80709.522	0.246	8675.283	0.003
50	37	87	Rb	-84597.791	0.006	8710.983	0
49	38	87	Sr	-84880.06595	0.0051	8705.236	0
48	39	87	Y	-83018.376	1.128	8674.844	0.013
47	40	87	Zr	-79347.137	4.146	8623.654	0.048
46	41	87	Nb	-73874.486	6.802	8551.757	0.078
45	42	87	Mo	-66884.808	2.857	8462.424	0.033
44	43	87	Tc	-57690.044	4.192	8347.744	0.048
43	44	87	Ru	-45520#	400#	8199#	5#
56	32	88	Ge	-40138#	400#	8243#	5#
55	33	88	As	-50720#	196#	8354#	2#
54	34	88	Se	-63884.195	3.357	8495.004	0.038
53	35	88	Br	-70715.959	3.171	8563.747	0.036
52	36	88	Kr	-79691.286	2.608	8656.849	0.03
51	37	88	Rb	-82608.995	0.159	8681.115	0.002
50	38	88	Sr	-87921.61793	0.00558	8732.595	0
49	39	88	Y	-84299.018	1.5	8682.539	0.017
48	40	88	Zr	-83628.871	5.403	8666.033	0.061
47	41	88	Nb	-76173.586	58.81	8572.424	0.668
46	42	88	Mo	-72686.544	3.819	8523.908	0.043
45	43	88	Tc	-61681.315	149.039	8389.958	1.694
44	44	88	Ru	-54340#	300#	8298#	3#
43	45	88	Rh	-36860#	400#	8090#	5#
57	32	89	Ge	-33729#	400#	8169#	4#
56	33	89	As	-46798#	298#	8307#	3#
55	34	89	Se	-58992.391	3.729	8435.279	0.042
54	35	89	Br	-68274.263	3.264	8530.779	0.037
53	36	89	Kr	-76535.785	2.142	8614.815	0.024
52	37	89	Rb	-81712.388	5.427	8664.189	0.061
51	38	89	Sr	-86209.017	0.092	8705.922	0.001
50	39	89	Y	-87708.352	1.612	8713.978	0.018
49	40	89	Zr	-84875.561	3.083	8673.359	0.035
48	41	89	Nb	-80625.209	23.631	8616.812	0.266
47	42	89	Mo	-75014.935	3.912	8544.984	0.044
46	43	89	Tc	-67394.848	3.819	8450.575	0.043
45	44	89	Ru	-58260#	298#	8339#	3#
44	45	89	Rh	-45861#	361#	8191#	4#
58	32	90	Ge	-29221#	500#	8118#	6#
57	33	90	As	-41330#	400#	8244#	4#
56	34	90	Se	-55800.217	329.749	8395.766	3.664
55	35	90	Br	-64000.298	3.357	8478.186	0.037
54	36	90	Kr	-74959.25	1.863	8591.259	0.021
53	37	90	Rb	-79364.404	6.484	8631.512	0.072
52	38	90	Sr	-85948.127	2.124	8695.972	0.024
51	39	90	Y	-86494.062	1.611	8693.345	0.018
50	40	90	Zr	-88772.535	0.118	8709.969	0.001
49	41	90	Nb	-82661.519	3.317	8633.376	0.037
48	42	90	Mo	-80172.503	3.463	8597.028	0.038
47	43	90	Tc	-70724.687	1.025	8483.359	0.011
46	44	90	Ru	-64883.792	3.73	8409.768	0.041
45	45	90	Rh	-51700#	300#	8255#	3#
44	46	90	Pd	-39710#	400#	8113#	4#
58	33	91	As	-36896#	400#	8193#	4#
57	34	91	Se	-50580.124	433.145	8334.837	4.76
56	35	91	Br	-61107.294	3.544	8441.923	0.039
55	36	91	Kr	-70973.965	2.236	8541.751	0.025
54	37	91	Rb	-77745.037	7.801	8607.561	0.086
53	38	91	Sr	-83651.927	5.453	8663.875	0.06
52	39	91	Y	-86351.295	1.843	8684.941	0.02
51	40	91	Zr	-87895.566	0.105	8693.314	0.001
50	41	91	Nb	-86638.001	2.926	8670.897	0.032
49	42	91	Mo	-82208.821	6.238	8613.628	0.069
48	43	91	Tc	-75986.646	2.363	8536.655	0.026
47	44	91	Ru	-68239.823	2.221	8442.928	0.024
46	45	91	Rh	-58570#	298#	8328#	3#
45	46	91	Pd	-45930#	401#	8181#	4#
59	33	92	As	-30981#	500#	8127#	5#
58	34	92	Se	-46724#	400#	8290#	4#
57	35	92	Br	-56232.805	6.709	8384.911	0.073
56	36	92	Kr	-68769.32	2.701	8512.674	0.029
55	37	92	Rb	-74772.438	6.123	8569.422	0.067
54	38	92	Sr	-82867.361	3.423	8648.906	0.037
53	39	92	Y	-84816.492	9.127	8661.589	0.099
52	40	92	Zr	-88459.028	0.102	8692.678	0.001
51	41	92	Nb	-86453.292	1.785	8662.372	0.019
50	42	92	Mo	-86808.576	0.157	8657.73	0.002
49	43	92	Tc	-78925.693	3.102	8563.543	0.034
48	44	92	Ru	-74301.201	2.718	8504.773	0.03
47	45	92	Rh	-62999.087	4.378	8373.42	0.048
46	46	92	Pd	-54580#	300#	8273#	3#
45	47	92	Ag	-37130#	500#	8075#	5#
59	34	93	Se	-40716#	400#	8223#	4#
58	35	93	Br	-52890.23	430.816	8345.598	4.632
57	36	93	Kr	-64135.994	2.515	8458.108	0.027
56	37	93	Rb	-72619.901	7.83	8540.92	0.084
55	38	93	Sr	-80085.838	7.554	8612.787	0.081
54	39	93	Y	-84227.157	10.488	8648.905	0.113
53	40	93	Zr	-87122.032	0.457	8671.62	0.005
52	41	93	Nb	-87212.838	1.491	8664.184	0.016
51	42	93	Mo	-86807.069	0.181	8651.409	0.002
50	43	93	Tc	-83606.106	1.012	8608.577	0.011
49	44	93	Ru	-77216.713	2.065	8531.462	0.022
48	45	93	Rh	-69011.8	2.629	8434.825	0.028
47	46	93	Pd	-59001#	300#	8319#	3#
46	47	93	Ag	-46267#	401#	8173#	4#
60	34	94	Se	-36803#	500#	8180#	5#
59	35	94	Br	-47400#	300#	8284#	3#
58	36	94	Kr	-61347.772	12.109	8424.331	0.129
57	37	94	Rb	-68562.785	2.029	8492.764	0.022
56	38	94	Sr	-78845.711	1.663	8593.834	0.018
55	39	94	Y	-82351.463	6.38	8622.806	0.068
54	40	94	Zr	-87269.322	0.164	8666.801	0.002
53	41	94	Nb	-86369.062	1.491	8648.901	0.016
52	42	94	Mo	-88414.065	0.141	8662.333	0.002
51	43	94	Tc	-84158.317	4.071	8608.736	0.043
50	44	94	Ru	-82583.591	3.143	8583.661	0.033
49	45	94	Rh	-72907.613	3.379	8472.402	0.036
48	46	94	Pd	-66102.268	4.287	8391.682	0.046
47	47	94	Ag	-52410#	400#	8238#	4#
46	48	94	Cd	-40140#	500#	8099#	5#
61	34	95	Se	-30460#	500#	8112#	5#
60	35	95	Br	-43771#	298#	8244#	3#
59	36	95	Kr	-56158.913	18.63	8365.995	0.196
58	37	95	Rb	-65891.493	20.245	8460.208	0.213
57	38	95	Sr	-75119.551	5.812	8549.111	0.061
56	39	95	Y	-81208.848	6.779	8604.973	0.071
55	40	95	Zr	-85659.94	0.869	8643.592	0.009
54	41	95	Nb	-86786.258	0.508	8647.212	0.005
53	42	95	Mo	-87711.858	0.123	8648.72	0.001
52	43	95	Tc	-86021.341	5.08	8622.69	0.053
51	44	95	Ru	-83457.745	9.502	8587.47	0.1
50	45	95	Rh	-78340.606	3.886	8525.37	0.041
49	46	95	Pd	-69965.9	3.031	8428.98	0.032
48	47	95	Ag	-59597#	298#	8312#	3#
