N	Z	A	EL	MASS EXCESS       BINDING ENERGY/A
				(keV)		(keV)	
16	5	21	B	77330#	900#	4203#	43#
15	6	21	C	45643#	596#	5674#	28#
14	7	21	N	25231.913	134.048	6609.015	6.383
13	8	21	O	8062.035	12	7389.374	0.571
12	9	21	F	-47.605	1.8	7738.293	0.086
11	10	21	Ne	-5731.776	0.038	7971.713	0.002
10	11	21	Na	-2184.631	0.098	7765.547	0.005
9	12	21	Mg	10903.85	0.755	7105.031	0.036
8	13	21	Al	26990#	596#	6302#	28#
16	6	22	C	53611.197	231.49	5421.077	10.522
15	7	22	N	31764.801	207.779	6378.534	9.445
14	8	22	O	9283.033	56.921	7364.871	2.587
13	9	22	F	2793.373	12.399	7624.295	0.564
12	10	22	Ne	-8024.719	0.018	8080.465	0.001
11	11	22	Na	-5181.511	0.171	7915.667	0.008
10	12	22	Mg	-399.933	0.313	7662.761	0.014
9	13	22	Al	18201#	401#	6782#	18#
8	14	22	Si	33338#	503#	6058#	23#
17	6	23	C	64171#	997#	5077#	43#
16	7	23	N	36720.425	420.57	6236.671	18.286
15	8	23	O	14621.369	121.712	7163.485	5.292
14	9	23	F	3285.263	33.32	7622.344	1.449
13	10	23	Ne	-5154.049	0.104	7955.256	0.005
12	11	23	Na	-9529.85248	0.00181	8111.493	0
11	12	23	Mg	-5473.513	0.158	7901.115	0.007
10	13	23	Al	6748.07	0.345	7335.727	0.015
9	14	23	Si	23697#	503#	6565#	22#
17	7	24	N	46938#	401#	5887#	17#
16	8	24	O	18500.402	164.874	7039.685	6.87
15	9	24	F	7544.515	97.67	7463.582	4.07
14	10	24	Ne	-5951.646	0.513	7993.325	0.021
13	11	24	Na	-8417.901	0.017	8063.488	0.001
12	12	24	Mg	-13933.569	0.013	8260.709	0.001
11	13	24	Al	-48.865	0.233	7649.582	0.01
10	14	24	Si	10745.195	19.472	7167.232	0.811
9	15	24	P	33320#	503#	6194#	21#
18	7	25	N	55983#	503#	5613#	20#
17	8	25	O	27329.027	165.084	6727.805	6.603
16	9	25	F	11334.166	96.442	7336.306	3.858
15	10	25	Ne	-2035.502	29.045	7839.799	1.162
14	11	25	Na	-9357.813	1.2	8101.397	0.048
13	12	25	Mg	-13192.783	0.047	8223.502	0.002
12	13	25	Al	-8915.975	0.065	8021.136	0.003
11	14	25	Si	3827.324	10	7480.11	0.4
10	15	25	P	19738#	401#	6812#	16#
18	8	26	O	34661.037	164.95	6497.478	6.344
17	9	26	F	18648.875	111.199	7083.24	4.277
16	10	26	Ne	481.114	18.429	7751.91	0.709
15	11	26	Na	-6860.78	3.502	8004.201	0.135
14	12	26	Mg	-16214.542	0.03	8333.87	0.001
13	13	26	Al	-12210.151	0.067	8149.765	0.003
12	14	26	Si	-7141.015	0.108	7924.708	0.004
11	15	26	P	10973#	196#	7198#	8#
10	16	26	S	27079#	596#	6548#	23#
19	8	27	O	44670#	500#	6185#	19#
18	9	27	F	25450.279	389.83	6867.932	14.438
17	10	27	Ne	7050.909	90.77	7520.414	3.362
16	11	27	Na	-5517.79	3.726	7956.946	0.138
15	12	27	Mg	-14586.611	0.05	8263.852	0.002
14	13	27	Al	-17196.861	0.047	8331.553	0.002
13	14	27	Si	-12384.503	0.107	8124.341	0.004
12	15	27	P	-722.458	26.34	7663.438	0.976
11	16	27	S	17028#	401#	6977#	15#
20	8	28	O	52080#	699#	5988#	25#
19	9	28	F	33741.596	393.024	6614.792	14.037
18	10	28	Ne	11299.737	126.068	7388.346	4.502
17	11	28	Na	-988.315	10.246	7799.264	0.366
16	12	28	Mg	-15018.845	2.001	8272.413	0.071
15	13	28	Al	-16850.645	0.077	8309.894	0.003
14	14	28	Si	-21492.7943	0.00049	8447.744	0
13	15	28	P	-7147.74	1.152	7907.479	0.041
12	16	28	S	4073.206	160	7478.79	5.714
11	17	28	Cl	27516#	596#	6614#	21#
20	9	29	F	40150.186	525.363	6444.031	18.116
19	10	29	Ne	18399.801	149.505	7167.067	5.155
18	11	29	Na	2679.994	7.337	7682.151	0.253
17	12	29	Mg	-10602.829	11.4	8113.202	0.393
16	13	29	Al	-18207.76	0.345	8348.464	0.012
15	14	29	Si	-21895.07838	0.00056	8448.635	0
14	15	29	P	-16952.848	0.359	8251.236	0.012
13	16	29	S	-3156.416	50	7748.52	1.724
12	17	29	Cl	13162.176	188.68	7158.832	6.506
21	9	30	F	48112#	596#	6233#	20#
20	10	30	Ne	23280.117	253.25	7034.531	8.442
19	11	30	Na	8474.67	4.727	7501.968	0.158
18	12	30	Mg	-8883.82	3.447	8054.506	0.115
17	13	30	Al	-15864.844	2.888	8261.128	0.096
16	14	30	Si	-24432.96	0.022	8520.654	0.001
15	15	30	P	-20200.854	0.065	8353.506	0.002
14	16	30	S	-14059.253	0.206	8122.707	0.007
13	17	30	Cl	4443#	196#	7480#	7#
12	18	30	Ar	20931.147	206.155	6904.204	6.872
22	9	31	F	56143#	546#	6033#	18#
21	10	31	Ne	31181.591	266.195	6813.09	8.587
20	11	31	Na	12246.031	13.972	7398.677	0.451
19	12	31	Mg	-3122.151	3.074	7869.188	0.099
18	13	31	Al	-14950.706	2.236	8225.517	0.072
17	14	31	Si	-22949.036	0.043	8458.291	0.001
16	15	31	P	-24440.54095	0.00067	8481.167	0
15	16	31	S	-19042.525	0.229	8281.8	0.007
14	17	31	Cl	-7034.551	3.447	7869.209	0.111
13	18	31	Ar	11325#	200#	7252#	6#
22	10	32	Ne	36999#	503#	6671#	16#
21	11	32	Na	18640.151	37.26	7219.881	1.164
20	12	32	Mg	-828.9	3.26	7803.84	0.102
19	13	32	Al	-11099.367	7.173	8100.344	0.224
18	14	32	Si	-24077.686	0.298	8481.468	0.009
17	15	32	P	-24304.874	0.04	8464.12	0.001
16	16	32	S	-26015.53355	0.00132	8493.129	0
15	17	32	Cl	-13334.674	0.562	8072.404	0.018
14	18	32	Ar	-2200.351	1.77	7700.008	0.055
13	19	32	K	21098#	401#	6947#	13#
23	10	33	Ne	45997#	596#	6440#	18#
22	11	33	Na	23780.11	449.912	7089.926	13.634
21	12	33	Mg	4962.297	2.888	7636.455	0.088
20	13	33	Al	-8497.38	6.986	8020.616	0.212
19	14	33	Si	-20514.325	0.699	8361.059	0.021
18	15	33	P	-26337.346	1.09	8513.806	0.033
17	16	33	S	-26585.85434	0.00135	8497.63	0
16	17	33	Cl	-21003.337	0.391	8304.755	0.012
15	18	33	Ar	-9384.292	0.401	7928.955	0.012
14	19	33	K	7042#	196#	7407#	6#
24	10	34	Ne	52842#	513#	6287#	15#
23	11	34	Na	31680.111	599.416	6886.437	17.63
22	12	34	Mg	8323.348	28.876	7550.39	0.849
21	13	34	Al	-3000.289	3.074	7860.428	0.09
20	14	34	Si	-19956.852	14.118	8336.141	0.415
19	15	34	P	-24548.698	0.81	8448.185	0.024
18	16	34	S	-29931.685	0.045	8583.498	0.001
17	17	34	Cl	-24440.082	0.049	8398.97	0.001
16	18	34	Ar	-18378.29	0.078	8197.672	0.002
15	19	34	K	-1220#	196#	7670#	6#
14	20	34	Ca	13851#	298#	7204#	9#
24	11	35	Na	38231#	670#	6733#	19#
23	12	35	Mg	15639.784	269.668	7356.233	7.705
22	13	35	Al	-223.728	7.359	7787.124	0.21
21	14	35	Si	-14391.457	35.857	8169.563	1.024
20	15	35	P	-24857.799	1.866	8446.249	0.053
19	16	35	S	-28846.206	0.04	8537.85	0.001
18	17	35	Cl	-29013.528	0.035	8520.278	0.001
17	18	35	Ar	-23047.284	0.68	8327.461	0.019
16	19	35	K	-11172.891	0.512	7965.84	0.015
15	20	35	Ca	4788#	196#	7487#	6#
25	11	36	Na	46303#	678#	6546#	19#
24	12	36	Mg	20380.157	690.237	7244.419	19.173
23	13	36	Al	5950.384	149.505	7623.515	4.153
22	14	36	Si	-12436.124	71.797	8112.519	1.994
21	15	36	P	-20251.034	13.114	8307.868	0.364
20	16	36	S	-30664.131	0.188	8575.389	0.005
19	17	36	Cl	-29522.005	0.036	8521.931	0.001
18	18	36	Ar	-30231.54	0.027	8519.909	0.001
17	19	36	K	-17417.065	0.341	8142.219	0.009
16	20	36	Ca	-6451.149	40	7815.879	1.111
15	21	36	Sc	15351#	298#	7189#	8#
26	11	37	Na	53534#	687#	6392#	19#
25	12	37	Mg	28211.474	698.947	7055.111	18.89
24	13	37	Al	9809.563	180.244	7531.315	4.871
23	14	37	Si	-6571.511	113.809	7952.903	3.076
22	15	37	P	-18995.998	37.948	8267.555	1.026
21	16	37	S	-26896.417	0.198	8459.935	0.005
20	17	37	Cl	-31761.538	0.052	8570.281	0.001
19	18	37	Ar	-30947.664	0.207	8527.139	0.006
18	19	37	K	-24800.199	0.094	8339.847	0.003
17	20	37	Ca	-13136.066	0.634	8003.456	0.017
16	21	37	Sc	3520#	300#	7532#	8#
26	12	38	Mg	34074#	503#	6928#	13#
25	13	38	Al	16209.859	374.461	7377.097	9.854
24	14	38	Si	-4170.299	104.793	7892.829	2.758
23	15	38	P	-14621.563	72.581	8147.274	1.91
22	16	38	S	-26861.203	7.172	8448.782	0.189
21	17	38	Cl	-29798.103	0.098	8505.481	0.003
20	18	38	Ar	-34714.821	0.195	8614.28	0.005
19	19	38	K	-28800.755	0.195	8438.058	0.005
18	20	38	Ca	-22058.499	0.194	8240.043	0.005
17	21	38	Sc	-4249#	200#	7751#	5#
16	22	38	Ti	10870#	300#	7332#	8#
27	12	39	Mg	42275#	513#	6747#	13#
26	13	39	Al	20650#	400#	7281#	10#
25	14	39	Si	2320.352	135.532	7730.979	3.475
24	15	39	P	-12774.634	112.645	8097.969	2.888
23	16	39	S	-23162.667	50	8344.269	1.282
22	17	39	Cl	-29800.205	1.732	8494.402	0.044
21	18	39	Ar	-33242.19	5	8562.598	0.128
20	19	39	K	-33807.1901	0.00458	8557.025	0
19	20	39	Ca	-27282.702	0.596	8369.67	0.015
18	21	39	Sc	-14172.709	24	8013.456	0.615
17	22	39	Ti	2200#	200#	7574#	5#
28	12	40	Mg	48350#	500#	6628#	13#
27	13	40	Al	27590#	400#	7127#	10#
26	14	40	Si	5429.679	345.119	7661.754	8.628
25	15	40	P	-8114.37	153.582	7980.796	3.84
