5	8	13	O	+3n	23115.432	9.526	5811.763	0.733	B-	*	1	3	24815.437	10.226
10	4	14	Be	x	39954.498	132.245	4993.897	9.446	B-	16290.813	133.936  1	4	42892.92	141.97
9	5	14	B		23663.685	21.213	6101.644	1.515	B-	20643.792	21.213  1	4	25404.012	22.773
8	6	14	C		3019.89278	0.00376	7520.319	0	B-	156.476	0.004  1	4	3241.98843	0.00403
7	7	14	N		2863.41672	0.00019	7475.614	0	B-	-5144.364	0.025  1	4	3074.00446	0.00021
6	8	14	O		8007.781	0.025	7052.278	0.002	B-	-23956.622	41.119  1	4	8596.706	0.027
5	9	14	F	#NAME?	31964.402	41.119	5285.208	2.937	B-	*	1	4	34315.199	44.142
11	4	15	Be	#NAME?	49825.815	165.797	4540.97	11.053	B-	20867.573	167.126  1	5	53490.215	177.99
10	5	15	B		28958.242	21.032	5879.985	1.402	B-	19085.098	21.047  1	5	31087.953	22.578
9	6	15	C	#NAME?	9873.144	0.8	7100.169	0.053	B-	9771.705	0.800  1	5	10599.256	0.858
8	7	15	N		101.43871	0.0006	7699.46	0	B-	-2754.166	0.491  1	5	108.89894	0.00065
7	8	15	O		2855.605	0.491	7463.692	0.033	B-	-13711.146	14.009  1	5	3065.618	0.526
6	9	15	F	#NAME?	16566.751	14	6497.459	0.933	B-	-23648.622	68.138  1	5	17785.139	15.029
5	10	15	Ne	#NAME?	40215.373	66.684	4868.728	4.446	B-	*	1	5	43172.98	71.588
12	4	16	Be	#NAME?	57447.132	165.797	4285.285	10.362	B-	20334.623	167.608  1	6	61672.036	177.99
11	5	16	B		37112.51	24.569	5507.302	1.536	B-	23418.378	24.828  1	6	39841.92	26.375
10	6	16	C	#NAME?	13694.132	3.578	6922.054	0.224	B-	8010.225	4.254  1	6	14701.256	3.84
9	7	16	N	#NAME?	5683.907	2.301	7373.796	0.144	B-	10420.908	2.301  1	6	6101.925	2.47
8	8	16	O		-4737.00135	0.00016	7976.206	0	B-	-15417.254	8.321  1	5	994914.6196	0.00017
