Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
20   26   -0.726863         0.268322          1.356621          0.796269          -0.117672         2.30068           2.30203           2.34903           2.04803           1.69103           
20   28   -1.215771         -0.297799         1.01005           0.236322          -0.663352         1.938809          2.20806           1.84606           1.72306           1.09306           
22   20   2.656774          2.219487          1.895477          2.13323           3.130676          2.303669          0.76178           0.58878           1.11378           1.32378           
22   22   -2.772732         -2.972688         -3.060573         -2.778897         -1.74685          -2.364687         -3.87633          -4.67433          -4.11533          -3.52933          
22   24   -3.15623          -3.183989         -3.007938         -2.619222         -1.632343         -1.93142          -2.94988          -3.75088          -3.47888          -3.24188          
22   26   -2.647394         -2.469796         -2.136585         -1.70016          -0.623501         -0.946215         -2.24459          -3.17859          -2.79559          -2.24659          
22   28   -1.410907         -1.127884         -0.592584         -0.237228         0.920466          0.751749          -0.46048          -1.50748          -1.10148          -0.23248          
22   30   -1.782663         -1.001565         -0.501627         -0.204388         0.905186          0.685569          -0.75095          -1.12595          -1.30895          -0.81595          
22   32   -2.674146         -1.627065         -1.026677         -0.965504         0.135827          -0.176391         -1.4672           -1.2752           -1.8162           -1.7232           
24   24   -0.046726         -1.277877         -0.444258         -0.81319          -0.722248         -0.025734         -0.3227           -1.3047           -0.9797           -0.7927           
24   26   -0.569647         -1.186222         -0.61668          -0.742289         -0.492822         0.178103          -0.57271          -1.51771          -1.12871          -0.82171          
24   28   -1.038852         -1.003712         -0.749877         -0.569814         0.091079          0.2617            -1.0132           -1.7562           -1.2942           -0.2892           
24   30   -2.244671         -2.165397         -1.228648         -1.585237         -0.657905         -0.808711         -0.45365          -0.67965          -1.03365          -1.08465          
24   32   -2.1186           -1.774172         -0.940689         -1.281701         -0.366914         -0.560211         0.14121           -0.08179          -0.37579          -0.71579          
24   34   -2.985283         -2.286518         -1.445943         -1.867709         -1.035921         -0.695856         -0.71788          -0.76088          -1.23388          -1.78688          
26   26   -0.789378         -1.677876         -1.213321         -1.327279         -0.767572         -1.055018         -1.14406          -2.51306          -1.83406          -1.13006          
26   28   -0.31908          -1.318988         -0.567793         -0.702178         0.006536          -0.184743         -0.46046          -1.63546          -1.08846          -0.12746          
26   30   -0.717665         -1.22412          -0.482237         -0.73562          -0.134509         -0.176025         -0.72475          -1.77175          -1.27675          -0.61075          
26   32   -1.565004         -1.808111         -0.886274         -1.377482         -0.783721         -0.502497         -0.74411          -1.55211          -1.38411          -1.09311          
