Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
9    14   7.57943           0.03555           13.28674          0.06596           -3.46281          0.03332           
9    15   3.81206           0.1032            14.36582          0.15606           7.59338           0.09767           
9    16   4.28167           0.13726           14.45521          0.19101           20.25014          0.09644           
9    17   0.75661           0.1472            15.96912          0.19904           30.85903          0.1112            
9    18   1.26991           0.40538           16.49973          0.42329           42.64714          0.38983           
9    19   -0.22             0.05              *                 *                 50.59224          0.39302           
9    20   1.66273           0.6561            *                 *                 58.35795          0.52536           
10   5    *                 *                 -0.962            0.07718           *                 *                 
10   6    24.29991          0.06976           -0.13105          0.02481           *                 *                 
10   7    15.55765          0.02048           1.46878           0.00833           *                 *                 
10   8    19.25415          0.00051           3.92306           0.00044           *                 *                 
10   9    11.63688          0.0004            6.41003           0.00049           *                 *                 
10   10   16.8653           0.00016           12.84346          0.0               *                 *                 
10   11   6.76116           4e-05             13.00328          5e-05             *                 *                 
10   12   10.36426          4e-05             15.26608          0.0018            *                 *                 
10   13   5.20065           0.0001            15.23639          0.0124            *                 *                 
10   14   8.86891           0.00052           16.52588          0.03332           -16.69684         0.01948           
10   15   4.15517           0.02905           16.86899          0.1019            -5.86283          0.03072           
10   16   5.5547            0.0344            18.14202          0.09819           7.62213           0.01843           
10   17   1.50152           0.09262           18.88694          0.14354           19.43541          0.09077           
10   18   3.82249           0.15535           21.43951          0.40971           32.79253          0.12607           
10   19   0.97125           0.19556           22.63077          0.4205            40.29488          0.1495            
10   20   3.191             0.29409           24.15904          0.58322           47.71308          0.25325           
10   21   0.16984           0.12654           *                 *                 54.13063          0.2662            
11   6    *                 *                 -3.89747          1.00157           *                 *                 
11   7    18.20654          1.00575           -1.24857          0.09388           *                 *                 
11   8    20.17991          0.09447           -0.32281          0.01054           *                 *                 
11   9    14.1501           0.01059           2.19042           0.00113           *                 *                 
11   10   17.10655          0.00112           2.43167           0.0001            *                 *                 
11   11   11.0682           0.0002            6.73871           0.00018           *                 *                 
11   12   12.41966          0.00017           8.7941            2e-05             *                 *                 
11   13   6.95937           2e-05             10.55282          0.00011           *                 *                 
11   14   9.01123           0.0012            10.69514          0.0013            *                 *                 
11   15   5.57428           0.0037            12.11425          0.02926           *                 *                 
11   16   6.72833           0.00511           13.28787          0.0188            -4.79533          0.0266            
11   17   3.54184           0.0109            15.32819          0.09135           6.15942           0.01031           
11   18   4.40301           0.0126            15.90871          0.12628           19.63284          0.00735           
11   19   2.27664           0.00873           17.2141           0.14958           28.67552          0.00473           
11   20   4.29996           0.01475           18.32306          0.25364           36.68657          0.01397           
11   21   1.6772            0.03979           19.83041          0.26879           42.94502          0.03726           
11   22   2.93136           0.45145           *                 *                 50.11746          0.44991           
11   23   0.17132           0.74948           *                 *                 56.22881          0.59942           
12   7    *                 *                 0.49857           0.10637           *                 *                 
12   8    22.42201          0.05004           2.74067           0.0107            *                 *                 
12   9    14.64516          0.00201           3.23573           0.00135           *                 *                 
12   10   19.3751           0.00082           5.50427           0.00033           *                 *                 
12   11   13.1449           0.00035           7.58097           0.00023           *                 *                 
12   12   16.53137          0.00016           11.69269          1e-05             *                 *                 
12   13   7.33053           5e-05             12.06385          5e-05             *                 *                 
12   14   11.09308          4e-05             14.1457           0.0012            *                 *                 
12   15   6.44339           4e-05             15.0148           0.0035            *                 *                 
12   16   8.50355           0.002             16.79003          0.00423           -19.09205         0.16001           
12   17   3.6553            0.01157           16.90348          0.01533           -7.44641          0.05128           
12   18   6.35231           0.01191           18.85279          0.00811           5.17543           0.00345           
12   19   2.30965           0.00462           18.88579          0.00564           15.92037          0.00308           
