Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         FDRM2012(MeV)     HFB24(MeV)        
10   18   5.32764           5.32401           *                 0.1491            0.12741           *                 6.339753          6.954125          6.86509           7.082417          6.277665          5.981225          7.772             8.544             8.628             9.099             6.3               5.172636          
10   20   4.28521           4.16225           *                 0.58928           0.28289           *                 4.376636          3.852991          4.069261          4.385873          4.106585          3.649373          6.142             7.485             6.98              6.824             3.89              4.882636          
10   22   *                 *                 *                 *                 *                 *                 3.562575          0.99121           *                 0.890714          0.869153          0.727002          *                 *                 0.237             1.816             2.83              0.512636          
10   24   *                 *                 *                 *                 *                 *                 2.961041          1.426942          0.935194          1.343356          1.250896          0.807711          *                 *                 1.257             2.013             0.54              0.122636          
10   26   *                 *                 *                 *                 *                 *                 1.397825          *                 *                 *                 *                 *                 *                 *                 *                 0.976             -1.84             -1.207364         
10   28   *                 *                 *                 *                 *                 *                 0.27053           *                 *                 *                 *                 *                 *                 *                 *                 0.277             -0.21             -1.077364         
10   30   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.82             -2.157364         
10   32   *                 *                 *                 *                 *                 *                 0.027328          *                 *                 *                 *                 *                 *                 *                 *                 *                 -4.39             -1.437364         
10   34   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -6.99             *                 
10   36   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -3.63             *                 
10   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -9.13             *                 
10   40   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -8.02             *                 
12   8    *                 *                 *                 *                 *                 *                 39.493961         41.0409           42.132228         41.088069         40.112881         43.188399         *                 *                 *                 *                 *                 *                 
12   10   34.10995          34.02026          *                 0.02703           0.00189           *                 29.03841          28.612711         29.913353         30.046289         29.573204         31.23707          31.405            30.726            30.623            28.727            32.66             33.102636         
12   12   29.67924          29.67627          *                 0.00134           0.00031           *                 26.426134         25.822634         26.207551         25.847956         26.032585         26.727103         27.382            26.513            27.229            27.402            28.24             30.232636         
12   14   18.42365          18.42361          *                 3e-05             3e-05             *                 21.584977         21.462352         20.472718         20.690796         22.400436         20.653817         18.912            19.726            19.495            18.878            19.31             17.742636         
12   16   14.94669          14.94694          *                 0.002             0.002             *                 17.502946         17.653414         17.057432         16.918475         16.94886          16.180733         16.054            16.315            16.065            15.937            14.01             15.972636         
12   18   10.03467          10.00761          *                 0.00862           0.00399           *                 10.766089         11.805886         11.875912         11.937675         10.876988         11.111629         11.851            12.308            12.974            13.176            11.47             9.802636          
12   20   8.18674           8.08771           *                 0.01958           0.00474           *                 8.622089          8.490023          8.798426          8.834171          8.391926          8.170291          10.728            11.699            11.738            11.131            8.61              7.462636          
12   22   6.37925           6.99039           *                 0.23207           0.02906           *                 8.018569          5.381908          4.235897          5.072278          4.905196          4.616307          4.26              3.965             4.433             5.285             6.15              6.152636          
12   24   *                 4.08582           *                 *                 0.69084           *                 6.659814          5.286719          5.310164          5.24993           4.94859           4.542964          4.899             4.868             5.629             5.66              4.69              4.122636          
12   26   *                 *                 *                 *                 *                 *                 4.84975           3.170902          2.624799          3.130104          3.077609          2.539839          2.418             2.123             2.994             3.803             2.67              2.582636          
12   28   *                 *                 *                 *                 *                 *                 3.043169          1.34211           0.625676          1.283205          1.388231          0.942224          0.989             0.943             1.59              2.448             2.83              0.772636          
12   30   *                 *                 *                 *                 *                 *                 2.002856          0.571595          *                 0.739781          1.13156           0.352798          *                 *                 *                 1.422             -2.23             0.412636          
12   32   *                 *                 *                 *                 *                 *                 1.826022          0.229021          *                 0.444313          0.826267          0.291645          *                 *                 *                 0.797             -2.72             -0.737364         
12   34   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.051559          0.020718          *                 *                 *                 0.325             -3.28             -0.717364         
12   36   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -4.43             *                 
12   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.18             *                 
12   40   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.3              *                 
12   42   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -7.86             *                 
12   44   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.33             *                 
12   46   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -7.54             *                 
14   8    *                 *                 *                 *                 *                 *                 45.304483         46.987429         48.101383         46.549738         45.732323         48.408466         *                 *                 *                 *                 *                 *                 
14   10   *                 *                 *                 *                 *                 *                 33.456328         34.399129         34.820319         34.666352         35.458817         35.886195         *                 *                 *                 32.799            39.4              38.962636         
14   12   34.04194          34.02884          *                 0.0197            0.01947           *                 31.278243         30.725295         31.553238         31.448802         31.918458         32.427091         32.675            32.671            32.032            31.572            32.78             33.752636         
14   14   30.4908           30.49441          *                 0.003             0.00011           *                 28.246602         27.610599         27.597872         27.576934         28.43527          28.244473         30.135            29.057            29.44             29.538            28.61             30.722636         
14   16   19.08277          19.0828           *                 3e-05             2e-05             *                 22.215197         22.517754         22.168832         22.175106         22.070257         21.911969         19.18             19.784            20.251            19.426            19.37             19.092636         
14   18   15.79061          15.78736          *                 4e-05             0.0003            *                 15.217355         16.635425         16.704728         16.63695          15.629095         16.242668         17.759            17.985            17.769            17.571            16.18             15.662636         
14   20   12.0185           12.0218           *                 0.01412           0.01412           *                 12.916214         13.061825         13.584365         13.400578         12.823082         13.004216         15.42             15.879            15.826            15.458            12.83             12.952636         
14   22   8.66837           8.62191           *                 0.12426           0.07317           *                 10.42783          9.367593          8.519307          8.917845          9.057645          7.897853          7.457             7.57              8.268             8.456             10.06             9.072636          
14   24   7.7274            7.87681           *                 0.18477           0.12703           *                 9.727149          7.987018          7.774376          7.90314           7.610923          7.499209          7.23              7.94              8.134             7.919             7.79              7.892636          
14   26   6.60831           6.54266           *                 0.57278           0.36068           *                 8.395569          6.681584          6.203467          6.481203          6.359716          5.754793          6.03              5.776             6.486             7.151             6.1               6.722636          
14   28   *                 *                 *                 *                 *                 *                 7.389852          5.590565          5.005018          5.513556          5.427182          5.165404          6.046             5.674             6.397             6.173             6.94              4.872636          
14   30   *                 *                 *                 *                 *                 *                 5.246747          3.885094          2.971937          3.768811          3.88047           3.185511          1.937             1.63              2.42              3.816             0.97              3.202636          
14   32   *                 *                 *                 *                 *                 *                 4.214749          2.995924          1.392019          2.930223          3.581712          2.513695          1.295             0.912             1.439             2.652             0.2               1.072636          
14   34   *                 *                 *                 *                 *                 *                 1.565429          0.600291          *                 1.244158          1.709857          1.554487          1.043             0.253             0.465             2.091             -0.46             -0.467364         
14   36   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 1.453             -2.19             -0.457364         
14   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.516             -3.43             *                 
14   40   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -3.21             *                 
14   42   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -4.65             *                 
14   44   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -4.58             *                 
14   46   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.2              *                 
14   48   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.16             *                 
14   50   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -3.62             *                 
14   52   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -11.87            *                 
14   54   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -8.56             *                 
16   10   *                 *                 *                 *                 *                 *                 37.697443         39.285681         39.757766         39.192016         39.986854         39.893541         *                 *                 *                 *                 44.36             41.692636         
16   12   *                 *                 *                 *                 *                 *                 35.405013         35.728575         36.139421         35.868796         36.818119         37.069806         *                 *                 36.4              35.382            37.59             39.132636         
16   14   34.27837          34.27509          *                 0.16003           0.16              *                 32.807511         32.38729          32.585391         32.651256         33.396479         33.792173         33.079            32.454            32.859            32.725            33.57             34.012636         
16   16   28.0958           28.09891          *                 0.003             0.00021           *                 26.335131         26.878233         26.277899         26.843388         26.88294          27.332035         26.917            27.425            26.433            26.191            28.05             29.772636         
16   18   20.05873          20.05879          *                 9e-05             4e-05             *                 19.501597         21.295785         21.31598          21.25638          20.159982         21.301398         22.186            23.241            23.06             22.431            20.01             18.622636         
16   20   16.87492          16.87508          *                 0.00022           0.00019           *                 16.978267         17.514365         18.147639         17.761888         17.128535         17.80009          19.853            20.169            20.497            19.88             17.34             17.382636         
16   22   12.33976          12.33971          *                 0.00717           0.00717           *                 14.112171         13.389029         12.660961         13.024945         13.156533         12.151359         12.107            12.077            12.527            12.518            13.61             12.942636         
16   24   12.148            12.11928          *                 0.14148           0.0082            *                 12.732296         11.320384         11.528222         11.346869         11.090273         11.276589         12.219            11.99             12.284            12.019            11.83             12.032636         
16   26   10.95357          10.94253          *                 0.18813           0.00486           *                 12.248195         10.33044          10.345004         10.266897         10.110787         9.510311          9.802             9.85              10.419            10.263            10.35             10.062636         
16   28   7.5813            7.70912           *                 0.41363           0.00592           *                 10.257747         8.861087          8.061786          8.529292          8.566568          7.881391          7.169             7.192             7.722             7.954             8.07              7.922636          
16   30   *                 *                 *                 *                 *                 *                 8.352384          7.304872          6.226222          6.850437          7.39034           6.308218          5.374             5.168             6.011             6.712             5.66              6.512636          
16   32   *                 *                 *                 *                 *                 *                 6.661722          5.785702          4.016908          5.703898          5.963248          5.187821          4.412             4.392             4.648             5.54              3.49              3.732636          
16   34   *                 *                 *                 *                 *                 *                 3.419298          2.938155          2.204919          3.112216          3.352147          3.083445          3.116             3.264             3.302             4.407             2.24              2.492636          
16   36   *                 *                 *                 *                 *                 *                 0.334053          0.285793          *                 0.671422          0.630942          *                 1.743             1.67              1.992             3.555             0.61              0.532636          
16   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.071713          *                 0.71              1.006             1.444             2.551             -0.38             -0.837364         
16   40   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 1.026             0.794             1.317             -1.34             *                 
16   42   *                 *                 *                 *                 *                 *                 0.276297          *                 *                 *                 *                 *                 *                 *                 *                 *                 -2.44             *                 
16   44   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -3.07             *                 
16   46   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -3.09             *                 
16   48   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -3.9              *                 
16   50   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -4.5              *                 
16   52   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -5.19             *                 
16   54   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -6.37             *                 
16   56   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -6.45             *                 
16   58   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -8.87             *                 
16   60   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -7.6              *                 
18   12   *                 *                 *                 *                 *                 *                 *                 40.199885         *                 40.125232         *                 *                 *                 *                 *                 *                 43.38             43.032636         
18   14   *                 39.27413          *                 *                 0.20616           *                 36.98349          36.878697         37.203149         37.117038         37.731805         38.582081         *                 *                 37.65             36.715            38.13             40.052636         
18   16   32.31965          32.32057          *                 0.0018            0.00177           *                 30.557113         31.418052         30.806717         31.369187         31.166196         32.182131         31.323            32.43             31.416            31.016            32.13             32.622636         
18   18   27.99696          27.99588          *                 0.00039           8e-05             *                 24.453922         26.115792         26.262917         26.060343         24.941979         26.631784         28.207            28.769            27.971            27.448            27.81             28.992636         
18   20   20.62565          20.62592          *                 0.00034           0.0002            *                 21.602775         22.1586           22.915286         22.46475          21.728585         22.976853         24.464            24.947            25.549            24.534            21.71             21.092636         
18   22   16.46798          16.46771          *                 0.00034           0.00019           *                 18.009837         17.499592         16.953707         17.27237          17.391533         16.646674         16.237            16.179            16.32             16.611            17.9              16.002636         
18   24   15.52541          15.52541          *                 0.00578           0.00578           *                 16.478967         15.202654         14.985309         15.062041         15.244759         14.658705         14.808            14.63             15.065            14.954            15.56             16.272636         
18   26   14.39301          14.39321          *                 0.00599           0.00599           *                 15.613035         13.852103         13.92571          13.752624         13.675982         13.355053         13.57             13.399            13.818            13.605            13.18             13.152636         
18   28   13.18971          13.24231          *                 0.04092           0.00194           *                 13.907637         12.244843         12.029346         12.113839         12.113589         11.591012         11.951            12.04             12.225            11.826            11.84             12.242636         
18   30   *                 8.65104           *                 *                 0.3074            *                 11.18228          10.636758         9.167615          10.264475         10.534645         9.751396          8.639             8.121             9.047             9.49              8.08              9.042636          
18   32   *                 *                 *                 *                 *                 *                 9.01452           8.457581          7.123347          7.998103          8.275623          7.69499           7.091             7.351             7.432             7.95              6.39              6.622636          
18   34   *                 *                 *                 *                 *                 *                 5.509329          5.445135          4.658445          5.240671          5.306305          4.891575          5.509             5.963             6.102             6.808             5.34              4.872636          
18   36   *                 *                 *                 *                 *                 *                 3.090039          3.13246           2.759789          3.378791          3.263512          2.517006          4.219             4.32              4.41              5.848             2.93              2.962636          
