Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         FDRM2012(MeV)     HFB24(MeV)        
50   120  *                 *                 *                 *                 *                 *                 3.228709          0.597437          1.013127          1.329121          0.849239          1.046668          *                 0.417             1.165             0.778             *                 1.192636          
50   122  *                 *                 *                 *                 *                 *                 3.311882          0.297288          0.924041          1.125396          0.544026          0.840811          *                 0.186             0.914             0.429             *                 0.952636          
50   124  *                 *                 *                 *                 *                 *                 3.264616          *                 0.964403          0.86911           0.124659          0.510155          *                 *                 0.63              0.108             *                 0.662636          
50   126  *                 *                 *                 *                 *                 *                 1.82632           *                 *                 *                 *                 *                 *                 *                 0.261             *                 *                 0.302636          
50   128  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -1.707364         
52   44   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 37.772636         
52   46   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 36.292636         
52   48   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 34.982636         
52   50   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 33.03             33.172636         
52   52   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 27.66             27.942636         
52   54   *                 *                 *                 *                 *                 *                 *                 24.97706          24.543087         *                 24.62655          25.010971         *                 *                 *                 *                 24.32             25.552636         
52   56   23.65014          23.70455          *                 0.16811           0.10069           *                 22.594373         23.843651         23.104773         23.468806         23.019428         23.419298         *                 23.997            23.635            *                 23.7              23.692636         
52   58   22.69782          22.59078          *                 0.11628           0.00852           *                 21.534075         22.482642         21.668518         22.16137          22.197685         21.997526         22.176            22.706            22.287            22.147            22.57             22.202636         
52   60   21.16678          21.48033          *                 0.17801           0.01065           *                 20.819641         21.315296         20.484502         21.046433         21.038241         20.924567         21.164            21.52             21.29             21.142            21.45             21.412636         
52   62   20.72994          20.4637           *                 0.17255           0.02918           *                 20.487162         20.376801         19.902146         20.15996          20.109506         20.347212         20.368            20.752            20.534            20.27             20.74             20.282636         
52   64   19.52303          19.52303          *                 0.03952           0.03952           *                 19.721555         19.609253         19.541782         19.570347         19.438433         19.39948          19.953            19.969            20.226            19.73             19.55             19.612636         
52   66   18.59472          18.57026          *                 0.03161           0.0335            *                 19.039567         18.722676         18.766048         18.790616         18.629326         18.478908         19.123            19.028            19.295            18.866            18.62             18.762636         
52   68   17.82618          17.81404          *                 0.01114           0.01822           *                 18.379253         17.900388         17.679904         17.900012         17.826184         17.574165         18.039            17.92             18.273            17.989            18.01             17.902636         
52   70   17.05207          17.08911          *                 0.00966           0.00269           *                 17.614986         17.151205         16.874218         17.159647         17.109388         16.613527         17.387            17.074            17.464            17.209            17.06             17.272636         
52   72   16.35315          16.3535           *                 0.00023           0.00012           *                 16.789894         16.613403         16.453559         16.540036         16.596421         15.972842         16.66             16.426            16.821            16.507            16.4              16.302636         
52   74   15.68266          15.68266          *                 9e-05             9e-05             *                 16.3644           16.0128           15.763757         15.928828         16.116514         15.632774         15.947            15.766            16.216            15.898            15.8              15.632636         
52   76   15.07015          15.071            *                 0.00206           0.00168           *                 16.313677         15.36672          15.492022         15.701466         15.411469         15.122316         15.466            15.322            15.827            15.411            15.14             14.852636         
52   78   14.50195          14.50187          *                 0.00098           0.00087           *                 16.301456         14.793701         15.24469          15.208454         14.739286         14.561569         15.029            15.082            15.499            14.748            14.95             14.752636         
52   80   13.97341          13.97787          *                 0.00719           0.00349           *                 16.443673         14.225342         15.135826         14.779037         14.156256         14.392718         14.689            14.592            15.0              14.08             14.28             13.962636         
52   82   13.51994          13.48819          *                 0.01271           0.00444           *                 15.311282         12.578838         13.855362         13.170972         12.725413         13.067577         13.934            13.934            14.278            13.327            13.09             13.662636         
52   84   8.00835           8.03416           *                 0.04647           0.00357           *                 8.368778          9.150618          6.43294           7.989873          8.536449          7.435233          6.128             6.321             6.052             6.599             8.25              7.942636          
52   86   *                 7.41335           *                 *                 0.00442           *                 8.183717          7.877728          6.524628          6.958554          7.606884          6.943429          6.056             6.583             6.51              6.336             6.9               7.252636          
52   88   *                 7.02288           *                 *                 0.06252           *                 7.314495          7.438406          5.930545          6.910822          7.084909          6.504482          6.017             6.886             6.765             6.659             6.51              6.702636          
52   90   *                 *                 *                 *                 *                 *                 6.567631          6.605245          5.232221          6.222636          6.465373          5.922566          6.119             6.174             6.103             6.41              6.38              6.402636          
52   92   *                 *                 *                 *                 *                 *                 6.451262          5.958314          4.600943          5.703953          5.848454          5.437052          5.469             5.665             5.655             6.031             5.89              6.212636          
52   94   *                 *                 *                 *                 *                 *                 6.443855          5.450277          4.527437          5.334995          5.462294          5.090507          5.043             5.234             5.418             5.685             5.68              6.082636          
52   96   *                 *                 *                 *                 *                 *                 6.251126          5.045991          4.554109          5.273008          5.057703          5.067971          4.672             5.007             5.347             5.364             5.59              5.492636          
52   98   *                 *                 *                 *                 *                 *                 5.959823          4.822999          4.349278          5.077812          4.818277          4.875342          4.334             4.877             5.192             5.062             4.89              5.022636          
52   100  *                 *                 *                 *                 *                 *                 5.561978          4.496403          4.11654           4.666701          4.665792          4.47527           4.215             4.434             4.788             4.923             4.4               4.632636          
52   102  *                 *                 *                 *                 *                 *                 4.984428          4.016024          3.536827          4.140815          4.304671          3.928703          4.012             3.887             4.216             4.692             4.03              4.152636          
52   104  *                 *                 *                 *                 *                 *                 4.471702          3.568565          2.681501          3.615112          3.95887           3.485026          3.57              3.44              3.736             4.4               3.44              3.792636          
52   106  *                 *                 *                 *                 *                 *                 4.169391          3.16799           2.03371           3.238251          3.611392          3.202485          3.269             3.008             3.35              4.141             2.93              3.242636          
52   108  *                 *                 *                 *                 *                 *                 3.935152          2.767106          1.809368          2.933726          3.295031          2.969619          3.165             2.574             2.965             4.013             2.47              2.532636          
52   110  *                 *                 *                 *                 *                 *                 3.647114          2.385591          1.710498          2.65932           3.024076          2.650686          2.909             2.424             2.569             3.766             2.12              2.352636          
52   112  *                 *                 *                 *                 *                 *                 3.307251          2.025391          1.471807          2.389248          2.847108          2.35231           2.622             2.261             2.774             3.392             1.67              1.882636          
52   114  *                 *                 *                 *                 *                 *                 3.050941          1.807865          1.015058          2.309685          2.951605          2.189864          2.16              2.01              2.548             2.985             1.92              1.552636          
52   116  *                 *                 *                 *                 *                 *                 2.998571          1.674626          1.265172          2.319327          2.560053          2.125542          1.748             1.837             2.4               2.57              1.65              2.012636          
52   118  *                 *                 *                 *                 *                 *                 3.38224           1.555952          1.346239          2.315482          2.189331          2.046748          1.408             1.778             2.363             2.162             1.47              1.572636          
52   120  *                 *                 *                 *                 *                 *                 3.353778          1.399365          1.397612          2.241286          1.868712          1.871077          1.115             1.585             2.325             1.76              0.97              1.492636          
52   122  *                 *                 *                 *                 *                 *                 3.499507          1.452832          1.626247          2.262086          1.598884          1.664286          0.833             1.385             2.102             1.346             1.3               0.832636          
52   124  *                 *                 *                 *                 *                 *                 4.027681          0.964063          2.135429          2.055428          1.210574          1.749972          0.528             1.154             1.843             0.897             0.81              1.732636          
52   126  *                 *                 *                 *                 *                 *                 2.875364          *                 0.934912          0.700875          0.193975          0.629045          0.046             0.871             1.521             0.414             *                 1.422636          
52   128  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.004             *                 -1.367364         
52   130  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -2.127364         
54   46   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 37.772636         
54   48   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 36.602636         
54   50   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 34.562636         
54   52   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 29.41             30.332636         
54   54   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 28.11             28.592636         
54   56   *                 *                 *                 *                 *                 *                 *                 25.717451         25.328625         25.518918         25.268392         25.668943         *                 *                 *                 *                 25.86             26.452636         
54   58   24.20467          24.24635          *                 0.1688            0.10133           *                 23.430394         24.113135         23.579085         24.013129         23.780858         23.947935         24.025            24.528            24.119            24.07             24.73             24.212636         
54   60   23.26186          23.20219          *                 0.1047            0.01391           *                 22.899803         22.831049         22.337585         22.829719         22.632655         22.780197         22.93             23.051            23.06             22.934            23.21             22.892636         
54   62   22.10347          22.10347          *                 0.01718           0.01718           *                 22.207922         21.927632         21.667434         21.965634         21.869228         22.073337         22.108            22.036            22.26             22.008            22.36             21.912636         
54   64   21.17497          21.17497          *                 0.01667           0.01667           *                 21.119937         21.158634         20.996204         21.140253         21.087158         21.029961         21.337            21.33             21.527            21.118            21.2              21.272636         
54   66   20.236            20.236            *                 0.01573           0.01573           *                 20.40412          20.366931         20.318359         20.289686         20.230904         20.10445          20.481            20.75             20.669            20.179            20.33             20.252636         
54   68   19.32519          19.32519          *                 0.01622           0.01622           *                 19.786995         19.475926         19.370277         19.420793         19.350566         19.151189         19.42             19.493            19.583            19.312            19.19             19.202636         
54   70   18.44774          18.44908          *                 0.01126           0.01125           *                 19.057142         18.508689         18.143347         18.474069         18.399395         18.150134         18.703            18.569            18.532            18.603            18.28             18.322636         
54   72   17.65107          17.62818          *                 0.00646           0.00393           *                 18.003935         17.663893         17.25489          17.548891         17.486725         17.176992         18.124            18.01             18.284            17.865            17.77             17.512636         
54   74   16.83414          16.85597          *                 0.00635           0.00366           *                 17.062872         17.035075         16.830082         16.962861         16.916003         16.535127         17.302            17.155            17.525            17.121            16.62             16.802636         
54   76   16.16431          16.1628           *                 0.00157           0.00106           *                 16.86969          16.459244         16.602363         16.519301         16.45223          16.072401         16.58             16.48             16.861            16.467            16.0              16.062636         
54   78   15.5414           15.54113          *                 0.00122           1e-05             *                 16.854531         15.739478         16.118855         15.98588          15.873619         15.549336         16.058            16.074            16.417            15.984            15.91             15.502636         
54   80   14.98664          14.98949          *                 0.00128           1e-05             *                 16.801661         15.089298         15.378829         15.630234         15.536353         14.949075         15.928            16.059            16.379            15.721            15.79             14.922636         
54   82   14.44328          14.44597          *                 0.00709           1e-05             *                 16.373152         13.953199         15.300425         14.591696         14.108781         14.511096         15.727            15.535            15.886            15.005            14.45             14.772636         
54   84   9.86839           9.68571           *                 0.04395           0.0028            *                 10.322827         10.549278         8.370369          9.186794          9.73594           8.953889          7.108             7.801             7.279             7.657             9.5               9.422636          
54   86   8.98274           9.15685           *                 0.07449           0.00364           *                 9.752593          9.93115           8.538925          9.39196           9.314495          8.902735          8.208             8.486             8.606             7.897             8.43              9.012636          
54   88   8.62674           8.38582           *                 0.11739           0.00357           *                 8.727815          8.898896          7.813866          8.49254           8.573371          8.146467          8.186             8.417             8.518             8.25              8.48              8.772636          
54   90   *                 7.78529           *                 *                 0.00596           *                 8.29252           8.073547          6.835845          7.745825          7.862164          7.381366          7.363             7.653             7.694             7.744             8.04              8.162636          
54   92   *                 *                 *                 *                 *                 *                 8.082033          7.408297          6.229909          7.176955          7.248155          6.840824          6.77              6.96              7.16              7.239             7.68              7.652636          
54   94   *                 *                 *                 *                 *                 *                 7.92115           6.925847          6.10881           6.868863          6.797609          6.549841          6.312             6.4               6.807             6.801             7.3               7.202636          
54   96   *                 *                 *                 *                 *                 *                 7.625147          6.540729          5.939999          6.592825          6.470726          6.311041          5.932             6.08              6.537             6.411             6.67              6.802636          
54   98   *                 *                 *                 *                 *                 *                 7.33298           6.148318          5.680161          6.264088          6.136123          6.028279          5.633             5.91              6.284             6.051             6.2               6.142636          
54   100  *                 *                 *                 *                 *                 *                 6.872735          5.686513          5.400142          5.83925           5.694396          5.590802          5.289             5.508             5.847             5.707             5.58              5.792636          
54   102  *                 *                 *                 *                 *                 *                 6.245031          5.159127          4.775927          5.266144          5.22488           5.007661          4.811             4.95              5.212             5.365             5.15              5.032636          
54   104  *                 *                 *                 *                 *                 *                 5.609141          4.653572          3.838918          4.663592          4.855777          4.459056          4.366             4.501             4.734             5.036             4.67              5.122636          
54   106  *                 *                 *                 *                 *                 *                 5.089691          4.184292          3.058447          4.19864           4.53131           4.080164          4.017             4.026             4.336             4.844             3.96              4.182636          
54   108  *                 *                 *                 *                 *                 *                 4.809271          3.787617          2.790824          3.861962          4.204916          3.812726          3.708             3.556             3.924             4.581             3.45              3.862636          
54   110  *                 *                 *                 *                 *                 *                 4.560905          3.349131          2.713115          3.599959          3.882361          3.500355          3.514             3.118             3.504             4.309             3.1               3.062636          
54   112  *                 *                 *                 *                 *                 *                 4.222139          2.959462          2.519835          3.24947           3.595316          3.177866          3.237             3.199             3.289             4.098             2.66              2.932636          
54   114  *                 *                 *                 *                 *                 *                 3.844795          2.609895          1.911365          2.968781          3.37207           2.953532          3.11              2.878             3.326             3.945             2.48              2.472636          
54   116  *                 *                 *                 *                 *                 *                 3.536613          2.331056          1.396368          2.760942          3.206014          2.78008           2.95              2.81              3.223             3.599             2.14              2.172636          
54   118  *                 *                 *                 *                 *                 *                 3.511992          2.135805          1.668749          2.758392          3.030923          2.633621          2.657             2.627             3.102             3.221             2.46              2.302636          
54   120  *                 *                 *                 *                 *                 *                 3.83955           1.976456          2.074641          2.785322          2.732666          2.54326           2.281             2.464             3.018             2.83              1.76              2.162636          
54   122  *                 *                 *                 *                 *                 *                 3.882469          1.885874          2.293189          2.66005           2.260928          2.423497          1.876             2.438             3.091             2.409             1.99              2.342636          
54   124  *                 *                 *                 *                 *                 *                 4.430781          1.891289          2.766422          3.15202           1.978914          2.487064          1.8               2.338             2.99              1.908             1.77              2.182636          
54   126  *                 *                 *                 *                 *                 *                 3.876204          0.883633          2.083056          1.748866          1.193167          1.693687          1.571             2.082             2.704             1.191             1.37              1.872636          
54   128  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.361             -2.84             -0.977364         
54   130  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -1.267364         
54   132  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -1.437364         
56   54   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 30.87             *                 
56   56   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 28.83             29.022636         
56   58   *                 *                 *                 *                 *                 *                 *                 25.824883         25.458664         25.870996         *                 25.916524         *                 *                 *                 *                 26.22             26.842636         
56   60   *                 *                 *                 *                 *                 *                 25.651246         24.456784         24.495349         24.864085         24.959315         25.285549         25.467            24.758            *                 25.088            25.22             24.802636         
56   62   *                 *                 *                 *                 *                 *                 23.724516         23.60164          23.820534         24.035145         23.911593         23.952225         23.586            23.768            23.828            23.85             24.06             23.512636         
56   64   *                 *                 *                 *                 *                 *                 22.380585         22.795951         22.377905         22.63025          22.491695         22.454021         22.852            22.976            23.031            22.718            22.53             22.592636         
56   66   21.86292          21.86294          *                 0.30146           0.30146           *                 21.399353         21.874893         21.752059         21.669898         21.496633         21.473831         21.959            21.986            22.128            21.672            21.9              21.742636         
56   68   20.62349          20.62347          *                 0.03061           0.03061           *                 20.992962         20.932701         20.874338         20.775724         20.661802         20.561168         20.802            20.957            20.956            20.544            20.68             20.622636         
56   70   19.72276          19.72276          *                 0.01767           0.01767           *                 20.317418         19.884357         19.526807         19.765019         19.709005         19.50378          19.637            20.201            19.641            19.644            19.67             19.682636         
56   72   18.87422          18.85123          *                 0.01607           0.01353           *                 19.186227         18.870412         18.292372         18.673428         18.634809         18.373303         19.209            19.343            19.298            18.997            18.74             18.712636         
56   74   18.00272          18.02568          *                 0.01034           0.00285           *                 17.887366         18.111207         17.607385         17.925791         17.835483         17.547411         18.482            18.471            18.664            18.277            18.07             17.862636         
56   76   17.31587          17.31611          *                 0.00295           0.00269           *                 17.548458         17.573109         17.470412         17.533537         17.469197         17.125011         17.727            17.751            17.955            17.671            16.86             17.232636         
56   78   16.65766          16.65747          *                 0.00113           0.0011            *                 17.614124         16.935679         17.199283         17.088561         17.019121         16.688768         17.338            17.386            17.558            17.253            16.78             16.522636         
56   80   16.0797           16.0797           *                 0.00011           0.00011           *                 17.543836         16.054394         16.542102         16.337987         16.316616         16.112362         17.343            17.565            17.664            17.264            16.8              15.912636         
56   82   15.51733          15.51735          *                 9e-05             8e-05             *                 17.149987         15.023712         16.095554         15.978051         15.513248         15.592706         17.34             17.039            17.421            16.618            15.83             15.772636         
56   84   11.15237          11.15035          *                 0.00797           0.00794           *                 11.841772         12.19424          9.887759          10.861667         11.17633          10.36593          8.344             9.368             8.597             8.84              10.89             10.962636         
56   86   10.69441          10.71554          *                 0.01              0.0099            *                 11.182844         11.282743         10.097772         10.644723         10.744814         10.303904         9.298             9.537             9.806             8.937             10.01             10.622636         
56   88   10.08844          10.06749          *                 0.01468           0.00927           *                 10.348867         10.362166         9.596875          10.009651         10.002607         9.670461          9.684             9.566             10.015            9.506             10.35             10.192636         
56   90   9.37373           9.3226            *                 0.07378           0.02205           *                 9.969463          9.507831          8.499828          9.254653          9.226091          8.853383          8.845             9.084             9.19              9.063             9.83              9.622636          
56   92   9.15599           8.78928           *                 0.11095           0.06644           *                 10.080994         8.820765          7.899541          8.703186          8.609233          8.295351          8.221             8.33              8.641             8.51              8.93              9.112636          
56   94   *                 *                 *                 *                 *                 *                 9.5066            8.348164          7.920345          8.458584          8.336732          8.101647          7.742             7.706             8.36              8.027             8.7               8.622636          
56   96   *                 *                 *                 *                 *                 *                 8.834204          7.98012           7.438916          8.084118          8.062253          7.733292          7.637             7.454             8.101             7.627             7.94              8.152636          
56   98   *                 *                 *                 *                 *                 *                 8.505716          7.548475          7.07718           7.585773          7.558446          7.28235           7.148             7.253             7.616             7.256             7.47              7.462636          
56   100  *                 *                 *                 *                 *                 *                 8.10757           6.962997          6.64057           7.039912          6.909696          6.725744          6.511             6.672             6.991             6.786             6.86              6.872636          
56   102  *                 *                 *                 *                 *                 *                 7.469037          6.30334           5.86198           6.357208          6.234902          6.020583          5.72              5.984             6.121             6.288             6.35              6.572636          
56   104  *                 *                 *                 *                 *                 *                 6.66861           5.700686          4.857898          5.634083          5.695113          5.363876          5.201             5.568             5.668             5.873             5.63              5.732636          
56   106  *                 *                 *                 *                 *                 *                 5.986031          5.19941           4.026819          5.071338          5.328607          4.918249          4.893             5.068             5.318             5.52              4.98              5.322636          
56   108  *                 *                 *                 *                 *                 *                 5.602451          4.775582          3.774498          4.74583           4.994921          4.637655          4.583             4.549             4.897             5.202             4.4               4.652636          
56   110  *                 *                 *                 *                 *                 *                 5.354152          4.329474          3.714337          4.456011          4.648904          4.350477          4.23              4.12              4.478             4.956             4.05              4.332636          
56   112  *                 *                 *                 *                 *                 *                 5.054867          3.870575          3.529822          4.137745          4.306684          4.017795          3.94              3.981             4.126             4.805             3.59              3.662636          
56   114  *                 *                 *                 *                 *                 *                 4.629029          3.433865          2.833388          3.719161          4.019429          3.71182           3.84              3.909             4.083             4.685             3.34              3.562636          
56   116  *                 *                 *                 *                 *                 *                 4.131545          3.056856          1.979138          3.384781          3.812066          3.45906           3.789             3.666             4.011             4.497             2.99              3.112636          
56   118  *                 *                 *                 *                 *                 *                 3.832497          2.822519          2.11342           3.311496          3.673614          3.294199          3.636             3.469             3.88              4.275             3.02              2.912636          
56   120  *                 *                 *                 *                 *                 *                 3.983349          2.695875          2.643986          3.442141          3.517604          3.27864           3.41              3.39              3.834             3.914             2.51              2.872636          
56   122  *                 *                 *                 *                 *                 *                 4.718761          2.636796          2.952912          3.465607          3.160208          3.271898          3.124             3.55              4.096             3.517             2.7               2.752636          
56   124  *                 *                 *                 *                 *                 *                 5.222211          2.724521          3.647925          3.940741          2.708833          3.587339          3.207             3.46              4.071             3.042             2.85              3.052636          
56   126  *                 *                 *                 *                 *                 *                 4.830859          1.87147           3.164141          2.798885          2.201668          2.741491          2.92              3.217             3.803             2.283             2.11              2.992636          
56   128  *                 *                 *                 *                 *                 *                 0.196665          *                 *                 *                 0.424892          *                 *                 *                 *                 0.546             -1.89             -0.657364         
56   130  *                 *                 *                 *                 *                 *                 0.126275          *                 *                 *                 0.440798          *                 *                 *                 *                 0.167             -2.51             -0.977364         
56   132  *                 *                 *                 *                 *                 *                 0.081902          *                 *                 *                 0.096926          *                 *                 *                 *                 0.001             -1.8              -0.747364         
56   134  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -0.113            *                 -1.337364         
56   136  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 -0.204            *                 *                 
