Z    N    S2n(MeV)          S2n_Err(MeV)      S2p(MeV)          S2p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
1    2    8.48179           0.0               *                 *                 *                 *                 
1    3    4.65723           0.1               *                 *                 *                 *                 
1    4    -1.8              0.08944           *                 *                 *                 *                 
1    5    -1.11196          0.27309           *                 *                 *                 *                 
2    1    *                 *                 7.71804           0.0               *                 *                 
2    2    *                 *                 *                 *                 0.0               0.0               
2    3    19.84262          0.02              *                 *                 0.735             0.02              
2    4    0.97545           5e-05             *                 *                 *                 *                 
2    5    1.30074           0.02138           *                 *                 *                 *                 
2    6    2.12505           0.0001            *                 *                 *                 *                 
2    7    1.27993           0.04742           *                 *                 *                 *                 
2    8    -1.44483          0.09285           *                 *                 *                 *                 
3    1    *                 *                 2.39047           0.21213           *                 *                 
3    2    *                 *                 17.84886          0.05              1.965             0.05              
3    3    27.37894          0.21213           25.11219          0.1               -1.47376          0.0               
3    4    12.91442          0.05              32.56328          0.08944           -2.46762          0.0               
3    5    9.28371           5e-05             35.50786          0.25413           -6.10024          0.1               
3    6    6.09484           0.00019           *                 *                 -10.36246         0.08944           
3    7    4.03581           0.01272           *                 *                 -11.24801         0.25445           
3    8    0.36928           0.00064           *                 *                 *                 *                 
3    9    0.18569           0.03259           *                 *                 *                 *                 
3    10   -0.11             0.07              *                 *                 *                 *                 
4    2    *                 *                 -1.37218          0.00545           *                 *                 
4    3    *                 *                 10.04018          0.02              -1.58713          7e-05             
4    4    29.576            0.00545           27.22837          6e-05             0.09184           4e-05             
4    5    20.56318          0.0001            29.30261          0.00756           -2.3077           0.02              
4    6    8.47682           9e-05             33.58013          0.00012           -7.40952          0.0001            
4    7    7.31392           0.00025           35.3366           0.04682           -8.32087          0.00756           
4    8    3.67236           0.00191           38.69732          0.09287           -8.95684          0.00191           
4    9    2.66072           0.01018           *                 *                 -9.70166          0.04791           
4    10   1.2659            0.13226           *                 *                 -11.66756         0.16158           
4    11   -0.0241           0.16611           *                 *                 *                 *                 
4    12   -1.35             0.1               *                 *                 *                 *                 
5    2    *                 *                 -1.41972          0.05597           *                 *                 
5    3    *                 *                 5.74325           0.001             -4.82654          0.21213           
5    4    31.4027           0.02517           17.06856          0.0009            -1.68731          0.05001           
5    5    27.01359          0.001             23.47314          5e-05             -4.46119          1e-05             
5    6    19.89142          0.0009            30.86514          0.00019           -8.66431          1e-05             
5    7    14.82385          0.00132           34.26117          0.01279           -10.00132         0.00132           
5    8    8.24839           0.001             38.74425          0.00117           -10.81787         0.00102           
5    9    5.84835           0.02125           39.92383          0.03675           -11.81385         0.02474           
5    10   3.74634           0.02106           42.60059          0.07309           -14.19493         0.02104           
5    11   2.69381           0.03246           *                 *                 -14.32198         0.03878           
5    12   1.38456           0.20518           *                 *                 -15.68949         0.21577           
5    13   1.46251           0.20564           *                 *                 *                 *                 
5    14   0.08871           0.56362           *                 *                 *                 *                 
6    2    *                 *                 -2.11129          0.01904           *                 *                 
6    3    *                 *                 1.43597           0.00214           *                 *                 
6    4    35.50823          0.01824           3.82094           8e-05             -5.10128          0.00545           
6    5    34.40421          0.00214           15.277            0.0001            -7.54452          9e-05             
6    6    31.84131          7e-05             27.18543          8e-05             -7.36659          4e-05             
6    7    23.66702          6e-05             31.6301           0.00024           -10.64836         8e-05             
6    8    13.12274          0.0               36.63581          0.00191           -12.01251         8e-05             
6    9    9.3945            0.0008            38.36387          0.01021           -12.72894         0.00083           
6    10   5.46839           0.00358           40.83831          0.13229           -13.80854         0.00405           
6    11   4.98388           0.01738           43.37186          0.1667            -15.05209         0.02013           
6    12   4.9175            0.03021           47.10581          0.16849           -17.46015         0.13561           
6    13   4.76078           0.09991           *                 *                 -19.83698         0.19279           
6    14   3.55834           0.23257           *                 *                 -22.36849         0.28404           
6    16   0.035             0.02              *                 *                 *                 *                 
7    3    *                 *                 -1.30052          0.4               *                 *                 
7    4    *                 *                 2.69087           0.04616           -5.79791          0.05256           
7    5    37.60459          0.4               9.29048           0.001             -8.00841          0.00141           
7    6    35.10071          0.04615           17.90017          0.00027           -9.49592          0.00094           
7    7    30.61729          0.001             25.08392          0.00132           -11.61211         1e-05             
7    8    21.38668          0.00027           31.03845          0.001             -10.99118         1e-05             
7    9    13.32214          0.0023            32.55772          0.02134           -10.11041         0.00265           
7    10   8.37399           0.015             35.6661           0.02583           -11.11678         0.01503           
7    11   8.71337           0.01871           38.57728          0.0308            -12.97543         0.02819           
7    12   8.15643           0.02223           42.43798          0.20476           -15.52688         0.02667           
7    13   7.48931           0.08105           44.60408          0.21888           -17.77093         0.08263           
7    14   6.767             0.13505           49.11627          0.54219           -20.90932         0.24419           
7    15   6.14433           0.22225           *                 *                 -22.45275         0.2913            
7    16   4.65412           0.44142           *                 *                 -25.47473         0.67297           
8    4    *                 *                 -1.638            0.024             -5.57457          0.03015           
8    5    *                 *                 2.11191           0.00953           -8.22046          0.00976           
8    6    40.04947          0.024             6.57016           3e-05             -10.11581         7e-05             
8    7    36.40246          0.00954           14.84734          0.00049           -10.21871         0.00049           
8    8    28.88742          3e-05             22.33484          0.0               -7.16192          0.0               
8    9    19.807            0.00049           25.25985          0.0008            -6.35869          0.0               
8    10   12.18845          0.0               29.05489          0.00358           -6.22762          0.0               
8    11   12.00101          0.00264           32.27698          0.01756           -8.9652           0.00276           
8    12   11.56365          0.00088           35.70103          0.03001           -12.32288         0.00369           
8    13   11.41346          0.01229           38.92966          0.09912           -15.39478         0.02111           
8    14   10.65577          0.05693           42.79847          0.23755           -18.06115         0.06434           
8    15   9.5833            0.1223            *                 *                 -20.2173          0.15651           
8    16   6.92527           0.17442           49.68874          0.2842            -21.42808         0.2835            
8    17   3.43498           0.2051            *                 *                 *                 *                 
8    18   -0.018            0.005             *                 *                 -21.37508         0.28425           
9    5    *                 *                 -0.04839          0.04113           -9.26054          0.40211           
9    6    *                 *                 3.35667           0.014             -10.16172         0.04823           
9    7    37.42678          0.04195           6.76111           0.00832           -9.08273          0.00838           
9    8    30.75768          0.014             12.72768          0.00025           -5.81869          0.00037           
9    9    25.94977          0.00833           19.38874          0.00235           -4.41522          0.00046           
9    10   19.58178          0.00025           23.93546          0.015             -4.0138           0.0               
9    11   17.03321          0.00046           27.70857          0.01857           -8.12629          0.0023            
9    12   14.70279          0.0018            30.48183          0.0165            -10.3426          0.01511           
9    13   13.3318           0.0124            33.55106          0.07986           -12.74471         0.02233           
9    14   12.80977          0.03337           36.52459          0.13813           -14.99593         0.03714           
9    15   11.39149          0.09845           38.79823          0.22959           -16.6469          0.12555           
9    16   8.09373           0.10204           39.9642           0.43149           -16.32266         0.16514           
9    17   5.03827           0.148             *                 *                 -15.54084         0.23566           
9    18   2.02652           0.40158           *                 *                 -13.69506         0.57345           
9    19   1.04991           0.40845           *                 *                 *                 *                 
9    20   1.44273           0.6542            *                 *                 *                 *                 
10   5    *                 *                 -2.522            0.066             *                 *                 
10   6    *                 *                 -1.40105          0.02048           -10.35275         0.03155           
10   7    39.85756          0.06668           0.9331            0.00061           -9.0399           0.00953           
10   8    34.8118           0.02048           4.52333           0.00036           -5.11508          0.00036           
10   9    30.89103          0.00039           12.01713          0.00016           -3.52847          0.00052           
10   10   28.50218          0.00036           20.83706          0.0               -4.72984          0.0               
10   11   23.62646          0.00016           23.64257          0.00264           -7.34793          4e-05             
10   12   17.12542          2e-05             26.39883          0.00089           -9.66682          2e-05             
