Z    N    S2n(MeV)          S2n_Err(MeV)      S2p(MeV)          S2p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
10   13   15.56491          0.00011           27.79402          0.012             -10.91182         0.00264           
10   14   14.06956          0.00051           29.81262          0.05692           -12.17273         0.00102           
10   15   13.02409          0.02905           31.23481          0.12513           -12.52245         0.03143           
10   16   9.70988           0.01844           32.59723          0.1659            -11.22684         0.05983           
10   17   7.05622           0.0953            34.85606          0.18839           -9.99538          0.15183           
10   18   5.32401           0.12741           37.93924          0.20761           -9.62558          0.20755           
10   19   4.79374           0.1749            *                 *                 -11.35414         0.22272           
10   20   4.16225           0.28289           *                 *                 -13.80583         0.30223           
10   21   3.36084           0.30531           *                 *                 *                 *                 
11   6    *                 *                 -4.02852          1.00145           *                 *                 
11   7    *                 *                 0.22021           0.09425           -9.35133          0.10249           
11   8    38.38646          1.00141           3.60025           0.01054           -6.06228          0.01752           
11   9    34.33002          0.09389           8.60045           0.00121           -6.25456          0.00839           
11   10   31.25666          0.01054           15.27513          0.0001            -6.56125          0.00027           
11   11   28.17475          0.00113           19.74199          0.00017           -8.47954          0.00049           
11   12   23.48786          0.0001            24.06019          0.0018            -10.46732         0.0               
11   13   19.37902          0.00017           25.78921          0.0124            -10.82535         3e-05             
11   14   15.97059          0.0012            27.22102          0.03334           -11.73512         0.00216           
11   15   14.58551          0.0035            28.98324          0.09773           -12.07907         0.01288           
11   16   12.30261          0.00391           31.4299           0.09651           -11.22797         0.03353           
11   17   10.27017          0.01083           34.21513          0.11167           -10.95775         0.09821           
11   18   7.94485           0.00823           37.34823          0.3899            -11.07909         0.09672           
11   19   6.67965           0.01128           39.84487          0.39305           -12.59912         0.1113            
11   20   6.5766            0.01578           42.4821           0.52555           -15.62916         0.39008           
11   21   5.97715           0.03756           *                 *                 -17.52636         0.39479           
11   22   4.60856           0.45013           *                 *                 -18.79499         0.69168           
11   23   3.10267           0.60057           *                 *                 *                 *                 
12   7    *                 *                 -0.75             0.05              -10.8119          0.08335           
12   8    *                 *                 2.41786           0.0019            -8.934            0.02056           
12   9    37.06717          0.05001           5.42614           0.00077           -8.02151          0.00083           
12   10   34.02026          0.00189           7.93594           0.00031           -8.14246          0.00048           
12   11   32.52             0.00077           14.31968          0.00016           -9.65048          0.00023           
12   12   29.67627          0.00031           20.48679          2e-05             -9.31655          1e-05             
12   13   23.8619           0.00017           22.61668          0.00011           -9.88592          6e-05             
12   14   18.42361          3e-05             24.84084          0.00051           -10.61474         3e-05             
12   15   17.53646          6e-05             27.12905          0.02905           -11.85748         0.00012           
12   16   14.94694          0.002             30.0779           0.01854           -11.49211         0.00207           
12   17   12.15885          0.0114            32.23168          0.09148           -10.99224         0.0312            
12   18   10.00761          0.00399           34.7615           0.12611           -11.78985         0.01875           
12   19   8.66196           0.01181           36.09989          0.14954           -12.59798         0.09082           
12   20   8.08771           0.00474           38.68696          0.25327           -14.55355         0.12611           
12   21   8.05819           0.00422           40.79723          0.26621           -15.86242         0.14953           
12   22   6.99039           0.02906           *                 *                 -17.38169         0.25489           
12   23   5.46515           0.26968           *                 *                 -17.96672         0.37892           
12   24   4.08582           0.69084           *                 *                 *                 *                 
12   25   3.57094           0.74916           *                 *                 *                 *                 
13   10   *                 *                 5.64524           0.00036           -8.60624          0.01054           
13   11   *                 *                 9.4453            0.00029           -9.32438          0.00114           
13   12   31.80668          0.00035           13.96406          6e-05             -9.15626          0.00012           
13   13   28.30392          0.00024           18.37019          7e-05             -9.45356          0.00018           
13   14   24.42352          8e-05             22.41699          0.0012            -10.09192         5e-05             
13   15   20.78313          0.0001            24.56781          0.0035            -10.85766         8e-05             
13   16   17.15353          0.00035           27.26791          0.00374           -11.27486         0.00125           
13   17   15.15683          0.00289           29.45447          0.01065           -11.42898         0.00454           
13   18   12.88558          0.00226           32.20864          0.00767           -11.85783         0.00435           
13   19   11.37716          0.00773           34.15198          0.00859           -12.53597         0.01251           
13   20   9.68931           0.00734           35.32135          0.01562           -13.60229         0.01013           
13   21   8.04356           0.0078            36.21838          0.03739           -13.89987         0.00564           
13   22   7.86898           0.01015           38.58178          0.44997           -14.89468         0.01579           
13   23   7.19196           0.14954           40.30767          0.61778           -15.11468         0.15408           
13   24   6.10934           0.18039           *                 *                 -16.39546         0.48467           
13   25   5.88316           0.4032            *                 *                 -17.89517         0.70677           
14   10   *                 *                 3.43281           0.01947           -9.15741          0.01956           
14   11   *                 *                 5.2771            0.01              -9.50144          0.01003           
14   12   34.02884          0.01947           7.78539           0.00011           -9.166            0.00033           
14   13   32.35446          0.01              13.76966          0.00012           -9.33591          0.00019           
14   14   30.49441          0.00011           19.85619          3e-05             -9.98414          1e-05             
14   15   25.65321          0.00011           21.88641          5e-05             -11.12721         5e-05             
14   16   19.0828           2e-05             23.99206          0.002             -10.64333         4e-05             
14   17   17.19659          4e-05             26.92415          0.0114            -10.78734         7e-05             
14   18   15.78736          0.0003            29.77181          0.00346           -11.48376         0.00202           
14   19   13.70792          0.0007            31.97012          0.00315           -12.33641         0.01142           
14   20   12.0218           0.01412           33.70589          0.01449           -13.49795         0.01453           
14   21   10.01977          0.03586           33.9317           0.03597           -13.69422         0.03599           
14   22   8.62191           0.07317           35.33741          0.07739           -14.03214         0.07187           
14   23   8.32269           0.11932           36.78924          0.2927            -13.95872         0.11385           
14   24   7.87681           0.12703           39.1284           0.69815           -14.91856         0.1087            
14   25   7.25077           0.17698           40.46906          0.71197           -15.74435         0.30181           
14   26   6.54266           0.36068           *                 *                 -17.37539         0.77171           
14   27   6.34332           0.57102           *                 *                 -18.51672         0.89231           
15   12   *                 *                 6.38442           0.02634           -9.89544          0.02634           
15   13   *                 *                 9.51553           0.00115           -9.52379          0.00118           
15   14   32.37302          0.02634           14.33393          0.00036           -10.46179         0.00036           
15   15   29.19575          0.00115           17.92815          0.0001            -10.41562         9e-05             
15   16   23.63033          0.00036           20.81072          0.00034           -9.6686           5e-05             
15   17   20.24665          8e-05             23.01797          0.00289           -9.87914          9e-05             
15   18   18.03944          0.00109           25.96458          0.00249           -10.5545          0.00114           
15   19   16.38646          0.00081           28.02727          0.00722           -11.10877         0.003             
15   20   14.66309          0.00216           30.93836          0.00723           -12.33201         0.00291           
15   21   11.84497          0.01314           31.82869          0.01347           -11.57658         0.01495           
15   22   10.28083          0.03799           33.35021          0.03865           -12.92353         0.03859           
15   23   10.51316          0.07376           35.14989          0.16619           -14.04619         0.07265           
15   24   9.92127           0.11886           37.16214          0.21255           -14.97582         0.11288           
15   25   9.63544           0.16987           38.90217          0.40473           -16.48967         0.21433           
15   26   8.34777           0.16471           *                 *                 -17.21425         0.21663           
15   27   7.01852           0.34989           *                 *                 -17.62503         0.48893           
15   28   6.48304           0.56757           *                 *                 *                 *                 
16   12   *                 *                 3.36372           0.16              -9.0969           0.16118           
16   13   *                 *                 5.34985           0.05              -9.40865          0.05099           
16   14   34.27509          0.16              7.1444            0.00021           -9.34315          0.00023           
16   15   32.02874          0.05              11.72539          0.00023           -9.08294          0.00025           
16   16   28.09891          0.00021           16.16051          2e-05             -6.94765          0.0               
16   17   23.68596          0.00023           18.21476          4e-05             -7.11569          0.0               
16   18   20.05879          4e-05             20.43194          0.0003            -7.92364          5e-05             
16   19   18.40299          4e-05             22.90982          0.0007            -8.32209          6e-05             
16   20   16.87508          0.00019           25.28522          0.01412           -9.01136          0.00035           
16   21   14.19284          0.0002            27.0829           0.03586           -8.80701          0.00073           
16   22   12.33971          0.00717           29.00302          0.07215           -9.32927          0.01583           
16   23   12.40888          0.05              31.1691           0.12431           -11.19613         0.06153           
16   24   12.11928          0.0082            33.24549          0.10487           -12.82664         0.07191           
16   25   11.98854          0.05017           35.90687          0.13559           -14.86198         0.11388           
16   26   10.94253          0.00486           37.64537          0.34513           -15.89236         0.10483           
16   27   9.32952           0.00644           38.89307          0.55473           -16.94073         0.13562           
16   28   7.70912           0.00592           *                 *                 -17.05883         0.34516           
16   29   7.93676           1.03537           *                 *                 -18.53417         1.17459           
17   12   *                 *                 0.69331           0.19051           *                 *                 
17   14   36.33936          0.18871           4.65964           0.00347           -8.73701          0.02656           
17   15   *                 *                 7.71176           0.00057           -8.61185          0.00126           
17   16   30.11142          0.00347           11.14074          0.00039           -6.4754           0.00053           
17   17   27.24804          0.00056           14.71315          6e-05             -6.66414          8e-05             
17   18   24.15283          0.00039           17.25412          0.00109           -6.9979           4e-05             
17   19   21.22456          5e-05             19.55125          0.00081           -7.64205          5e-05             
17   20   18.89064          6e-05             21.48168          0.00187           -7.84911          0.00109           
17   21   16.41873          0.0001            24.12501          0.01311           -7.67432          0.00082           
17   22   14.1813           0.00173           25.38215          0.03799           -7.36732          0.00255           
17   23   13.90234          0.03207           27.51419          0.07935           -9.73169          0.03464           
17   24   13.64962          0.06875           29.1105           0.13195           -10.73611         0.0785            
17   25   13.41659          0.06769           31.29534          0.16475           -12.63512         0.09393           
17   26   12.99495          0.09246           33.75768          0.13515           -13.80979         0.12851           
17   27   11.69539          0.14879           35.9722           0.34266           -14.69507         0.20536           
17   28   10.24567          0.14956           37.52031          0.57117           -15.70769         0.1816            
17   29   9.61751           0.24924           *                 *                 -17.29405         0.37732           
18   12   *                 *                 -2.28             0.13              *                 *                 
18   14   39.27413          0.20616           2.71904           0.00178           -8.69847          0.16001           
18   15   *                 *                 4.91971           0.00046           -8.65279          0.05              
18   16   32.32057          0.00177           6.9407            8e-05             -6.74395          0.00022           
18   17   29.80563          0.00079           11.03937          0.00068           -6.42968          0.00072           
18   18   27.99588          8e-05             14.8778           5e-05             -6.64092          3e-05             
18   19   24.04301          0.00071           16.6794           0.00021           -6.78673          0.00021           
18   20   20.62592          0.0002            18.62863          0.00027           -7.20805          0.0002            
18   21   18.43716          0.005             20.92371          0.005             -6.8209           0.005             
18   22   16.46771          0.00019           22.75663          0.00717           -6.80068          0.00019           
18   23   15.96795          0.00501           24.48278          0.05              -8.596            0.0004            
18   24   15.52541          0.00578           26.16277          0.00702           -9.98639          0.00921           
18   25   15.08494          0.00532           27.57917          0.00671           -11.27206         0.05028           
18   26   14.39321          0.00599           29.61345          0.00321           -12.26032         0.00429           
18   27   13.90362          0.00533           32.15328          0.005             -13.18713         0.00413           
18   28   13.24231          0.00194           35.14663          0.00533           -14.5601          0.00301           
18   29   11.73818          0.00123           35.95469          1.03536           -15.59579         0.00509           
18   30   8.65104           0.3074            *                 *                 -15.50202         0.30744           
19   16   *                 *                 4.74749           0.00064           -6.56326          0.00348           
19   17   *                 *                 7.55492           0.00034           -6.50731          0.00061           
19   18   29.76994          0.00052           10.36461          0.0001            -6.22178          0.0004            
19   19   27.52632          0.00039           13.85669          0.0002            -6.78559          0.0002            
19   20   25.14963          9e-05             16.62359          5e-05             -7.21858          4e-05             
19   21   20.87737          0.0002            18.31533          0.00011           -6.4384           7e-05             
19   22   17.89499          1e-05             20.33728          0.00173           -6.22292          5e-05             
19   23   17.62917          0.00012           22.04215          0.03207           -7.64884          0.00014           
19   24   17.15848          0.00041           23.84614          0.06872           -9.2001           0.00178           
19   25   16.9021           0.00043           25.52767          0.05962           -10.64859         0.03207           
19   26   16.18288          0.00066           27.03407          0.06186           -11.73336         0.06873           
19   27   15.77507          0.00084           29.60734          0.13632           -13.00707         0.05962           
19   28   15.23897          0.00149           32.02737          0.13617           -13.97738         0.06187           
19   29   13.01319          0.00106           33.00302          0.20866           -14.32487         0.13632           
19   30   10.04215          0.00161           *                 *                 -13.77386         0.13617           
19   31   9.58601           0.00777           *                 *                 -14.29337         0.2088            
19   32   9.04734           0.01307           *                 *                 *                 *                 
19   33   7.55241           0.03441           *                 *                 *                 *                 
19   34   5.92216           0.11254           *                 *                 *                 *                 
20   16   *                 *                 2.6508            0.04              -6.67571          0.04004           
20   17   *                 *                 4.66672           0.00093           -6.17669          0.00075           
20   18   31.74998          0.04              6.4049            0.0002            -6.10512          0.00021           
20   19   30.28927          0.00087           10.91298          0.00063           -6.66033          0.0009            
20   20   28.93052          0.0002            14.7095           0.0002            -7.03976          3e-05             
20   21   23.99782          0.00061           16.47364          0.005             -6.61514          0.00025           
20   22   19.84349          0.00015           18.08529          0.00015           -6.25734          0.00025           
20   23   19.41357          0.00018           19.91926          0.00042           -7.59155          0.00501           
20   24   19.06406          0.00029           21.62394          0.00578           -8.8537           0.00032           
20   25   18.54599          0.00029           23.38031          0.00532           -10.16958         0.0005            
20   26   17.81332          0.00226           25.04405          0.00274           -11.1416          0.00619           
20   27   17.67488          0.00225           27.15156          0.00228           -12.75953         0.00576           
20   28   17.2279           0.00223           29.02964          0.00112           -13.97629         0.00159           
20   29   15.09798          0.00223           30.51137          0.00114           -13.95388         0.00055           
20   30   11.50723          0.00159           31.88583          0.3074            -12.24121         0.00194           
20   31   11.17517          0.00056           *                 *                 -13.39088         0.00123           
20   32   10.81968          0.00172           *                 *                 -14.40984         0.30739           
20   33   9.19804           0.04378           *                 *                 *                 *                 
20   34   7.03695           0.04844           *                 *                 *                 *                 
21   18   *                 *                 3.95045           0.024             -5.42473          0.02401           
21   19   *                 *                 6.30052           0.00283           -5.53119          0.00285           
21   20   30.61234          0.024             9.41316           8e-05             -6.26713          0.00013           
21   21   27.74045          0.00283           13.1636           0.00018           -5.74531          0.00026           
21   22   23.68832          0.00186           15.2065           0.00186           -4.80583          0.00186           
21   23   21.83747          0.00175           17.3719           0.00176           -6.70541          0.00176           
21   24   21.02643          0.00198           19.07445          0.00079           -7.93727          0.00067           
21   25   20.08787          0.00188           20.55767          0.0008            -9.16411          0.00069           
21   26   19.40733          0.00204           22.2989           0.002             -10.18612         0.00198           
21   27   18.88526          0.005             23.66786          0.005             -11.14727         0.00497           
21   28   18.3673           0.00332           25.42723          0.00304           -12.37054         0.00275           
21   29   16.18617          0.0158            26.84085          0.01502           -11.55837         0.01502           
21   30   12.81005          0.02018           28.19514          0.02002           -9.94162          0.02005           
21   31   12.03853          0.08321           29.29337          0.08222           -10.58372         0.08186           
21   32   11.82076          0.09619           30.96855          0.09499           -11.72023         0.09409           
21   33   9.59025           0.28481           31.33121          0.27485           -10.58797         0.27291           
21   34   7.39518           0.46398           32.44157          0.46789           -10.06807         0.45453           
21   35   7.10399           0.64715           *                 *                 -10.13955         0.5878            
21   36   6.97916           1.38097           *                 *                 -11.12507         1.30887           
22   18   *                 *                 1.36983           0.16              -4.82415          0.16492           
22   19   *                 *                 2.99278           0.02795           -4.98639          0.02795           
22   20   32.39692          0.16              4.83623           0.00028           -5.47109          0.00034           
22   21   29.76618          0.02887           8.76113           0.00725           -4.4633           0.00727           
22   22   28.58653          0.00075           13.57927          0.00072           -5.1271           0.0007            
22   23   25.83139          0.00729           15.17896          0.00087           -6.29687          0.00085           
22   24   22.72186          0.00072           17.23707          0.00036           -8.00547          0.00022           
22   25   22.07016          0.00084           18.70313          0.00038           -8.95346          0.00025           
22   26   20.50754          0.00014           19.93129          0.00223           -9.44895          0.00034           
22   27   19.76906          5e-05             20.79731          0.00222           -10.17653         0.00038           
22   28   19.08159          5e-05             21.78497          9e-05             -10.71721         0.00223           
22   29   17.31168          0.00049           23.01101          0.00053           -9.81333          0.00227           
22   30   14.18079          0.00707           24.45854          0.00725           -7.67011          0.00707           
22   31   13.24086          0.10005           25.0767           0.10005           -7.95621          0.10005           
22   32   12.29479          0.08276           25.93366          0.08246           -8.45767          0.08248           
22   33   10.97966          0.19007           26.85832          0.16743           -7.7607           0.1616            
22   34   9.8407            0.14663           28.7374           0.13056           -7.4787           0.12125           
22   35   8.39018           0.30309           *                 *                 -6.95284          0.26013           
23   20   *                 *                 3.85188           0.04285           -6.16856          0.04911           
23   21   *                 *                 6.57317           0.18164           -6.01796          0.18166           
23   22   30.11229          0.04286           10.27586          0.00206           -5.66852          0.00088           
23   23   29.10161          0.18164           13.83731          0.00177           -7.37911          0.00026           
23   24   26.26324          0.00086           15.51266          0.00066           -8.24343          0.00187           
23   25   23.54498          0.00098           17.29442          0.00118           -9.08662          0.00201           
23   26   22.09795          0.00083           18.20328          0.0021            -9.31495          0.00106           
23   27   20.88895          0.00106           19.29811          0.00497           -9.88771          0.0008            
23   28   20.38455          0.00092           20.22052          0.00273           -10.29216         0.00197           
23   29   18.36239          0.00015           21.47433          0.01501           -9.36484          0.00497           
23   30   15.78985          0.00314           23.20032          0.02024           -7.71471          0.00412           
23   31   14.59204          0.01501           24.02783          0.08322           -7.77071          0.02122           
23   32   13.43616          0.09515           24.81572          0.13378           -8.34082          0.09718           
23   33   12.40434          0.17753           26.84192          0.32513           -8.13652          0.19492           
23   34   11.4115           0.12459           28.83204          0.46141           -7.93156          0.12381           
23   35   10.38951          0.19819           30.12743          0.59361           -8.93577          0.28707           
23   36   9.5612            0.18078           31.41408          1.3141            -10.09758         0.48232           
23   37   8.98284           0.23761           *                 *                 -10.81461         0.62678           
23   38   8.81705           0.90877           *                 *                 -11.93547         1.58124           
24   21   *                 *                 4.77166           0.03613           -6.24218          0.0451            
24   22   *                 *                 6.50094           0.01147           -6.79181          0.01146           
24   23   31.19041          0.03591           10.13068          0.00609           -7.66641          0.00943           
24   24   29.49309          0.01359           13.27216          0.00733           -7.69837          0.00736           
24   25   26.91312          0.00643           14.97364          0.00225           -8.74814          0.0024            
24   26   23.58269          0.00731           16.3473           0.00045           -8.55919          0.00047           
24   27   22.26097          0.00221           17.46555          0.00042           -8.93895          0.00042           
24   28   21.2998           0.00054           18.56552          0.00036           -9.35145          0.00036           
24   29   19.97824          0.00052           20.1321           0.00061           -9.14813          0.00036           
24   30   17.65816          0.00018           22.04289          0.00708           -7.92802          0.00037           
24   31   15.96535          0.00022           22.85659          0.10005           -7.80179          0.00064           
24   32   14.49287          0.00062           24.24096          0.08246           -8.2401           0.0071            
24   33   13.55763          0.00114           25.43456          0.16161           -8.11856          0.10005           
24   34   12.84943          0.00161           27.24969          0.12126           -8.79474          0.08247           
24   35   11.70369          0.21637           28.74807          0.33551           -8.84259          0.27006           
24   36   10.82041          0.1936            *                 *                 -9.77444          0.22843           
24   37   10.5321           0.23892           *                 *                 -10.98451         0.27572           
24   38   10.36802          0.24374           *                 *                 *                 *                 
24   39   9.67488           0.37214           *                 *                 *                 *                 
24   40   8.72743           0.46394           *                 *                 *                 *                 
25   22   *                 *                 5.2583            0.03168           -7.07493          0.05328           
