Z    N    AME2003(MeV)      AME2016(MeV)      JYFLTRAP(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       UNEDF2(MeV)       FRDM2012(MeV)     HFB24(MeV)        
13   31   *                 *                 *                  *                 *                 *                  3.46196           2.000886          *                 2.050411          2.449112          1.674611          1.860047          *                 *                 
13   33   *                 *                 *                  *                 *                 *                  *                 *                 *                 *                 1.53791           1.009198          *                 *                 *                 
15   9    *                 *                 *                  *                 *                 *                  42.046134         43.493063         44.426963         43.152962         43.202436         44.495581         44.704976         *                 *                 
15   11   *                 *                 *                  *                 *                 *                  34.927082         35.460728         36.075274         35.681486         36.357043         36.786571         36.08549          *                 *                 
15   13   *                 *                 *                  *                 *                 *                  31.918478         31.620951         31.974172         31.901921         32.644629         32.869583         32.965711         *                 *                 
15   15   29.18446          29.19575          *                  0.00333           0.00115           *                  27.435467         27.406235         27.275695         27.408795         27.744891         27.91005          27.758975         *                 *                 
15   17   20.24728          20.24665          *                  0.00036           8e-05             *                  21.034111         22.488341         21.848916         21.869547         21.337146         21.856295         21.175715         *                 *                 
15   19   16.39508          16.38646          *                  0.00501           0.00081           *                  16.299705         17.221287         17.505184         17.309938         16.531256         17.079466         16.9831           *                 *                 
15   21   11.83594          11.84497          *                  0.01403           0.01314           *                  13.651042         12.895804         13.381533         13.370749         13.103259         12.804299         12.713937         *                 *                 
15   23   10.64948          10.51316          *                  0.10421           0.07376           *                  11.835931         10.606359         10.30845          10.427615         10.333869         9.866304          9.654489          *                 *                 
15   25   9.49165           9.63544           *                  0.17331           0.16987           *                  10.842262         9.137846          8.996295          9.043304          8.857546          8.551039          8.689637          *                 *                 
15   27   7.09693           7.01852           *                  0.46799           0.34989           *                  9.615334          7.923215          7.431559          7.737692          7.684493          7.11676           7.122032          *                 *                 
15   29   *                 *                 *                  *                 *                 *                  7.948222          6.495881          5.645201          6.251064          6.421017          5.718146          5.720598          *                 *                 
15   31   *                 *                 *                  *                 *                 *                  6.263234          5.094741          3.802439          4.930739          5.336446          4.427035          4.499416          *                 *                 
15   33   *                 *                 *                  *                 *                 *                  3.93207           3.137774          *                 3.27607           3.688102          3.055206          2.562896          *                 *                 
17   11   *                 *                 *                  *                 *                 *                  38.941631         40.0737           40.690175         39.970904         40.572498         40.974406         40.474516         *                 *                 
17   13   *                 *                 *                  *                 *                 *                  36.118275         36.836292         36.662447         36.445786         37.172083         37.695591         37.866875         *                 *                 
17   15   *                 *                 *                  *                 *                 *                  31.716664         31.958045         31.877937         32.085399         32.351097         33.064265         32.882864         *                 *                 
17   17   27.25264          27.24804          *                  0.00659           0.00056           *                  25.4151           26.000889         26.386251         26.505597         25.931721         26.998609         26.335815         *                 *                 
17   19   21.22472          21.22456          *                  0.00019           5e-05             *                  20.7419           21.839323         22.172035         21.911817         21.058003         22.142056         22.097154         *                 *                 
17   21   16.41887          16.41873          *                  0.00012           0.0001            *                  17.739038         17.729214         17.824472         17.7354           17.42138          17.495517         17.422977         *                 *                 
17   23   13.90235          13.90234          *                  0.03207           0.03207           *                  15.43058          14.44857          14.203423         14.297967         14.319198         13.837584         13.788462         *                 *                 
17   25   13.49781          13.41659          *                  0.14729           0.06769           *                  14.305406         12.700333         12.669214         12.602946         12.559936         12.181351         12.632955         *                 *                 
17   27   11.4607           11.69539          *                  0.17983           0.14879           *                  13.063796         11.380951         11.14139          11.212859         11.192058         10.643374         10.895108         *                 *                 
17   29   10.61983          9.61751           *                  0.72543           0.24924           *                  11.10387          9.881785          9.029423          9.564725          9.784943          9.015651          9.163925          *                 *                 
17   31   *                 *                 *                  *                 *                 *                  8.914972          8.157973          6.777307          7.819195          8.175178          7.368361          7.326831          *                 *                 
17   33   *                 *                 *                  *                 *                 *                  6.114779          5.726164          4.531048          5.561878          5.78483           5.233734          4.510641          *                 *                 
17   35   *                 *                 *                  *                 *                 *                  3.124195          3.036021          *                 3.168496          3.241625          *                 *                 *                 *                 
17   37   *                 *                 *                  *                 *                 *                  *                 *                 *                 *                 1.739079          *                 *                 *                 *                 
17   41   *                 *                 *                  *                 *                 *                  0.851969          *                 *                 *                 *                 *                 *                 *                 *                 
19   13   *                 *                 *                  *                 *                 *                  *                 41.139403         *                 40.607109         *                 *                 *                 *                 *                 
19   15   *                 *                 *                  *                 *                 *                  35.776035         36.354457         36.36094          36.41557          36.551363         37.673241         37.655886         *                 *                 
19   17   *                 *                 *                  *                 *                 *                  29.799957         30.549073         31.010396         31.036107         30.344404         31.919365         31.322488         *                 *                 
19   19   27.51715          27.52632          *                  0.00779           0.00039           *                  25.340214         26.46494          26.880485         26.541337         25.622574         27.229684         27.258681         *                 *                 
19   21   20.87715          20.87737          *                  0.00042           0.0002            *                  21.954067         22.047258         22.26944          22.128969         21.785943         22.271938         22.244086         *                 *                 
19   23   17.62899          17.62917          *                  0.00013           0.00012           *                  19.225954         18.413777         18.181234         18.325565         18.447285         18.005302         17.837536         *                 *                 
19   25   16.93068          16.9021           *                  0.03578           0.00043           *                  17.914617         16.42295          16.408159         16.349861         16.45027          16.042515         16.523217         *                 *                 
19   27   15.75135          15.77507          *                  0.03901           0.00084           *                  16.572371         14.873158         14.88915          14.774143         14.802895         14.408272         15.046602         *                 *                 
19   29   12.84825          13.01319          *                  0.0281            0.00106           *                  14.212782         13.186363         12.377879         12.872577         13.041614         12.444444         12.799748         *                 *                 
19   31   9.37084           9.58601           *                  0.27942           0.00777           *                  11.421128         11.098126         9.653855          10.5433           10.820677         10.17016          10.12134          *                 *                 
19   33   *                 7.55241           *                  *                 0.03441           *                  8.382979          8.363274          7.212992          7.86984           7.984955          7.455488          6.683855          *                 *                 
19   35   *                 *                 *                  *                 *                 *                  5.612713          5.757337          5.134482          5.660688          5.591606          5.018993          3.727938          *                 *                 
19   37   *                 *                 *                  *                 *                 *                  4.155515          4.037859          3.957686          4.396279          4.339306          3.610004          2.755701          *                 *                 
19   39   *                 *                 *                  *                 *                 *                  3.568933          2.844306          3.104742          3.381843          3.391266          2.606463          2.358403          *                 *                 
19   41   *                 *                 *                  *                 *                 *                  3.092137          *                 *                 *                 *                 *                 *                 *                 *                 
19   43   *                 *                 *                  *                 *                 *                  2.73781           *                 *                 *                 *                 *                 *                 *                 *                 
19   45   *                 *                 *                  *                 *                 *                  2.448443          *                 *                 *                 *                 *                 *                 *                 *                 
19   47   *                 *                 *                  *                 *                 *                  2.017152          *                 *                 *                 *                 *                 *                 *                 *                 
19   49   *                 *                 *                  *                 *                 *                  1.533961          *                 *                 *                 *                 *                 *                 *                 *                 
21   15   *                 *                 *                  *                 *                 *                  39.028541         40.212031         40.426036         40.185509         *                 41.341632         41.448055         *                 *                 
21   17   *                 *                 *                  *                 *                 *                  33.82208          35.350846         35.383053         35.267406         34.549933         36.352715         35.840173         *                 *                 
21   19   *                 *                 *                  *                 *                 *                  29.564941         30.779071         31.308422         30.913844         30.000038         31.954019         32.044443         *                 *                 
21   21   27.74065          27.74045          *                  0.00283           0.00283           *                  25.870437         26.094487         26.462662         26.309945         25.985545         26.786162         26.677967         *                 *                 
