Z    N    AME2003(MeV)      AME2016(MeV)      JYFLTRAP(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       UNEDF2(MeV)       FRDM2012(MeV)     HFB24(MeV)        
27   47   *                 *                 *                  *                 *                 *                  10.729709         8.726438          8.799498          8.850105          8.55826           8.116806          8.448189          *                 *                 
27   49   *                 *                 *                  *                 *                 *                  9.705716          7.391483          7.592649          7.441578          7.207743          6.751482          7.302008          *                 *                 
27   51   *                 *                 *                  *                 *                 *                  7.460025          6.05302           5.289883          5.84238           5.890976          5.375574          5.535896          *                 *                 
27   53   *                 *                 *                  *                 *                 *                  5.240952          4.805264          2.925741          4.381599          4.78101           4.209794          3.882104          *                 *                 
27   55   *                 *                 *                  *                 *                 *                  4.314366          3.824342          1.964667          3.503993          3.987803          3.555997          3.48321           *                 *                 
27   57   *                 *                 *                  *                 *                 *                  3.439451          2.847246          1.167527          2.794485          3.312229          3.000385          2.79744           *                 *                 
27   59   *                 *                 *                  *                 *                 *                  2.150095          1.610066          *                 1.798487          2.510301          2.130697          *                 *                 *                 
27   61   *                 *                 *                  *                 *                 *                  *                 *                 *                 *                 1.518087          *                 *                 *                 *                 
29   21   *                 *                 *                  *                 *                 *                  38.857414         *                 *                 *                 *                 *                 *                 *                 *                 
29   23   *                 *                 *                  *                 *                 *                  34.930592         35.2188           35.838051         35.856125         36.112995         36.587994         35.876122         *                 *                 
29   25   *                 *                 *                  *                 *                 *                  33.28552          32.914617         33.565029         33.458547         33.846063         34.177593         34.005634         *                 *                 
29   27   *                 *                 *                  *                 *                 *                  31.562814         30.551109         31.146496         31.086397         31.518357         31.476558         31.908585         *                 *                 
29   29   *                 29.16733          *                  *                 0.01492           *                  27.743783         27.737085         27.242349         27.673775         28.178019         27.713805         27.911882         *                 *                 
29   31   22.82468          22.82005          *                  0.00213           0.00164           *                  23.374475         24.497238         23.254137         23.712035         24.089949         23.536368         23.170833         *                 *                 
29   33   20.59637          20.58492          *                  0.00436           0.00167           *                  20.075393         21.346404         20.708396         20.71794          20.534399         20.646583         20.095215         *                 *                 
29   35   18.76904          18.77975          *                  0.00406           0.00049           *                  17.803919         19.041346         18.852793         18.852402         18.326058         18.725192         18.103021         *                 *                 
29   37   16.97667          16.97636          *                  0.00071           0.00067           *                  16.755159         17.549389         17.441816         17.510059         17.184063         17.041185         16.919394         *                 *                 
29   39   15.45139          15.4514           *                  0.00172           0.00171           *                  15.989566         16.131152         16.416632         16.298049         16.066782         15.752081         15.994747         *                 *                 
29   41   13.55173          13.55197          *                  0.00224           0.00192           *                  15.194667         14.425672         14.66318          14.680446         14.484309         14.159042         14.087928         *                 *                 
29   43   12.94951          12.94926          *                  0.00211           0.00177           *                  14.426483         12.82765          12.721486         12.948509         12.812643         12.471358         12.273637         *                 *                 
29   45   12.36584          12.36584          *                  0.0063            0.0063            *                  13.743623         11.79818          11.887444         11.915582         11.58044          11.559566         11.784876         *                 *                 
29   47   11.11241          11.11241          *                  0.0091            0.0091            *                  12.912929         10.870281         11.097194         11.039698         10.618052         10.424908         10.775407         *                 *                 
29   49   *                 9.66412           *                  *                 0.50305           *                  11.801456         9.54561           9.69708           9.653592          9.400256          8.894413          9.507269          *                 *                 
29   51   *                 *                 *                  *                 *                 *                  9.33801           8.056243          7.242184          7.806258          7.893405          7.291585          7.423646          *                 *                 
29   53   *                 *                 *                  *                 *                 *                  6.800819          6.627477          4.844508          6.013951          6.508192          5.781111          5.362746          *                 *                 
29   55   *                 *                 *                  *                 *                 *                  5.753721          5.438617          3.583952          4.898244          5.529632          4.7784            4.754326          *                 *                 
29   57   *                 *                 *                  *                 *                 *                  4.759655          4.296967          2.522629          4.018757          4.642532          4.040917          3.903712          *                 *                 
29   59   *                 *                 *                  *                 *                 *                  3.273586          2.960249          1.480685          2.92199           3.562478          3.058443          2.054954          *                 *                 
29   61   *                 *                 *                  *                 *                 *                  2.021249          1.736567          *                 1.906501          2.515248          1.866985          *                 *                 *                 
29   63   *                 *                 *                  *                 *                 *                  1.565322          *                 *                 1.245503          1.651766          *                 *                 *                 *                 
29   67   *                 *                 *                  *                 *                 *                  1.598431          *                 *                 *                 *                 *                 *                 *                 *                 
29   69   *                 *                 *                  *                 *                 *                  1.47679           *                 *                 *                 *                 *                 *                 *                 *                 
29   71   *                 *                 *                  *                 *                 *                  0.924379          *                 *                 *                 *                 *                 *                 *                 *                 
31   25   *                 *                 *                  *                 *                 *                  *                 35.281917         *                 *                 36.220458         *                 *                 *                 *                 
31   27   *                 *                 *                  *                 *                 *                  33.812273         33.205028         33.666536         33.631678         34.092436         34.072213         34.357038         *                 *                 
31   29   *                 *                 *                  *                 *                 *                  30.124931         30.336986         29.759573         30.291571         30.880793         30.469513         30.590426         *                 *                 
31   31   *                 *                 *                  *                 *                 *                  25.877198         26.952535         26.002563         26.436337         26.881635         26.607404         26.129217         *                 *                 
31   33   22.97653          22.98855          *                  0.02793           0.00155           *                  22.469082         23.757105         23.561825         23.464339         23.140706         23.73063          23.095867         *                 *                 
31   35   21.03273          21.03347          *                  0.00372           0.00179           *                  20.136518         21.460598         21.489303         21.484796         20.724126         21.508428         20.93912          *                 *                 
31   37   19.50433          19.50497          *                  0.00324           0.00147           *                  19.033539         19.970259         19.624255         19.795362         19.513626         19.482575         19.397806         *                 *                 
31   39   17.9666           17.96678          *                  0.00194           0.00186           *                  18.196435         18.523301         18.436588         18.505035         18.347793         18.00006          18.360555         *                 *                 
31   41   15.82192          15.82079          *                  0.00157           0.00145           *                  17.43093          16.735216         16.846566         16.983988         16.726666         16.424415         16.430335         *                 *                 
31   43   15.60284          15.60396          *                  0.00386           0.0031            *                  16.643115         15.143633         15.378405         15.348738         15.028495         15.147789         14.983371         *                 *                 
31   45   14.38969          14.38966          *                  0.00421           0.00358           *                  15.869122         14.202864         14.746386         14.454803         13.8894           14.310417         14.614527         *                 *                 
31   47   13.55256          13.55195          *                  0.00311           0.00273           *                  14.730991         13.098432         13.352449         13.277059         12.866184         12.753066         13.038402         *                 *                 
31   49   11.57123          11.66035          *                  0.12332           0.00346           *                  13.338561         11.515656         11.362799         11.53458          11.435237         10.83331          11.27553          *                 *                 
31   51   *                 9.84969           *                  *                 0.00377           *                  11.132586         9.956037          9.191527          9.695536          9.824353          9.091528          9.260202          *                 *                 
31   53   *                 *                 *                  *                 *                 *                  8.7169            8.435442          7.122552          7.880996          8.284188          7.520077          7.181111          *                 *                 
31   55   *                 *                 *                  *                 *                 *                  7.208002          7.034441          5.593254          6.479724          7.15105           6.153293          6.043134          *                 *                 
31   57   *                 *                 *                  *                 *                 *                  6.04516           5.75098           4.226746          5.365052          6.079052          5.125533          5.033736          *                 *                 
31   59   *                 *                 *                  *                 *                 *                  4.692297          4.485924          3.218623          4.377174          4.736937          4.218951          3.413367          *                 *                 
31   61   *                 *                 *                  *                 *                 *                  3.726834          3.415787          2.665098          3.540174          3.619205          3.266639          2.251184          *                 *                 
31   63   *                 *                 *                  *                 *                 *                  3.620479          2.618024          2.150885          2.901476          2.939761          2.530527          2.181214          *                 *                 
31   65   *                 *                 *                  *                 *                 *                  3.685282          1.967039          1.553634          2.301601          2.4905            1.936416          2.163514          *                 *                 
31   67   *                 *                 *                  *                 *                 *                  3.405386          1.529301          1.063374          1.782261          2.099092          1.525544          1.74832           *                 *                 
31   69   *                 *                 *                  *                 *                 *                  2.782796          1.290754          *                 1.471079          1.586954          1.432323          1.174375          *                 *                 
31   71   *                 *                 *                  *                 *                 *                  2.229872          *                 *                 1.31981           *                 1.252109          *                 *                 *                 
31   73   *                 *                 *                  *                 *                 *                  1.870315          *                 *                 1.032883          *                 0.868539          *                 *                 *                 
31   75   *                 *                 *                  *                 *                 *                  1.559501          *                 *                 *                 *                 *                 *                 *                 *                 
31   77   *                 *                 *                  *                 *                 *                  1.11189           *                 *                 *                 *                 *                 *                 *                 *                 
33   29   *                 *                 *                  *                 *                 *                  32.316026         32.719639         32.415389         32.751754         33.33514          33.11351          33.019031         *                 *                 
33   31   *                 *                 *                  *                 *                 *                  28.211658         29.305681         28.81936          29.106244         29.403879         29.57855          28.969575         *                 *                 
33   33   *                 *                 *                  *                 *                 *                  25.063274         26.267944         26.477578         26.307914         25.665868         26.845856         26.317277         *                 *                 
33   35   23.53956          23.01208          *                  0.68137           0.00597           *                  22.876858         24.073864         24.102283         24.138134         23.243381         24.284339         23.971601         *                 *                 
33   37   21.58651          21.58999          *                  0.06618           0.05004           *                  21.68102          22.380422         21.890459         22.098811         21.91737          21.957177         21.864669         *                 *                 
33   39   20.02933          20.03056          *                  0.0502            0.05017           *                  20.618624         20.871819         20.481241         20.661026         20.668266         20.313041         20.607644         *                 *                 
33   41   18.77279          18.77289          *                  0.00442           0.00442           *                  19.478516         19.11257          18.909965         19.223311         19.066019         18.682497         18.844011         *                 *                 
33   43   17.57217          17.57396          *                  0.00192           0.00191           *                  18.486466         17.492088         17.828805         17.822489         17.361503         17.615043         17.623815         *                 *                 
33   45   16.67055          16.6682           *                  0.0099            0.00982           *                  17.816178         16.520935         17.237724         16.899937         16.349964         16.794311         17.120469         *                 *                 
33   47   15.4845           15.54019          *                  0.02521           0.01032           *                  16.858204         15.288192         15.674671         15.520748         15.226038         15.109505         15.472129         *                 *                 
33   49   14.30736          14.03356          *                  0.20135           0.005             *                  15.196642         13.592105         13.455187         13.609331         13.508016         13.03545          13.497266         *                 *                 
33   51   *                 11.89078          *                  *                 0.00489           *                  12.887369         11.934965         11.121308         11.615408         11.761886         11.06977          11.23319          *                 *                 
33   53   *                 9.25122           *                  *                 0.00468           *                  10.546799         10.303784         9.113803          9.706902          10.030289         9.289989          8.965856          *                 *                 
33   55   *                 *                 *                  *                 *                 *                  8.701492          8.720723          7.63818           8.13876           8.658049          7.739696          7.436011          *                 *                 
33   57   *                 *                 *                  *                 *                 *                  7.383382          7.327629          6.289445          6.962301          7.437956          6.583071          6.240189          *                 *                 
33   59   *                 *                 *                  *                 *                 *                  6.487566          6.201543          5.308124          6.146528          6.037478          5.764685          5.08163           *                 *                 
33   61   *                 *                 *                  *                 *                 *                  5.942349          5.308133          4.580187          5.409732          5.043501          5.004672          4.396071          *                 *                 
33   63   *                 *                 *                  *                 *                 *                  5.565952          4.52458           3.907828          4.652521          4.513089          4.245451          4.127502          *                 *                 
33   65   *                 *                 *                  *                 *                 *                  5.160524          3.774149          3.394818          3.954052          3.99772           3.538877          3.6797            *                 *                 
33   67   *                 *                 *                  *                 *                 *                  4.796717          3.128336          2.711911          3.270829          3.564051          2.936495          3.145598          *                 *                 
33   69   *                 *                 *                  *                 *                 *                  4.255815          2.636373          1.95074           2.772212          3.133911          2.547778          2.601296          *                 *                 
33   71   *                 *                 *                  *                 *                 *                  3.674013          2.247736          1.524602          2.530727          2.458865          2.397125          2.082155          *                 *                 
33   73   *                 *                 *                  *                 *                 *                  3.243458          1.862404          1.249197          2.282476          2.136676          2.161825          1.694437          *                 *                 
33   75   *                 *                 *                  *                 *                 *                  2.879132          1.364708          0.96493           1.863814          1.933651          1.699561          1.378136          *                 *                 
33   77   *                 *                 *                  *                 *                 *                  2.431705          *                 *                 1.307308          1.337114          1.12361           0.910009          *                 *                 
33   79   *                 *                 *                  *                 *                 *                  1.921343          *                 *                 *                 *                 *                 *                 *                 *                 
33   81   *                 *                 *                  *                 *                 *                  1.42453           *                 *                 *                 *                 *                 *                 *                 *                 
35   31   *                 *                 *                  *                 *                 *                  *                 31.654812         31.380933         31.6336           31.676806         32.229049         31.59306          *                 *                 
35   33   *                 *                 *                  *                 *                 *                  27.776235         28.853951         29.108549         28.919507         28.135975         29.606488         29.22256          *                 *                 
35   35   *                 *                 *                  *                 *                 *                  26.083703         26.785497         26.683541         26.703712         25.915427         26.987713         26.914634         *                 *                 
35   37   *                 23.77876          *                  *                 0.01494           *                  24.723628         24.833178         24.448048         24.641418         24.377569         24.6275           24.605157         *                 *                 
35   39   22.43351          22.36904          *                  0.06147           0.00592           *                  23.11453          23.239957         22.896057         23.02586          22.99999          22.928772         23.077262         *                 *                 
35   41   21.12572          21.14355          *                  0.01766           0.011             *                  21.291774         21.51282          21.220339         21.502762         21.479944         21.181998         21.209316         *                 *                 
35   43   19.30577          19.30573          *                  0.00999           0.00999           *                  19.931434         19.685223         19.967289         20.04086          19.745179         19.817602         19.895325         *                 *                 
35   45   18.5798           18.57947          *                  0.00394           0.00372           *                  19.410463         18.545315         19.222644         18.961582         18.675668         18.839038         19.23983          *                 *                 
35   47   17.74963          17.7523           *                  0.00222           0.0014            *                  18.911756         17.409805         17.93367          17.716008         17.476629         17.408156         17.852176         *                 *                 
35   49   16.4455           16.42706          *                  0.01476           0.02575           *                  17.431613         15.814467         15.917104         15.951127         15.728532         15.510804         16.197114         *                 *                 
35   51   13.98287          13.9918           *                  0.01832           0.02591           *                  14.762687         13.997691         13.146128         13.661595         13.783814         13.202114         13.394727         *                 *                 
35   53   11.2352           11.22634          *                  0.03996           0.00441           *                  12.108175         12.151638         10.648296         11.378349         11.755121         10.950055         10.577547         *                 *                 
35   55   10.03035          9.42697           *                  0.08628           0.00461           *                  10.359107         10.484233         9.214156          9.764258          10.163144         9.345824          9.185394          *                 *                 
35   57   8.10293           8.37514           *                  0.0918            0.0075            *                  8.916002          9.058307          8.254021          8.648178          8.805783          8.218023          7.793337          *                 *                 
35   59   *                 *                 *                  *                 *                 *                  8.48586           7.920966          7.503312          7.859259          7.537516          7.399693          6.551713          *                 *                 
35   61   *                 *                 *                  *                 *                 *                  8.287665          7.028904          6.499843          7.102057          6.777338          6.625659          6.130166          *                 *                 
35   63   *                 *                 *                  *                 *                 *                  7.406327          6.228595          5.665673          6.344494          6.249653          5.872991          5.859678          *                 *                 
35   65   *                 *                 *                  *                 *                 *                  6.625281          5.461353          5.167119          5.634673          5.542646          5.158578          5.162129          *                 *                 
35   67   *                 *                 *                  *                 *                 *                  6.095001          4.737483          4.493757          4.888441          4.973643          4.445766          4.588406          *                 *                 
35   69   *                 *                 *                  *                 *                 *                  5.564874          4.086316          3.58596           4.185793          4.601183          3.829039          4.012443          *                 *                 
35   71   *                 *                 *                  *                 *                 *                  4.915205          3.586166          2.802661          3.742246          4.052769          3.514529          3.351229          *                 *                 
35   73   *                 *                 *                  *                 *                 *                  4.346543          3.206316          2.42623           3.51176           3.490355          3.274121          2.937101          *                 *                 
35   75   *                 *                 *                  *                 *                 *                  3.83575           2.82687           2.331269          3.257732          3.139317          2.930796          2.723494          *                 *                 
35   77   *                 *                 *                  *                 *                 *                  3.757061          2.317246          2.352283          2.797441          2.639845          2.45152           2.420595          *                 *                 
35   79   *                 *                 *                  *                 *                 *                  3.78613           1.67447           1.964208          2.205692          1.976899          1.784673          2.039384          *                 *                 
35   81   *                 *                 *                  *                 *                 *                  3.32243           *                 *                 1.46166           1.344545          1.16244           1.47771           *                 *                 
35   83   *                 *                 *                  *                 *                 *                  2.062778          *                 *                 *                 *                 *                 *                 *                 *                 
35   85   *                 *                 *                  *                 *                 *                  0.769848          *                 *                 *                 *                 *                 *                 *                 *                 
37   33   *                 *                 *                  *                 *                 *                  *                 31.201265         31.414728         31.19526          30.475102         32.01964          31.596176         *                 *                 
37   35   *                 *                 *                  *                 *                 *                  29.147342         29.22268          29.265784         29.247864         28.452701         29.649706         29.601171         *                 *                 
37   37   *                 *                 *                  *                 *                 *                  27.689314         27.457928         27.302092         27.279741         27.079912         27.595505         27.668521         *                 *                 
37   39   24.70542          24.70571          *                  0.00412           0.00317           *                  25.575156         25.809264         25.702351         25.673388         25.496789         25.77518          25.949499         *                 *                 
37   41   22.59903          22.59897          *                  0.00768           0.00337           *                  23.233183         23.854949         23.789247         24.001534         23.621954         23.741215         23.598175         *                 *                 
37   43   21.37926          21.38268          *                  0.01021           0.00374           *                  21.395046         21.848732         22.033178         22.206818         21.940713         22.039713         21.946185         *                 *                 
37   45   20.15798          20.15497          *                  0.0075            0.00354           *                  20.74483          20.536901         20.958961         20.925571         20.800962         20.77701          21.155916         *                 *                 
37   47   19.70446          19.7138           *                  0.00393           0.00372           *                  20.851506         19.522071         20.106146         19.878995         19.659347         19.659315         20.239973         *                 *                 
37   49   19.13963          19.13066          *                  0.00281           0.0022            *                  19.870119         18.038564         18.553393         18.308801         18.07735          18.063037         19.016085         *                 *                 
37   51   16.00462          16.00464          *                  0.00026           0.00026           *                  16.62185          15.925164         15.142239         15.61097          15.746608         15.252887         15.525801         *                 *                 
37   53   12.89535          12.89804          *                  0.00654           0.00649           *                  13.480767         13.803863         11.926424         12.911657         13.365477         12.483209         12.167595         *                 *                 
37   55   11.55297          11.55067          *                  0.00892           0.00892           *                  11.976372         12.169944         10.555091         11.300741         11.761726         10.950533         11.0732           *                 *                 
37   57   9.92394           9.93298           *                  0.01028           0.00644           *                  10.602927         10.750402         9.817874          10.169673         10.322172         9.724643          9.551938          *                 *                 
37   59   8.81393           8.9342            *                  0.03034           0.00392           *                  10.537735         9.44498           9.491616          9.401647          9.170085          8.823082          7.803337          *                 *                 
37   61   9.13963           9.15743           *                  0.05649           0.01643           *                  10.532556         8.554147          8.71999           8.901643          8.681006          8.294299          7.605041          *                 *                 
37   63   *                 8.02055           *                  *                 0.02532           *                  9.273621          7.874375          7.672739          8.198103          8.101638          7.641156          7.661513          *                 *                 
37   65   *                 *                 *                  *                 *                 *                  8.215477          7.129839          6.901972          7.31085           7.234013          6.809157          6.711198          *                 *                 
37   67   *                 *                 *                  *                 *                 *                  7.420902          6.398227          6.13753           6.480157          6.496112          6.012417          5.988906          *                 *                 
37   69   *                 *                 *                  *                 *                 *                  6.75536           5.840086          5.225804          5.709003          5.907423          5.348727          5.318683          *                 *                 
37   71   *                 *                 *                  *                 *                 *                  6.076686          5.348636          4.259633          5.26254           5.421156          4.980998          4.571482          *                 *                 
37   73   *                 *                 *                  *                 *                 *                  5.353149          4.813072          3.846004          5.04285           4.888354          4.641066          4.256796          *                 *                 
37   75   *                 *                 *                  *                 *                 *                  4.776343          4.390219          3.910348          4.736622          4.419184          4.240657          4.280923          *                 *                 
37   77   *                 *                 *                  *                 *                 *                  5.22444           3.93821           3.979498          4.311525          3.948567          3.832317          4.173587          *                 *                 
37   79   *                 *                 *                  *                 *                 *                  5.916546          3.338389          3.864747          3.840167          3.317517          3.27251           4.024455          *                 *                 
37   81   *                 *                 *                  *                 *                 *                  5.385736          2.506194          3.099913          3.001194          2.569992          2.521433          3.367813          *                 *                 
37   83   *                 *                 *                  *                 *                 *                  3.288928          1.491023          *                 1.604012          1.739426          1.683338          1.633087          *                 *                 
37   85   *                 *                 *                  *                 *                 *                  1.303834          *                 *                 *                 1.210639          1.075536          *                 *                 *                 
37   87   *                 *                 *                  *                 *                 *                  0.785757          *                 *                 *                 0.910527          0.758394          *                 *                 *                 
37   89   *                 *                 *                  *                 *                 *                  0.558106          *                 *                 *                 *                 *                 *                 *                 *                 
39   35   *                 *                 *                  *                 *                 *                  31.625201         31.561749         31.675964         31.593834         30.87288          32.198354         31.933345         *                 *                 
39   37   *                 *                 *                  *                 *                 *                  30.186157         30.034777         30.061447         29.912776         29.728811         30.411385         30.504707         *                 *                 
39   39   *                 *                 *                  *                 *                 *                  27.88246          28.320861         28.633769         28.300985         27.939251         28.637519         28.799085         *                 *                 
39   41   *                 *                 *                  *                 *                 *                  25.266349         26.109067         26.353578         26.37889          25.716134         26.268528         26.098597         *                 *                 
39   43   23.11724          23.05857          *                  0.20456           0.00832           *                  23.179651         24.010859         24.130671         24.389295         24.099823         24.247434         24.013217         *                 *                 
39   45   22.1081           21.97297          *                  0.13734           0.00698           *                  22.58163          22.62643          22.88059          22.994893         22.920335         22.855844         23.051325         *                 *                 
39   47   21.26836          21.53129          *                  0.09247           0.01478           *                  22.935061         21.614248         22.209457         21.986783         21.847824         21.844385         22.451495         *                 *                 
39   49   21.1582           21.15856          *                  0.01422           0.01422           *                  22.052257         20.106264         20.866435         20.435603         20.337011         20.327217         21.343855         *                 *                 
39   51   18.33096          18.33768          *                  0.003             0.0022            *                  18.397974         17.738463         17.041208         17.449967         17.619949         17.182095         17.490879         *                 *                 
39   53   14.4685           14.46506          *                  0.00929           0.00927           *                  14.915444         15.416841         13.399148         14.513939         14.957573         14.137109         13.967457         *                 *                 
39   55   13.67781          13.6776           *                  0.01154           0.01114           *                  13.537813         13.829064         12.034057         12.88279          13.36571          12.611721         12.942952         *                 *                 
39   57   12.14084          12.12707          *                  0.02438           0.00882           *                  12.172283         12.430034         11.257875         11.685894         11.882918         11.298429         11.296555         *                 *                 
39   59   10.26335          10.10152          *                  0.03357           0.00998           *                  12.206764         11.005984         11.019049         10.907168         10.865208         10.304401         9.315639          *                 *                 
39   61   10.96952          11.17525          *                  0.08236           0.0137            *                  12.348521         10.0529           10.654063         10.645061         10.578055         9.941881          9.156839          *                 *                 
39   63   10.7408           9.98842           *                  0.11651           0.01191           *                  11.02176          9.43735           9.653249          10.005801         9.916033          9.385612          9.364131          *                 *                 
39   65   *                 *                 *                  *                 *                 *                  9.801824          8.80074           8.595216          8.949076          8.915357          8.46314           8.283982          *                 *                 
