Z    N    S2n(MeV)          S2n_Err(MeV)      S2p(MeV)          S2p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
6    5    34.40278          0.00234           15.27525          0.00103           -7.54461          0.00096           
6    6    31.84132          0.0004            27.18461          0.0004            -7.36659          4e-05             
6    7    23.66796          0.00095           31.62699          0.00636           -10.64755         0.0004            
6    8    13.12274          0.0               36.63455          0.01501           -12.01169         0.0004            
6    9    9.3945            0.0008            37.95262          0.07159           -12.72584         0.00641           
6    10   5.4684            0.00358           40.83831          0.13229           -13.80729         0.01543           
6    11   4.97695           0.01739           *                 *                 -14.63391         0.07367           
6    12   4.91058           0.03022           *                 *                 -17.45324         0.13561           
6    13   4.7608            0.09991           *                 *                 *                 *                 
6    14   3.5112            0.24104           *                 *                 *                 *                 
7    3    *                 *                 -1.30072          0.4               *                 *                 
7    4    *                 *                 2.69005           0.04617           -5.98969          0.08444           
7    5    37.6047           0.4               9.29059           0.00107           -8.00832          0.00141           
7    6    35.10072          0.04616           17.90039          0.0005            -9.49512          0.00102           
7    7    30.6173           0.001             25.08342          0.0014            -11.61223         0.00039           
7    8    21.38668          0.00027           31.03867          0.00108           -10.99141         0.00042           
7    9    13.32239          0.00262           32.55797          0.02137           -10.11016         0.00297           
7    10   8.3727            0.01501           35.67885          0.02693           -11.11571         0.01505           
7    11   8.71183           0.01876           38.54516          0.06281           -12.97413         0.0282            
7    12   8.15187           0.02223           42.48663          0.17166           -15.53506         0.02773           
7    13   7.49199           0.05861           *                 *                 -17.74149         0.08179           
7    14   6.7536            0.09645           *                 *                 -20.94457         0.19553           
7    15   5.86907           0.20009           *                 *                 *                 *                 
8    4    *                 *                 -1.77133          0.01846           -5.47102          0.02955           
8    5    *                 *                 2.11585           0.00957           -8.22298          0.00976           
8    6    40.18323          0.01847           6.57059           0.00011           -10.11624         0.00042           
8    7    36.39946          0.00954           14.84735          0.00049           -10.21965         0.00107           
8    8    28.88699          0.00011           22.33484          0.0               -7.16192          0.0               
8    9    19.80705          0.0005            25.2599           0.00081           -6.35874          0.00011           
8    10   12.18715          0.00062           29.05359          0.00363           -6.22633          0.00062           
8    11   11.99895          0.00282           32.2819           0.01758           -8.96319          0.00294           
8    12   11.56365          0.00088           35.70666          0.03001           -12.32158         0.00374           
8    13   11.4146           0.01231           38.9357           0.09912           -15.40084         0.02111           
8    14   10.65594          0.05693           42.8514           0.24584           -18.06694         0.06434           
8    15   9.59258           0.12246           *                 *                 -20.23262         0.15663           
8    16   6.35639           0.243             *                 *                 -20.91213         0.33617           
9    6    *                 *                 3.14805           0.13379           -9.95311          0.14153           
9    7    *                 *                 6.7611            0.00832           -9.08274          0.00838           
9    8    30.9663           0.13379           12.72768          0.00025           -5.8187           0.00037           
9    9    25.94919          0.00834           19.3879           0.00268           -4.41463          0.00053           
9    10   19.58172          0.00026           23.9367           0.01501           -4.01374          7e-05             
9    11   17.03374          0.00054           27.70981          0.01858           -8.12598          0.00262           
9    12   14.7028           0.0018            30.48762          0.01651           -10.34384         0.01512           
9    13   13.33185          0.0124            33.54967          0.05696           -12.746           0.02234           
9    14   12.76534          0.07956           36.49936          0.12394           -14.9573          0.08122           
9    15   11.37649          0.07334           39.05709          0.20535           -16.6305          0.09119           
9    16   8.19968           0.1264            *                 *                 -16.40337         0.13669           
9    17   5.43039           0.18159           *                 *                 -16.19182         0.25435           
9    18   2.48848           0.38929           *                 *                 *                 *                 
10   6    *                 *                 -1.41116          0.02048           -10.47641         0.02758           
10   7    *                 *                 0.97264           0.02696           -9.07644          0.02859           
10   8    34.82193          0.02048           4.52377           0.00028           -5.11511          0.0003            
10   9    30.85209          0.02695           12.01769          0.00031           -3.52908          0.00057           
10   10   28.50173          0.00028           20.83835          0.00062           -4.72985          0.0               
10   11   23.62585          0.00029           23.64459          0.00283           -7.34788          0.00012           
10   12   17.12542          2e-05             26.40012          0.00108           -9.66811          0.00062           
10   13   15.5649           0.00011           27.79489          0.01202           -10.91383         0.00283           
10   14   14.06944          0.00039           29.81361          0.05693           -12.1739          0.00115           
10   15   13.09666          0.02564           31.29898          0.12454           -12.5959          0.02832           
10   16   9.7615            0.02678           33.21873          0.23775           -11.27946         0.06291           
10   17   6.96461           0.11332           *                 *                 -9.96793          0.16443           
10   18   5.32764           0.1491            *                 *                 -10.25072         0.27807           
10   19   5.1547            0.29046           *                 *                 *                 *                 
10   20   4.28521           0.58928           *                 *                 *                 *                 
11   7    *                 *                 1.06823           0.05098           *                 *                 
11   8    *                 *                 3.60283           0.012             -6.27348          0.13433           
11   9    33.48488          0.05074           8.60392           0.00668           -6.25745          0.01066           
11   10   31.2536           0.01202           15.27472          0.0007            -6.56078          0.00074           
11   11   28.17279          0.00667           19.74297          0.00042           -8.48105          0.00068           
11   12   23.48833          0.0007            24.06024          0.0018            -10.46738         7e-05             
11   13   19.37831          0.00042           25.78943          0.0124            -10.82563         0.00011           
11   14   15.9706           0.0012            27.26551          0.07955           -11.73518         0.00216           
11   15   14.58684          0.00583           28.99978          0.07252           -12.08061         0.0137            
11   16   12.30225          0.0037            31.36808          0.0983            -11.2721          0.07962           
11   17   10.26956          0.01429           33.83896          0.16709           -10.97369         0.07345           
11   18   7.96019           0.0135            36.8398           0.37691           -11.03262         0.0991            
11   19   6.7923            0.02833           *                 *                 -12.3356          0.16847           
11   20   6.15287           0.21172           *                 *                 -14.69701         0.43191           
11   21   5.43925           0.35706           *                 *                 *                 *                 
11   22   3.90811           0.90016           *                 *                 *                 *                 
12   7    *                 *                 -2.00125          0.25294           *                 *                 
12   8    *                 *                 2.32476           0.027             -8.85103          0.03389           
12   9    38.27222          0.25204           5.41888           0.01642           -7.97531          0.03156           
12   10   34.10995          0.02703           7.93297           0.00134           -8.13904          0.00137           
12   11   32.52691          0.01646           14.31993          0.00129           -9.65012          0.00132           
12   12   29.67924          0.00134           20.48679          2e-05             -9.31655          1e-05             
12   13   23.86169          0.00129           22.61672          0.00011           -9.88597          5e-05             
12   14   18.42365          3e-05             24.841            0.00039           -10.61478         3e-05             
12   15   17.53646          5e-05             27.05652          0.02564           -11.85752         0.00012           
12   16   14.94669          0.002             30.02619          0.02685           -11.49204         0.00204           
12   17   12.17502          0.01397           32.26692          0.11126           -10.93587         0.0292            
12   18   10.03467          0.00862           34.73321          0.14692           -11.7652          0.02806           
12   19   8.74098           0.01849           35.8532           0.26894           -12.71225         0.11105           
12   20   8.18674           0.01958           38.63475          0.57101           -14.6243          0.14774           
12   21   8.03118           0.02301           *                 *                 -15.58873         0.26938           
12   22   6.37925           0.23207           *                 *                 -16.71834         0.61586           
13   10   *                 *                 5.62421           0.01866           -8.58215          0.02218           
13   11   *                 *                 9.45245           0.00281           -9.32958          0.00722           
13   12   31.82838          0.01865           13.96426          0.00048           -9.15693          0.00085           
13   13   28.296            0.00278           18.37014          0.0001            -9.45279          0.00042           
13   14   24.42312          0.00049           22.41678          0.00121           -10.09172         0.00012           
13   15   20.78277          0.00014           24.56607          0.00583           -10.85724         0.00015           
13   16   17.1613           0.0012            27.27583          0.0037            -11.28242         0.0017            
13   17   15.16461          0.01405           29.46111          0.01917           -11.43502         0.01521           
13   18   12.88094          0.02038           32.19657          0.02416           -11.86111         0.02064           
13   19   11.33218          0.08709           34.001            0.08955           -12.49764         0.08693           
13   20   9.71838           0.07554           35.76209          0.22349           -13.6193          0.07391           
13   21   8.01316           0.142             36.57491          0.37368           -13.7185          0.1158            
13   22   7.74345           0.18962           39.59742          0.89235           -15.20987         0.27444           
13   23   7.42817           0.24263           *                 *                 -15.70742         0.41588           
13   24   6.06612           0.37443           *                 *                 -17.36788         0.9355            
13   25   5.87401           0.76141           *                 *                 *                 *                 
13   26   4.69254           1.50852           *                 *                 *                 *                 
14   10   *                 *                 3.42631           0.01952           -9.24059          0.03329           
14   11   *                 *                 5.27986           0.01008           -9.5111           0.01922           
14   12   34.04194          0.0197            7.78901           0.003             -9.17259          0.00329           
14   13   32.35125          0.01              13.76942          0.00015           -9.33545          0.0013            
14   14   30.4908           0.003             19.85616          3e-05             -9.98415          1e-05             
14   15   25.65338          0.00015           21.88634          5e-05             -11.12714         4e-05             
14   16   19.08277          3e-05             23.99223          0.002             -10.64326         4e-05             
14   17   17.19659          3e-05             26.90791          0.01397           -10.78727         6e-05             
14   18   15.79061          4e-05             29.74818          0.00838           -11.48718         0.002             
14   19   13.68629          0.01579           31.85322          0.0199            -12.29855         0.02108           
14   20   12.0185           0.01412           33.57993          0.02264           -13.47101         0.01642           
14   21   10.01028          0.04153           33.83232          0.04311           -13.56784         0.04028           
14   22   8.66837           0.12426           35.86905          0.26227           -13.95264         0.12472           
14   23   8.36233           0.17298           *                 *                 -13.89898         0.16979           
14   24   7.7274            0.18477           *                 *                 -15.30079         0.26915           
14   25   7.63443           0.37776           *                 *                 *                 *                 
14   26   6.60831           0.57278           *                 *                 *                 *                 
14   27   4.50829           1.87508           *                 *                 *                 *                 
15   12   *                 *                 6.3788            0.02634           -9.91152          0.03227           
15   13   *                 *                 9.52638           0.00332           -9.52672          0.00433           
15   14   32.37823          0.02635           14.33391          0.00061           -10.46137         0.00077           
15   15   29.18446          0.00333           17.92808          0.00034           -10.41518         0.00032           
15   16   23.63089          0.00063           20.8035           0.00122           -9.66914          0.00022           
15   17   20.24728          0.00036           23.01074          0.01405           -9.87969          0.00023           
15   18   18.03924          0.00111           25.9618           0.02037           -10.54708         0.00163           
15   19   16.39508          0.00501           28.07364          0.08609           -11.11017         0.01491           
15   20   14.66289          0.00217           30.9063           0.07277           -12.32903         0.02043           
15   21   11.83594          0.01403           31.89642          0.1138            -11.61393         0.08694           
15   22   10.27904          0.03799           33.4419           0.17917           -12.88968         0.08205           
15   23   10.64948          0.10421           35.11774          0.23828           -14.25024         0.15319           
15   24   10.02223          0.11015           37.398            0.34675           -15.16846         0.20336           
15   25   9.49165           0.17331           38.73537          0.74364           -16.31373         0.25581           
15   26   8.54541           0.23969           41.25087          1.48756           -17.64775         0.39534           
15   27   7.09693           0.46799           *                 *                 -17.53664         0.85634           
15   28   5.10018           0.99259           *                 *                 -18.05539         1.76198           
16   12   *                 *                 3.36011           0.16003           -9.10639          0.16118           
16   13   *                 *                 5.35322           0.05              -9.40882          0.05099           
16   14   34.27837          0.16003           7.14768           0.003             -9.34282          0.00424           
16   15   32.0277           0.05002           11.72754          0.00151           -9.08526          0.00151           
16   16   28.0958           0.003             16.16071          0.00014           -6.94782          0.00014           
16   17   23.68398          0.0015            18.21493          0.00014           -7.11586          0.00014           
16   18   20.05873          9e-05             20.42882          0.00012           -7.92378          0.00011           
16   19   18.403            0.0001            22.93163          0.01579           -8.32227          0.00011           
16   20   16.87492          0.00022           25.28525          0.01412           -9.00808          0.0002            
16   21   14.19264          0.00022           27.11399          0.03841           -8.82861          0.01579           
16   22   12.33976          0.00717           28.95663          0.12366           -9.32934          0.01583           
16   23   12.40852          0.05              31.16019          0.17591           -11.22685         0.06305           
16   24   12.148            0.14148           33.37724          0.19713           -12.80898         0.18763           
16   25   11.99949          0.12841           35.52525          0.35811           -14.86402         0.206             
16   26   10.95357          0.18813           37.7225           0.56974           -16.03514         0.18528           
16   27   9.08876           0.23404           40.10573          1.85538           -16.31836         0.39375           
16   28   7.5813            0.41363           *                 *                 -17.00814         0.68179           
16   29   7.43007           1.75404           *                 *                 -19.24014         2.53723           
17   14   *                 *                 4.69248           0.05              -8.77505          0.05651           
17   15   *                 *                 7.70714           0.0066            -8.59593          0.00738           
17   16   30.0789           0.05              11.14049          0.00049           -6.47572          0.00076           
17   17   27.25264          0.00659           14.7125           0.00025           -6.66412          0.00036           
17   18   24.15274          0.00046           17.25399          0.0011            -6.99757          0.00019           
17   19   21.22472          0.00019           19.54213          0.005             -7.64155          0.0002            
17   20   18.89063          6e-05             21.48173          0.00187           -7.84896          0.0011            
17   21   16.41887          0.00012           24.12506          0.01311           -7.66534          0.005             
17   22   14.1813           0.00173           25.384            0.03799           -7.36738          0.00255           
17   23   13.90235          0.03207           27.37793          0.10824           -9.73175          0.03464           
17   24   13.64962          0.06875           29.01139          0.12417           -10.73796         0.0785            
17   25   13.49781          0.14729           31.38409          0.20004           -12.58009         0.17707           
17   26   13.00361          0.17173           33.4696           0.26744           -13.71935         0.18831           
17   27   11.4607           0.17983           35.74786          0.45971           -14.54913         0.17612           
17   28   10.33711          0.20021           38.70654          0.97663           -15.51105         0.24914           
17   29   10.61983          0.72543           *                 *                 -18.07203         0.84513           
18   14   *                 *                 2.71561           0.00349           -8.69832          0.16001           
18   15   *                 *                 4.91743           0.00157           -8.64947          0.05              
18   16   32.31965          0.0018            6.93946           0.00041           -6.7396           0.00303           
18   17   29.8059           0.00087           11.03936          0.00076           -6.42768          0.00168           
18   18   27.99696          0.00039           14.87769          0.00011           -6.64076          0.00014           
18   19   24.04288          0.00077           16.67924          0.00023           -6.78658          0.00025           
18   20   20.62565          0.00034           18.62842          0.00039           -7.20768          0.00035           
18   21   18.43699          0.00501           20.92359          0.00501           -6.82057          0.005             
18   22   16.46798          0.00034           22.75664          0.00717           -6.80074          0.00019           
18   23   15.96809          0.00501           24.48316          0.05              -8.59602          0.00039           
18   24   15.52541          0.00578           26.13405          0.14141           -9.98639          0.00921           
18   25   15.08497          0.00532           27.56864          0.11839           -11.27248         0.05028           
18   26   14.39301          0.00599           29.57349          0.12423           -12.2314          0.1413            
18   27   13.90342          0.00534           32.38329          0.20195           -13.1764          0.11827           
18   28   13.18971          0.04092           35.1819           0.39665           -14.46754         0.13077           
18   29   12.27988          0.10008           37.23311          1.74525           -16.36752         0.22539           
19   16   *                 *                 4.74341           0.02001           -6.52665          0.05385           
19   17   *                 *                 7.56434           0.00778           -6.52132          0.0102            
19   18   29.77393          0.02              10.3646           0.0001            -6.22168          0.00047           
19   19   27.51715          0.00779           13.85678          0.00045           -6.78583          0.00048           
19   20   25.14945          0.00021           16.62342          0.0002            -7.21839          0.00019           
19   21   20.87715          0.00042           18.31505          0.00021           -6.43826          0.0002            
19   22   17.8947           0.0001            20.33681          0.00174           -6.22246          0.0002            
19   23   17.62899          0.00013           22.04169          0.03207           -7.64837          0.00024           
19   24   17.1768           0.00895           23.86399          0.0693            -9.21795          0.00912           
19   25   16.93068          0.03578           25.47456          0.14815           -10.67671         0.04805           
19   26   16.15758          0.01361           27.01796          0.15771           -11.72591         0.06948           
19   27   15.75135          0.03901           29.76521          0.10914           -12.93025         0.1446            
19   28   15.23072          0.01279           31.91157          0.12401           -13.95302         0.15758           
19   29   12.84825          0.0281            31.99362          0.71774           -14.3178          0.11069           
19   30   10.76563          0.07033           *                 *                 -14.38153         0.14224           
19   31   9.37084           0.27942           *                 *                 -13.0688          0.76948           
20   16   *                 *                 2.64008           0.04              -6.66407          0.04004           
20   17   *                 *                 4.69229           0.02237           -6.20253          0.02236           
20   18   31.76249          0.04026           6.40562           0.00456           -6.10692          0.00457           
20   19   30.25527          0.02244           10.90468          0.00187           -6.6519           0.00201           
20   20   28.92969          0.00455           14.70966          0.0003            -7.03965          0.00021           
20   21   24.00599          0.00186           16.47369          0.005             -6.61502          0.00032           
20   22   19.84343          0.00014           18.08512          0.00025           -6.25744          0.00034           
20   23   19.41351          0.00018           19.91911          0.00044           -7.59154          0.00501           
20   24   19.06404          0.00029           21.62375          0.00579           -8.8535           0.00038           
20   25   18.54595          0.00029           23.38008          0.00533           -10.1694          0.00052           
20   26   17.80923          0.00228           25.03997          0.00277           -11.13732         0.00621           
20   27   17.67081          0.00227           27.14747          0.00232           -12.75523         0.00577           
20   28   17.22169          0.00411           29.07194          0.04069           -13.96599         0.00438           
20   29   15.09178          0.00411           29.95937          0.1               -13.94359         0.00412           
20   30   11.49934          0.00832           *                 *                 -12.27562         0.04153           
20   31   10.71662          0.0937            *                 *                 -12.38033         0.13704           
20   32   9.08094           0.69868           *                 *                 *                 *                 
21   18   *                 *                 3.94576           0.024             -5.42404          0.03124           
21   19   *                 *                 6.30048           0.00286           -5.52197          0.00828           
21   20   30.617            0.024             9.41332           0.00012           -6.26711          0.00024           
21   21   27.74065          0.00283           13.16398          0.0002            -5.74546          0.00046           
21   22   23.68817          0.00186           15.2068           0.00187           -4.80583          0.00186           
21   23   21.83749          0.00175           17.37248          0.00176           -6.7058           0.00176           
21   24   21.0225           0.00203           19.05249          0.00898           -7.93363          0.00084           
21   25   20.08366          0.00193           20.52545          0.03579           -9.16047          0.00085           
21   26   19.40696          0.00199           22.30188          0.01007           -10.1638          0.00917           
21   27   18.88162          0.00538           23.65572          0.01592           -11.11141         0.03618           
21   28   18.36288          0.00411           25.43404          0.00744           -12.3691          0.01083           
21   29   16.18342          0.01592           26.99089          0.0281            -11.54348         0.02121           
21   30   12.80845          0.02021           27.47686          0.0728            -9.94683          0.02114           
21   31   11.96229          0.1939            29.58234          0.33894           -10.65752         0.19477           
21   33   10.00493          0.41756           *                 *                 -11.29162         0.46317           
22   18   *                 *                 1.369             0.16006           -4.83583          0.16492           
22   20   32.41391          0.16009           4.85322           0.00545           -5.48725          0.0071            
22   21   *                 *                 8.76129           0.0069            -4.47162          0.00714           
22   22   28.56954          0.00549           13.57933          0.00071           -5.1271           0.0007            
22   23   25.82727          0.00697           15.17504          0.00097           -6.29289          0.00097           
22   24   22.7176           0.00109           17.23288          0.00084           -8.00127          0.00084           
22   25   22.06929          0.00085           18.69838          0.00085           -8.94867          0.00083           
22   26   20.50694          0.00029           19.93059          0.00215           -9.44416          0.00084           
22   27   19.76904          5e-05             20.79662          0.00214           -10.17176         0.00085           
22   28   19.08158          5e-05             21.79048          0.004             -10.71651         0.00215           
22   29   17.31168          0.00049           23.01653          0.00404           -9.81264          0.00219           
22   30   14.1808           0.00707           24.47195          0.01163           -7.67562          0.00813           
22   31   13.24362          0.10005           25.54353          0.13714           -7.96449          0.10013           
22   32   12.27219          0.12492           27.6632           0.70967           -8.44848          0.12506           
22   33   10.98413          0.18206           *                 *                 -8.232            0.1787            
22   34   9.48502           0.23227           *                 *                 -8.85256          0.72558           
22   35   8.01621           0.48015           *                 *                 *                 *                 
23   21   *                 *                 6.57308           0.12109           -6.01807          0.12113           
23   22   *                 *                 10.26964          0.01713           -5.66215          0.01703           
23   23   29.09927          0.1211            13.83486          0.00202           -7.37669          0.00104           
23   24   26.26506          0.01703           15.5122           0.00064           -8.23904          0.00204           
23   25   23.54501          0.00251           17.29621          0.00251           -9.08421          0.00309           
23   26   22.09753          0.00087           18.20276          0.00205           -9.31407          0.00107           
23   27   20.8888           0.00261           19.30339          0.00543           -9.88935          0.00111           
23   28   20.38707          0.00128           20.22696          0.00404           -10.29418         0.00211           
23   29   18.36239          0.00015           21.48237          0.01556           -9.37012          0.00543           
23   30   15.79009          0.00325           23.2086           0.02066           -7.72139          0.0051            
23   31   14.59228          0.01503           24.11235          0.19385           -7.77899          0.02161           
23   32   13.44529          0.10005           *                 *                 -8.35822          0.10206           
23   33   12.33179          0.20481           26.43921          0.42276           -8.14848          0.2812            
23   34   11.17988          0.25353           29.18611          0.77197           *                 *                 
23   35   10.27127          0.32123           *                 *                 -8.41482          0.4455            
23   36   9.02045           0.38569           *                 *                 -9.91091          0.79759           
23   37   8.51116           0.53556           *                 *                 *                 *                 
24   21   *                 *                 4.22206           0.50305           *                 *                 
24   22   *                 *                 6.50322           0.02001           -6.7771           0.02072           
24   23   31.7358           0.5032            10.13059          0.01405           -7.6622           0.01564           
24   24   29.48807          0.02131           13.2737           0.00738           -7.69564          0.00741           
24   25   26.91473          0.01417           14.97603          0.00242           -8.74966          0.00252           
24   26   23.58295          0.00731           16.34971          0.001             -8.56099          0.00103           
24   27   22.26096          0.00221           17.46795          0.00099           -8.94133          0.00099           
24   28   21.30007          0.00099           18.5682           0.00103           -9.35412          0.00103           
24   29   19.97857          0.00099           20.13483          0.00114           -9.15086          0.00103           
24   30   17.65825          0.00019           22.04565          0.00714           -7.93079          0.00102           
24   31   15.96538          0.00022           22.85659          0.10005           -7.80456          0.00115           
24   32   14.49133          0.00201           24.26479          0.12473           -8.24132          0.00736           
24   33   13.55928          0.00202           25.43175          0.15211           -8.12022          0.10007           
24   34   12.69612          0.20293           27.47588          0.28208           -8.66525          0.23818           
24   35   11.50998          0.24434           28.92553          0.51683           -8.64607          0.28781           
24   36   10.81178          0.29447           *                 *                 -9.99201          0.28971           
24   37   10.4318           0.35288           *                 *                 -11.06167         0.52176           
24   38   10.05331          0.39888           *                 *                 *                 *                 
25   23   *                 *                 6.82836           0.11178           -7.63197          0.1648            
25   24   *                 *                 10.19148          0.02402           -8.16087          0.02942           
25   25   29.44602          0.11178           12.72937          0.00262           -7.97872          0.00121           
25   26   26.76839          0.02402           14.86234          0.0013            -8.66421          0.00104           
25   27   24.22126          0.00206           16.06183          0.00206           -8.65497          0.00318           
25   28   22.5892           0.00101           17.06446          0.00103           -9.15588          0.00134           
25   29   20.99256          0.00214           18.692            0.00142           -8.75873          0.00141           
25   30   19.16531          0.00047           20.43968          0.00312           -7.93411          0.00094           
25   31   17.49697          0.00108           21.5967           0.01501           -7.89331          0.00095           
25   32   15.91885          0.00191           22.91325          0.10002           -8.06288          0.00366           
25   33   15.13975          0.03              24.40466          0.20645           -8.44079          0.03354           
25   34   14.1354           0.03006           25.86876          0.2349            -8.75299          0.10441           
25   35   13.41364          0.09115           27.54703          0.26245           -9.52264          0.22165           
25   36   12.21881          0.22988           29.06712          0.38266           -9.79191          0.32592           
25   37   11.00361          0.23912           30.03948          0.52452           -10.25498         0.33352           
25   38   10.93805          0.34451           *                 *                 -11.7095          0.40152           
25   39   10.72053          0.34774           *                 *                 -12.46435         0.54452           
25   40   10.46418          0.59564           *                 *                 *                 *                 
26   19   *                 *                 -1.13448          0.03714           *                 *                 
26   24   *                 *                 6.2343            0.06045           -7.42671          0.06325           
26   25   *                 *                 9.4698            0.01519           -8.08887          0.02054           
26   26   29.99871          0.06035           12.65006          0.00657           -7.93735          0.00983           
26   27   26.86562          0.01509           14.07446          0.00187           -8.03976          0.00289           
26   28   24.06348          0.00651           15.41346          0.00047           -8.41787          0.00091           
26   29   22.67668          0.00165           16.77257          0.00042           -8.45548          0.00092           
26   30   20.49553          0.00031           18.25075          0.00039           -7.61333          0.00041           
26   31   18.8434           0.00025           19.65058          0.00043           -7.32031          0.0004            
26   32   17.6907           0.00019           21.45011          0.00199           -7.64579          0.00043           
26   33   16.62562          0.00021           22.71692          0.00199           -7.98054          0.00048           
26   34   15.40105          0.00339           24.15505          0.20295           -8.5555           0.00393           
26   35   14.40091          0.02001           25.60784          0.24515           -8.82217          0.0201            
26   36   13.63155          0.01488           26.97481          0.21389           -9.49094          0.20343           
26   37   12.76708          0.16932           27.94312          0.30511           -10.07926         0.29659           
26   38   12.01255          0.27694           28.93406          0.43595           -10.69171         0.34932           
26   39   11.47475          0.29571           *                 *                 -11.12221         0.35214           
26   40   10.94548          0.40997           *                 *                 -11.58388         0.45294           
26   41   10.95703          0.48153           *                 *                 *                 *                 
