Z    N    S2n(MeV)          S2n_Err(MeV)      S2p(MeV)          S2p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
1    2    8.4818            0.0               *                 *                 *                 *                 
1    3    3.37684           0.10329           *                 *                 *                 *                 
1    4    -1.8              0.1               *                 *                 *                 *                 
1    5    0.18039           0.28433           *                 *                 *                 *                 
2    1    *                 *                 7.71804           0.0               *                 *                 
2    2    *                 *                 *                 *                 0.0               0.0               
2    3    19.68762          0.05              *                 *                 0.89              0.05              
2    4    0.97244           0.00076           *                 *                 *                 *                 
2    5    1.42783           0.0527            *                 *                 *                 *                 
2    6    2.1397            0.00691           *                 *                 *                 *                 
2    7    1.30424           0.03381           *                 *                 *                 *                 
2    8    -1.06853          0.07034           *                 *                 *                 *                 
3    1    *                 *                 2.39048           0.21213           *                 *                 
3    2    *                 *                 17.84886          0.05              1.965             0.05              
3    3    27.37903          0.21213           26.39267          0.10329           -1.47384          1e-05             
3    4    12.91338          0.05              32.56224          0.1               -2.46658          8e-05             
3    5    9.28258           9e-05             35.49485          0.26491           -7.37959          0.10329           
3    6    6.09651           0.00194           *                 *                 -10.36309         0.10002           
3    7    4.0389            0.01512           *                 *                 -11.23809         0.26534           
3    8    0.29959           0.01939           *                 *                 *                 *                 
4    2    *                 *                 -1.37209          0.00545           *                 *                 
4    3    *                 *                 10.19414          0.05              -1.5861           0.00011           
4    4    29.57591          0.00545           27.23137          0.00076           0.09184           4e-05             
4    5    20.56502          0.00041           29.33133          0.01666           -2.4635           0.05              
4    6    8.47764           0.0004            33.56931          0.00688           -7.41335          0.00086           
4    7    7.31622           0.00634           35.34331          0.0301            -8.35189          0.01783           
4    8    3.6728            0.015             38.31064          0.07159           -8.94645          0.0165            
4    9    3.06888           0.07187           *                 *                 -10.11652         0.0774            
4    10   1.26464           0.13309           *                 *                 -11.27962         0.14963           
5    2    *                 *                 -1.61152          0.0866            *                 *                 
5    3    *                 *                 5.74324           0.001             -4.82661          0.21213           
5    4    31.5953           0.07072           17.0704           0.00099           -1.68812          0.05001           
5    5    27.01339          0.00107           23.47405          0.0004            -4.46098          0.00039           
5    6    19.89038          0.00107           30.86427          0.00198           -8.66513          0.00042           
5    7    14.82447          0.00145           34.25962          0.01519           -10.00286         0.0014            
5    8    8.2484            0.001             38.81308          0.01932           -10.81701         0.00222           
5    9    5.84785           0.02126           *                 *                 -11.81181         0.02605           
5    10   3.73252           0.0224            *                 *                 -14.24995         0.02954           
5    11   2.72463           0.06364           *                 *                 *                 *                 
5    12   1.3441            0.17233           *                 *                 *                 *                 
6    2    *                 *                 -2.14117          0.0237            *                 *                 
6    3    *                 *                 1.43748           0.00214           *                 *                 
6    4    35.53801          0.02307           3.82093           0.0004            -5.10118          0.00546           
