Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
61,64,*,*,*,*,*,*,*,*,*,*,*,*,25.960286,26.313532,25.917969,26.231013,26.310697,26.212627,26.23228,26.38,26.84
61,66,*,*,*,*,*,*,*,*,*,*,*,*,24.29613,25.081794,24.827676,24.961755,24.894779,24.919145,24.583404,25.18,25.26
61,68,*,*,*,*,*,*,*,*,*,*,*,*,23.537292,23.952612,23.816984,23.856061,23.805213,23.786994,23.720749,23.91,23.94
61,70,*,*,*,*,*,*,*,*,*,*,*,*,22.789292,22.805532,22.561511,22.692265,22.734087,22.562119,22.659864,22.75,22.65
61,72,*,*,*,*,*,*,*,*,*,*,*,*,21.628054,21.655328,21.395276,21.414912,21.582926,21.273759,21.127898,21.52,21.59
61,74,20.71254,0.07729,20.78706,0.09068,*,*,*,*,*,*,*,*,20.283243,20.620205,19.629395,20.18332,20.240282,19.976498,20.331642,20.5,21.0
61,76,20.23795,0.06012,20.16341,0.07657,*,*,*,*,*,*,*,*,19.412639,20.382038,19.634259,19.943496,19.387491,19.85785,20.360775,20.14,20.04
61,78,19.56626,0.01876,19.57027,0.01884,*,*,*,*,*,*,*,*,19.369734,20.344768,20.302424,20.076852,19.752836,19.775989,19.821793,19.44,19.1
61,80,19.16908,0.01942,19.16507,0.01949,*,*,*,*,*,*,*,*,20.083897,19.568492,19.966367,19.75229,19.343677,19.502497,20.14812,19.39,18.98
61,82,18.58542,0.01436,18.58036,0.01429,*,*,*,*,*,*,*,*,20.430192,18.547091,19.800033,19.315023,18.769893,19.350789,20.288717,18.95,18.81
61,84,14.45066,0.00203,14.44946,0.00205,*,*,*,*,*,*,*,*,14.028284,14.804363,12.308089,13.612513,14.226959,13.004698,12.566163,14.11,14.26
61,86,13.91681,0.00231,13.91742,0.00256,*,*,*,*,*,*,*,*,13.949005,13.901574,12.685218,13.370193,14.01235,12.87261,12.274172,13.67,13.8
61,88,13.16594,0.00353,13.16463,0.00205,*,*,*,*,*,*,*,*,14.507873,13.291709,13.280943,13.574955,13.699951,13.136236,11.963321,14.06,13.79
61,90,13.46662,0.0059,13.46444,0.00486,*,*,*,*,*,*,*,*,15.174111,12.810957,13.357268,13.56826,13.405835,13.196304,13.620559,13.61,13.42
61,92,13.43207,0.01186,13.4044,0.01015,*,*,*,*,*,*,*,*,14.514558,12.998913,13.10892,13.297486,13.048743,12.999905,13.376213,13.25,12.93
61,94,12.43121,0.0319,12.43474,0.01021,*,*,*,*,*,*,*,*,13.257833,12.25386,11.811187,12.263186,12.12799,11.892628,12.152128,12.16,12.19
61,96,11.54282,0.11586,11.49975,0.00842,*,*,*,*,*,*,*,*,12.16453,11.417236,10.790571,11.320624,11.258758,10.901867,10.996295,11.28,11.4
61,98,*,*,10.39987,0.01223,*,*,*,*,*,*,*,*,11.185908,10.675526,10.202359,10.572456,10.568798,10.1712,9.994082,10.58,10.66
61,100,*,*,*,*,*,*,*,*,*,*,*,*,10.601393,9.903241,9.535349,9.840244,9.836694,9.45512,9.462863,9.73,9.84
61,102,*,*,*,*,*,*,*,*,*,*,*,*,9.969973,9.075098,8.422877,9.010717,8.994125,8.63359,8.802007,9.08,9.26
61,104,*,*,*,*,*,*,*,*,*,*,*,*,9.013346,8.2761,7.377325,8.160856,8.239182,7.852975,7.741966,8.15,8.18
61,106,*,*,*,*,*,*,*,*,*,*,*,*,8.095833,7.550597,6.615748,7.342885,7.584149,7.107888,6.866562,7.21,7.83
61,108,*,*,*,*,*,*,*,*,*,*,*,*,7.246125,6.861354,5.205277,6.577718,6.910294,6.316975,6.408034,6.88,7.23
61,110,*,*,*,*,*,*,*,*,*,*,*,*,6.689251,6.34733,6.141176,6.156725,6.399382,5.959192,6.346919,6.21,6.89
61,112,*,*,*,*,*,*,*,*,*,*,*,*,6.602478,6.366366,6.079559,6.36789,6.033102,6.201714,6.168664,5.96,6.25
61,114,*,*,*,*,*,*,*,*,*,*,*,*,7.148591,5.928937,5.269239,5.906527,5.659763,5.796719,5.88103,5.68,5.54
61,116,*,*,*,*,*,*,*,*,*,*,*,*,6.433941,5.380541,4.159997,5.298728,5.242609,5.268224,5.5954,5.33,5.07
61,118,*,*,*,*,*,*,*,*,*,*,*,*,5.642865,5.09582,3.967944,5.071798,4.938991,4.985329,5.568651,4.96,4.72
61,120,*,*,*,*,*,*,*,*,*,*,*,*,6.009325,5.115142,4.538395,5.415928,5.292222,5.276919,5.434711,4.24,5.3
61,122,*,*,*,*,*,*,*,*,*,*,*,*,6.602712,5.263538,5.38081,5.762989,5.392967,5.762366,5.317837,4.82,4.99
61,124,*,*,*,*,*,*,*,*,*,*,*,*,7.2249,5.695518,5.958438,6.658336,5.665961,6.397602,6.344762,5.1,4.85
61,126,*,*,*,*,*,*,*,*,*,*,*,*,6.981111,4.334501,5.56147,5.192974,4.761091,5.12386,5.448071,4.25,5.22
61,128,*,*,*,*,*,*,*,*,*,*,*,*,1.905611,1.937799,-0.868837,1.195159,1.673782,1.258095,0.866749,0.32,0.89
61,130,*,*,*,*,*,*,*,*,*,*,*,*,1.2637,0.729174,-1.448167,0.263801,1.586352,0.768437,0.198279,0.1,0.68
61,132,*,*,*,*,*,*,*,*,*,*,*,*,1.584777,0.764426,-1.003858,0.560217,1.554784,0.908356,0.543568,0.37,0.5
61,134,*,*,*,*,*,*,*,*,*,*,*,*,1.097301,0.416392,-1.301441,0.329989,1.385541,0.656628,0.237482,0.31,0.58
61,136,*,*,*,*,*,*,*,*,*,*,*,*,1.22279,0.026128,-1.165811,0.266141,1.096096,0.416195,0.01499,0.6,0.41
61,138,*,*,*,*,*,*,*,*,*,*,*,*,2.554784,-0.287527,-0.060637,0.389399,0.938037,0.249142,0.122823,0.48,0.36
61,140,*,*,*,*,*,*,*,*,*,*,*,*,2.179691,-0.458902,0.026545,0.89452,1.161653,0.321005,-0.034492,0.14,*
61,142,*,*,*,*,*,*,*,*,*,*,*,*,1.963772,-0.255469,-0.302003,0.68847,0.767459,0.405233,-0.303452,-0.01,*
