Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
12,28,*,*,*,*,*,*,3.043169,1.34211,0.625676,1.283205,1.388231,0.942224,0.872935,2.83,0.79
12,30,*,*,*,*,*,*,2.002856,0.571595,*,0.739781,1.13156,0.352798,0.626447,*,0.43
12,32,*,*,*,*,*,*,1.826022,0.229021,*,0.444313,0.826267,0.291645,0.690612,*,*
12,34,*,*,*,*,*,*,*,*,*,*,0.051559,0.020718,*,*,*
14,4,*,*,*,*,*,*,53.352572,54.719498,55.866339,50.959959,52.361551,49.91443,*,*,*
14,6,*,*,*,*,*,*,53.990789,55.097563,55.921243,52.913265,54.452667,54.069314,55.105099,*,*
14,8,*,*,*,*,*,*,45.304483,46.987429,48.101383,46.549738,45.732323,48.408466,49.385811,*,*
14,10,*,*,*,*,*,*,33.456328,34.399129,34.820319,34.666352,35.458817,35.886195,35.589399,39.4,38.98
14,12,34.04194,0.0197,34.02884,0.01947,*,*,31.278243,30.725295,31.553238,31.448802,31.918458,32.427091,32.283674,32.78,33.77
14,14,30.4908,0.003,30.49441,0.00011,*,*,28.246602,27.610599,27.597872,27.576934,28.43527,28.244473,28.669281,28.61,30.74
14,16,19.08277,3e-05,19.0828,2e-05,*,*,22.215197,22.517754,22.168832,22.175106,22.070257,21.911969,21.708442,19.37,19.11
14,18,15.79061,4e-05,15.78736,0.0003,*,*,15.217355,16.635425,16.704728,16.63695,15.629095,16.242668,15.732665,16.18,15.68
14,20,12.0185,0.01412,12.0218,0.01412,*,*,12.916214,13.061825,13.584365,13.400578,12.823082,13.004216,13.553112,12.83,12.97
14,22,8.66837,0.12426,8.62191,0.07317,*,*,10.42783,9.367593,8.519307,8.917845,9.057645,7.897853,7.66887,10.06,9.09
14,24,7.7274,0.18477,7.87681,0.12703,*,*,9.727149,7.987018,7.774376,7.90314,7.610923,7.499209,7.657003,7.79,7.91
14,26,6.60831,0.57278,6.54266,0.36068,*,*,8.395569,6.681584,6.203467,6.481203,6.359716,5.754793,5.845384,6.1,6.74
14,28,*,*,*,*,*,*,7.389852,5.590565,5.005018,5.513556,5.427182,5.165404,5.2174,6.94,4.89
14,30,*,*,*,*,*,*,5.246747,3.885094,2.971937,3.768811,3.88047,3.185511,3.377994,0.97,3.22
14,32,*,*,*,*,*,*,4.214749,2.995924,1.392019,2.930223,3.581712,2.513695,3.083208,0.2,1.09
14,34,*,*,*,*,*,*,1.565429,0.600291,*,1.244158,1.709857,1.554487,0.449274,*,*
16,4,*,*,*,*,*,*,55.455789,55.999044,57.425034,52.461596,53.444772,50.965314,*,*,*
16,6,*,*,*,*,*,*,58.265827,59.285875,60.503717,57.010273,57.831772,57.383897,*,*,*
16,8,*,*,*,*,*,*,49.886744,52.053303,53.251422,51.140956,50.301923,52.934971,54.000307,*,*
16,10,*,*,*,*,*,*,37.697443,39.285681,39.757766,39.192016,39.986854,39.893541,39.567352,44.36,41.71
16,12,*,*,*,*,*,*,35.405013,35.728575,36.139421,35.868796,36.818119,37.069806,37.023306,37.59,39.15
16,14,34.27837,0.16003,34.27509,0.16,*,*,32.807511,32.38729,32.585391,32.651256,33.396479,33.792173,34.064684,33.57,34.03
16,16,28.0958,0.003,28.09891,0.00021,*,*,26.335131,26.878233,26.277899,26.843388,26.88294,27.332035,26.906221,28.05,29.79
16,18,20.05873,9e-05,20.05879,4e-05,*,*,19.501597,21.295785,21.31598,21.25638,20.159982,21.301398,20.867246,20.01,18.64
16,20,16.87492,0.00022,16.87508,0.00019,*,*,16.978267,17.514365,18.147639,17.761888,17.128535,17.80009,18.317025,17.34,17.4
16,22,12.33976,0.00717,12.33971,0.00717,*,*,14.112171,13.389029,12.660961,13.024945,13.156533,12.151359,11.799123,13.61,12.96
16,24,12.148,0.14148,12.11928,0.0082,*,*,12.732296,11.320384,11.528222,11.346869,11.090273,11.276589,12.03853,11.83,12.05
16,26,10.95357,0.18813,10.94253,0.00486,*,*,12.248195,10.33044,10.345004,10.266897,10.110787,9.510311,9.758614,10.35,10.08
16,28,7.5813,0.41363,7.70912,0.00592,*,*,10.257747,8.861087,8.061786,8.529292,8.566568,7.881391,8.090058,8.07,7.94
16,30,*,*,*,*,*,*,8.352384,7.304872,6.226222,6.850437,7.39034,6.308218,6.530751,5.66,6.53
16,32,*,*,*,*,*,*,6.661722,5.785702,4.016908,5.703898,5.963248,5.187821,5.394056,3.49,3.75
16,34,*,*,*,*,*,*,3.419298,2.938155,2.204919,3.112216,3.352147,3.083445,1.905296,2.24,2.51
16,36,*,*,*,*,*,*,0.334053,0.285793,*,0.671422,0.630942,*,*,0.61,0.55
16,38,*,*,*,*,*,*,*,*,*,*,0.071713,*,*,*,*
16,42,*,*,*,*,*,*,0.276297,*,*,*,*,*,*,*,*
18,4,*,*,*,*,*,*,55.292343,56.004668,57.701961,52.70604,53.545974,51.273177,*,*,*
18,6,*,*,*,*,*,*,59.410314,60.802221,62.18783,58.46718,59.163553,58.191104,*,*,*
18,8,*,*,*,*,*,*,53.456879,55.951834,57.425487,54.637027,53.486959,55.709944,*,*,*
18,10,*,*,*,*,*,*,41.351054,43.454816,44.095687,43.171314,43.5095,43.830164,43.735132,*,*
18,12,*,*,*,*,*,*,39.386902,40.199885,40.702143,40.125232,40.860098,41.415393,41.515365,43.38,43.05
18,14,*,*,39.27413,0.20616,*,*,36.98349,36.878697,37.203149,37.117038,37.731805,38.582081,38.955174,38.13,40.07
18,16,32.31965,0.0018,32.32057,0.00177,*,*,30.557113,31.418052,30.806717,31.369187,31.166196,32.182131,31.844651,32.13,32.64
18,18,27.99696,0.00039,27.99588,8e-05,*,*,24.453922,26.115792,26.262917,26.060343,24.941979,26.631784,26.135285,27.81,29.01
18,20,20.62565,0.00034,20.62592,0.0002,*,*,21.602775,22.1586,22.915286,22.46475,21.728585,22.976853,23.525578,21.71,21.11
18,22,16.46798,0.00034,16.46771,0.00019,*,*,18.009837,17.499592,16.953707,17.27237,17.391533,16.646674,16.464608,17.9,16.02
18,24,15.52541,0.00578,15.52541,0.00578,*,*,16.478967,15.202654,14.985309,15.062041,15.244759,14.658705,15.292725,15.56,16.29
18,26,14.39301,0.00599,14.39321,0.00599,*,*,15.613035,13.852103,13.92571,13.752624,13.675982,13.355053,13.866638,13.18,13.17
18,28,13.18971,0.04092,13.24231,0.00194,*,*,13.907637,12.244843,12.029346,12.113839,12.113589,11.591012,12.214278,11.84,12.26
18,30,*,*,8.65104,0.3074,*,*,11.18228,10.636758,9.167615,10.264475,10.534645,9.751396,10.158026,8.08,9.06
18,32,*,*,*,*,*,*,9.01452,8.457581,7.123347,7.998103,8.275623,7.69499,7.650962,6.39,6.64
18,34,*,*,*,*,*,*,5.509329,5.445135,4.658445,5.240671,5.306305,4.891575,3.653579,5.34,4.89
18,36,*,*,*,*,*,*,3.090039,3.13246,2.759789,3.378791,3.263512,2.517006,1.599717,2.93,2.98
18,38,*,*,*,*,*,*,2.377259,1.921617,2.150965,2.568132,2.663249,1.75723,1.276993,2.69,1.61
18,40,*,*,*,*,*,*,1.993787,0.864126,1.205179,1.450476,1.617751,0.763346,0.797554,1.43,1.03
18,42,*,*,*,*,*,*,1.493156,*,*,*,*,*,*,0.46,0.62
18,44,*,*,*,*,*,*,1.512978,*,*,*,*,*,*,*,*
18,46,*,*,*,*,*,*,1.084859,*,*,*,*,*,*,*,*
18,48,*,*,*,*,*,*,0.719531,*,*,*,*,*,*,*,*
18,50,*,*,*,*,*,*,0.434381,*,*,*,*,*,*,*,*
20,4,*,*,*,*,*,*,54.560294,55.551646,57.537894,52.766604,53.325564,51.431221,*,*,*
20,6,*,*,*,*,*,*,59.963001,61.195091,62.768277,58.954752,59.560966,58.560387,*,*,*
20,8,*,*,*,*,*,*,55.624565,58.242066,59.94352,56.628246,55.356869,57.050944,*,*,*
20,10,*,*,*,*,*,*,44.713758,46.986151,48.103679,46.540258,46.388081,46.571036,*,*,*
20,12,*,*,*,*,*,*,43.245684,44.383792,45.161491,44.139771,44.587875,45.326666,45.828656,47.97,*
20,14,*,*,*,*,*,*,40.94857,41.16274,41.656158,41.318589,41.798276,42.975557,43.602037,42.75,43.71
20,16,*,*,*,*,*,*,34.46783,35.726031,35.306568,35.583598,35.250607,36.6674,36.365187,36.27,38.07
20,18,31.76249,0.04026,31.74998,0.04,*,*,29.066771,30.7572,30.991106,30.699231,29.520565,31.702398,31.26913,32.09,33.21
20,20,28.92969,0.00455,28.93052,0.0002,*,*,26.133367,26.779512,27.522115,27.018514,26.24927,27.998324,28.489442,28.9,28.27
20,22,19.84343,0.00014,19.84349,0.00015,*,*,21.845594,21.473512,21.114745,21.385105,21.511149,21.131846,20.853508,21.62,20.85
20,24,19.06404,0.00029,19.06406,0.00029,*,*,20.19293,19.093457,18.926799,19.04855,19.241774,18.88685,19.088091,19.04,18.8
20,26,17.80923,0.00228,17.81332,0.00226,*,*,19.303946,17.536387,17.839646,17.573772,17.589283,17.360868,18.173633,17.22,17.29
20,28,17.22169,0.00411,17.2279,0.00223,*,*,17.450699,15.710691,15.714745,15.585862,15.599879,15.261111,16.24162,14.98,16.36
20,30,11.49934,0.00832,11.50723,0.00159,*,*,13.716859,13.722851,12.002223,13.08319,13.35127,12.653689,12.93736,10.97,11.75
20,32,9.08094,0.69868,10.81968,0.00172,*,*,11.346485,11.183203,9.77639,10.366244,10.605666,10.081873,10.168592,8.61,9.94
20,34,*,*,7.03695,0.04844,*,*,7.824033,8.137645,7.271772,7.669938,7.557515,7.072052,5.773435,7.27,5.92
20,36,*,*,*,*,*,*,5.952711,6.093123,5.743496,6.157471,6.000351,5.400318,4.408532,6.15,6.07
20,38,*,*,*,*,*,*,5.303879,4.920439,5.196841,5.400028,5.330014,4.617528,4.206561,4.97,5.01
20,40,*,*,*,*,*,*,4.777677,3.787621,4.02226,4.167203,4.159717,3.421732,3.577587,4.43,3.94
20,42,*,*,*,*,*,*,4.158162,2.407852,1.743241,2.25479,2.189468,1.430886,1.404724,2.82,2.61
20,44,*,*,*,*,*,*,3.698669,1.413725,0.572371,1.123265,1.124686,0.51035,0.568101,2.01,2.7
20,46,*,*,*,*,*,*,3.291798,0.734038,0.333491,0.724253,0.675191,0.301215,0.643854,1.4,1.09
20,48,*,*,*,*,*,*,2.911189,0.234129,0.028631,0.35954,0.534152,0.275517,0.463662,0.84,0.58
20,50,*,*,*,*,*,*,1.992916,*,*,0.020038,0.215939,0.117577,0.27201,*,*
20,52,*,*,*,*,*,*,1.041996,*,*,*,0.158577,0.092868,0.24439,*,*
20,54,*,*,*,*,*,*,0.524746,*,*,*,*,0.110268,0.265635,*,*
20,56,*,*,*,*,*,*,0.431808,*,*,*,*,0.021712,0.218227,*,*
22,4,*,*,*,*,*,*,54.081042,55.214683,57.49277,52.946297,53.321542,51.880397,*,*,*
22,6,*,*,*,*,*,*,60.123891,61.377871,63.013,59.222679,59.731541,58.752577,*,*,*
22,8,*,*,*,*,*,*,56.452726,59.163144,60.765596,57.238524,56.152004,57.655974,*,*,*
22,10,*,*,*,*,*,*,48.461015,49.231469,49.62971,47.590656,48.170887,47.866624,*,*,*
22,12,*,*,*,*,*,*,47.091375,47.93726,49.255224,47.939511,47.932876,48.599048,*,*,*
22,14,*,*,*,*,*,*,42.32732,44.048303,44.889173,44.103237,44.752702,44.968492,45.55596,45.69,46.35
22,16,*,*,*,*,*,*,37.996304,39.610053,39.343747,39.443119,39.184208,40.416554,40.190407,40.15,40.76
22,18,*,*,*,*,*,*,33.004492,34.86169,35.200651,34.870938,33.797796,36.08737,35.774834,36.14,36.14
22,20,32.41391,0.16009,32.39692,0.16,*,*,30.015934,30.769855,31.717737,31.197914,30.458092,32.489479,32.967233,32.38,31.36
22,22,28.56954,0.00549,28.58653,0.00075,*,*,25.142198,25.007447,24.884805,25.199087,25.359734,25.1896,24.710919,28.17,30.59
22,24,22.7176,0.00109,22.72186,0.00072,*,*,23.462983,22.535706,22.632984,22.861776,23.009831,22.973667,23.77172,22.38,23.31
22,26,20.50694,0.00029,20.50754,0.00014,*,*,22.510492,20.94829,21.408708,21.190543,21.295835,21.043783,21.20738,21.07,20.01
22,28,19.08158,5e-05,19.08159,5e-05,*,*,20.547077,18.912493,19.118636,18.908684,19.003737,18.818965,19.446204,18.23,17.93
22,30,14.1808,0.00707,14.18079,0.00707,*,*,16.026573,16.530641,14.77465,15.7975,16.01746,15.26898,15.540353,14.01,14.47
22,32,12.27219,0.12492,12.29479,0.08276,*,*,13.646252,13.748953,12.44259,12.796378,13.027558,12.411163,12.576437,11.56,12.72
22,34,9.48502,0.23227,9.8407,0.14663,*,*,10.092405,10.70157,9.984586,10.155882,9.889049,9.428756,8.178636,9.49,10.53
22,36,*,*,*,*,*,*,8.422007,8.826927,8.49804,8.791914,8.552158,8.093216,7.22469,9.0,8.53
22,38,*,*,*,*,*,*,7.810503,7.701099,7.927414,8.032246,7.836743,7.361339,7.179671,7.79,7.48
22,40,*,*,*,*,*,*,7.262928,6.30823,6.74304,6.749401,6.603616,6.067001,6.417592,6.72,6.31
22,42,*,*,*,*,*,*,6.519299,4.900401,4.310665,4.811758,4.699379,3.967438,3.855515,5.38,4.88
22,44,*,*,*,*,*,*,5.949745,3.823747,3.106498,3.714787,3.464954,3.514905,4.07865,4.47,4.48
22,46,*,*,*,*,*,*,5.924045,3.421454,2.807679,3.626231,3.716222,3.091666,3.298741,3.49,3.35
22,48,*,*,*,*,*,*,4.82653,2.521781,2.563301,2.549567,2.533173,2.044008,2.189884,3.23,2.29
22,50,*,*,*,*,*,*,3.98206,1.58572,1.407153,1.615452,1.667629,1.286116,1.480651,2.12,1.27
22,52,*,*,*,*,*,*,2.246062,0.873153,*,0.964423,1.09658,0.852146,1.309874,*,0.77
22,54,*,*,*,*,*,*,1.445676,0.441041,*,0.565401,0.949045,0.934288,0.82705,*,*
22,56,*,*,*,*,*,*,1.41735,0.134152,*,0.530324,0.783668,0.738319,1.081585,*,*
22,58,*,*,*,*,*,*,0.588929,*,*,*,0.468576,0.599218,0.173729,*,*
24,4,*,*,*,*,*,*,54.047473,55.437698,57.741394,53.699352,53.897319,53.10904,*,*,*
24,6,*,*,*,*,*,*,60.165404,61.437084,63.167328,59.268631,59.851088,58.999231,*,*,*
24,8,*,*,*,*,*,*,56.704566,59.372886,60.916773,57.461263,56.416396,57.967751,*,*,*
24,10,*,*,*,*,*,*,51.197048,51.602258,52.721242,49.867561,50.021415,48.973242,*,*,*
24,12,*,*,*,*,*,*,50.117988,51.101572,52.548183,50.551501,50.753612,51.04546,*,*,*
24,14,*,*,*,*,*,*,45.270513,46.643841,47.397803,46.496836,46.953694,47.195767,47.912291,*,*
24,16,*,*,*,*,*,*,40.964654,42.507662,42.731038,42.471807,42.172216,43.908301,44.15747,43.74,43.94
24,18,*,*,*,*,*,*,36.123895,38.272131,38.105759,37.98169,37.723776,38.990182,38.811844,39.33,40.64
24,20,*,*,*,*,*,*,33.811713,34.757374,35.708001,35.117673,34.502418,36.618118,36.705168,36.14,35.83
24,22,*,*,*,*,*,*,28.375059,28.359386,28.512527,28.938012,29.083754,29.225541,29.279061,31.5,32.86
24,24,29.48807,0.02131,29.49309,0.01359,*,*,28.629125,27.353724,28.281315,27.948887,27.514426,28.62628,28.438235,29.03,29.33
24,26,23.58295,0.00731,23.58269,0.00731,*,*,25.063581,24.115955,24.312297,24.337455,24.60127,24.32363,24.546618,23.84,23.49
24,28,21.30007,0.00099,21.2998,0.00054,*,*,22.296361,21.313493,21.203929,21.299649,21.806128,21.121052,21.734488,21.63,20.57
24,30,17.65825,0.00019,17.65816,0.00018,*,*,18.298204,18.846406,17.773328,18.259526,18.745926,17.676018,17.779064,16.5,17.48
24,32,14.49133,0.00201,14.49287,0.00062,*,*,15.991463,16.359318,14.94969,15.319053,15.537689,14.878804,15.040634,14.75,15.24
24,34,12.69612,0.20293,12.84943,0.00161,*,*,12.436812,13.400313,12.690422,12.780964,12.431131,12.504201,12.011534,12.77,13.24
24,36,10.81178,0.29447,10.82041,0.1936,*,*,11.1851,11.563855,11.014374,11.475662,11.125668,10.635904,10.067511,11.3,11.12
24,38,10.05331,0.39888,10.36802,0.24374,*,*,11.381444,10.355088,10.696072,10.669905,10.423377,9.967672,9.579892,10.13,9.9
24,40,*,*,8.72743,0.46394,*,*,10.243775,8.93886,9.456455,9.413476,9.136196,8.726265,8.746894,9.29,8.98
24,42,*,*,*,*,*,*,9.323876,7.408089,6.897083,7.421999,7.227467,6.943762,7.447593,7.75,7.82
24,44,*,*,*,*,*,*,8.321471,7.297451,6.140355,6.9532,6.654398,6.784755,6.665097,6.77,6.82
24,46,*,*,*,*,*,*,7.331255,5.852959,6.338829,6.16319,6.021953,5.257426,5.51447,6.01,5.72
24,48,*,*,*,*,*,*,6.367481,4.556073,3.999733,4.546449,4.581884,4.022785,4.163154,4.98,4.32
24,50,*,*,*,*,*,*,5.394491,3.390617,3.156876,3.286934,3.369486,2.863352,3.032658,4.41,3.0
24,52,*,*,*,*,*,*,3.782258,2.415099,0.900551,2.32077,2.455602,1.982794,2.393162,1.03,2.19
24,54,*,*,*,*,*,*,2.649631,1.537759,0.317989,1.53261,1.879737,1.585655,1.774607,*,1.12
24,56,*,*,*,*,*,*,2.014281,1.223269,*,1.409444,1.685597,1.509095,1.73667,*,0.24
24,58,*,*,*,*,*,*,1.493341,0.398358,*,0.844256,1.391515,1.407985,1.025674,*,*
24,60,*,*,*,*,*,*,0.136288,*,*,*,0.776336,0.486677,*,*,*
26,4,*,*,*,*,*,*,54.703404,56.541726,58.294421,55.14486,54.92104,54.888098,*,*,*
26,6,*,*,*,*,*,*,60.295111,61.48908,63.374573,59.557177,60.03145,59.500017,*,*,*
26,8,*,*,*,*,*,*,57.263139,59.748756,61.342172,57.745053,56.87919,58.328751,*,*,*
26,10,*,*,*,*,*,*,52.635081,52.731122,54.063419,50.780058,51.140079,49.654137,*,*,*
26,12,*,*,*,*,*,*,52.927712,53.76803,55.28604,52.878021,52.950232,52.778666,*,*,*
26,14,*,*,*,*,*,*,48.140411,49.502225,50.416202,49.172587,49.6429,49.981424,*,*,*
26,16,*,*,*,*,*,*,44.217876,45.749036,46.306194,45.616838,45.238867,46.59692,47.235793,*,*
26,18,*,*,*,*,*,*,39.459263,41.397217,41.528477,41.173513,40.859112,42.40451,42.455723,42.92,43.45
26,20,*,*,*,*,*,*,37.547943,38.437545,39.545739,38.76461,38.250175,40.159084,40.605086,39.32,40.07
26,22,*,*,*,*,*,*,31.528394,31.696035,32.032362,32.511664,32.630393,33.094273,32.607761,35.07,35.93
26,24,*,*,*,*,*,*,31.186841,30.614429,31.272281,31.121961,31.024202,31.746588,31.663086,31.9,32.38
26,26,29.99871,0.06035,29.99654,0.00982,*,*,28.279507,27.312143,27.802945,27.756769,28.05611,28.047911,28.14558,29.77,29.44
26,28,24.06348,0.00651,24.06677,0.0051,*,*,25.530058,24.435782,24.612857,24.688151,25.343636,24.754727,25.379556,24.57,23.89
26,30,20.49553,0.00031,20.49522,0.00028,*,*,20.73691,21.778563,20.696174,21.063374,21.442171,20.522026,20.665288,19.57,20.06
26,32,17.6907,0.00019,17.69066,0.00018,*,*,18.343484,18.974687,17.745013,17.876552,18.087837,17.751692,17.522681,17.38,17.73
26,34,15.40105,0.00339,15.40054,0.00339,*,*,14.954666,16.035593,15.486218,15.735095,15.074685,15.339831,14.968541,15.54,15.96
26,36,13.63155,0.01488,13.60767,0.00441,*,*,13.721669,14.278341,13.718765,13.940199,13.859839,13.378861,12.952098,13.99,14.0
26,38,12.01255,0.27694,12.23413,0.00574,*,*,13.001789,13.052738,13.253692,13.334815,13.004553,12.472688,12.056002,12.75,12.24
26,40,10.94548,0.40997,11.24093,0.00648,*,*,12.638594,11.550371,12.135882,11.95675,11.689466,11.420073,11.912386,11.59,11.12
26,42,9.69729,0.76136,9.56171,0.36528,*,*,11.646282,9.896805,9.466439,9.988709,9.785323,9.183511,9.005218,10.09,10.86
26,44,*,*,*,*,*,*,10.676315,8.784936,8.193912,8.60061,8.455528,8.809968,9.089756,8.83,9.24
26,46,*,*,*,*,*,*,9.812595,8.537521,8.655524,8.70665,8.416627,7.697635,8.103081,8.22,8.06
26,48,*,*,*,*,*,*,8.677566,6.797982,6.444713,6.762283,6.669196,6.115431,6.358436,7.28,6.65
26,50,*,*,*,*,*,*,7.992257,5.533643,6.00983,5.430593,5.341307,4.768269,5.459159,6.66,3.78
26,52,*,*,*,*,*,*,4.725026,4.35617,2.31089,4.072224,4.292055,3.751377,3.731031,2.74,5.05
26,54,*,*,*,*,*,*,4.04253,3.238757,1.619412,2.985635,3.448646,3.011588,3.033388,1.34,2.49
26,56,*,*,*,*,*,*,3.29023,2.663856,0.942842,2.661207,2.962483,2.69331,2.986521,0.3,1.39
26,58,*,*,*,*,*,*,2.461471,1.613134,0.160845,1.84749,2.377044,2.217603,1.829086,*,0.75
26,60,*,*,*,*,*,*,0.976694,0.357693,*,0.819507,1.65293,1.230997,*,*,0.33
26,62,*,*,*,*,*,*,*,*,*,*,0.495417,*,*,*,*
28,4,*,*,*,*,*,*,54.369921,56.330906,58.150513,54.841827,54.571114,54.611244,*,*,*
28,6,*,*,*,*,*,*,60.919415,62.338992,64.146123,60.33824,60.610042,60.188109,*,*,*
