Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
7,26,*,*,*,*,*,*,*,*,*,*,*,*,-2.975020,-4.737866,-5.781511,-4.140916,-3.859982,-3.595343,*,*,*,*
7,28,*,*,*,*,*,*,*,*,*,*,*,*,-2.902707,-5.024470,-5.964739,-4.594808,-4.236087,-4.495247,*,*,*,*
7,30,*,*,*,*,*,*,*,*,*,*,*,*,-2.802638,-5.327304,-6.099057,-4.718665,-4.375931,-4.565684,*,*,*,*
7,32,*,*,*,*,*,*,*,*,*,*,*,*,-2.835865,-5.550592,-6.141182,-4.705541,-4.354605,-4.454834,*,*,*,*
7,34,*,*,*,*,*,*,*,*,*,*,*,*,-3.969589,-6.120708,-6.648833,-5.214264,-4.864604,-4.771309,*,*,*,*
7,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.626448,-6.702337,-7.440321,-5.936403,-5.571821,-5.243231,*,*,*,*
9,4,*,*,*,*,*,*,*,*,*,*,*,*,43.072720,45.190867,46.055046,42.007508,44.158996,42.680600,*,43.346658,*,*
9,6,*,*,*,*,*,*,*,*,*,*,*,*,39.954655,40.213484,40.755289,39.166032,40.481107,41.269610,*,41.631106,*,*
9,8,30.96630,0.13379,30.75768,0.01400,*,*,*,*,*,*,*,*,28.801289,29.987459,30.696434,30.242627,29.065934,31.932861,*,32.016524,*,*
9,10,19.58172,0.00026,19.58178,0.00025,*,*,*,*,*,*,*,*,19.114564,19.090098,18.603460,18.592514,19.160562,18.977090,*,18.884622,19.290000,19.48
9,12,14.70280,0.00180,14.70279,0.00180,*,*,*,*,*,*,*,*,17.160019,15.705351,15.673795,15.567648,15.717786,15.488271,*,15.700916,14.440000,19.90
9,14,12.76534,0.07956,12.80977,0.03337,*,*,*,*,*,*,*,*,14.546387,13.525369,12.734724,12.754766,13.319086,12.188453,*,12.772170,11.750000,11.84
9,16,8.19968,0.12640,8.09373,0.10204,*,*,*,*,*,*,*,*,10.799887,9.847075,9.553026,9.649798,9.502654,9.189823,*,9.218563,7.150000,8.32
9,18,2.48848,0.38929,2.02652,0.40158,*,*,*,*,*,*,*,*,4.223425,4.671898,4.464348,4.832299,4.331143,3.742412,*,2.857788,3.800000,3.06
9,20,*,*,1.44273,0.65420,*,*,*,*,*,*,*,*,2.403931,1.639552,1.746431,2.245431,2.246098,1.669667,*,1.381836,2.160000,1.19
9,22,*,*,*,*,*,*,*,*,*,*,*,*,1.166683,-0.808818,-2.016983,-0.848650,-0.649332,-0.629486,*,-0.867165,0.870000,-0.05
9,24,*,*,*,*,*,*,*,*,*,*,*,*,0.608923,-1.023176,-1.947661,-0.941192,-0.827518,-0.925638,*,-1.202879,-1.680000,-2.19
9,26,*,*,*,*,*,*,*,*,*,*,*,*,-0.115870,-1.980913,-2.934905,-1.792452,-1.562841,-1.833302,*,-2.128079,-4.060000,-2.20
9,28,*,*,*,*,*,*,*,*,*,*,*,*,-0.590008,-2.629953,-3.523485,-2.305013,-1.981760,-2.221398,*,*,-1.140000,-2.58
9,30,*,*,*,*,*,*,*,*,*,*,*,*,-0.796586,-2.965409,-3.804527,-2.440117,-2.135321,-2.308141,*,*,-7.750000,*
9,32,*,*,*,*,*,*,*,*,*,*,*,*,-0.703514,-3.042937,-3.580908,-2.240658,-1.936278,-2.310698,*,*,-4.360000,*
9,34,*,*,*,*,*,*,*,*,*,*,*,*,-2.295737,-4.283133,-4.649631,-3.186438,-2.859026,-2.825212,*,*,-8.460000,*
9,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.290342,-5.889872,-6.699493,-5.251896,-4.901566,-4.747245,*,*,-5.040000,*
9,38,*,*,*,*,*,*,*,*,*,*,*,*,-5.861153,-6.747794,-7.656168,-5.970359,-5.295242,-5.166866,*,*,*,*
9,40,*,*,*,*,*,*,*,*,*,*,*,*,-5.214080,-6.774492,-7.736877,-5.804340,-5.056892,-4.959279,*,*,*,*
11,4,*,*,*,*,*,*,*,*,*,*,*,*,46.950997,48.947303,49.909537,45.431501,47.423757,45.537437,*,46.284402,*,*
11,6,*,*,*,*,*,*,*,*,*,*,*,*,46.150059,46.682120,47.208064,44.862171,46.639296,46.444598,*,47.050606,*,*
11,8,*,*,38.38646,1.00141,*,*,*,*,*,*,*,*,36.082820,37.492290,38.436874,37.568863,36.619834,39.578380,*,39.915185,*,*
11,10,31.25360,0.01202,31.25666,0.01054,*,*,*,*,*,*,*,*,25.688303,25.614161,26.095049,26.295580,26.269349,27.364017,*,27.178386,29.670000,31.13
11,12,23.48833,0.00070,23.48786,0.00010,*,*,*,*,*,*,*,*,23.541430,22.450237,22.884197,22.588962,22.683736,23.090251,*,23.063640,22.900000,22.55
