Z, N, experiment, who missed, value
44,61,2003,Erik,-4.84134
55,77,2003,Erik,-1.8429
48,56,2003,Erik,-1.17337
12,22,2003,Erik,-16.71834
58,88,2003,Erik,-0.27726
13,23,2003,Erik,-15.70742
56,72,2003,Erik,-0.16633
46,68,2003,Erik,-5.93982
57,76,2003,Erik,-0.41888
66,97,2003,Erik,-0.24289
27,34,2003,Erik,-7.83654
16,13,2003,Erik,-9.40882
30,45,2003,Erik,-9.69014
21,24,2003,Erik,-7.93363
28,37,2003,Erik,-8.62958
34,48,2003,Erik,-8.15671
32,32,2003,Erik,-2.58703
22,23,2003,Erik,-6.29289
48,74,2003,Erik,-7.6896
29,40,2003,Erik,-8.9912
31,40,2003,Erik,-5.24638
35,45,2003,Erik,-6.02488
33,45,2003,Erik,-7.19275
23,22,2003,Erik,-5.66215
18,15,2003,Erik,-8.64947
54,80,2003,Erik,-3.198
51,78,2003,Erik,-6.57206
34,42,2003,Erik,-5.09105
49,66,2003,Erik,-3.74081
50,80,2003,Erik,-10.23645
36,46,2003,Erik,-5.98834
37,47,2003,Erik,-6.28547
41,61,2003,Erik,-6.30497
35,51,2003,Erik,-7.74048
8,9,2003,Erik,-6.35874
42,58,2003,Erik,-3.16643
38,44,2003,Erik,-4.25357
53,76,2003,Erik,-2.67278
36,52,2003,Erik,-6.16522
54,74,2003,Erik,-1.76041
43,51,2003,Erik,-3.92261
15,26,2003,Erik,-17.64775
64,92,2003,Erik,-0.19835
39,41,2003,Erik,-3.16287
11,10,2003,Erik,-6.56078
44,52,2003,Erik,-1.69197
55,74,2003,Erik,-1.08891
48,63,2003,Erik,-3.31484
12,13,2003,Erik,-9.88597
45,57,2003,Erik,-2.77215
49,62,2003,Erik,-2.4189
13,16,2003,Erik,-11.28242
56,79,2003,Erik,-1.86022
43,64,2003,Erik,-6.21076
50,61,2003,Erik,-1.38487
47,71,2003,Erik,-6.35883
3,6,2003,Erik,-10.36309
58,77,2003,Erik,-0.36606
5,4,2003,Erik,-1.68812
59,91,2003,Erik,-1.60563
47,52,2003,Erik,-0.84283
21,33,2003,Erik,-11.29162
6,11,2003,Erik,-14.63391
19,17,2003,Erik,-6.52132
32,39,2003,Erik,-4.45221
48,65,2003,Erik,-3.8676
29,33,2003,Erik,-5.37688
33,38,2003,Erik,-3.43957
16,26,2003,Erik,-16.03514
34,37,2003,Erik,-2.88344
17,27,2003,Erik,-14.54913
50,75,2003,Erik,-7.26239
52,79,2003,Erik,-4.13529
37,40,2003,Erik,-3.62051
63,95,2003,Erik,-1.13819
76,117,2003,Erik,-0.33958
9,13,2003,Erik,-12.746
38,39,2003,Erik,-3.67723
53,85,2003,Erik,-0.59001
36,51,2003,Erik,-7.79368
10,10,2003,Erik,-4.72985
54,77,2003,Erik,-2.55903
37,50,2003,Erik,-8.01378
44,51,2003,Erik,-3.67057
24,25,2003,Erik,-8.74966
14,12,2003,Erik,-9.17259
38,57,2003,Erik,-6.23142
48,54,2003,Erik,-0.80285
45,50,2003,Erik,-4.78057
49,55,2003,Erik,-0.38316
39,60,2003,Erik,-6.77191
56,86,2003,Erik,-0.09717
27,26,2003,Erik,-7.45415
4,8,2003,Erik,-8.94645
45,67,2003,Erik,-6.21336
28,29,2003,Erik,-7.56156
24,37,2003,Erik,-11.06167
46,56,2003,Erik,-2.12552
61,96,2003,Erik,-3.16968
59,80,2003,Erik,-0.59774
25,32,2003,Erik,-8.06288
47,61,2003,Erik,-3.07693
30,31,2003,Erik,-2.68843
19,22,2003,Erik,-6.22246
26,39,2003,Erik,-11.12221
7,11,2003,Erik,-12.97413
22,33,2003,Erik,-8.232
31,30,2003,Erik,-2.20582
20,17,2003,Erik,-6.20253
61,90,2003,Erik,-0.3654
23,36,2003,Erik,-9.91091
16,17,2003,Erik,-7.11586
30,33,2003,Erik,-3.48229
40,46,2003,Erik,-4.22088
21,20,2003,Erik,-6.26711
17,28,2003,Erik,-15.51105
50,66,2003,Erik,-3.3725
31,36,2003,Erik,-3.72507
41,47,2003,Erik,-4.34016
22,27,2003,Erik,-10.17176
18,27,2003,Erik,-13.1764
40,52,2003,Erik,-2.95706
54,68,2003,Erik,-0.05887
51,66,2003,Erik,-1.70005
41,49,2003,Erik,-5.7976
37,59,2003,Erik,-7.06942
42,54,2003,Erik,-2.76153
14,23,2003,Erik,-13.89898
55,88,2003,Erik,-1.25843
38,48,2003,Erik,-6.35898
25,29,2003,Erik,-8.75873
15,22,2003,Erik,-12.88968
39,53,2003,Erik,-4.62924
26,26,2003,Erik,-7.93735
44,64,2003,Erik,-5.76913
46,67,2003,Erik,-5.26628
66,100,2003,Erik,-0.72774
47,58,2003,Erik,-2.08489
6,5,2003,Erik,-7.54461
19,31,2003,Erik,-13.0688
20,24,2003,Erik,-8.8535
59,79,2003,Erik,-0.33779
33,48,2003,Erik,-8.96588
30,40,2003,Erik,-5.98328
21,29,2003,Erik,-11.54348
28,40,2003,Erik,-11.11806
80,124,2003,Erik,-0.51232
17,21,2003,Erik,-7.66534
32,43,2003,Erik,-6.95445
31,45,2003,Erik,-8.93856
22,18,2003,Erik,-4.83583
29,45,2003,Erik,-12.78791
35,38,2003,Erik,-2.96719
18,18,2003,Erik,-6.64076
33,42,2003,Erik,-5.31708
23,27,2003,Erik,-9.88935
40,59,2003,Erik,-5.07656
51,75,2003,Erik,-5.24597
8,4,2003,Erik,-5.47102
41,58,2003,Erik,-3.5448
42,49,2003,Erik,-5.28093
55,81,2003,Erik,-3.06374
38,43,2003,Erik,-3.78318
10,6,2003,Erik,-10.47641
43,60,2003,Erik,-4.69499
39,50,2003,Erik,-7.95933
44,63,2003,Erik,-5.50076
48,58,2003,Erik,-1.63234
55,79,2003,Erik,-2.38372
12,16,2003,Erik,-11.49204
45,62,2003,Erik,-4.69117
49,59,2003,Erik,-1.42913
56,74,2003,Erik,-0.51798
65,97,2003,Erik,-0.89453
13,21,2003,Erik,-13.7185
62,96,2003,Erik,-1.94612
3,3,2003,Erik,-1.47384
60,80,2003,Erik,-0.20835
57,82,2003,Erik,-2.07443
27,36,2003,Erik,-8.78574
16,15,2003,Erik,-9.08526
28,39,2003,Erik,-10.62176
17,14,2003,Erik,-8.77505
32,34,2003,Erik,-2.87791
31,42,2003,Erik,-6.38804
22,21,2003,Erik,-4.47162
48,76,2003,Erik,-8.9866
35,47,2003,Erik,-7.10396
29,38,2003,Erik,-7.90331
33,35,2003,Erik,-2.48982
54,86,2003,Erik,-0.9907
51,80,2003,Erik,-7.4278
34,40,2003,Erik,-4.07454
8,11,2003,Erik,-8.96319
49,64,2003,Erik,-3.07187
50,78,2003,Erik,-9.04876
31,48,2003,Erik,-10.81464
37,45,2003,Erik,-5.16081
36,40,2003,Erik,-3.54483
9,10,2003,Erik,-4.01374
42,56,2003,Erik,-3.2698
53,74,2003,Erik,-2.18393
36,54,2003,Erik,-6.85419
54,72,2003,Erik,-1.27942
43,53,2003,Erik,-1.79383
39,43,2003,Erik,-3.68108
64,94,2003,Erik,-0.66007
37,55,2003,Erik,-6.46483
11,12,2003,Erik,-10.46738
44,54,2003,Erik,-2.23968
8,10,2003,Erik,-6.22633
14,11,2003,Erik,-9.5111
12,15,2003,Erik,-11.85752
45,55,2003,Erik,-2.19189
49,60,2003,Erik,-1.84567
56,81,2003,Erik,-2.50254
13,14,2003,Erik,-10.09172
43,66,2003,Erik,-6.10793
50,59,2003,Erik,-0.73397
47,65,2003,Erik,-4.03007
57,91,2003,Erik,-2.28337
4,3,2003,Erik,-1.5861
24,32,2003,Erik,-8.24132
46,55,2003,Erik,-1.74069
59,93,2003,Erik,-3.10457
6,9,2003,Erik,-12.72584
47,54,2003,Erik,-1.05987
19,19,2003,Erik,-6.78583
7,12,2003,Erik,-15.53506
48,67,2003,Erik,-4.51124
20,20,2003,Erik,-7.03965
61,95,2003,Erik,-2.83709
33,36,2003,Erik,-2.85441
16,28,2003,Erik,-17.00814
40,41,2003,Erik,-3.10934
34,35,2003,Erik,-2.31182
17,25,2003,Erik,-12.58009
50,73,2003,Erik,-6.3379
52,73,2003,Erik,-2.24304
38,37,2003,Erik,-2.12327
53,83,2003,Erik,-2.25064
10,8,2003,Erik,-5.11511
37,48,2003,Erik,-6.61741
79,121,2003,Erik,-0.25537
24,27,2003,Erik,-8.94133
14,18,2003,Erik,-11.48718
10,18,2003,Erik,-10.25072
25,26,2003,Erik,-8.66421
49,53,2003,Erik,-0.07379
39,62,2003,Erik,-8.98083
56,88,2003,Erik,-1.20288
27,28,2003,Erik,-8.21113
67,101,2003,Erik,-0.40835
58,82,2003,Erik,-1.62126
4,10,2003,Erik,-11.27962
64,97,2003,Erik,-1.2042
45,65,2003,Erik,-5.42574
28,31,2003,Erik,-6.1012
46,62,2003,Erik,-3.86035
29,30,2003,Erik,-4.75458
59,82,2003,Erik,-1.34516
60,92,2003,Erik,-2.19222
25,38,2003,Erik,-11.7095
47,63,2003,Erik,-3.52399
30,29,2003,Erik,-4.34984
19,24,2003,Erik,-9.21795
26,37,2003,Erik,-10.07926
32,48,2003,Erik,-9.80344
7,5,2003,Erik,-8.00832
20,19,2003,Erik,-6.6519
62,94,2003,Erik,-1.63718
27,40,2003,Erik,-11.13481
16,19,2003,Erik,-8.32227
21,18,2003,Erik,-5.42404
30,39,2003,Erik,-5.71684
52,80,2003,Erik,-4.2725
17,18,2003,Erik,-6.99757
50,64,2003,Erik,-2.63283
31,38,2003,Erik,-4.48901
41,45,2003,Erik,-4.05887
22,25,2003,Erik,-8.94867
18,25,2003,Erik,-11.27248
23,28,2003,Erik,-10.29418
40,54,2003,Erik,-3.75015
81,125,2003,Erik,-0.2783
36,36,2003,Erik,-2.15102
51,68,2003,Erik,-2.36574
41,55,2003,Erik,-3.21528
37,57,2003,Erik,-6.35842
42,52,2003,Erik,-2.06736
14,21,2003,Erik,-13.56784
38,54,2003,Erik,-5.60048
53,70,2003,Erik,-0.89079
43,57,2003,Erik,-2.83744
15,16,2003,Erik,-9.66914
39,55,2003,Erik,-5.4117
11,16,2003,Erik,-11.2721
26,24,2003,Erik,-7.42671
41,64,2003,Erik,-8.36534
44,66,2003,Erik,-6.1516
46,65,2003,Erik,-4.5062
60,91,2003,Erik,-1.34906
66,98,2003,Erik,-0.44958
57,79,2003,Erik,-1.30593
20,26,2003,Erik,-11.13732
61,81,2003,Erik,-0.4503
27,33,2003,Erik,-7.16422
21,27,2003,Erik,-11.11141
30,46,2003,Erik,-10.62124
28,42,2003,Erik,-12.00127
32,45,2003,Erik,-8.2286
31,47,2003,Erik,-10.12528
29,43,2003,Erik,-10.8575
35,40,2003,Erik,-3.6696
18,16,2003,Erik,-6.7396
33,40,2003,Erik,-4.05386
23,21,2003,Erik,-6.01807
40,61,2003,Erik,-7.09404
51,77,2003,Erik,-6.15669
34,47,2003,Erik,-7.6004
8,6,2003,Erik,-10.11624
41,56,2003,Erik,-3.8074
52,69,2003,Erik,-0.57612
9,7,2003,Erik,-9.08274
42,63,2003,Erik,-6.30534
55,83,2003,Erik,-1.23983
38,41,2003,Erik,-3.57787
53,79,2003,Erik,-3.51627
43,62,2003,Erik,-5.77034
15,25,2003,Erik,-16.31373
39,44,2003,Erik,-3.94811
78,121,2003,Erik,-0.12745
11,9,2003,Erik,-6.25745
44,57,2003,Erik,-2.83419
48,60,2003,Erik,-2.28719
55,73,2003,Erik,-0.99133
12,18,2003,Erik,-11.7652
45,60,2003,Erik,-3.93472
49,57,2003,Erik,-0.76647
13,19,2003,Erik,-12.49764
56,76,2003,Erik,-0.99972
50,62,2003,Erik,-1.83386
3,5,2003,Erik,-7.37959
60,82,2003,Erik,-0.81159
51,63,2003,Erik,-0.46531
69,105,2003,Erik,-0.04991
57,80,2003,Erik,-1.45461
58,78,2003,Erik,-0.45841
4,6,2003,Erik,-7.41335
5,7,2003,Erik,-10.00286
27,38,2003,Erik,-10.03911
28,33,2003,Erik,-6.46568
32,36,2003,Erik,-3.40111
29,36,2003,Erik,-6.79015
62,82,2003,Erik,-0.1451
33,33,2003,Erik,-1.92679
36,42,2003,Erik,-4.39191
54,84,2003,Erik,-0.01632
51,82,2003,Erik,-8.42872
8,13,2003,Erik,-15.40084
49,70,2003,Erik,-5.14241
50,76,2003,Erik,-7.71501
34,38,2003,Erik,-3.33954
52,76,2003,Erik,-3.18025
37,43,2003,Erik,-4.3086
9,8,2003,Erik,-5.8187
53,72,2003,Erik,-1.66623
36,48,2003,Erik,-7.09597
54,78,2003,Erik,-2.71331
43,55,2003,Erik,-2.48818
10,15,2003,Erik,-12.5959
37,53,2003,Erik,-6.14706
11,14,2003,Erik,-11.73518
24,22,2003,Erik,-6.7771
42,64,2003,Erik,-6.93752
55,70,2003,Erik,-0.22523
12,9,2003,Erik,-7.97531
45,53,2003,Erik,-1.44577
38,58,2003,Erik,-6.57883
25,23,2003,Erik,-7.63197
15,12,2003,Erik,-9.91152
13,12,2003,Erik,-9.15693
56,83,2003,Erik,-0.92163
50,57,2003,Erik,-0.35226
47,67,2003,Erik,-4.59782
57,89,2003,Erik,-1.03277
45,70,2003,Erik,-7.41663
24,34,2003,Erik,-8.66525
46,53,2003,Erik,-1.16283
25,35,2003,Erik,-9.52264
19,21,2003,Erik,-6.43826
7,14,2003,Erik,-20.94457
22,34,2003,Erik,-8.85256
48,69,2003,Erik,-5.15819
20,22,2003,Erik,-6.25744
61,93,2003,Erik,-2.61965
40,43,2003,Erik,-3.4069
21,23,2003,Erik,-6.7058
30,34,2003,Erik,-3.95643
52,75,2003,Erik,-2.88554
41,42,2003,Erik,-3.0269
63,91,2003,Erik,-0.56595
50,71,2003,Erik,-5.20369
18,28,2003,Erik,-14.46754
40,49,2003,Erik,-6.19123
53,81,2003,Erik,-4.2058
51,65,2003,Erik,-1.25002
65,95,2003,Erik,-0.17502
24,29,2003,Erik,-9.15086
14,16,2003,Erik,-10.64326
10,16,2003,Erik,-11.27946
25,24,2003,Erik,-8.16087
15,21,2003,Erik,-11.61393
39,56,2003,Erik,-5.88666
56,90,2003,Erik,-1.94987
26,31,2003,Erik,-7.32031
47,72,2003,Erik,-6.77401
27,30,2003,Erik,-7.08122
67,103,2003,Erik,-0.9094
58,80,2003,Erik,-1.04357
5,9,2003,Erik,-11.81181
46,60,2003,Erik,-3.22935
29,28,2003,Erik,-7.08967
60,94,2003,Erik,-3.29272
25,36,2003,Erik,-9.79191
6,6,2003,Erik,-7.36659
47,57,2003,Erik,-1.95208
19,26,2003,Erik,-11.72591
26,35,2003,Erik,-8.82217
7,7,2003,Erik,-11.61223
32,50,2003,Erik,-10.70635
20,29,2003,Erik,-13.94359
62,92,2003,Erik,-1.19685
27,42,2003,Erik,-11.75482
16,21,2003,Erik,-8.82861
23,32,2003,Erik,-8.35822
30,37,2003,Erik,-4.7928
52,82,2003,Erik,-4.84546
17,16,2003,Erik,-6.47572
32,40,2003,Erik,-5.00361
22,31,2003,Erik,-7.96449
31,32,2003,Erik,-2.61478
35,37,2003,Erik,-2.54088
18,23,2003,Erik,-8.59602
23,30,2003,Erik,-7.72139
40,56,2003,Erik,-5.0
36,38,2003,Erik,-2.71021
51,70,2003,Erik,-3.07498
49,74,2003,Erik,-7.29363
41,53,2003,Erik,-2.30196
37,39,2003,Erik,-3.88955
42,50,2003,Erik,-5.60682
38,52,2003,Erik,-5.10095
53,68,2003,Erik,-0.06743
43,59,2003,Erik,-3.46203
15,18,2003,Erik,-10.54708
39,49,2003,Erik,-6.97403
11,18,2003,Erik,-11.03262
44,60,2003,Erik,-4.32948
12,21,2003,Erik,-15.58873
58,91,2003,Erik,-1.70501
13,24,2003,Erik,-17.36788
46,71,2003,Erik,-6.7525
57,77,2003,Erik,-0.74314
27,35,2003,Erik,-7.94959
16,12,2003,Erik,-9.10639
21,25,2003,Erik,-9.16047
30,44,2003,Erik,-8.98393
28,36,2003,Erik,-8.11236
34,51,2003,Erik,-8.54987
32,47,2003,Erik,-9.44442
22,22,2003,Erik,-5.1271
48,73,2003,Erik,-6.95568
29,41,2003,Erik,-9.28971
31,41,2003,Erik,-5.44726
35,42,2003,Erik,-4.70313
33,46,2003,Erik,-7.59686
18,14,2003,Erik,-8.69832
40,63,2003,Erik,-8.61127
23,23,2003,Erik,-7.37669
36,45,2003,Erik,-5.51936
51,79,2003,Erik,-6.9031
34,45,2003,Erik,-6.48609
52,71,2003,Erik,-1.52845
54,83,2003,Erik,-1.85967
41,62,2003,Erik,-7.54102
8,8,2003,Erik,-7.16192
49,67,2003,Erik,-4.05048
35,48,2003,Erik,-7.79732
42,61,2003,Erik,-5.50347
38,47,2003,Erik,-5.83345
53,77,2003,Erik,-2.95888
43,48,2003,Erik,-4.22593
15,27,2003,Erik,-17.53664
39,46,2003,Erik,-4.81222
11,11,2003,Erik,-8.48105
44,59,2003,Erik,-3.71785
55,75,2003,Erik,-1.4148
48,62,2003,Erik,-2.87543
12,12,2003,Erik,-9.31655
45,58,2003,Erik,-3.12396
49,63,2003,Erik,-2.81915
13,17,2003,Erik,-11.43502
56,78,2003,Erik,-1.49307
43,65,2003,Erik,-6.15413
50,60,2003,Erik,-1.1363
47,68,2003,Erik,-5.05472
3,7,2003,Erik,-11.23809
5,5,2003,Erik,-4.46098
6,10,2003,Erik,-13.80729
47,53,2003,Erik,-0.89389
28,35,2003,Erik,-7.27436
32,38,2003,Erik,-4.0886
48,64,2003,Erik,-3.48113
29,34,2003,Erik,-5.77603
33,39,2003,Erik,-3.5686
16,25,2003,Erik,-14.86402
51,84,2003,Erik,-3.99541
