A	elt	Z	S(2n)	S(2p)	Q(a)	Q(2B-)	Q(ep)	Q(B-	n)		
82	Ga	31	9849.69	3.77	31309#	400#	-10858.17	503.01	17174.7	4.44	-28799#
82	Ge	32	12022.4	3.03	28344.4	3.42	-10356.75	2.96	12178.81	2.29	-26504.37
82	As	33	14033.56	5	25459.69	4.71	-8824.38	4.18	7393.24	3.85	-19766.44
82	Se	34	15977.06	0.94	22636.52	2.11	-8156.75	3.57	2997.9	0.47	-18591.17
82	Br	35	17752.3	1.4	19862.11	3.46	-7106.64	9.83	-1310.86	3.16	-12254.33
82	Kr	36	18841.07	0.69	17410.27	0.96	-5990.76	0.18	-4581.73	5.99	-11491.77
82	Rb	37	20154.97	3.54	14876.75	3.17	-5160.56	4.68	-8123.71	6.27	-5499.74
82	Sr	38	21841.23	6.92	12694.65	6.03	-4256.69	6	-12378.77	12.68	-5602.84
82	Y	39	23058.57	8.32	10466.56	5.81	-3553.59	6.38	-15974#	300#	103.61
82	Zr	40	25414#	300#	7897.77	11.7	-2882.26	13.43	-23261#	400#	607.87
82	Nb	41	29812#	500#	5520#	300#	-2342#	423#	*	6334#	300#
82	Mo	42	*	588#	500#	-1945#	565#	*	9801#	411#	*
83	Zn	30	6233#	300#	*	-11145#	671#	24686#	300#	*	8569#
83	Ga	31	7771.8	4.18	32415#	500#	-9942#	300#	20412.2	3.82	-31226#
83	Ge	32	10827.38	3.17	29354.71	5.58	-9969.06	3.29	14364.1	3.89	-25951.45
83	As	33	13278.65	3.85	26619.31	4.29	-9546.56	3.36	9344.39	4.72	-24027.57
83	Se	34	15094.18	3.15	23626.78	3.67	-8238.85	37.3	4650.1	3.04	-17214.43
83	Br	35	17179.31	3.92	21058.35	4.62	-7802.58	6.53	56.92	4.45	-16197.26
83	Kr	36	18437.09	1.07	18179.59	0.99	-6498.09	0.22	-3193.03	6.83	-9685.72
83	Rb	37	19756.59	5.43	15671.54	2.53	-5427.51	2.54	-6864.96	18.78	-8860.94
83	Sr	38	21412.11	7.52	13679.37	6.92	-4780.26	7.67	-10885.95	9.38	-3494.79
83	Y	39	22635.39	19.4	11326.94	19.27	-3827.6	18.75	-14649.58	152.05	-3306.83
83	Zr	40	24594.15	94.3	8961.47	7.15	-2859.68	10.57	-19572#	401#	2809.43
83	Nb	41	27338#	427#	6421.11	151	-2163.17	170.41	-26236#	522#	3219.04
83	Mo	42	30733#	641#	3458#	411#	-1995#	500#	*	10002#	401#
83	Tc	43	*	-463#	640#	-2094#	707#	*	13481#	583#	*
84	Zn	30	5758#	400#	*	-11725#	806#	26219#	400#	*	9256#
84	Ga	31	7300#	200#	33346#	632#	-10313#	447#	21766#	200#	*
84	Ge	32	8876	3.88	30412.41	4.42	-8924.73	4.09	17799.29	3.72	-29147#
84	As	33	11890.78	4.89	27500.78	3.99	-9054.81	4.29	11929.52	25.92	-23885.41
84	Se	34	14496.47	2.02	25110.6	2.97	-8837.33	2.83	6491.61	1.96	-22260.26
84	Br	35	16427.06	25.75	22255.61	26	-7993.51	25.94	1975.88	25.82	-15402.73
84	Kr	36	17990.18	0	19423.39	0.47	-7104.79	0.96	-1789.76	1.24	-14387.78
84	Rb	37	19713.8	3.72	16838.24	2.4	-6294.89	2.42	-5864.53	4.81	-8034.23
84	Sr	38	20782.15	6.03	14635.73	1.24	-5181.14	1.42	-9227.88	5.64	-7947.91
84	Y	39	21972.97	6.98	12284.57	5.25	-4143.88	4.69	-12675.71	13.73	-2112.77
84	Zr	40	23933.03	12.46	9989.57	8.13	-3535.14	6.5	-17252#	298#	-1913.05
84	Nb	41	25271#	300#	7732.57	14.15	-2495.48	14.46	-23518#	400#	3697.98
84	Mo	42	29943#	499#	5117#	298#	-2235#	423#	*	4453#	298#
84	Tc	43	*	188#	500#	-1705#	565#	*	12567#	427#	*
85	Zn	30	5083#	583#	*	*	27893#	500#	*	10786#	539#
85	Ga	31	6735#	298#	*	-10854#	582#	23340#	298#	*	10228#
85	Ge	32	8289.62	4.44	31411#	300#	-9348.67	6.26	19290.22	4.55	-28483#
85	As	33	9662.46	4.15	28509.96	4.03	-7986.11	4.48	15386.32	4.35	-26391#
85	Se	34	13215.74	4.01	26015.14	3.56	-8546.86	3.32	9066.69	3.29	-21554.18
85	Br	35	15704.39	4.89	23484.09	4.15	-8467.08	4.05	3591.86	3.08	-20010.88
85	Kr	36	17632.33	2	20717.74	3.64	-7516.26	2.23	-377.05	3.45	-12821.58
85	Rb	37	19239.34	2.33	17731.56	3.79	-6615.21	0.98	-4325.21	18.97	-11673.22
85	Sr	38	20448.31	7.39	15690.59	2.81	-5832.01	3.01	-7928.09	7.02	-5952.92
85	Y	39	21779.09	26.59	13349.43	19.11	-4810.37	19.59	-11562.45	19.4	-5372.13
85	Zr	40	23406.17	9.09	10955.52	9.38	-4071.98	7.15	-15665.44	17.09	185.41
85	Nb	41	24866.23	150.96	8651.95	19.08	-2991.68	6.78	-20430#	400#	325.78
85	Mo	42	27312#	401#	6176.04	17.09	-2474.53	95.4	-26560#	500#	6622.96
85	Tc	43	30673#	640#	2872#	427#	-1914#	565#	*	8080#	400#
85	Ru	44	*	-812#	641#	-1625#	707#	*	15931#	582#	*
86	Ga	31	6135#	447#	*	-11185#	721#	24883#	400#	*	10972#
86	Ge	32	7394.13	437.81	32048#	593#	-9510.88	437.81	21103.25	437.81	-31458#
86	As	33	9251.22	4.68	29452#	200#	-8456.34	4.21	16670.11	4.62	-26402#
86	Se	34	10698.08	3.19	26932.68	4.04	-7513.02	3.37	12762.5	2.52	-24668.72
86	Br	35	13991.8	25.91	24356.63	4.41	-7951.75	4.83	7114.74	3.08	-19732.08
86	Kr	36	16968.96	0	21895.89	1.96	-8096.7	0.47	1257.42	0	-18141
86	Rb	37	19130.66	2.2	19541.85	25.73	-7673.25	0.99	-3463.9	14.14	-11460.49
86	Sr	38	20016.15	1.24	16661.7	0	-6356.22	0.01	-6554.07	3.57	-10331.73
86	Y	39	21531.29	14.78	14102.07	14.31	-5520.2	14.46	-10149.03	15.17	-4404.73
86	Zr	40	22689.96	6.55	11897.39	3.78	-4383.88	6.97	-13858.77	5.16	-4154.71
86	Nb	41	24057.97	14.15	9817.56	6.98	-3494.88	7.77	-17564#	300#	1419.1
86	Mo	42	26083#	298#	7266.5	6.64	-2903.87	11.78	-24340#	400#	1775.97
86	Tc	43	30013#	500#	4930#	300#	-1905#	424#	*	7420#	300#
86	Ru	44	*	178#	499#	-1825#	565#	*	10451#	400#	*
87	Ga	31	5543#	582#	*	*	26368#	500#	*	12079#	665#
87	Ge	32	7098#	300#	33426#	583#	-10213#	424#	22348#	300#	*
87	As	33	8571.4	4.28	30347#	298#	-8785.7	3.96	18273.77	4.35	-28827#
87	Se	34	10155.12	3.44	27880.65	4.35	-7874.61	3.3	14283.4	2.25	-24315.17
87	Br	35	11458.84	4.41	25280.47	4.41	-6647.27	4.22	10706.11	3.17	-22218.5
87	Kr	36	15371.83	2.02	22873.83	2.62	-7793.91	3.05	4170.54	0.25	-17495.33
87	Rb	37	18573.09	0.01	20600.26	3.08	-8009	3.79	-1579.41	1.13	-16254.51
87	Sr	38	19919.42	2.81	17977.68	2	-7314.35	0.01	-5532.93	4.15	-8903.37
87	Y	39	21318.89	19	15428.99	1.13	-6372.66	2.59	-9143.89	6.9	-7560.35
87	Zr	40	22314.58	7.65	12821.8	5.01	-4974.45	7.99	-12462.33	5.03	-2113.02
87	Nb	41	23737.44	7.94	10610.3	20.15	-4093.74	19.83	-16184.44	7.99	-1880.37
87	Mo	42	25517.69	16.09	8287.56	7.04	-3398.07	7.04	-21365#	400#	3795.24
87	Tc	43	27983#	400#	5988.31	5.86	-2558.88	150.96	*	4155.04	6.91
87	Ru	44	30713#	640#	2588#	400#	-1605#	566#	*	11301#	400#
88	Ge	32	6881#	593#	*	-10633#	565#	23746#	400#	*	7409#
88	As	33	7900#	196#	31218#	445#	-9057#	280#	19996#	196#	-28759#
88	Se	34	9523.66	4.19	29062.22	437.82	-8160.68	4.61	15807.09	4.25	-27095#
88	Br	35	11226.34	4.41	26331.76	4.68	-7287.31	4.48	11893.04	3.17	-22387.02
88	Kr	36	12568.25	2.61	23766.06	3.63	-6168.48	3.26	8230.33	2.61	-20554.13
88	Rb	37	16004.64	0.26	21554.68	3.07	-7250.83	25.73	1690.02	1.51	-16006.29
88	Sr	38	19541.16	0.01	19233.89	0	-7907.2	0	-4292.75	5.4	-14501.07
88	Y	39	21158.56	14.22	16129.97	1.51	-6964.97	2.66	-8125.43	58.83	-6990.2
88	Zr	40	21802.49	6.47	13683.72	5.4	-5404.22	5.54	-10942.33	6.62	-6037.78
88	Nb	41	23182.17	59.07	11468.44	60.49	-4704.07	58.97	-14492.27	160.22	-444.18
88	Mo	42	24718.93	5.34	9295.47	5.22	-3689.77	6.69	-18347#	300#	-628.38
88	Tc	43	26254#	335#	7125.2	149.14	-2887.51	149.61	-24821#	426#	4904.2
88	Ru	44	30712#	500#	4807#	300#	-2594#	423#	*	5256#	300#
88	Rh	45	*	-132#	500#	-1585#	565#	*	13541#	400#	*
89	Ge	32	5794#	500#	*	-10924#	640#	25263#	400#	*	8919#
89	As	33	7323#	298#	32126#	582#	-9374#	422#	21476#	298#	*
89	Se	34	8708.9	4.35	29492#	300#	-8293.89	5.27	17543.39	4.3	-26143#
89	Br	35	10525.22	4.55	27234.3	4.42	-7510.03	4.48	13438.13	6.33	-24843#
89	Kr	36	11968.9	2.16	24687.6	3.1	-6547.06	3.38	9673.23	2.14	-19940.56
89	Rb	37	13257.23	5.43	22398.65	6.29	-5561.84	6.24	5995.96	5.66	-18285.4
89	Sr	38	17471.58	0.09	20077.44	0.26	-7153.6	2	-1333.46	3.08	-13806.7
89	Y	39	20832.61	1.97	17688.5	1.61	-7965.94	1.61	-7083.14	23.67	-12388.33
89	Zr	40	21671.06	5.17	14573.44	3.08	-6197.2	4.17	-9860.63	4.98	-4242.91
89	Nb	41	22893.36	24.59	12184.77	23.66	-5208	30.3	-13230.36	23.94	-3615.16
89	Mo	42	24272.76	4.84	10245.74	5.7	-4264.66	7.53	-16755#	298#	1324.97
89	Tc	43	25847.44	5.67	8098.3	7.8	-3540.09	5.6	-21534#	361#	1489.77
89	Ru	44	28883#	499#	5953#	298#	-3175#	298#	*	7137#	298#
89	Rh	45	*	2749#	361#	-2436#	538#	*	8532#	390#	*
90	Ge	32	5226#	640#	*	*	26579#	599#	*	9506#	582#
90	As	33	6753#	445#	*	-9676#	565#	22670#	400#	*	9591#
90	Se	34	8058.66	329.77	30240#	518#	-8825.21	548.09	19159.03	329.75	-29360#
90	Br	35	9426.97	4.61	27858#	196#	-7463.07	4.81	15364.11	7.3	-24491#
90	Kr	36	11410.6	3.21	25653	3.84	-6881	3.13	10988.88	2.83	-23255.83
90	Rb	37	12898.04	6.49	23226.39	7.22	-6157.07	7.18	7129.66	6.52	-18379.11
90	Sr	38	14169.14	2.12	20834.78	3.36	-5107.38	2.12	2824.41	2.12	-16701.31
90	Y	39	18337.68	2.2	18463.01	1.62	-6171.98	1.62	-3832.54	3.69	-12070.64
90	Zr	40	21286.3	5.4	15428.86	0.12	-6674.36	0.12	-8600.03	3.46	-9852.49
90	Nb	41	22630.57	58.9	12940.44	3.64	-5803.35	14.53	-11936.83	3.47	-2242.14
90	Mo	42	23628.59	5.16	11121.57	6.42	-4628.4	4.97	-15288.71	5.09	-2585.91
90	Tc	43	25186.01	149.04	9129.04	58.82	-4015.55	5.59	-19025#	300#	2611.55
90	Ru	44	26687#	300#	6775.19	5.34	-3198.46	5.27	-25174#	400#	2842.17
90	Rh	45	30982#	500#	4596#	335#	-2554#	424#	*	8406#	300#
90	Pd	46	*	-52#	500#	-2364#	565#	*	11262#	499#	*
91	As	33	6241#	499#	*	-10072#	640#	24211#	400#	*	10832#
91	Se	34	7730.37	433.16	31429#	589#	-8927#	527#	20393.84	433.15	-28648#
91	Br	35	8975.66	4.81	28887#	298#	-7914.3	4.63	16637.74	8.57	-27066#
91	Kr	36	10580.81	3.1	26559.51	4.35	-6972.76	3.17	12677.96	5.89	-22462.72
91	Rb	37	12175.28	9.32	24048.71	8.46	-6278.28	8.42	8606.26	7.95	-21033.71
91	Sr	38	13585.54	5.45	21694.08	5.86	-5367.32	5.46	4243.64	5.45	-15981.65
91	Y	39	14785.58	2.45	19216.85	5.73	-4178.42	1.84	286.71	3.46	-14275.86
91	Zr	40	19162.64	3.08	16264.49	0.14	-5440.42	0.1	-5686.74	6.24	-9236.41
91	Nb	41	22155.43	23.81	13507.59	3.34	-6044.54	3.14	-10651.35	3.76	-7432.91
91	Mo	42	23336.52	7.36	11911.2	6.96	-5286.6	7.49	-13969	6.62	-725.26
91	Tc	43	24734.43	4.49	9939.38	23.75	-4537.08	7.2	-17417#	298#	-614.1
91	Ru	44	26122#	298#	7802.83	4.5	-3779.93	3.62	-22310#	401#	4643.71
91	Rh	45	28852#	468#	5753#	298#	-3304#	298#	*	4866#	298#
91	Pd	46	*	2248#	499#	-2835#	566#	*	11665#	401#	*
92	As	33	5794#	640#	*	*	25251#	500#	*	11527#	662#
92	Se	34	7066#	518#	32081#	640#	-9011#	565#	22046#	400#	*
92	Br	35	8375.14	7.5	29480#	400#	-7938#	196#	18539.63	9.08	-26625#
92	Kr	36	9952.7	3.28	27547.04	329.76	-7310.04	4.31	14098.04	4.36	-25478.17
92	Rb	37	11550.67	8.92	25350.08	6.98	-6481.39	6.9	10044.05	10.88	-20954.11
92	Sr	38	13061.87	4.03	22486.05	3.9	-5600.99	4.3	5591.67	3.42	-19182.37
92	Y	39	14465.06	9.27	20030.03	11.2	-4632.41	9.13	1636.8	9.3	-14360.43
92	Zr	40	15829.13	0.15	17088.84	2.13	-2962.33	0.1	-1650.45	0.19	-12096.07
92	Nb	41	19934.41	3.77	14537.17	2.4	-4579.19	2.33	-7527.6	3.58	-7390.97
92	Mo	42	22778.71	3.47	12613.98	0.2	-5604.62	5.41	-12507.38	2.72	-6201.98
92	Tc	43	24343.64	3.27	10842.11	4.54	-5177.02	58.89	-15926.61	5.37	423.34
92	Ru	44	25560.04	4.62	8706.64	4.4	-4039.57	4.69	-19721#	300#	618.65
92	Rh	45	27442#	300#	6852.34	4.5	-3742.69	149.1	-25869#	500#	5698.59
92	Pd	46	31013#	500#	4274#	300#	-2665#	424#	*	6371#	300#
92	Ag	47	*	8#	583#	-2695#	640#	*	14150#	582#	*
93	Se	34	6278#	589#	*	-9411#	565#	23420#	400#	*	7446#
93	Br	35	7925.57	430.83	30572#	588#	-8517#	524#	19729.67	430.89	-29198#
93	Kr	36	9304.66	3.37	28133.81	433.15	-7568.52	4.5	15949.84	7.96	-24701#
93	Rb	37	11017.5	10.73	26090.55	8.59	-6770.55	8.48	11607.26	12.68	-23676.07
93	Sr	38	12576.55	9.3	23689.81	7.88	-5974.97	7.85	7036.19	7.57	-18605.49
93	Y	39	14018.5	10.65	21060.06	13.05	-4939.68	11.81	2985.68	10.59	-16743.69
93	Zr	40	15369.1	0.46	18048.05	5.47	-3337.93	0.47	-314.96	0.49	-11543.64
93	Nb	41	16717.47	3.28	15439.48	2.37	-1929.4	2.2	-3606.73	1.8	-9685.32
93	Mo	42	20740.88	6.24	13489.44	0.21	-4356.42	3.09	-9590.36	2.07	-5637.01
93	Tc	43	23762.09	2.57	11546.05	3.1	-5405.81	23.65	-14594.31	2.82	-4441.78
93	Ru	44	25119.52	3.03	9585.83	6.57	-4626.69	4.42	-18216#	300#	2302.89
93	Rh	45	26585#	298#	7603.09	3.53	-4041.87	4.64	-22744#	401#	2624.92
93	Pd	46	29213#	501#	5339#	300#	-3166#	423#	*	8011#	301#
93	Ag	47	*	2276#	499#	-2832#	539#	*	9443#	401#	*
94	Se	34	6222#	640#	*	-10007#	707#	24544#	500#	*	8016#
94	Br	35	7310#	300#	30996#	583#	-8495#	500#	21163#	300#	*
94	Kr	36	8721.09	12.41	29202#	400#	-7972.47	329.97	17497.94	12.22	-27921#
94	Rb	37	9932.98	6.44	26907.92	7.01	-6987.4	3.92	13788.68	6.69	-22961.53
94	Sr	38	12120.98	3.81	24654.33	3.17	-6311.38	2.5	8423.61	1.67	-21998.69
94	Y	39	13677.6	11.14	22156.97	8.84	-5411.97	9.1	4017.6	6.55	-17020.53
94	Zr	40	14952.93	0.19	18979.9	3.43	-3746.11	2.13	1144.74	0.22	-14472.45
94	Nb	41	16058.4	1.99	16130.51	9.25	-2299.92	2.2	-2210.75	4.33	-9430.88
94	Mo	42	17748.12	0.21	14532.98	0.17	-2066.45	0.18	-5830.47	3.15	-8581
94	Tc	43	21375.26	5.12	12282.97	4.44	-3921.71	5.25	-11250.7	5.29	-4234.45
94	Ru	44	24425.02	4.16	10352.96	3.15	-4836	4.68	-16481.32	5.32	-3065.49
94	Rh	45	26051.16	5.53	8559.86	4.59	-4607.84	3.53	-20498#	400#	3409.52
94	Pd	46	27665#	300#	6379.01	5.08	-3643.39	5.68	-25962#	500#	3825.47
94	Ag	47	31422#	640#	3988#	400#	-3135#	500#	*	9313#	400#
94	Cd	48	*	138#	583#	-2855#	640#	*	11572#	584#	*
95	Se	34	5887#	640#	*	*	25699#	501#	*	8869#	583#
95	Br	35	7023#	524#	*	-9299#	499#	22121#	299#	*	9506#
95	Kr	36	8165.55	18.8	30021#	400#	-8003.7	433.55	18960.64	19.52	-26645#
95	Rb	37	9414.23	21.55	27579.2	431.29	-7209.11	20.55	15317.35	21.01	-25780#
95	Sr	38	11176.35	9.53	25561.5	6.33	-6570.5	6.23	10540.39	5.85	-21060.75
95	Y	39	13124.32	12.49	23166.89	10.35	-5888.73	10.33	5577.41	6.8	-19935.03
95	Zr	40	14680.54	0.98	20152.04	7.6	-4432.93	5.52	2051.92	0.88	-14103.2
95	Nb	41	15716.05	1.57	17137.04	10.5	-2859.88	1.91	-764.92	5.1	-11723.77
95	Mo	42	17047.42	0.22	15167.77	0.47	-2241.21	0.16	-4254.11	9.5	-7731.51
95	Tc	43	18557.87	5.18	13386.44	5.29	-1808.25	5.86	-7680.73	6.4	-6941.25
95	Ru	44	22383.67	9.72	11228.62	9.5	-3673.84	11.37	-13491.84	9.97	-2332.65
95	Rh	45	25471.44	4.69	9312.44	4.02	-4778.88	4.55	-18744#	298#	-1471.26
95	Pd	46	27108#	301#	7327.13	3.67	-4150.99	3.76	-23335#	401#	5328.72
95	Ag	47	29472#	499#	5163#	298#	-3452#	422#	*	6022#	298#
95	Cd	48	*	2208#	501#	-3125#	566#	*	12183#	401#	*
96	Br	35	6906#	423#	*	-9607#	582#	23191#	298#	*	9924#
96	Kr	36	7874.54	23.8	30854#	501#	-8781#	400#	19844.48	22.18	-29909#
96	Rb	37	8934.2	3.92	28532#	300#	-7546.46	7.5	16981.55	6.95	-24872#
96	Sr	38	10221.08	8.64	26154.33	14.78	-6579.75	8.9	12514.69	8.47	-24054.21
96	Y	39	12127.07	8.82	24351.05	6.42	-5988.37	8.63	7266.92	6.09	-19733.37
96	Zr	40	14312.16	0.2	21171.08	1.67	-4996.4	3.43	3356.03	0.07	-17608.26
96	Nb	41	15376.39	1.5	17829.3	6.38	-3211.24	9.13	218.82	5.15	-11682.94
96	Mo	42	16523.45	0.1	16103.49	0.2	-2760.76	0.16	-2714.5	0.12	-10423.91
96	Tc	43	17805.95	6.56	14030.51	5.36	-1793.26	5.45	-6133.92	11.25	-6324.35
96	Ru	44	19639.41	3.15	12244.25	0.16	-1696.71	0.23	-9896.97	4.19	-5657.48
96	Rh	45	22922.74	10.56	10107.34	10.8	-3186.94	10.47	-15176.08	90.64	-955.35
96	Pd	46	26223.77	5.99	8177.76	5.24	-4307.12	5	-20610#	401#	-14.63
96	Ag	47	28245#	410#	6181.96	90.15	-3937.46	90.19	-26621#	508#	6540
96	Cd	48	31576#	641#	4049#	401#	-3418#	500#	*	7104#	401#
96	In	49	*	59#	640#	-3185#	707#	*	14418#	582#	*
97	Br	35	6427#	499#	*	*	24464#	401#	*	10953#	401#
97	Kr	36	7407.21	131.73	31542#	517#	-9133#	420#	21157.96	130.45	*
97	Rb	37	8770.28	20.33	29326#	298#	-8053.82	430.82	17602.29	6.99	-27645#
97	Sr	38	9604.54	6.72	27000.48	18.93	-6870.38	4.22	14361.21	3.4	-22790.75
97	Y	39	11055.21	9.54	24807.87	21.33	-5926.44	10.32	9484.35	7.94	-22056.04
97	Zr	40	13425.36	0.96	22401.05	5.82	-5281.74	7.57	4602.03	0.43	-17307.47
97	Nb	41	14962.15	4.28	18974.87	8	-3803.53	11.32	1618.65	5.91	-14558.85
97	Mo	42	15975.47	0.17	16462.69	0.88	-2847.57	0.49	-1424.14	2.76	-9394.82
97	Tc	43	17345.72	6.54	15016.11	4.15	-2436.5	4.38	-4626.87	35.7	-8910.58
97	Ru	44	18805.44	9.89	12986.63	2.76	-1738.4	2.77	-8314.71	5.58	-4614.65
97	Rh	45	20399.58	35.68	11154.15	35.82	-1416.36	35.48	-11771.71	115.68	-4064.89
97	Pd	46	23982.58	5.71	8926.04	10.67	-3014.05	5.27	-17352#	298#	985.56
97	Ag	47	27371#	318#	7063.18	110.18	-4238.96	110.14	-23636#	415#	1572.91
97	Cd	48	29966#	499#	5066#	298#	-3878#	423#	*	8440#	298#
97	In	49	*	2170#	499#	-3347#	566#	*	10033#	411#	*
98	Br	35	6230#	499#	*	*	26119#	400#	*	11102#	420#
98	Kr	36	7374#	299#	*	-9933#	582#	22112#	298#	*	6137#
98	Rb	37	9157.43	16.43	30784#	299#	-9394#	300#	17925.63	17.93	-27603#
98	Sr	38	9641.58	9.07	27921.37	20.75	-7500.25	12.53	14863.6	9.04	-26288.58
98	Y	39	10101.52	9.98	25518.37	8.61	-6156.91	8.18	11229.82	9.37	-21064.61
98	Zr	40	11990.5	8.45	22940.49	11.96	-4865.91	8.61	6829.26	8.45	-19994.22
98	Nb	41	14064.42	5	19766.64	7.88	-3598.05	8.11	2907.61	6.04	-14692.15
98	Mo	42	15463.73	0.17	17255.07	0.18	-3271.57	0.24	108.89	6.46	-12462.28
98	Tc	43	16753.21	6.16	15407.33	3.38	-2488.06	3.69	-3257	12.3	-8115.4
98	Ru	44	18287.12	6.46	14007.92	6.46	-2235.71	6.46	-6903.88	8.02	-7969.14
98	Rh	45	19630.12	15.55	11931.51	12.97	-1441.8	12.58	-10108.79	35	-3239.75
98	Pd	46	21280.2	6.33	9818.54	4.75	-1162.3	5.69	-13684.56	51.92	-2489.39
98	Ag	47	24697.41	95.91	7956.64	34.39	-2583.72	33.08	-19170#	300#	2242.17
98	Cd	48	28206#	404#	6030.95	51.97	-3959.06	51.97	*	2880.46	52.02
98	In	49	32148#	582#	3963#	311#	-3912#	499#	*	9641#	318#
99	Kr	36	7479#	421#	*	-10725#	641#	23762#	401#	*	7538#
99	Rb	37	8744.64	4.46	31644#	401#	-9775#	298#	19528.68	7.76	-30160#
99	Sr	38	10082.58	5.82	29675.85	130.5	-8787.4	19.22	15099.22	11.52	-25499#
99	Y	39	10671.04	9.42	26708.63	6.9	-7183.25	21.3	11685.52	13.71	-23569.65
99	Zr	40	10820.59	10.5	23617.1	11.03	-4925.98	12	8349.48	10.5	-18486.48
99	Nb	41	12872.2	12.73	20791.86	13.76	-3551.41	13.79	4992.52	12.04	-17329.53
99	Mo	42	14568.04	0.16	17605.38	0.46	-2735.07	0.9	1655.28	0.41	-11972.36
99	Tc	43	16246.07	4.21	16300.03	4.34	-2966.52	1.04	-1746.56	6.75	-11092.23
99	Ru	44	17647.46	2.78	14658.63	0.38	-2338.44	0.36	-5442.73	4.99	-6798.38
99	Rh	45	19126.38	36.09	12934.82	7.86	-1984.88	8.41	-8868.83	9.17	-6438.07
99	Pd	46	20519.44	6.95	10640.04	5.69	-1149.82	10.73	-12251.53	5.23	-1246.76
99	Ag	47	22029.26	110.28	8692.86	36.01	-796.78	7.37	-15336#	298#	-826.24
99	Cd	48	25620#	298#	6703.22	5.1	-2390.14	3.42	-21987#	503#	4100.88
99	In	49	30329#	499#	5128#	318#	-4204#	422#	*	4401#	300#
99	Sn	50	*	2068#	585#	-3738#	643#	*	12403#	506#	*
Kr	36	6884#	499#	*	*	24769#	401#	*	7998#	401#	
100	Rb	37	8020.55	25.32	32575#	400#	-10509#	299#	21080.33	22.53	*
100	Sr	38	9540.43	7.85	30088#	298#	-9166.14	21.71	16556.53	10.84	-28350#
100	Y	39	11175.25	13.7	27536.19	19.59	-8397.96	11.68	12470	13.73	-23495.22
100	Zr	40	11233.36	11.73	24532.27	8.76	-5878.2	11.75	9815.59	8.15	-21145.01
100	Nb	41	12415.44	9.42	22080.56	11.24	-3886.42	10.02	6223.55	8.1	-16436.54
100	Mo	42	14219.69	0.35	19484.26	8.46	-3179.09	0.32	3034.36	0.17	-15861.38
100	Tc	43	15731.37	3.5	17074.29	5.18	-2843.04	1.35	-429.82	18.17	-10974.58
100	Ru	44	17145.16	6.47	15689.36	0.38	-2857.43	0.36	-4014.61	17.64	-10546.26
100	Rh	45	18558.56	21.69	13736.86	18.44	-2194.41	18.84	-7453.17	18.8	-5552.23
100	Pd	46	20034.44	18.26	11565.86	18.78	-1557.32	17.64	-11018.18	17.72	-4876.37
100	Ag	47	21214.18	33.28	9540.7	12.91	-875.16	11.18	-13824.99	182.59	154.37
100	Cd	48	22700.82	51.82	7451.56	5.03	-436.11	4.52	-16911.62	301.52	699.08
100	In	49	26559#	350#	5824.5	185.46	-2226.25	203.54	*	5110.53	182.63
100	Sn	50	*	4224.5	305.93	-4135#	501#	*	5359.18	301.52	*
Kr	36	6511#	643#	*	*	26197#	503#	*	9048#	503#	
101	Rb	37	7866#	200#	*	-11214#	448#	22216#	200#	*	8905#
101	Sr	38	8946.14	9.72	31143#	401#	-10326.33	130.68	17841.05	11.89	-27562#
101	Y	39	10553.81	9.69	28517.8	8.16	-8966.78	7.35	13830.49	8.02	-26102.91
101	Zr	40	11687.97	13.4	25222.5	9.59	-7009.42	9	10353.99	8.34	-20634.02
101	Nb	41	12698.78	12.57	22819.61	7.61	-5194.98	7.69	7453.1	24.29	-18853.07
101	Mo	42	13692.48	0.38	20477.27	10.51	-3002.2	0.52	4438.16	0.3	-14431.48
101	Tc	43	15159.37	24.02	18587.19	26.83	-3163.73	24.38	1067.82	24.7	-13836.16
101	Ru	44	16475.37	0.24	16565.96	0.47	-2838.34	0.45	-2525.98	4.6	-9054.06
101	Rh	45	17973.75	8.88	14662.5	5.91	-2612.91	7.14	-6078.04	7.58	-8680.44
101	Pd	46	19392.12	6.77	12384.69	4.6	-1736.5	5.35	-9595.68	4.82	-3493.71
101	Ag	47	20764.54	7.92	10331.01	8.26	-1161.74	35.79	-12721#	196#	-3032.22
101	Cd	48	22047.97	2.17	8231.75	5.2	-455.53	5.07	-15530.83	300.01	2087.35
101	In	49	23380#	357#	6479#	196#	-213#	224#	*	2235#	196#
101	Sn	50	28504#	586#	4952.44	300.01	-2277#	423#	*	6600	300
Rb	37	7602#	299#	*	-11881#	499#	23466#	298#	*	9547#	298#
102	Sr	38	8481.04	67.45	31685#	406#	-10273#	306#	19428.4	67.64	-30320#
102	Y	39	9988.42	11.91	29504.05	19.98	-9228.95	16.59	15131.37	4.81	-25617#
102	Zr	40	11352.9	11.96	26344.75	11.31	-7589.52	9.34	11978.35	12.07	-23551.77
102	Nb	41	12649.78	8.36	23555.09	11.46	-6434.68	8.31	8268.33	9.51	-18532.51
102	Mo	42	13515.67	8.32	21766.57	11.63	-4704.27	11.84	5540.38	8.32	-17689.08
102	Tc	43	14694.57	9.26	19353.42	12.16	-3473.2	10.44	2210.44	11.18	-12970.36
102	Ru	44	16021.68	0.24	17491.35	0.29	-3415.38	0.45	-1203.27	0.36	-12875.46
