Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
12   18   34.73321          34.7615           *                 0.14692           0.12611           *                 31.527417         32.333048         32.91218          32.592277         33.360818         34.178844         32.49             32.138            31.7              30.855            
12   20   38.63475          38.68696          *                 0.57101           0.25327           *                 35.77287          36.97008          37.641345         37.040575         37.646159         38.699761         37.076            36.352            36.458            35.162            
12   22   *                 *                 *                 *                 *                 *                 40.228864         41.360778         41.975858         41.22214          41.682202         42.589067         *                 *                 40.654            38.631            
12   24   *                 *                 *                 *                 *                 *                 43.927637         45.220554         46.350828         45.128713         45.379896         46.32432          *                 *                 45.026            42.278            
12   26   *                 *                 *                 *                 *                 *                 47.379562         48.84409          50.145076         48.613448         48.681465         49.587722         *                 *                 *                 45.105            
12   28   *                 *                 *                 *                 *                 *                 50.152201         51.784885         53.31246          51.300784         51.239735         51.880071         *                 *                 *                 47.276            
12   30   *                 *                 *                 *                 *                 *                 52.35276          54.491067         *                 53.815566         53.814024         53.674982         *                 *                 *                 *                 
12   32   *                 *                 *                 *                 *                 *                 54.151454         56.652906         *                 55.549864         55.567323         55.419434         *                 *                 *                 *                 
12   34   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 57.453376         57.221473         *                 *                 *                 *                 
14   8    *                 *                 *                 *                 *                 *                 2.344466          0.815938          0.345354          0.62903           0.543498          0.270237          *                 *                 *                 0.005             
14   10   3.42631           3.43281           *                 0.01952           0.01947           *                 6.762383          6.602356          5.25232           5.249093          6.429112          4.919362          2.689             2.852             3.591             4.077             
14   12   7.78901           7.78539           *                 0.003             0.00011           *                 11.614492         11.505017         10.598007         10.849939         12.314985         10.61935          7.982             9.01              8.394             8.247             
14   14   19.85616          19.85619          *                 3e-05             3e-05             *                 18.276117         17.653264         17.723162         17.736077         18.349818         18.210006         19.205            18.341            18.339            18.907            
14   16   23.99223          23.99206          *                 0.002             0.002             *                 22.988369         22.517605         22.834562         22.992709         23.471216         23.941243         22.331            21.81             22.525            22.396            
14   18   29.74818          29.77181          *                 0.00838           0.00346           *                 27.439635         27.347144         27.663379         27.691984         28.223322         29.072282         28.239            27.487            27.32             26.791            
14   20   33.57993          33.70589          *                 0.02264           0.01449           *                 31.73376          31.918947         32.449319         32.258392         32.654479         33.906207         32.931            31.667            31.408            31.118            
14   22   35.86905          35.33741          *                 0.26227           0.07739           *                 34.143021         35.904632         36.732729         36.103958         36.806928         37.187753         36.128            35.272            35.243            34.289            
14   24   *                 39.1284           *                 *                 0.69815           *                 37.210356         38.604932         39.19694          38.757168         39.469261         40.143997         38.459            38.344            37.748            36.548            
14   26   *                 *                 *                 *                 *                 *                 40.756175         42.115614         42.775608         42.108268         42.751368         43.358951         42.071            41.997            41.24             39.896            
