Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
40   94   *                 *                 *                 *                 *                 *                 44.357662         *                 *                 46.10145          45.73241          46.190802         *                 *                 *                 43.474            
40   96   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 46.273297         46.721687         *                 *                 *                 44.092            
40   98   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 44.713            
40   100  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 45.339            
42   38   *                 *                 *                 *                 *                 *                 *                 0.026745          0.171344          0.309354          0.223862          0.31576           *                 *                 0.008             0.43              
42   40   *                 *                 *                 *                 *                 *                 1.436276          2.217679          2.368597          2.47922           2.8596            2.547819          1.774             1.369             2.091             2.577             
42   42   *                 *                 *                 *                 *                 *                 3.805812          4.317242          4.542344          4.636551          5.141288          4.761912          4.158             3.709             4.296             4.815             
42   44   *                 7.2665            *                 *                 0.00664           *                 6.528158          6.3373            6.671577          6.772869          7.320659          6.986891          6.473             5.963             6.47              7.043             
42   46   9.47368           9.29547           *                 0.03625           0.00522           *                 8.57959           8.30363           8.763538          8.848429          9.450062          9.172907          8.733             8.145             8.594             9.244             
42   48   11.12211          11.12157          *                 0.01149           0.00642           *                 10.448211         10.333225         10.857375         10.906514         11.530317         11.27218          10.932            10.26             10.678            11.417            
42   50   12.61568          12.61398          *                 0.00374           0.0002            *                 12.317488         12.253037         12.83337          12.927837         13.6232           13.405538         12.861            12.285            12.723            13.579            
42   52   14.53377          14.53298          *                 0.00205           0.00017           *                 13.78954          13.9494           14.563605         14.627925         15.289372         15.093561         14.838            14.288            14.491            15.262            
42   54   16.1016           16.10349          *                 0.00191           0.0002            *                 15.245883         15.548955         16.213042         16.263291         16.918665         16.707763         17.045            16.625            16.755            17.042            
42   56   17.24687          17.25507          *                 0.0022            0.00018           *                 16.626809         17.091583         17.831797         17.798226         18.431963         18.198633         18.78             18.413            18.416            18.593            
42   58   19.47532          19.48426          *                 0.02069           0.00846           *                 18.00705          18.679829         19.843667         19.454613         20.001996         19.853532         20.024            19.851            19.592            20.012            
42   60   21.53111          21.76657          *                 0.04062           0.01163           *                 19.355857         20.321502         21.699752         21.306188         21.404008         21.987263         21.787            21.288            21.27             21.631            
42   62   23.16414          23.3402           *                 0.07376           0.01249           *                 20.64999          21.975059         22.887793         22.806403         22.864899         23.783517         23.557            23.019            23.0              23.247            
42   64   *                 24.98841          *                 *                 0.01304           *                 22.004171         23.602292         24.721938         24.477367         24.445978         25.570865         25.333            24.755            24.707            24.854            
42   66   *                 26.7839           *                 *                 0.43324           *                 23.512259         25.220475         26.781751         26.377481         26.074771         27.310384         27.095            26.494            26.394            26.423            
42   68   *                 *                 *                 *                 *                 *                 25.131749         26.823279         28.659934         28.090422         27.709292         28.972004         28.8              28.205            28.05             27.462            
42   70   *                 *                 *                 *                 *                 *                 26.567852         28.412628         30.36463          29.584197         29.334839         30.359759         29.556            29.372            29.569            28.845            
42   72   *                 *                 *                 *                 *                 *                 28.466733         29.973517         31.67748          30.502928         30.979256         31.080602         31.131            30.682            30.938            30.303            
42   74   *                 *                 *                 *                 *                 *                 30.971218         31.522563         32.745025         32.052054         32.494474         32.670832         32.817            32.308            32.121            31.804            
42   76   *                 *                 *                 *                 *                 *                 32.084057         33.122803         34.289004         33.58995          34.023667         34.234303         34.477            33.913            33.657            33.289            
42   78   *                 *                 *                 *                 *                 *                 32.927235         34.568154         35.868588         35.106768         35.515187         35.76205          36.121            35.493            35.177            34.75             
42   80   *                 *                 *                 *                 *                 *                 34.347131         36.130718         37.337736         36.619282         37.011878         37.306938         37.759            37.049            36.681            36.179            
42   82   *                 *                 *                 *                 *                 *                 35.766876         37.514067         38.869467         38.058578         38.410158         38.722866         39.433            38.588            38.184            37.449            
42   84   *                 *                 *                 *                 *                 *                 36.640628         38.618347         39.917914         38.985318         39.317724         39.492996         40.058            39.363            38.973            38.139            
42   86   *                 *                 *                 *                 *                 *                 37.536127         39.566053         40.92159          39.875497         40.126987         40.227332         40.714            *                 39.759            38.753            
42   88   *                 *                 *                 *                 *                 *                 38.356096         40.505896         41.875024         40.713191         40.829954         40.898743         41.378            *                 *                 39.362            
42   90   *                 *                 *                 *                 *                 *                 39.068544         41.374073         *                 41.43583          41.659631         41.478445         42.047            *                 *                 39.971            
42   92   *                 *                 *                 *                 *                 *                 39.629194         42.113972         *                 42.03183          42.349379         42.033503         42.72             *                 *                 40.585            
42   94   *                 *                 *                 *                 *                 *                 40.090488         42.808249         *                 42.572542         42.901265         42.48065          *                 *                 *                 41.204            
42   96   *                 *                 *                 *                 *                 *                 40.640736         *                 *                 43.12156          43.438013         42.876505         *                 *                 *                 41.83             
42   98   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 44.036382         *                 *                 *                 *                 42.469            
42   100  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 43.12             
42   102  *                 *                 *                 *                 *                 *                 44.738664         *                 *                 *                 *                 *                 *                 *                 *                 43.781            
42   104  *                 *                 *                 *                 *                 *                 46.410317         *                 *                 *                 *                 *                 *                 *                 *                 44.447            
44   40   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.573735          *                 *                 *                 *                 *                 
44   42   *                 *                 *                 *                 *                 *                 1.648459          1.691808          2.021185          2.039408          2.713647          2.113715          1.589             1.146             1.811             2.222             
44   44   *                 *                 *                 *                 *                 *                 4.574984          3.701059          4.158217          4.178985          4.841123          4.367781          3.918             3.399             3.984             4.482             
44   46   *                 6.77519           *                 *                 0.00534           *                 6.76253           5.731111          6.288923          6.293352          6.959025          6.54272           6.456             5.584             6.122             6.724             
44   48   *                 8.70664           *                 *                 0.0044            *                 8.353061          7.706593          8.294801          8.39              9.06663           8.71808           8.449             7.716             8.222             8.95              
44   50   10.34084          10.35296          *                 0.01326           0.00315           *                 10.253387         9.654942          10.302008         10.390437         11.133751         10.867399         10.694            9.817             9.938             11.167            
44   52   12.2403           12.24425          *                 0.00804           0.00016           *                 11.676898         11.286596         11.985648         12.000518         12.770453         12.47669          12.395            11.791            12.049            12.854            
44   54   14.01191          14.00792          *                 0.00649           0.00646           *                 13.093186         12.882858         14.367805         13.553479         14.365669         14.03092          14.65             14.022            14.272            14.792            
44   56   15.6852           15.68936          *                 0.00163           0.00038           *                 14.437784         14.444831         16.621092         15.337197         15.879084         16.083759         16.357            15.764            15.98             16.459            
44   58   17.49168          17.49135          *                 0.00591           0.00029           *                 16.469055         16.055926         17.905918         17.497346         17.497986         18.180804         17.967            17.491            17.64             17.88             
44   60   19.10934          19.10759          *                 0.02099           0.00868           *                 17.234687         18.034866         18.62184          18.812694         19.135051         19.449581         18.868            18.737            18.587            18.895            
44   62   20.57135          20.5512           *                 0.05413           0.01042           *                 18.353712         19.821146         20.362467         20.043022         20.433474         20.911023         20.428            19.888            19.931            20.383            
44   64   21.99574          22.10476          *                 0.11754           0.0126            *                 19.733054         21.377847         22.067779         21.719425         22.076861         22.407656         22.141            21.541            21.573            21.962            
44   66   *                 23.89458          *                 *                 0.01284           *                 21.447678         22.784744         23.746348         23.345775         23.777694         24.072172         23.853            23.206            23.204            23.532            
44   68   *                 25.66617          *                 *                 0.02606           *                 23.26759          24.264769         25.409573         24.923336         25.360917         25.701063         25.553            24.887            24.821            25.086            
44   70   *                 *                 *                 *                 *                 *                 25.074529         25.863131         26.982776         26.383633         26.981478         27.204118         27.123            26.409            26.355            26.512            
44   72   *                 *                 *                 *                 *                 *                 26.566656         27.431637         28.404601         28.019894         28.601065         28.80031          28.605            28.033            27.872            27.99             
44   74   *                 *                 *                 *                 *                 *                 27.852577         29.057057         30.045253         29.580915         30.150776         30.264474         30.304            29.657            29.651            29.507            
44   76   *                 *                 *                 *                 *                 *                 29.251077         30.523726         31.731411         31.141381         31.721603         31.860665         31.999            31.273            31.201            31.036            
44   78   *                 *                 *                 *                 *                 *                 30.927324         32.047641         33.298154         32.683579         33.230011         33.463344         33.678            32.868            32.739            32.558            
44   80   *                 *                 *                 *                 *                 *                 32.352387         33.619517         34.900933         34.208371         34.744895         34.988456         35.346            34.439            34.262            34.073            
44   82   *                 *                 *                 *                 *                 *                 33.80375          35.032852         36.39257          35.692506         36.212301         36.466903         37.023            36.0              35.778            35.583            
44   84   *                 *                 *                 *                 *                 *                 34.665206         36.114575         37.398452         36.628883         37.147613         37.24468          37.711            36.858            36.619            36.153            
44   86   *                 *                 *                 *                 *                 *                 35.51942          37.113656         38.394721         37.53056          38.020822         38.107564         38.408            37.726            37.46             36.758            
44   88   *                 *                 *                 *                 *                 *                 36.377032         38.120414         39.379096         38.322303         38.821326         38.831647         39.095            39.161            38.668            37.375            
44   90   *                 *                 *                 *                 *                 *                 37.12944          38.988646         40.215663         39.042843         39.525951         39.292329         39.792            40.169            39.718            37.995            
44   92   *                 *                 *                 *                 *                 *                 37.719825         39.810967         40.861714         39.713917         40.170753         39.841365         40.497            41.136            40.673            38.637            
44   94   *                 *                 *                 *                 *                 *                 38.258028         40.512038         *                 40.26527          40.755463         40.288846         41.224            41.92             41.357            39.278            
44   96   *                 *                 *                 *                 *                 *                 38.877664         41.291809         *                 40.901007         41.348553         40.72799          42.108            42.434            41.806            39.92             
44   98   *                 *                 *                 *                 *                 *                 40.686635         42.177704         44.630088         41.660751         41.996686         41.283333         *                 *                 42.607            40.583            
44   100  *                 *                 *                 *                 *                 *                 42.427044         *                 *                 42.696189         42.787221         *                 *                 *                 43.573            41.256            
44   102  *                 *                 *                 *                 *                 *                 43.089251         *                 *                 44.104919         43.567389         *                 *                 *                 *                 41.94             
44   104  *                 *                 *                 *                 *                 *                 43.755914         *                 *                 45.33601          44.481004         *                 *                 *                 *                 42.632            
44   106  *                 *                 *                 *                 *                 *                 44.60508          *                 *                 *                 45.414598         *                 *                 *                 *                 43.326            
44   108  *                 *                 *                 *                 *                 *                 45.536454         *                 *                 *                 *                 *                 *                 *                 *                 44.018            
44   110  *                 *                 *                 *                 *                 *                 46.449328         *                 *                 *                 *                 *                 *                 *                 *                 *                 
46   42   *                 *                 *                 *                 *                 *                 1.051933          *                 0.295975          0.117018          0.512353          0.025306          *                 *                 *                 *                 
46   44   *                 *                 *                 *                 *                 *                 3.328354          1.821138          2.386884          2.211858          2.591936          2.170256          1.857             1.07              1.7               2.038             
46   46   *                 *                 *                 *                 *                 *                 5.350575          3.73976           4.86664           4.256809          4.68162           4.578449          4.168             3.218             3.816             4.297             
46   48   *                 6.37901           *                 *                 0.00508           *                 6.659591          5.682037          6.392787          6.232118          6.730156          6.495316          6.19              5.342             5.916             6.537             
46   50   8.23945           8.17776           *                 0.15067           0.00524           *                 8.530778          7.617216          8.411304          8.25544           8.795422          8.58428           8.387             7.436             8.027             8.813             
46   52   9.80584           9.81854           *                 0.02              0.00475           *                 9.968437          9.221267          10.083847         9.87717           10.409073         10.205602         10.112            9.401             9.732             10.484            
46   54   11.57969          11.56586          *                 0.01286           0.01878           *                 11.65519          10.813474         12.403743         11.662699         12.000261         12.326386         11.919            11.217            11.523            12.149            
46   56   13.28403          13.25372          *                 0.00237           0.00044           *                 13.149122         12.677107         14.295251         13.842579         13.534177         14.22315          13.589            12.915            13.202            13.755            
46   58   14.86994          14.86661          *                 0.00421           0.0014            *                 14.84224          14.620899         16.063984         15.44934          15.559903         15.979448         15.334            14.707            14.908            15.392            
46   60   16.39155          16.38976          *                 0.00388           0.00259           *                 15.610738         16.312636         17.738355         17.109015         17.255111         17.674515         17.107            16.459            16.611            17.03             
46   62   17.78017          17.77893          *                 0.0082            0.0055            *                 16.734977         17.982447         18.565257         18.586466         18.617986         18.977639         18.033            17.663            17.638            18.116            
46   64   19.25424          19.2475           *                 0.11661           0.0087            *                 18.263739         19.630875         19.447671         19.697215         19.894242         20.371407         19.058            18.509            18.549            19.258            
46   66   20.93258          20.82693          *                 0.05594           0.01107           *                 19.935909         21.210022         20.855769         20.995384         21.324748         21.743531         20.689            20.074            20.102            20.861            
46   68   22.59099          22.43807          *                 0.07729           0.01185           *                 21.591673         22.543613         22.431975         22.543631         22.964641         23.368792         22.307            21.677            21.648            22.722            
46   70   *                 24.18776          *                 *                 0.00787           *                 23.274258         23.832791         24.049414         23.932412         24.790586         25.292782         24.318            23.652            23.355            24.146            
46   72   *                 25.89778          *                 *                 0.00448           *                 24.837569         25.387561         25.957592         25.862766         26.388237         26.956676         26.165            25.424            25.519            25.626            
46   74   *                 *                 *                 *                 *                 *                 26.532288         26.858842         28.131995         27.42086          27.971001         28.163271         27.844            27.016            27.185            27.153            
46   76   *                 *                 *                 *                 *                 *                 28.327691         28.387804         29.720659         28.967315         29.5146           29.747233         29.536            28.618            28.735            28.706            
46   78   *                 *                 *                 *                 *                 *                 29.59947          29.978477         31.299391         30.490157         31.059518         31.295308         31.231            30.215            30.287            30.271            
46   80   *                 *                 *                 *                 *                 *                 30.656961         31.432247         32.805093         32.042199         32.590553         32.803429         32.928            31.806            31.842            31.856            
46   82   *                 *                 *                 *                 *                 *                 32.057166         32.8829           34.315677         33.49479          34.05109          34.332223         34.595            33.396            33.405            33.578            
46   84   *                 *                 *                 *                 *                 *                 32.931606         33.976963         35.334217         34.431746         34.977926         35.163101         35.334            34.301            34.244            34.016            
46   86   *                 *                 *                 *                 *                 *                 33.819687         35.014682         36.361251         35.37359          35.897857         35.94402          36.042            35.221            35.099            34.597            
46   88   *                 *                 *                 *                 *                 *                 34.700122         36.008463         37.37502          36.250933         36.703871         36.750601         36.756            36.405            36.109            35.208            
46   90   *                 *                 *                 *                 *                 *                 35.484034         36.951891         38.270379         37.051859         37.514383         37.395355         37.613            37.434            37.076            35.877            
46   92   *                 *                 *                 *                 *                 *                 36.114394         37.758761         39.734925         37.719296         38.205704         37.958151         38.577            38.435            38.035            36.608            
46   94   *                 *                 *                 *                 *                 *                 36.703461         38.56136          41.05221          38.380616         38.848155         38.430483         39.477            39.407            38.984            37.296            
46   96   *                 *                 *                 *                 *                 *                 38.181954         39.489817         42.143526         39.540626         39.524751         38.941126         40.19             40.342            39.919            37.936            
46   98   *                 *                 *                 *                 *                 *                 39.557057         40.779733         42.828774         40.749709         40.313518         39.633545         40.914            41.018            40.581            38.54             
46   100  *                 *                 *                 *                 *                 *                 40.454677         42.068936         43.847477         41.80288          41.179644         40.708466         41.858            41.647            41.311            39.167            
46   102  *                 *                 *                 *                 *                 *                 41.419209         43.363208         *                 42.468365         42.046008         41.866804         42.63             42.601            41.912            39.86             
46   104  *                 *                 *                 *                 *                 *                 42.392108         44.585475         *                 43.410068         42.867084         42.997139         43.413            *                 42.824            40.57             
46   106  *                 *                 *                 *                 *                 *                 43.314336         45.742381         *                 44.514458         43.812573         44.119833         *                 *                 *                 41.29             
46   108  *                 *                 *                 *                 *                 *                 44.22867          *                 *                 45.675301         44.729259         45.081769         *                 *                 *                 42.012            
46   110  *                 *                 *                 *                 *                 *                 45.127208         *                 *                 46.520082         45.735295         45.868344         *                 *                 *                 42.733            
46   112  *                 *                 *                 *                 *                 *                 45.999926         *                 *                 *                 46.755612         46.6368           *                 *                 *                 43.432            
46   114  *                 *                 *                 *                 *                 *                 46.898888         *                 *                 *                 *                 *                 *                 *                 *                 *                 
46   116  *                 *                 *                 *                 *                 *                 47.857024         *                 *                 *                 *                 *                 *                 *                 *                 *                 
46   118  *                 *                 *                 *                 *                 *                 48.849931         *                 *                 *                 *                 *                 *                 *                 *                 *                 
46   120  *                 *                 *                 *                 *                 *                 49.765845         *                 *                 *                 *                 *                 *                 *                 *                 *                 
46   122  *                 *                 *                 *                 *                 *                 50.545686         *                 *                 *                 *                 *                 *                 *                 *                 *                 
46   124  *                 *                 *                 *                 *                 *                 51.415897         *                 *                 *                 *                 *                 *                 *                 *                 *                 
48   44   *                 *                 *                 *                 *                 *                 1.024339          *                 0.687306          0.302154          0.48907           0.179316          *                 *                 *                 *                 
48   46   *                 *                 *                 *                 *                 *                 2.430865          1.866569          2.209823          2.32814           2.583387          2.051093          1.456             1.148             1.784             2.117             
48   48   *                 *                 *                 *                 *                 *                 5.097202          3.750414          4.682519          4.323343          4.562409          4.369282          4.056             3.233             3.86              4.385             
48   50   5.97915           6.03095           *                 0.16919           0.05197           *                 6.90713           5.689238          6.673497          6.254246          6.675063          6.437256          6.295             5.288             5.922             6.659             
48   52   7.52781           7.45156           *                 0.09757           0.00503           *                 8.325037          7.245931          8.318886          7.875069          8.196082          8.047597          8.111             7.264             7.679             8.382             
48   54   9.02962           9.02485           *                 0.03117           0.01772           *                 9.435952          8.825474          9.181912          9.239662          9.778321          9.128219          9.153             8.416             8.716             9.677             
48   56   10.62754          10.64315          *                 0.00989           0.00176           *                 10.710875         10.087587         10.789262         10.571937         11.346196         10.868681         10.676            9.955             10.254            11.101            
48   58   12.32039          12.31497          *                 0.00713           0.00076           *                 12.076953         11.721116         12.599561         12.246029         12.840666         12.630486         12.582            11.823            12.083            12.72             
48   60   13.92779          13.92283          *                 0.00686           0.00158           *                 13.424116         13.373106         14.460101         13.933102         14.491532         14.38723          14.503            13.633            13.915            14.388            
48   62   15.40663          15.4017           *                 0.00253           0.00115           *                 14.573899         15.006105         16.227045         15.565455         16.117757         16.04124          16.223            15.374            15.595            16.036            
48   64   16.80928          16.8219           *                 0.01076           0.0006            *                 15.870583         16.599699         17.808819         17.100814         17.643751         17.553061         17.58             17.246            16.999            17.769            
48   66   18.26248          18.27131          *                 0.01785           0.00655           *                 17.342119         18.172815         18.78257          18.527114         19.090591         18.97391          19.02             18.453            18.362            19.271            
48   68   19.80067          19.79948          *                 0.02347           0.00695           *                 18.909569         19.892806         19.889979         19.942338         20.7424           20.380467         20.784            19.927            20.076            20.677            
48   70   21.32581          21.44795          *                 0.05897           0.02123           *                 20.540255         21.719327         22.201272         22.216948         22.645016         21.820075         22.463            21.585            21.997            22.108            
48   72   23.08637          23.14655          *                 0.21077           0.00448           *                 22.184144         23.256438         24.668673         23.847201         24.293498         23.994966         24.043            23.099            23.492            23.584            
48   74   25.1592           24.91026          *                 0.13115           0.00325           *                 23.8606           24.834278         26.273551         25.364191         25.837362         26.046514         25.692            24.656            25.011            25.105            
48   76   *                 26.66345          *                 *                 0.01979           *                 25.522633         26.381725         27.792918         26.887574         27.391411         27.639561         27.366            26.231            26.544            26.657            
48   78   *                 *                 *                 *                 *                 *                 27.173715         27.79623          29.337164         28.449774         28.927679         29.165672         29.045            27.807            28.084            28.23             
48   80   *                 *                 *                 *                 *                 *                 28.924524         29.311036         30.830804         29.899901         30.439991         30.714724         30.729            29.38             29.629            29.828            
48   82   *                 *                 *                 *                 *                 *                 30.339196         30.774512         32.355817         31.390837         31.929987         32.226567         32.425            30.95             30.958            31.515            
48   84   *                 *                 *                 *                 *                 *                 31.243736         31.842611         33.398548         32.353402         32.882977         33.091918         33.169            31.94             32.065            32.062            
48   86   *                 *                 *                 *                 *                 *                 32.144656         32.903678         34.426018         33.341749         33.860954         33.890716         33.925            32.943            32.968            32.688            
48   88   *                 *                 *                 *                 *                 *                 33.037602         33.962943         35.445068         34.25574          34.725694         34.568385         34.691            33.746            33.58             33.34             
48   90   *                 *                 *                 *                 *                 *                 33.861353         34.908634         36.396393         35.060682         35.537809         35.458295         35.32             34.757            34.418            33.969            
48   92   *                 *                 *                 *                 *                 *                 34.526811         35.785606         36.800819         35.808458         36.281894         36.0738           36.199            35.779            35.345            34.581            
48   94   *                 *                 *                 *                 *                 *                 35.210529         36.695179         37.830845         36.733138         37.014694         36.59294          37.088            36.785            36.307            35.287            
48   96   *                 *                 *                 *                 *                 *                 35.812958         37.650225         38.848003         37.605302         37.803828         37.247997         37.994            37.774            37.279            36.016            
48   98   *                 *                 *                 *                 *                 *                 36.488824         38.635122         40.013892         38.525569         38.773567         38.231034         38.89             39.0              38.475            36.745            
48   100  *                 *                 *                 *                 *                 *                 37.509856         39.592369         41.249061         39.455482         39.637924         39.222971         39.775            40.058            39.426            37.477            
48   102  *                 *                 *                 *                 *                 *                 38.441837         40.543828         42.330174         40.423333         40.510738         40.11152          40.661            40.641            40.339            38.201            
48   104  *                 *                 *                 *                 *                 *                 39.32011          41.46768          43.227787         41.265498         41.40501          40.9548           41.573            41.295            40.891            38.923            
48   106  *                 *                 *                 *                 *                 *                 40.254747         42.378064         44.06578          42.095723         42.213478         41.757829         42.547            42.342            41.516            39.65             
48   108  *                 *                 *                 *                 *                 *                 41.243278         43.309038         45.031515         42.918244         43.16707          42.497404         43.476            43.154            42.536            40.386            
48   110  *                 *                 *                 *                 *                 *                 42.247451         44.26342          46.107067         43.733322         44.163118         43.292411         *                 43.982            43.757            41.13             
48   112  *                 *                 *                 *                 *                 *                 43.257911         45.273101         *                 44.422484         45.164918         44.097278         *                 *                 44.653            41.883            
