Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
14,21,2.47485,0.04092,2.50592,0.03854,*,*,3.630291,2.949327,2.459429,2.823524,3.216737,2.627777,2.248238,3.35,1.92
14,23,2.16881,0.20901,2.2067,0.13456,*,*,3.290107,2.284127,2.224241,2.41129,2.550668,2.543682,2.388974,1.77,1.47
14,25,2.07584,0.3649,1.58067,0.17132,*,*,2.634727,1.641522,1.45242,1.724073,1.947736,1.681707,1.484559,1.65,0.58
14,27,*,*,1.38133,0.6533,*,*,2.179804,1.137787,0.873818,1.274819,1.524767,1.418108,1.201824,2.37,0.39
14,29,*,*,*,*,*,*,1.204674,0.335377,*,0.460627,0.801857,0.49558,0.34471,*,0.7
14,31,*,*,*,*,*,*,0.787353,*,*,0.11176,0.71344,0.23086,0.284504,*,*
16,5,*,*,*,*,*,*,26.81198,27.418284,27.362898,26.069137,26.998917,26.710308,*,*,*
16,7,*,*,*,*,*,*,22.512772,23.666819,23.698769,23.070658,23.144634,24.294398,*,*,*
16,9,*,*,*,*,*,*,16.841073,17.580837,17.416174,17.425103,18.337903,18.078782,17.60857,19.65,19.0
16,11,*,*,*,*,*,*,16.097399,16.156071,16.06481,16.129488,17.044985,17.111921,16.849969,16.59,15.25
16,13,15.3041,0.16763,15.30094,0.16763,*,*,14.696926,14.41192,14.20589,14.480188,15.298212,15.410179,15.284465,14.94,14.93
16,15,13.05343,0.00335,13.05459,0.00031,*,*,11.427879,11.653827,11.113791,11.633422,12.032039,12.237267,11.771179,12.23,14.44
16,17,8.64161,3e-05,8.64164,0.0,*,*,8.160045,8.928864,8.792202,8.940306,8.752026,9.336277,8.879688,8.23,6.86
16,19,6.98588,4e-05,6.98584,4e-05,*,*,6.958123,7.046786,7.19368,7.197905,7.273512,7.537307,7.518041,7.12,6.66
16,21,4.3036,6e-05,4.3036,6e-05,*,*,5.502056,5.005616,4.561574,4.901724,5.304528,4.768516,4.350808,5.19,4.16
16,23,4.37236,0.05051,4.37278,0.05051,*,*,4.849983,4.010378,4.141656,4.15198,4.31597,4.450771,4.623353,4.08,3.65
16,25,4.22385,0.18426,4.24205,0.00571,*,*,4.622113,3.503674,3.518052,3.606155,3.821616,3.560797,3.44701,3.58,3.32
16,27,2.35905,0.2371,2.62903,0.0057,*,*,3.650607,2.794125,2.382209,2.771131,3.085943,2.770926,2.633491,2.66,2.81
16,29,2.20782,1.78649,2.85667,1.03537,*,*,2.813038,2.071774,1.547788,2.005242,2.566989,2.049993,1.936991,1.43,2.31
16,31,*,*,*,*,*,*,2.04709,1.365343,0.551472,1.505906,1.932971,1.5716,1.444957,0.37,0.56
16,33,*,*,*,*,*,*,0.367068,*,*,0.213621,0.633179,0.471891,*,0.04,*
18,5,*,*,*,*,*,*,27.457322,28.221943,28.263033,26.846764,27.706692,27.167199,*,*,*
18,7,*,*,*,*,*,*,24.334884,25.658897,25.832023,24.838056,24.782053,25.713856,*,*,*
18,9,*,*,*,*,*,*,18.695615,19.695972,19.62651,19.437129,20.135459,20.063166,*,*,*
18,11,*,*,*,*,*,*,18.140946,18.445307,18.396783,18.293258,19.122282,19.31444,19.118695,19.77,18.47
18,13,*,*,*,*,*,*,16.830285,17.835121,16.552794,16.736138,17.50103,17.833392,17.754748,17.5,18.04
18,15,15.25525,0.00181,15.25526,0.00181,*,*,13.606846,15.107841,13.438253,13.923777,14.226095,14.705813,14.269184,14.63,15.45
18,17,12.74151,0.00084,12.74031,0.00068,*,*,10.679913,11.39564,11.316846,11.376347,11.19603,12.045491,11.56095,12.27,12.07
18,19,8.78744,0.00021,8.78744,0.00021,*,*,9.273698,9.413004,9.579188,9.552475,9.600197,10.127606,10.144313,9.55,9.02
18,21,6.59878,0.00501,6.59869,0.005,*,*,7.504471,7.12267,6.704737,7.028198,7.470599,7.022451,6.683751,7.31,5.51
18,23,6.09889,0.00033,6.09893,0.00035,*,*,6.806914,6.03094,5.881481,6.031306,6.453546,6.168713,6.279502,5.71,5.66
18,25,5.65845,0.00785,5.65845,0.00785,*,*,6.367979,5.317207,5.324523,5.354724,5.640905,5.477401,5.52486,4.6,3.83
18,27,5.16885,0.00166,5.16886,0.00166,*,*,5.510751,4.519974,4.372075,4.548144,4.880428,4.601961,4.684504,4.56,4.75
18,29,4.25903,0.10796,3.66473,0.00158,*,*,4.270316,3.789506,3.059564,3.710201,4.178561,3.77211,3.770663,2.82,3.83
18,31,*,*,*,*,*,*,3.248827,2.757967,2.14041,2.654833,3.128514,2.834537,2.571871,1.99,2.31
18,33,*,*,*,*,*,*,1.440922,1.278864,0.900749,1.297091,1.658733,1.427047,0.547942,1.45,1.3
18,35,*,*,*,*,*,*,0.247695,0.162628,*,0.398253,0.67863,0.269711,*,*,0.6
18,37,*,*,*,*,*,*,*,*,*,0.000643,0.398565,*,*,0.0,*
20,3,*,*,*,*,*,*,9.21568,9.173564,6.851013,4.388452,21.439254,8.257957,*,*,*
20,5,*,*,*,*,*,*,27.770985,28.437134,28.589836,27.109353,27.955774,27.37291,*,*,*
20,7,*,*,*,*,*,*,25.440888,26.838278,27.117852,25.862685,25.751241,26.392491,*,*,*
20,9,*,*,*,*,*,*,20.397442,21.510521,21.656059,21.135024,21.603015,21.446788,*,*,*
20,11,*,*,*,*,*,*,20.116766,20.60051,20.663951,20.321782,21.028838,21.293763,*,22.06,*
20,13,*,*,*,*,*,*,18.83709,18.896468,18.803788,18.860558,19.565248,20.051563,20.097285,19.58,20.56
20,15,*,*,*,*,*,*,15.608565,16.199006,15.70819,16.059038,16.31885,16.979486,16.572791,16.71,18.15
20,17,14.79372,0.04583,14.75623,0.04001,*,*,13.044088,13.791262,13.687608,13.717313,13.538284,14.609095,14.170414,14.5,13.8
20,19,13.2865,0.00491,13.29552,0.00063,*,*,11.561687,11.762878,11.886246,11.840727,11.884378,12.641163,12.628538,12.83,12.45
20,21,8.3628,0.00013,8.36282,0.00014,*,*,9.468299,9.15346,8.812291,9.11542,9.562501,9.279257,8.894075,9.0,8.51
20,23,7.93288,0.00017,7.93289,0.00017,*,*,8.739318,8.042193,7.904441,8.073986,8.504694,8.320541,8.220977,7.74,6.66
20,25,7.41479,0.00017,7.41482,0.00017,*,*,8.292023,7.22845,7.33608,7.305763,7.656289,7.516695,7.716432,6.93,6.81
20,27,7.27636,0.00027,7.27637,0.00027,*,*,7.31378,6.319436,6.229012,6.296192,6.665097,6.443806,6.698195,5.88,6.5
20,29,5.14645,0.00018,5.14645,0.00018,*,*,5.555792,5.391554,4.486306,5.129128,5.638266,5.248443,5.176574,4.29,4.36
20,31,4.36374,0.09407,4.8144,0.00167,*,*,4.456207,4.176957,3.489059,3.859848,4.338633,4.052662,3.851216,2.9,3.16
20,33,*,*,3.19276,0.04379,*,*,2.635215,2.675439,2.2202,2.528152,2.802033,2.531873,1.616411,1.89,1.45
20,35,*,*,*,*,*,*,1.702148,1.675921,1.461726,1.787417,2.029537,1.714983,0.993933,1.66,2.54
20,37,*,*,*,*,*,*,1.333021,1.08622,1.151843,1.402272,1.684529,1.325391,0.880086,1.03,1.37
20,39,*,*,*,*,*,*,1.024775,0.472306,0.517204,0.76238,1.055786,0.68575,0.542253,0.73,0.7
20,41,*,*,*,*,*,*,0.702262,*,*,*,0.06475,*,*,0.05,*
20,43,*,*,*,*,*,*,0.479652,*,*,*,*,*,*,*,*
20,45,*,*,*,*,*,*,0.299653,*,*,*,*,*,*,*,*
20,47,*,*,*,*,*,*,0.139373,*,*,*,*,*,*,*,*
22,3,*,*,*,*,*,*,1.429816,3.404987,6.623758,3.418594,3.718804,3.462956,*,*,*
22,5,*,*,*,*,*,*,27.869777,28.575654,28.734801,27.243623,28.061008,27.455823,*,*,*
22,7,*,*,*,*,*,*,25.876509,27.328027,27.555731,26.182917,26.165697,26.709365,*,*,*
22,9,*,*,*,*,*,*,22.244582,22.644524,22.437084,21.697002,22.505258,22.123561,*,*,*
22,11,*,*,*,*,*,*,21.963322,22.401208,22.724683,22.259412,22.73022,22.948935,*,*,*
22,13,*,*,*,*,*,*,19.498932,20.380628,20.439546,20.274332,21.073724,21.06598,*,21.23,22.48
22,15,*,*,*,*,*,*,17.430036,18.198792,17.763989,18.014219,18.332801,18.891489,18.523005,18.57,19.51
22,17,*,*,*,*,*,*,15.074826,15.893554,15.847466,15.836579,15.725322,16.841014,16.461958,16.17,16.99
22,19,*,*,14.91847,0.16242,*,*,13.531757,13.792725,14.022707,13.949489,14.012937,14.901375,14.875933,14.58,14.99
22,21,12.27087,0.00879,12.28773,0.00725,*,*,11.163021,10.983009,10.729897,11.043027,11.523878,11.320763,10.834273,12.3,14.4
22,23,9.5286,0.0012,9.53259,0.0011,*,*,10.445173,9.851464,9.804531,10.012446,10.446273,10.400203,10.599216,9.74,9.11
22,25,8.88029,0.00029,8.88088,0.00013,*,*,9.955191,9.013527,9.170441,9.142913,9.567559,9.401883,9.271119,9.27,6.91
22,27,8.14239,3e-05,8.1424,3e-05,*,*,8.884647,7.983277,7.957093,7.97889,8.402298,8.243126,8.316707,7.59,7.22
22,29,6.37249,0.00049,6.37249,0.00049,*,*,6.746491,6.853786,5.890345,6.51925,7.01872,6.584454,6.509683,5.73,6.32
22,31,5.43532,0.1003,5.43256,0.1003,*,*,5.66203,5.517665,4.843232,5.109584,5.585587,5.247903,5.095863,4.39,5.01
22,33,4.14725,0.1967,4.11742,0.18142,*,*,3.802845,4.003713,3.569,3.781354,3.962806,3.710394,2.827857,3.14,3.63
22,35,2.67844,0.49579,2.6669,0.28364,*,*,2.959844,3.065028,2.823992,3.099951,3.285933,3.05062,2.397735,3.01,2.35
22,37,*,*,*,*,*,*,2.599966,2.460891,2.520691,2.708909,2.909438,2.673499,2.354251,2.41,2.32
22,39,*,*,*,*,*,*,2.279067,1.726139,1.90039,2.056129,2.27327,1.990654,1.959469,1.92,1.4
22,41,*,*,*,*,*,*,1.895776,1.012697,0.737589,1.121103,1.329051,0.94495,0.718196,1.15,0.57
22,43,*,*,*,*,*,*,1.637597,0.467948,0.213654,0.596848,0.724309,0.751807,0.85508,0.81,0.65
22,45,*,*,*,*,*,*,1.664465,0.269394,0.082388,0.552488,0.860406,0.559687,0.452666,0.45,*
22,47,*,*,*,*,*,*,1.14831,*,*,0.049156,0.299394,0.071209,*,0.29,0.02
22,49,*,*,*,*,*,*,0.754116,*,*,*,*,*,*,0.01,*
22,51,*,*,*,*,*,*,0.028528,*,*,*,*,*,*,*,*
24,3,*,*,*,*,*,*,17.003582,17.071534,16.992464,17.123426,17.353958,17.766936,*,*,*
24,5,*,*,*,*,*,*,27.903186,28.620717,28.826684,27.275529,28.133651,27.581619,*,*,*
24,7,*,*,*,*,*,*,26.021448,27.437757,27.649765,26.317184,26.305012,26.878286,*,*,*
24,9,*,*,*,*,*,*,23.635045,23.83095,23.95871,22.817749,23.441267,22.679412,*,*,*
24,11,*,*,*,*,*,*,23.502947,23.987628,24.3455,23.540067,24.138835,24.173484,*,*,*
24,13,*,*,*,*,*,*,21.068676,21.743939,21.788313,21.527053,22.200791,22.248391,*,*,*
24,15,*,*,*,*,*,*,19.004988,19.719422,19.526953,19.570986,19.8824,20.667536,20.514953,20.18,21.21
24,17,*,*,*,*,*,*,16.663773,17.651085,17.298687,17.384443,17.731181,18.267044,17.93295,18.34,18.93
24,19,*,*,*,*,*,*,15.461952,15.840122,16.045333,15.921318,16.06331,16.982644,16.757369,16.51,16.43
24,21,*,*,*,*,*,*,12.819436,12.717263,12.581554,12.932524,13.419827,13.361217,13.134479,14.19,14.12
24,23,13.15596,0.02443,13.16233,0.01294,*,*,13.055539,12.331052,12.655566,12.57719,12.74474,13.244087,12.934941,12.84,12.06
24,25,10.58262,0.00763,10.58236,0.00763,*,*,11.238853,10.682146,10.640514,10.75681,11.27041,11.062804,10.94289,10.34,9.25
24,27,9.26062,0.0002,9.26064,0.0002,*,*,9.792981,9.285882,9.053274,9.236315,9.835545,9.445956,9.489764,9.35,8.43
24,29,7.93912,0.00014,7.93907,0.00014,*,*,7.934585,8.090907,7.388874,7.801804,8.404767,7.835827,7.667108,7.3,7.82
