Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
15,3,*,*,*,*,*,*,23.53848,24.191566,24.042568,22.180808,23.388008,21.962717,*,*,*
15,5,*,*,*,*,*,*,25.575069,26.137216,25.966359,24.785581,25.94079,25.612442,*,*,*
15,7,*,*,*,*,*,*,21.315395,22.358765,22.347141,21.812064,21.942561,23.039864,23.190362,*,*
15,9,*,*,*,*,*,*,15.795651,16.358592,16.164982,16.266758,17.194713,17.052904,16.576938,18.95,21.86
15,11,*,*,*,*,*,*,15.076208,14.906229,14.939487,15.034578,15.801468,15.964992,15.677588,15.77,15.72
15,13,14.51304,0.02655,14.4966,0.02637,*,*,13.556485,13.203298,12.963531,13.236428,14.050631,14.023845,13.953579,14.86,14.99
15,15,11.31927,0.00068,11.31932,0.00036,*,*,10.384522,10.561671,10.07852,10.456119,10.843372,10.873285,10.459226,11.83,12.62
15,17,7.93565,4e-05,7.93565,4e-05,*,*,7.082896,8.263646,7.623973,7.781361,7.627992,8.072297,7.59088,7.28,6.91
15,19,6.2915,0.00512,6.28267,0.00136,*,*,5.952427,5.437828,6.065339,6.120485,6.200261,6.347463,6.346436,6.45,5.93
15,21,3.46455,0.01324,3.46455,0.01324,*,*,4.589434,4.002325,3.532005,3.875515,4.279753,3.718715,3.312077,4.82,3.52
15,23,3.83499,0.11013,3.69688,0.0819,*,*,4.108843,3.180666,3.207314,3.305954,3.468292,3.519276,3.524024,3.73,2.62
15,25,3.30442,0.17333,3.41105,0.19046,*,*,3.643786,2.597983,2.503579,2.675616,2.905294,2.638316,2.486567,3.23,2.08
15,27,1.85594,0.49641,2.08181,0.33656,*,*,2.906506,1.964416,1.624218,2.018254,2.3133,2.088397,1.929694,2.03,1.89
15,29,*,*,*,*,*,*,2.048328,1.23755,0.743609,1.257337,1.721553,1.295386,1.169884,1.34,1.46
15,31,*,*,*,*,*,*,1.433053,0.669359,*,0.829648,1.348335,0.930357,0.886015,0.25,0.12
15,33,*,*,*,*,*,*,*,*,*,*,0.213698,0.076551,*,*,*
17,3,*,*,*,*,*,*,24.232124,24.678562,24.697211,22.803684,23.819912,22.440348,*,*,*
17,5,*,*,*,*,*,*,27.03117,27.657726,27.654019,26.298733,27.22346,26.80737,*,*,*
17,7,*,*,*,*,*,*,23.321817,24.569991,24.615847,23.81535,23.877386,24.861104,*,*,*
17,9,*,*,*,*,*,*,17.791617,18.65284,18.53033,18.416713,19.216669,19.02023,18.586311,20.97,20.24
17,11,*,*,*,*,*,*,17.162453,17.327421,17.275803,17.234758,18.081015,18.234272,18.012979,19.01,18.37
17,13,*,*,*,*,*,*,15.798209,16.14602,15.427455,15.636761,16.419227,16.64508,16.559038,16.84,17.39
17,15,14.33392,0.05043,14.37144,0.00349,*,*,12.550166,13.426072,12.314896,12.780817,13.16697,13.475629,13.022277,14.09,15.16
17,17,11.50766,0.00045,11.50806,0.00039,*,*,9.453537,10.188342,10.081092,10.175692,9.998316,10.708978,10.240811,10.98,11.6
17,19,8.57963,6e-05,8.57979,0.0,*,*,8.150562,8.269696,8.410542,8.394417,8.456762,8.848255,8.859595,8.57,8.58
17,21,6.10788,8e-05,6.10788,8e-05,*,*,6.529776,6.082826,5.655335,5.978045,6.409768,5.923705,5.532831,6.81,6.65
17,23,5.82892,0.03211,5.82893,0.03211,*,*,5.846327,5.049719,5.007066,5.101186,5.410525,5.30583,5.445841,5.14,5.65
17,25,5.67712,0.15934,5.5959,0.09098,*,*,5.510344,4.430412,4.42852,4.48059,4.751412,4.527358,4.500106,4.84,4.26
17,27,4.1342,0.19089,4.29633,0.1497,*,*,4.612929,3.680148,3.420088,3.683387,4.009784,3.721532,3.702788,3.84,3.83
17,29,4.41692,0.72794,3.66817,0.24916,*,*,3.569608,2.962771,2.318054,2.879047,3.401452,2.930805,2.875141,2.77,3.11
17,31,*,*,*,*,*,*,2.661387,2.085667,1.369687,2.098135,2.556783,2.229853,2.030446,1.67,2.02
