Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
1    1    2.22457           0.0               2.22457           0.0               *                 *                 
1    2    6.25723           0.0               *                 *                 *                 *                 
1    3    -2.88039          0.10329           *                 *                 *                 *                 
1    4    1.08039           0.14376           *                 *                 *                 *                 
1    5    -0.9              0.28315           *                 *                 *                 *                 
2    1    *                 *                 5.49348           0.0               *                 *                 
2    2    20.57762          0.0               19.81386          0.0               *                 *                 
2    3    -0.89             0.05              21.80426          0.11475           *                 *                 
2    4    1.86244           0.05001           22.5863           0.1               *                 *                 
2    5    -0.43462          0.01664           23.05169          0.26543           *                 *                 
2    6    2.57431           0.01802           *                 *                 -3.49602          0.02407           
2    7    -1.27007          0.02874           *                 *                 12.02894          0.0295            
2    8    0.20154           0.07593           *                 *                 33.11052          0.07              
3    1    *                 *                 -3.103            0.21213           *                 *                 
3    2    21.71562          0.21794           -1.965            0.05              *                 *                 
3    3    5.66341           0.05              4.58841           0.05              *                 *                 
3    4    7.24997           8e-05             9.97594           0.00075           *                 *                 
3    5    2.03261           5e-05             12.44317          0.01666           *                 *                 
3    6    4.0639            0.00194           13.93275          0.00714           *                 *                 
3    7    -0.025            0.015             15.17782          0.03308           -5.74957          0.40029           
3    8    0.32459           0.02452           15.30086          0.07261           16.49374          0.05002           
4    2    *                 *                 0.59291           0.0503            *                 *                 
4    3    10.67623          0.00545           5.60573           0.0001            *                 *                 
4    4    18.89968          0.00011           17.25544          9e-05             *                 *                 
4    5    1.66534           0.0004            16.88817          0.00041           *                 *                 
4    6    6.81229           6e-05             19.63656          0.00193           *                 *                 
4    7    0.50392           0.00634           20.16549          0.0164            *                 *                 
4    8    3.16888           0.01629           23.00977          0.02444           -6.97145          0.02379           
4    9    -0.1              0.07              *                 *                 10.13539          0.07222           
4    10   1.36464           0.15038           *                 *                 31.94714          0.13225           
5    2    *                 *                 -2.20443          0.07092           *                 *                 
5    3    13.01817          0.07072           0.13751           0.00101           *                 *                 
5    4    18.57713          0.0014            -0.18504          0.00098           *                 *                 
5    5    8.43627           0.00106           6.58589           0.00055           *                 *                 
5    6    11.45412          0.00016           11.22771          0.00058           *                 *                 
5    7    3.37035           0.00146           14.09414          0.00651           *                 *                 
5    8    4.87805           0.00177           15.80331          0.01504           *                 *                 
5    9    0.9698            0.02124           16.87311          0.07467           *                 *                 
5    10   2.76272           0.03083           18.27119          0.13412           12.19691          0.13565           
5    11   -0.03809          0.06403           *                 *                 *                 *                 
5    12   1.38219           0.1811            *                 *                 41.81912          0.17087           
6    2    *                 *                 0.06326           0.07438           *                 *                 
6    3    14.25489          0.02317           1.29997           0.00236           *                 *                 
6    4    21.28313          0.00218           4.00597           0.00106           *                 *                 
6    5    13.11966          0.00088           8.68936           0.00087           *                 *                 
6    6    18.72166          0.00095           15.9569           0.00042           *                 *                 
6    7    4.94631           0.0               17.53286          0.0014            *                 *                 
6    8    8.17644           0.0               20.83124          0.00108           *                 *                 
6    9    1.21807           0.0008            21.07951          0.02123           *                 *                 
6    10   4.25033           0.00367           22.56712          0.02265           -10.30233         0.02079           
6    11   0.72661           0.01774           23.33182          0.06247           4.57793           0.03207           
6    12   4.18397           0.03466           26.13361          0.17349           19.60901          0.03001           
6    13   0.57683           0.0937            *                 *                 *                 *                 
6    14   2.93437           0.25861           *                 *                 44.59954          0.23916           
7    3    *                 *                 -2.60069          0.40001           *                 *                 
7    4    22.5679           0.40265           -1.31592          0.04615           *                 *                 
7    5    15.0368           0.04617           0.60123           0.00138           *                 *                 
7    6    20.06392          0.00104           1.94349           0.00027           *                 *                 
7    7    10.55338          0.00027           7.55056           0.0               *                 *                 
7    8    10.8333           0.0               10.20743          0.0               *                 *                 
7    9    2.4891            0.00262           11.47846          0.00274           *                 *                 
7    10   5.88361           0.01524           13.11173          0.01543           *                 *                 
7    11   2.82822           0.02387           15.21334          0.02542           -11.0755          0.05362           
7    12   5.32365           0.02478           16.35302          0.03419           2.93532           0.02033           
7    13   2.16834           0.05796           17.94453          0.11301           14.91739          0.05599           
7    14   4.58526           0.11011           19.59542          0.25735           27.43532          0.09505           
7    15   1.28381           0.21443           *                 *                 *                 *                 
8    4    *                 *                 -0.45541          0.04971           *                 *                 
8    5    17.00684          0.02078           1.51462           0.00958           *                 *                 
