Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
4    2    5.766632          4.861035          4.128593          2.782818          4.626351          3.645743          3.90018           3.45518           4.85418           *                 
4    4    -8.284774         -7.316815         -7.906654         -8.942095         -5.808912         -7.049407         -5.22437          -4.49337          -8.58037          -12.00437         
4    6    -1.881041         -0.427571         -0.141146         -2.217404         1.289959          0.331304          -0.36713          -0.30313          -1.23413          -7.27313          
4    8    1.081372          3.48902           4.469432          1.242643          3.552868          2.910851          *                 *                 *                 -3.46632          
6    4    6.996089          5.969399          6.278239          6.393917          5.619394          6.829424          3.13306           2.50406           7.13206           4.28106           
6    6    -4.259123         -4.909082         -4.562055         -4.31             -4.383894         -2.595261         -2.92543          -4.03743          -2.86043          -4.07343          
6    8    -4.257384         -3.959536         -3.492107         -4.162971         -3.968895         -1.726576         -1.36681          -2.18081          -2.59081          -4.73781          
6    10   -0.809015         -0.354135         0.410698          -0.877257         -0.300084         0.861053          *                 *                 *                 -3.46231          
6    12   -0.664179         0.438832          1.067596          -0.762818         -0.122825         0.514908          *                 *                 *                 -4.24481          
8    4    2.090513          2.078942          2.156453          3.214178          *                 2.669653          3.095             3.189             3.745             4.482             
8    6    2.98222           3.834213          4.146869          4.208633          2.858787          4.301283          4.71584           5.74084           4.80484           4.54484           
8    8    -3.261616         -2.190961         -1.786092         -1.847121         -3.264153         -0.4328           0.10016           1.38616           -0.13184          -0.41184          
8    10   -2.317084         -0.816094         -0.091402         -0.186569         -1.613641         1.836971          1.78711           2.77211           1.36611           0.35811           
8    12   -1.730313         -0.194721         0.934892          0.250595          -0.886468         2.653367          2.19297           3.01897           1.39997           -0.16503          
8    14   -2.66419          -0.716426         0.428491          -0.695975         -1.695047         1.70206           1.08053           0.94053           0.62753           -1.60447          
8    16   -4.505669         -1.859264         -0.897009         -2.51187          -3.528081         -0.264222         0.90426           *                 0.13326           -3.05774          
10   6    2.458618          1.725487          *                 *                 1.97754           *                 *                 *                 *                 *                 
10   8    4.104227          3.740421          3.123966          2.791503          4.422069          3.105615          0.97067           0.37867           1.52967           1.43567           
10   10   -5.960697         -5.772691         -5.941189         -5.541658         -4.481087         -4.026672         -5.63006          -4.87206          -5.87606          -6.74506          
10   12   -4.77169          -4.91379          -3.785935         -3.59928          -3.042854         -1.699205         -2.64183          -3.04383          -3.56683          -5.04183          
10   14   -3.366167         -2.357463         -1.987277         -1.936426         -0.159534         -0.167097         -2.01462          -2.57162          -2.87562          -4.01662          
10   16   -1.53915          0.170764          0.522727          0.278837          1.928955          1.725391          -0.64023          -0.81323          -1.25523          -2.49723          
10   18   -2.617567         -0.52493          0.0511            -0.526919         0.627705          0.914245          -0.91024          -1.25124          -1.66624          -3.58724          
12   8    2.613419          1.531799          0.769395          0.939122          1.457238          0.818699          -0.56286          -1.00286          0.12614           0.41314           
12   10   3.995121          2.245959          3.021128          2.891451          2.76994           2.938524          2.19306           0.17606           2.35506           1.88806           
12   12   -2.594727         -3.267218         -2.793432         -3.098378         -2.829059         -2.271522         -2.59379          -4.05279          -2.62979          -2.24279          
12   14   -2.208947         -2.558797         -1.881891         -1.947816         -1.151418         -0.516773         -1.36584          -1.65784          -1.68184          -2.03684          
12   16   -2.97682          -2.596613         -2.176542         -2.34088          -1.316405         -1.02946          -1.6669           -1.7039           -2.7239           -3.2999           
12   18   -3.234083         -2.428452         -1.84932          -2.169223         -1.400682         -0.582656         -2.2715           -2.6235           -3.0615           -3.9065           
12   20   -2.91409          -1.71688          -1.045615         -1.646385         -1.040801         0.012801          -1.61096          -2.33496          -2.22896          -3.52496          
14   10   3.329573          3.169546          1.81951           1.816283          2.996302          1.486552          -0.74381          -0.58081          0.15819           0.64419           
14   12   3.829102          3.719627          2.812617          3.064549          4.529595          2.83396           0.19661           1.22461           0.60861           0.46161           
14   14   -1.580073         -2.202926         -2.133028         -2.120113         -1.506372         -1.646184         -0.65119          -1.51519          -1.51719          -0.94919          
14   16   -1.003691         -1.474455         -1.157498         -0.999351         -0.520844         -0.050817         -1.66106          -2.18206          -1.46706          -1.59606          
14   18   -2.332175         -2.424666         -2.108431         -2.079826         -1.548488         -0.699528         -1.53281          -2.28481          -2.45181          -2.98081          
14   20   -1.97213          -1.786943         -1.256571         -1.447498         -1.051411         0.200317          -0.77489          -2.03889          -2.29789          -2.58789          
14   22   -1.194389         0.567222          1.395319          0.766548          1.469518          1.850343          0.79059           -0.06541          -0.09441          -1.04841          
14   24   -1.918044         -0.523468         0.06854           -0.371232         0.340861          1.015597          -0.6694           -0.7844           -1.3804           -2.5804           
16   12   3.106976          3.230855          2.628137          2.635163          2.538936          1.931236          0.93828           0.73828           1.27628           1.31628           
16   14   3.887204          4.226866          3.834976          3.928805          3.719465          3.698257          0.1016            0.3546            0.9146            0.7226            
16   16   -1.008972         -0.428765         -1.072068         -0.419024         -0.483963         0.102212          -1.17751          -1.02051          -1.91951          -1.52851          
16   18   -0.996161         -0.039835         -0.732246         -0.071024         -0.224506         0.889512          -1.02194          -0.03594          -0.89994          -0.93994          
16   20   -1.787388         -0.440576         -1.022252         -0.562995         -0.772334         0.832105          -1.44222          -0.59922          -1.08222          -1.37122          
16   22   -1.820847         -0.13694          -0.598398         -0.173695         -0.391246         1.367812          -0.51002          0.18998           -0.54102          -1.02702          
16   24   -3.05817          -1.046044         -1.087022         -0.972435         -1.154366         0.902722          0.23651           -0.00249          -0.63349          -1.16949          
16   26   -3.605425         -1.797069         -1.345365         -1.586622         -1.803175         0.258359          -0.39137          -0.32837          -1.10037          -2.45737          
18   12   *                 2.447179          *                 2.394576          *                 *                 *                 *                 2.352             3.116             
18   14   0.52319           1.939546          1.885879          1.861317          1.092503          1.735683          1.76896           2.10396           2.14396           2.10696           
18   16   0.523512          2.257705          2.193037          2.165456          1.154099          2.364118          1.9533            2.8873            2.9053            2.7103            
18   18   -2.461262         -0.859387         -0.797126         -0.96768          -2.001004         -0.242596         0.0372            0.4782            -0.1208           -0.2098           
18   20   -1.587585         0.034018          0.219691          -0.015648         -1.151784         1.183337          0.89737           1.50537           1.18037           0.69337           
18   22   -1.817919         0.016581          0.384437          0.103778          -1.044784         1.550652          0.89937           1.47937           0.84537           0.65837           
18   24   -1.477388         0.492711          0.435384          0.41281           -0.296438         1.526629          0.08223           0.71323           0.22023           0.18723           
18   26   -1.563228         0.563694          0.56541           0.447857          -0.181922         1.920692          0.39955           0.81155           0.16855           0.07855           
18   28   -3.446519         -1.585731         -1.00021          -1.500776         -2.168081         0.097134          -0.35163          0.12637           -0.86163          -1.58263          
20   16   1.278234          1.846166          2.394309          2.072395          1.142294          1.878633          3.1982            3.4042            3.8212            3.2942            
20   18   2.136982          2.733474          3.368398          2.957183          1.966781          3.195147          3.5871            3.9141            4.6751            4.1271            
