Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
13,4,*,*,*,*,*,*,50.782876,52.348859,53.500612,48.827247,50.337337,48.250207,*,*,*
13,6,*,*,*,*,*,*,51.420767,52.197479,52.838642,50.026122,51.742434,51.241864,22.264042,*,*
13,8,*,*,*,*,*,*,42.408014,44.006371,45.06767,43.6695,42.887185,45.626741,22.113844,*,*
13,10,*,*,*,*,*,*,31.295568,31.601238,32.374483,32.313731,32.575305,33.510953,18.122445,35.13,36.31
13,12,31.82838,0.01865,31.80668,0.00035,*,*,28.936161,28.38723,28.954512,28.66312,29.047411,29.604345,18.83485,30.81,32.13
13,14,24.42312,0.00049,24.42352,8e-05,*,*,25.031497,24.617593,24.119222,24.220947,25.462542,24.517229,19.884539,23.85,25.41
13,16,17.1613,0.0012,17.15353,0.00035,*,*,19.920102,20.136779,19.682807,19.594896,19.582226,19.102712,20.166509,17.32,16.5
13,18,12.88094,0.02038,12.88558,0.00226,*,*,13.027262,15.301616,14.315084,14.288538,13.319167,13.678116,19.886774,14.19,13.19
13,20,9.71838,0.07554,9.68931,0.00734,*,*,10.809905,9.791971,11.244031,11.144144,10.649731,10.615698,21.407297,10.35,10.47
13,22,7.74345,0.18962,7.86898,0.01015,*,*,9.208992,7.433297,6.414183,7.014862,7.011563,6.291737,20.995354,8.02,8.1
13,24,6.06612,0.37443,6.10934,0.18039,*,*,8.250568,6.683164,6.591066,6.626377,6.324245,6.093117,22.669441,6.26,6.76
13,26,4.69254,1.50852,*,*,*,*,6.668234,4.976975,4.461044,4.837974,4.764415,4.187504,23.265145,4.63,4.69
13,28,*,*,*,*,*,*,5.196486,3.46154,2.770245,3.373191,3.421403,3.005244,24.555967,4.85,2.53
13,30,*,*,*,*,*,*,3.741077,2.297882,1.228409,2.315568,2.589417,1.850336,25.808892,*,2.1
13,32,*,*,*,*,*,*,3.049339,1.650105,0.300804,1.715347,2.243538,1.424969,27.018667,*,0.19
13,34,*,*,*,*,*,*,0.767433,*,*,0.438025,0.919984,0.819567,26.921581,*,*
13,36,*,*,*,*,*,*,*,*,*,*,*,*,25.533827,*,*
13,38,*,*,*,*,*,*,*,*,*,*,*,*,25.944947,*,*
15,4,*,*,*,*,*,*,53.803148,54.697281,56.094424,51.216032,52.285919,50.038026,*,*,*
15,6,*,*,*,*,*,*,55.907753,56.810632,57.811442,54.547037,55.796528,55.273241,*,*,*
15,8,*,*,*,*,*,*,47.565878,49.493236,50.609122,48.698269,47.950285,50.482541,22.840258,*,*
15,10,*,*,*,*,*,*,35.646525,36.913091,37.300769,36.913665,37.750289,37.874483,18.007567,41.46,42.04
15,12,*,*,*,*,*,*,33.438201,33.323882,33.950129,33.700071,34.395466,34.81073,18.819773,34.88,37.1
15,14,32.37823,0.02635,32.37302,0.02634,*,*,30.60743,30.047862,30.160706,30.189104,30.95215,31.06061,19.751042,30.86,32.84
15,16,23.63089,0.00063,23.63033,0.00036,*,*,24.335737,24.786366,24.303463,24.544305,24.552525,24.657283,18.860185,24.71,24.1
15,18,18.03924,0.00111,18.03944,0.00109,*,*,17.430173,20.047106,19.063818,18.970814,17.958987,18.8043,18.433613,17.75,17.18
15,20,14.66289,0.00217,14.66309,0.00216,*,*,15.014035,14.331306,15.914867,15.61572,15.023767,15.433048,19.75864,15.0,14.99
15,22,10.27904,0.03799,10.28083,0.03799,*,*,12.316522,11.428018,10.633141,10.997176,11.14533,10.065742,18.887451,11.67,11.39
15,24,10.02223,0.11015,9.92127,0.11886,*,*,11.307319,9.720528,9.70003,9.673642,9.420544,9.431999,21.034149,9.94,9.99
