Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
18   24   0.953557          -0.322756         -0.540101         -0.463369         -0.280651         -0.866705         -0.71741          -0.89541          -0.46041          -0.57141          
18   26   1.220025          -0.540907         -0.4673           -0.640386         -0.717028         -1.037957         -0.82301          -0.99401          -0.57501          -0.78801          
18   28   0.717927          -0.944867         -1.160364         -1.075871         -1.076121         -1.598698         -1.23871          -1.14971          -0.96471          -1.36371          
20   18   -2.695719         -1.00529          -0.771384         -1.063259         -2.241925         -0.060092         0.58751           1.27051           0.81651           0.27251           
20   20   -2.796323         -2.150178         -1.407575         -1.911176         -2.68042          -0.931366         0.86531           1.40831           0.30331           0.14531           
20   22   2.002164          1.630082          1.271315          1.541675          1.667719          1.288416          0.72157           0.75857           1.40757           0.89457           
20   24   1.12889           0.029417          -0.137241         -0.01549          0.177734          -0.17719          -0.25404          -0.75704          -0.33504          -0.20804          
20   26   1.494716          -0.272843         0.030416          -0.235458         -0.219947         -0.448362         -0.55023          -0.83123          -0.26223          -0.57523          
20   28   0.229009          -1.510999         -1.506945         -1.635828         -1.621811         -1.960579         -1.33269          -1.65269          -1.28969          -1.96169          
20   30   2.217519          2.223511          0.502883          1.58385           1.85193           1.154349          -0.67934          -1.17434          -0.17934          0.40966           
20   32   2.265545          2.102263          0.69545           1.285304          1.524726          1.000933          0.46806           0.26506           0.64406           1.29706           
22   20   -2.397976         -1.644055         -0.696173         -1.215996         -1.955818         0.075569          1.66109           2.29009           1.34009           0.72709           
22   22   -3.427342         -3.562093         -3.684735         -3.370453         -3.209806         -3.37994          -3.91654          -4.50454          -3.82154          -3.95854          
22   24   0.745383          -0.181894         -0.084616         0.144176          0.292231          0.256067          0.6724            0.1664            0.3014            0.0794            
22   26   2.003552          0.44135           0.901768          0.683603          0.788895          0.536843          0.15506           -0.25894          0.42106           0.42006           
22   28   1.465497          -0.169087         0.037056          -0.172896         -0.077843         -0.262615         0.45142           0.01842           0.40442           0.05242           
22   30   1.845773          2.349841          0.59385           1.6167            1.83666           1.08818           -0.9698           -0.7928           -0.3868           -0.1738           
22   32   1.374062          1.476763          0.1704            0.524188          0.755368          0.138973          -0.24819          0.11581           0.13681           0.38981           
22   34   0.607385          1.21655           0.499566          0.670862          0.404029          -0.056264         1.40898           1.66898           1.72898           2.06698           
24   24   -0.858945         -2.134346         -1.206755         -1.539183         -1.973644         -0.86179          -0.29207          -1.15407          -1.07107          -1.19107          
24   26   1.480631          0.533005          0.729347          0.754505          1.01832           0.74068           -0.09495          -0.47195          0.27205           0.39105           
24   28   0.996291          0.013423          -0.096141         -0.000421         0.506058          -0.179018         0.01093           -0.22007          0.23893           0.58493           
24   30   0.639954          1.188156          0.115078          0.601276          1.087676          0.017768          -0.41025          0.28375           -0.12625          -0.96925          
24   32   1.500133          1.867988          0.45836           0.827723          1.046359          0.387474          0.34667           0.71367           0.79467           0.75867           
24   34   -0.259308         0.704193          -0.005698         0.084844          -0.264989         -0.191919         0.54988           0.98988           0.87088           0.99588           
24   36   0.37332           0.752075          0.202594          0.663882          0.313888          -0.175876         1.20522           1.33622           1.50822           1.81322           
24   38   1.328134          0.301778          0.642762          0.616595          0.370067          -0.085638         1.45069           1.97969           1.91069           1.84569           
26   26   -1.719203         -2.686567         -2.195765         -2.241941         -1.9426           -1.950799         -1.13871          -2.48071          -1.98171          -1.51671          
26   28   1.466578          0.372302          0.549377          0.624671          1.280156          0.691247          0.69452           0.65752           0.98452           1.58752           
26   30   0.24138           1.283033          0.200644          0.567844          0.946641          0.026496          -0.67453          0.14747           -0.31453          -1.45253          
26   32   0.652784          1.283987          0.054313          0.185852          0.397137          0.060992          0.3273            0.9333            0.6873            0.2763            
26   34   -0.446384         0.634543          0.085168          0.334045          -0.326365         -0.061219         0.89895           1.54295           1.01895           0.78195           
26   36   0.090119          0.646791          0.087215          0.308649          0.228289          -0.252689         0.46045           0.45445           0.88445           1.19145           
26   38   0.989239          1.040188          1.241142          1.322265          0.992003          0.460138          1.90645           2.47645           2.40545           2.23445           
26   40   1.693114          0.604891          1.190402          1.01127           0.743986          0.474593          2.27752           2.63452           2.46352           1.72852           
26   42   1.948992          0.199515          -0.230851         0.291419          0.088033          -0.513779         -0.96029          -0.97729          0.03471           0.15771           
28   28   -1.181631         -2.965372         -1.975855         -2.310136         -1.858465         -1.878202         -0.67253          -1.93953          -2.01553          -0.23953          
28   30   0.675609          2.28997           0.59592           1.414515          1.793375          0.929231          -0.84765          0.13635           -0.03565          -1.43365          
28   32   0.297558          1.191111          0.062642          0.102844          0.398777          -0.15678          -0.07802          0.99398           0.11498           -0.41802          
28   34   -1.162991         0.27747           -0.175655         -0.049127         -0.650904         -0.197293         0.71435           1.19435           0.86135           0.52335           
28   36   -0.49628          0.479994          0.30032           0.340577          0.0067            0.025919          1.17518           1.31518           1.67118           1.36818           
28   38   0.381897          0.682849          0.932424          0.787215          0.531242          0.112252          2.21336           2.33036           2.61236           1.59036           
28   40   0.995185          0.585516          1.226877          0.896235          0.682171          0.456907          1.46684           2.10184           2.15384           1.33784           
28   42   1.818741          0.524561          0.214406          0.676026          0.568483          -0.016874         -0.24269          -0.44969          0.49131           0.55531           
28   44   1.925909          0.095715          -0.31272          0.148245          0.054445          -0.509482         -0.51208          -0.59508          0.11292           -0.06008          
30   30   -2.294349         -0.718375         -2.415282         -1.250013         -0.816109         -1.46036          -0.77871          0.12829           -1.04571          -2.09071          
30   32   0.121589          0.881744          0.190787          0.122823          0.518492          0.1924            -0.1293           0.8537            0.5147            -0.0273           
30   34   -1.439705         0.118222          0.06942           -0.022648         -0.770473         0.088427          0.5582            1.4282            1.0482            0.3432            
30   36   -0.471579         0.350673          0.254856          0.319634          -0.183462         0.116792          0.56353           0.75853           0.78053           0.76753           
30   38   0.041132          0.928225          0.512939          0.789652          0.633275          0.131106          1.32857           1.59557           1.43857           1.23457           
30   40   1.018627          0.790193          1.475766          1.108959          0.820367          0.779605          2.08594           2.07294           2.24494           1.68094           
30   42   1.237627          -0.115745         -0.396914         0.006132          -0.122234         -0.605646         -0.55237          -0.51537          0.12263           0.19063           
30   44   1.515179          -0.529521         -0.189483         -0.483558         -0.609643         -0.395879         0.37486           0.04686           0.44986           0.09386           
30   46   1.724279          0.161011          0.608369          0.399952          -0.41778          -0.020131         0.25161           0.13561           0.59261           0.08761           
30   48   1.52249           -0.108199         -0.217779         -0.074762         -0.173764         -0.811818         -0.88756          -0.66856          -0.16856          -0.56356          
30   50   1.625671          -0.933802         -0.822508         -0.737301         -0.940546         -1.697223         -0.42883          -0.17483          0.06417           -0.80883          
32   34   -1.641503         0.112715          0.699565          0.49779           -0.806112         0.833125          1.82282           2.33982           1.88882           1.27882           
32   36   -0.873851         0.308823          -0.044626         0.29587           -0.277975         0.030155          0.21701           0.46601           0.55901           0.51301           
32   38   0.010895          0.834904          0.202081          0.286076          0.48495           0.093077          0.71304           1.07404           0.92504           0.73104           
32   40   0.797332          0.749255          0.832751          1.009148          0.60693           0.27869           1.37057           1.37257           1.36357           1.04357           
32   42   1.165961          -0.125066         -0.319896         0.059787          -0.126938         -0.417663         -0.24416          -0.16016          0.31784           0.34784           
32   44   1.300595          -0.156033         0.660275          0.189856          -0.584014         0.411707          0.75076           0.44576           0.92276           0.55176           
32   46   1.637194          0.247042          0.772877          0.561587          0.016444          0.171184          0.6262            0.4862            0.8742            0.3522            
