Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
2    4    6.193464          5.200257          4.46279           3.012466          4.323352          3.56312           4.74755           4.40355           5.78455           1.76155           
2    6    0.415258          -1.14673          -1.722651         -0.682286         -1.352279         -0.759313         -0.96905          -0.86305          0.40695           -0.09705          
2    8    *                 *                 *                 *                 *                 *                 *                 *                 *                 1.51983           
4    4    -7.857942         -6.977593         -7.572456         -8.712448         -6.111911         -7.13203          -4.377            -3.545            -7.65             *                 
4    6    6.818981          5.742504          6.042847          6.042395          5.746582          6.621389          3.88818           3.32718           7.75318           4.63418           
4    8    2.304678          2.122179          2.484909          3.305528          1.634518          2.703876          3.59964           4.41164           4.87964           5.32664           
4    10   -0.691529         *                 *                 *                 *                 *                 *                 *                 *                 -0.6329           
4    12   1.419108          *                 *                 *                 *                 *                 *                 *                 *                 1.459             
6    4    -1.362266         0.086588          0.31829           -2.127564         0.71843           -0.187587         *                 *                 *                 *                 
6    6    -4.436231         -5.135978         -4.797447         -4.661521         -4.256706         -2.803296         -2.17031          -3.21431          -2.23931          -3.72031          
6    8    2.306417          3.071725          3.554857          3.452557          2.049517          3.57256           5.15826           6.26826           5.14926           4.66226           
6    10   2.75685           2.016547          1.011834          0.746319          1.492896          -0.040491         -0.45739          -0.60839          0.28161           0.64261           
6    12   1.563944          0.179276          -0.835696         -0.218017         -0.210083         -0.882974         -0.9015           -1.0095           0.1945            0.6765            
6    14   2.303931          0.295689          -0.1547           0.40033           0.224436          -0.105354         -0.25434          0.51366           0.20466           0.66266           
6    16   3.338341          1.358901          1.220638          1.965231          1.91145           1.820276          0.21              *                 1.034             2.187             
8    6    -3.544524         -3.380707         -2.807031         -3.667067         -2.901931         -1.171666         -0.54947          -0.66247          -1.17947          -3.65747          
8    8    -3.937419         -2.953449         -2.378104         -2.603197         -4.073423         -1.161523         0.54258           1.91358           0.21258           -0.29442          
