Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
7,11,15.21334,0.02542,15.2077,0.02542,*,*,*,*,*,*,*,*,12.631387,13.473296,13.324755,13.502656,12.959268,14.044287,14.383042,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,13,17.94453,0.11301,17.93623,0.12611,*,*,*,*,*,*,*,*,16.059396,17.054037,16.985946,16.909385,16.492707,17.542138,18.065583,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,15,*,*,*,*,*,*,*,*,*,*,*,*,18.965274,20.202953,20.153577,19.82874,19.400457,21.013568,21.074437,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,17,*,*,*,*,*,*,*,*,*,*,*,*,21.351414,22.84672,22.825671,22.227849,21.687718,23.271441,23.313058,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,19,*,*,*,*,*,*,*,*,*,*,*,*,23.390139,24.977835,25.081475,24.136403,23.48088,24.932517,24.992539,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,21,*,*,*,*,*,*,*,*,*,*,*,*,25.031594,26.534901,26.663486,25.359227,24.665364,25.936844,26.081554,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,23,*,*,*,*,*,*,*,*,*,*,*,*,26.319295,27.658146,27.625692,26.053577,25.370793,26.437492,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,25,*,*,*,*,*,*,*,*,*,*,*,*,27.601653,28.755978,28.595342,26.831131,26.161667,26.96811,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,27,*,*,*,*,*,*,*,*,*,*,*,*,29.008944,30.035415,29.868009,27.972332,27.345215,27.966888,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,29,*,*,*,*,*,*,*,*,*,*,*,*,30.46799,31.485179,31.418404,29.439772,28.812689,29.329696,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,31,*,*,*,*,*,*,*,*,*,*,*,*,31.895698,32.9517,33.070798,31.0011,30.298413,30.680264,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,33,*,*,*,*,*,*,*,*,*,*,*,*,33.072423,34.153391,34.506653,32.292471,31.512105,31.77234,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,35,*,*,*,*,*,*,*,*,*,*,*,*,33.708581,34.921534,35.455757,33.08472,32.238935,32.458277,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,3,*,*,*,*,*,*,*,*,*,*,*,*,-6.039699,-6.504265,-7.220822,-5.811759,-6.103928,-5.33151,-5.837377,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,5,*,*,*,*,*,*,*,*,*,*,*,*,-3.457102,-3.968434,-4.777182,-3.949331,-3.817541,-3.813975,-4.260427,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,7,*,*,*,*,*,*,*,*,*,*,*,*,0.173644,-0.179661,-0.941622,-0.59916,-0.040426,-0.540579,-0.966166,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,9,5.60646,0.00052,5.60709,0.00046,*,*,*,*,*,*,*,*,3.702546,3.595011,2.993648,3.369115,3.985905,3.824479,3.422763,4.28,6.19
,,,,,,,,,,,,,,,,,,,,,,
9,11,10.64125,0.00283,10.63929,0.00264,*,*,*,*,*,*,*,*,7.061157,7.02562,6.807619,7.258267,7.71594,8.104233,7.630632,9.23,13.35
,,,,,,,,,,,,,,,,,,,,,,
9,13,12.5585,0.01727,12.55763,0.01726,*,*,*,*,*,*,*,*,10.028852,10.216483,10.133036,10.472918,11.126322,11.386411,10.790661,12.44,14.56
,,,,,,,,,,,,,,,,,,,,,,
9,15,14.3424,0.14169,14.36582,0.15606,*,*,*,*,*,*,*,*,12.464144,13.093045,12.875972,13.093673,13.989917,13.904946,13.295367,15.44,16.68
,,,,,,,,,,,,,,,,,,,,,,
9,17,*,*,15.96912,0.19904,*,*,*,*,*,*,*,*,14.705544,15.627129,15.477672,15.521541,16.286322,16.240566,15.718046,17.89,19.38
,,,,,,,,,,,,,,,,,,,,,,
9,19,*,*,*,*,*,*,*,*,*,*,*,*,16.774212,17.925539,17.884085,17.705193,18.279938,18.293988,17.951149,20.4,22
,,,,,,,,,,,,,,,,,,,,,,
9,21,*,*,*,*,*,*,*,*,*,*,*,*,18.980604,19.960366,20.023148,19.626394,20.028315,19.958436,19.822427,23.21,22.73
,,,,,,,,,,,,,,,,,,,,,,
