Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
12,46,*,*,*,*,*,*,*,*,*,*,*,*,-4.122501,-5.771817,-6.528438,-4.930915,-3.984473,-4.174451,*,-7.54,*
,,,,,,,,,,,,,,,,,,,,,,
12,48,*,*,*,*,*,*,*,*,*,*,*,*,-4.621204,-6.052688,-6.944603,-4.809587,-4.168293,-4.133592,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,50,*,*,*,*,*,*,*,*,*,*,*,*,-4.807841,-6.169996,-7.078232,-4.98977,-4.41285,-4.016226,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,52,*,*,*,*,*,*,*,*,*,*,*,*,-4.713279,-6.697325,-7.096115,-5.445383,-4.969349,-4.650697,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
14,4,*,*,*,*,*,*,*,*,*,*,*,*,53.352572,54.719498,55.866339,50.959959,52.361551,49.91443,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
14,6,*,*,*,*,*,*,*,*,*,*,*,*,53.990789,55.097563,55.921243,52.913265,54.452667,54.069314,55.105099,*,*
,,,,,,,,,,,,,,,,,,,,,,
14,8,*,*,*,*,*,*,*,*,*,*,*,*,45.304483,46.987429,48.101383,46.549738,45.732323,48.408466,49.385811,*,*
,,,,,,,,,,,,,,,,,,,,,,
14,10,*,*,*,*,*,*,*,*,*,*,*,*,33.456328,34.399129,34.820319,34.666352,35.458817,35.886195,35.589399,39.4,38.97
,,,,,,,,,,,,,,,,,,,,,,
14,12,34.04194,0.0197,34.02884,0.01947,*,*,*,*,*,*,*,*,31.278243,30.725295,31.553238,31.448802,31.918458,32.427091,32.283674,32.78,33.75
,,,,,,,,,,,,,,,,,,,,,,
14,14,30.4908,0.003,30.49441,0.00011,*,*,*,*,*,*,*,*,28.246602,27.610599,27.597872,27.576934,28.43527,28.244473,28.669281,28.61,30.72
,,,,,,,,,,,,,,,,,,,,,,
14,16,19.08277,3E-05,19.0828,2E-05,*,*,*,*,*,*,*,*,22.215197,22.517754,22.168832,22.175106,22.070257,21.911969,21.708442,19.37,19.09
,,,,,,,,,,,,,,,,,,,,,,
14,18,15.79061,4E-05,15.78736,0.0003,*,*,*,*,*,*,*,*,15.217355,16.635425,16.704728,16.63695,15.629095,16.242668,15.732665,16.18,15.67
,,,,,,,,,,,,,,,,,,,,,,
14,20,12.0185,0.01412,12.0218,0.01412,*,*,*,*,*,*,*,*,12.916214,13.061825,13.584365,13.400578,12.823082,13.004216,13.553112,12.83,12.95
,,,,,,,,,,,,,,,,,,,,,,
14,22,8.66837,0.12426,8.62191,0.07317,*,*,*,*,*,*,*,*,10.42783,9.367593,8.519307,8.917845,9.057645,7.897853,7.66887,10.06,9.07
,,,,,,,,,,,,,,,,,,,,,,
14,24,7.7274,0.18477,7.87681,0.12703,*,*,*,*,*,*,*,*,9.727149,7.987018,7.774376,7.90314,7.610923,7.499209,7.657003,7.79,7.89
,,,,,,,,,,,,,,,,,,,,,,
14,26,6.60831,0.57278,6.54266,0.36068,*,*,*,*,*,*,*,*,8.395569,6.681584,6.203467,6.481203,6.359716,5.754793,5.845384,6.1,6.73
,,,,,,,,,,,,,,,,,,,,,,
14,28,*,*,*,*,*,*,*,*,*,*,*,*,7.389852,5.590565,5.005018,5.513556,5.427182,5.165404,5.2174,6.94,4.87
,,,,,,,,,,,,,,,,,,,,,,
14,30,*,*,*,*,*,*,*,*,*,*,*,*,5.246747,3.885094,2.971937,3.768811,3.88047,3.185511,3.377994,0.97,3.2
,,,,,,,,,,,,,,,,,,,,,,
14,32,*,*,*,*,*,*,*,*,*,*,*,*,4.214749,2.995924,1.392019,2.930223,3.581712,2.513695,3.083208,0.2,1.07
,,,,,,,,,,,,,,,,,,,,,,
14,34,*,*,*,*,*,*,*,*,*,*,*,*,1.565429,0.600291,-0.162183,1.244158,1.709857,1.554487,0.449274,-0.46,-0.46
,,,,,,,,,,,,,,,,,,,,,,
14,36,*,*,*,*,*,*,*,*,*,*,*,*,-2.074271,-2.29086,-2.893341,-1.798599,-1.58186,-2.646002,-3.586456,-2.19,-0.46
,,,,,,,,,,,,,,,,,,,,,,
14,38,*,*,*,*,*,*,*,*,*,*,*,*,-2.728772,-3.589427,-3.650448,-2.721504,-2.143963,-3.092607,-3.905445,-3.43,*
,,,,,,,,,,,,,,,,,,,,,,
14,40,*,*,*,*,*,*,*,*,*,*,*,*,-2.433565,-4.037034,-4.182293,-3.151657,-2.560416,-3.066004,*,-3.21,*
,,,,,,,,,,,,,,,,,,,,,,
14,42,*,*,*,*,*,*,*,*,*,*,*,*,-2.026277,-4.036639,-5.085852,-3.638731,-3.174605,-2.843709,*,-4.65,*
,,,,,,,,,,,,,,,,,,,,,,
14,44,*,*,*,*,*,*,*,*,*,*,*,*,-2.242798,-4.084668,-5.184336,-3.738378,-3.48207,-3.105447,*,-4.58,*
,,,,,,,,,,,,,,,,,,,,,,
14,46,*,*,*,*,*,*,*,*,*,*,*,*,-2.482605,-4.553988,-5.183253,-3.819242,-3.536818,-3.284101,*,-5.2,*
,,,,,,,,,,,,,,,,,,,,,,
14,48,*,*,*,*,*,*,*,*,*,*,*,*,-2.486222,-4.551732,-5.642202,-3.9118,-3.663069,-3.334828,*,-5.16,*
,,,,,,,,,,,,,,,,,,,,,,
14,50,*,*,*,*,*,*,*,*,*,*,*,*,-2.997857,-4.756212,-5.342323,-3.799859,-3.557147,-3.265307,*,-3.62,*
,,,,,,,,,,,,,,,,,,,,,,
14,52,*,*,*,*,*,*,*,*,*,*,*,*,-3.399018,-5.150042,-5.792074,-4.184504,-3.77691,-3.527159,*,-11.87,*
,,,,,,,,,,,,,,,,,,,,,,
14,54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-8.56,*
